trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,79,0.9,7,30,103,142,65,0,0.676953125,Cube_Ela9_Var7
2,25,0.3,1,30,55,46,46,0,0.651171875,Cube_Ela3_Var1
3,29,0.3,5,30,41,50,62,0,0.390625,Cube_Ela3_Var5
4,54,0.6,6,30,61,96,51,0,0.144140625,Cube_Ela6_Var6
5,64,0.7,8,30,69,113,62,0,0.296484375,Cube_Ela7_Var8
6,13,0.1,9,30,32,24,78,0,0.06640625,Cube_Ela1_Var9
7,4,0,11,30,30,11,59,0,0.15,Cube_Ela0_Var11
8,35,0.4,3,30,64,63,54,0,0.308984375,Cube_Ela4_Var3
9,66,0.8,2,30,87,122,82,0,0.70234375,Cube_Ela8_Var2
10,36,0.4,4,30,47,64,52,0,0.553125,Cube_Ela4_Var4
11,29,0.3,5,30,41,50,66,0,0.149609375,Cube_Ela3_Var5
12,7,0,14,30,32,14,60,0,0.03359375,Cube_Ela0_Var14
13,62,0.7,6,30,108,111,61,0,0.627734375,Cube_Ela7_Var6
14,62,0.7,6,30,108,111,40,0,0.76328125,Cube_Ela7_Var6
15,24,0.2,10,30,39,40,49,0,0.215625,Cube_Ela2_Var10
16,9,0.1,4,30,32,19,35,0,0.116015625,Cube_Ela1_Var4
17,11,0.1,7,30,34,22,47,0,0.278125,Cube_Ela1_Var7
18,20,0.2,4,30,38,34,58,0,0.309375,Cube_Ela2_Var4
19,3,0,10,30,34,10,56,0,0.0890625,Cube_Ela0_Var10
20,80,0.9,8,30,81,143,60,0,0.715625,Cube_Ela9_Var8
21,68,0.8,4,30,85,124,57,0,0.587109375,Cube_Ela8_Var4
22,73,0.9,1,30,104,136,45,0,0.589453125,Cube_Ela9_Var1
23,40,0.4,8,30,49,68,49,0,0.25234375,Cube_Ela4_Var8
24,40,0.4,8,30,49,68,37,0,0.2046875,Cube_Ela4_Var8
25,79,0.9,7,30,103,142,59,0,0.696484375,Cube_Ela9_Var7
26,71,0.8,7,30,75,127,111,0,0.57421875,Cube_Ela8_Var7
27,79,0.9,7,30,103,142,87,0,0.701171875,Cube_Ela9_Var7
28,63,0.7,7,30,70,112,120,0,0.455078125,Cube_Ela7_Var7
29,41,0.5,1,30,59,76,35,0,0.58515625,Cube_Ela5_Var1
30,47,0.5,7,30,61,82,44,0,0.684765625,Cube_Ela5_Var7
31,65,0.8,1,30,59,121,84,0,0.454296875,Cube_Ela8_Var1
32,47,0.5,7,30,61,82,41,0,0.615234375,Cube_Ela5_Var7
33,74,0.9,2,30,95,137,44,0,0.8453125,Cube_Ela9_Var2
34,26,0.3,2,30,40,47,55,0,0.40546875,Cube_Ela3_Var2
35,64,0.7,8,30,69,113,56,0,0.66328125,Cube_Ela7_Var8
36,32,0.3,9,30,30,54,47,0,0.590234375,Cube_Ela3_Var9
37,50,0.6,2,30,79,92,40,0,0.80546875,Cube_Ela6_Var2
38,58,0.7,2,30,77,107,63,0,0.684375,Cube_Ela7_Var2
39,8,0,15,30,34,15,90,0,0.18359375,Cube_Ela0_Var15
40,8,0,15,30,34,15,108,0,0.162890625,Cube_Ela0_Var15
41,46,0.5,6,30,44,81,60,0,0.1796875,Cube_Ela5_Var6
42,60,0.7,4,30,83,109,120,0,0.5921875,Cube_Ela7_Var4
43,19,0.2,3,30,32,33,50,0,0.25234375,Cube_Ela2_Var3
44,68,0.8,4,30,85,124,51,0,0.62421875,Cube_Ela8_Var4
45,19,0.2,3,30,32,33,36,0,0.245703125,Cube_Ela2_Var3
46,51,0.6,3,30,68,93,69,0,0.68125,Cube_Ela6_Var3
47,74,0.9,2,30,95,137,105,0,0.733984375,Cube_Ela9_Var2
48,65,0.8,1,30,59,121,60,0,0.676171875,Cube_Ela8_Var1
49,63,0.7,7,30,70,112,46,0,0.562890625,Cube_Ela7_Var7
50,28,0.3,4,30,59,49,64,0,0.35703125,Cube_Ela3_Var4
51,77,0.9,5,30,120,140,81,0,0.584765625,Cube_Ela9_Var5
52,16,0.1,13,30,38,28,30,0,0.230078125,Cube_Ela1_Var13
53,68,0.8,4,30,85,124,60,0,0.77421875,Cube_Ela8_Var4
54,39,0.4,7,30,39,67,37,0,0.415234375,Cube_Ela4_Var7
55,58,0.7,2,30,77,107,60,0,0.317578125,Cube_Ela7_Var2
56,10,0.1,6,30,36,21,52,0,0.16796875,Cube_Ela1_Var6
57,31,0.3,8,30,52,53,30,0,0.128515625,Cube_Ela3_Var8
58,31,0.3,8,30,52,53,41,0,0.179296875,Cube_Ela3_Var8
59,49,0.6,1,30,79,91,76,0,0.694140625,Cube_Ela6_Var1
60,28,0.3,4,30,59,49,35,0,0.641015625,Cube_Ela3_Var4
61,78,0.9,6,30,119,141,42,0,0.789453125,Cube_Ela9_Var6
62,73,0.9,1,30,104,136,60,0,0.642578125,Cube_Ela9_Var1
63,2,0,6,30,34,6,51,0,0.101953125,Cube_Ela0_Var6
64,4,0,11,30,30,11,53,0,0.13203125,Cube_Ela0_Var11
65,39,0.4,7,30,39,67,59,0,0.507421875,Cube_Ela4_Var7
66,42,0.5,2,30,61,77,74,0,0.748046875,Cube_Ela5_Var2
67,55,0.6,7,30,78,97,53,0,0.56796875,Cube_Ela6_Var7
68,36,0.4,4,30,47,64,46,0,0.69375,Cube_Ela4_Var4
69,22,0.2,8,30,42,38,90,0,0.54453125,Cube_Ela2_Var8
70,43,0.5,3,30,63,78,66,0,0.533203125,Cube_Ela5_Var3
71,45,0.5,5,30,73,80,52,0,0.4203125,Cube_Ela5_Var5
72,26,0.3,2,30,40,47,50,0,0.284375,Cube_Ela3_Var2
73,33,0.4,1,30,54,61,49,0,0.35625,Cube_Ela4_Var1
74,14,0.1,10,30,37,25,43,0,0.097265625,Cube_Ela1_Var10
75,78,0.9,6,30,119,141,46,0,0.741015625,Cube_Ela9_Var6
76,52,0.6,4,30,91,94,48,0,0.844140625,Cube_Ela6_Var4
77,46,0.5,6,30,44,81,33,0,0.1703125,Cube_Ela5_Var6
78,10,0.1,6,30,36,21,53,0,0.165625,Cube_Ela1_Var6
79,30,0.3,7,30,47,52,48,0,0.253125,Cube_Ela3_Var7
80,36,0.4,4,30,47,64,43,0,0.459765625,Cube_Ela4_Var4
81,23,0.2,9,30,31,39,38,0,0.3078125,Cube_Ela2_Var9
82,19,0.2,3,30,32,33,42,0,0.315625,Cube_Ela2_Var3
83,46,0.5,6,30,44,81,38,0,0.1796875,Cube_Ela5_Var6
84,15,0.1,11,30,51,26,50,0,0.262890625,Cube_Ela1_Var11
85,56,0.6,8,30,66,98,51,0,0.67109375,Cube_Ela6_Var8
86,16,0.1,13,30,38,28,32,0,0.163671875,Cube_Ela1_Var13
87,15,0.1,11,30,51,26,49,0,0.209375,Cube_Ela1_Var11
88,45,0.5,5,30,73,80,87,0,0.6484375,Cube_Ela5_Var5
89,71,0.8,7,30,75,127,59,0,0.621875,Cube_Ela8_Var7
90,18,0.2,2,30,35,32,73,0,0.5546875,Cube_Ela2_Var2
91,58,0.7,2,30,77,107,35,0,0.79921875,Cube_Ela7_Var2
92,9,0.1,4,30,32,19,33,0,0.24140625,Cube_Ela1_Var4
93,69,0.8,5,30,68,125,43,0,0.61796875,Cube_Ela8_Var5
94,77,0.9,5,30,120,140,50,0,0.78828125,Cube_Ela9_Var5
95,45,0.5,5,30,73,80,38,0,0.78359375,Cube_Ela5_Var5
96,22,0.2,8,30,42,38,60,0,0.516015625,Cube_Ela2_Var8
97,59,0.7,3,30,80,108,49,0,0.69140625,Cube_Ela7_Var3
98,57,0.7,1,30,77,106,50,0,0.68515625,Cube_Ela7_Var1
99,41,0.5,1,30,59,76,90,0,0.695703125,Cube_Ela5_Var1
100,59,0.7,3,30,80,108,52,0,0.653125,Cube_Ela7_Var3
101,6,0,13,30,30,13,46,0,0.212890625,Cube_Ela0_Var13
102,49,0.6,1,30,79,91,60,0,0.682421875,Cube_Ela6_Var1
103,22,0.2,8,30,42,38,113,0,0.409375,Cube_Ela2_Var8
104,34,0.4,2,30,54,62,54,0,0.564453125,Cube_Ela4_Var2
105,67,0.8,3,30,97,123,54,0,0.83046875,Cube_Ela8_Var3
106,48,0.5,8,30,47,83,48,0,0.597265625,Cube_Ela5_Var8
107,13,0.1,9,30,32,24,61,0,0.260546875,Cube_Ela1_Var9
108,71,0.8,7,30,75,127,108,0,0.611328125,Cube_Ela8_Var7
109,18,0.2,2,30,35,32,80,0,0.493359375,Cube_Ela2_Var2
110,76,0.9,4,30,120,139,41,0,0.9859375,Cube_Ela9_Var4
111,75,0.9,3,30,77,138,50,0,0.730859375,Cube_Ela9_Var3
112,10,0.1,6,30,36,21,47,0,0.2375,Cube_Ela1_Var6
113,12,0.1,8,30,34,23,41,0,0.32265625,Cube_Ela1_Var8
114,70,0.8,6,30,93,126,60,0,0.69609375,Cube_Ela8_Var6
115,38,0.4,6,30,45,66,55,0,0.634375,Cube_Ela4_Var6
116,62,0.7,6,30,108,111,44,0,0.889453125,Cube_Ela7_Var6
117,61,0.7,5,30,80,110,38,0,0.876171875,Cube_Ela7_Var5
118,38,0.4,6,30,45,66,30,0,0.812890625,Cube_Ela4_Var6
119,37,0.4,5,30,54,65,60,0,0.70625,Cube_Ela4_Var5
120,12,0.1,8,30,34,23,33,0,0.24921875,Cube_Ela1_Var8
121,20,0.2,4,30,38,34,44,0,0.572265625,Cube_Ela2_Var4
122,24,0.2,10,30,39,40,82,0,0.332421875,Cube_Ela2_Var10
123,42,0.5,2,30,61,77,35,0,0.8671875,Cube_Ela5_Var2
124,53,0.6,5,30,79,95,53,0,0.7484375,Cube_Ela6_Var5
125,27,0.3,3,30,54,48,60,0,0.816796875,Cube_Ela3_Var3
126,73,0.9,1,30,104,136,30,0,0.73515625,Cube_Ela9_Var1
127,51,0.6,3,30,68,93,31,0,0.920703125,Cube_Ela6_Var3
128,78,0.9,6,30,119,141,60,0,0.999609375,Cube_Ela9_Var6
129,52,0.6,4,30,91,94,46,0,0.98125,Cube_Ela6_Var4
130,61,0.7,5,30,80,110,74,0,0.678125,Cube_Ela7_Var5
131,60,0.7,4,30,83,109,49,0,0.703125,Cube_Ela7_Var4
132,72,0.8,8,30,83,128,35,0,0.763671875,Cube_Ela8_Var8
133,57,0.7,1,30,77,106,38,0,0.82734375,Cube_Ela7_Var1
134,70,0.8,6,30,93,126,47,0,0.773046875,Cube_Ela8_Var6
135,5,0,12,30,35,12,48,0,0.2515625,Cube_Ela0_Var12
136,54,0.6,6,30,61,96,83,0,0.769921875,Cube_Ela6_Var6
