trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,8,0,15,30,34,15,300,0,0.110546875,Cube_Ela0_Var15
2,44,0.5,4,30,44,79,137,0,0.358984375,Cube_Ela5_Var4
3,19,0.2,3,30,32,33,98,0,0.353125,Cube_Ela2_Var3
4,77,0.9,5,30,120,140,95,0,0.691796875,Cube_Ela9_Var5
5,43,0.5,3,30,63,78,150,0,0.588671875,Cube_Ela5_Var3
6,19,0.2,3,30,32,33,107,0,0.166015625,Cube_Ela2_Var3
7,18,0.2,2,30,35,32,240,0,0.49140625,Cube_Ela2_Var2
8,56,0.6,8,30,66,98,111,0,0.678515625,Cube_Ela6_Var8
9,71,0.8,7,30,75,127,96,0,0.6921875,Cube_Ela8_Var7
10,13,0.1,9,30,32,24,109,0,0.037890625,Cube_Ela1_Var9
11,64,0.7,8,30,69,113,97,0,0.60234375,Cube_Ela7_Var8
12,66,0.8,2,30,87,122,90,0,0.8453125,Cube_Ela8_Var2
13,11,0.1,7,30,34,22,84,0,0.650390625,Cube_Ela1_Var7
14,60,0.7,4,30,83,109,174,0,0.7734375,Cube_Ela7_Var4
15,37,0.4,5,30,54,65,118,0,0.864453125,Cube_Ela4_Var5
16,53,0.6,5,30,79,95,187,0,0.814453125,Cube_Ela6_Var5
17,13,0.1,9,30,32,24,234,0,0.05078125,Cube_Ela1_Var9
18,34,0.4,2,30,54,62,95,0,0.323828125,Cube_Ela4_Var2
19,39,0.4,7,30,39,67,216,0,0.4921875,Cube_Ela4_Var7
20,79,0.9,7,30,103,142,180,0,0.8390625,Cube_Ela9_Var7
21,14,0.1,10,30,37,25,220,0,0.048828125,Cube_Ela1_Var10
22,54,0.6,6,30,61,96,362,0,0.83203125,Cube_Ela6_Var6
23,37,0.4,5,30,54,65,108,0,0.81953125,Cube_Ela4_Var5
24,37,0.4,5,30,54,65,152,0,0.80859375,Cube_Ela4_Var5
25,72,0.8,8,30,83,128,134,0,0.79140625,Cube_Ela8_Var8
26,45,0.5,5,30,73,80,319,0,0.483203125,Cube_Ela5_Var5
27,61,0.7,5,30,80,110,195,0,0.507421875,Cube_Ela7_Var5
28,55,0.6,7,30,78,97,155,0,0.683984375,Cube_Ela6_Var7
29,14,0.1,10,30,37,25,210,0,0.11953125,Cube_Ela1_Var10
30,33,0.4,1,30,54,61,202,0,0.854296875,Cube_Ela4_Var1
31,9,0.1,4,30,32,19,145,0,0.140625,Cube_Ela1_Var4
32,1,0,3,30,31,3,210,0,0.452734375,Cube_Ela0_Var3
33,76,0.9,4,30,120,139,246,0,0.943359375,Cube_Ela9_Var4
34,52,0.6,4,30,91,94,236,0,0.9453125,Cube_Ela6_Var4
35,43,0.5,3,30,63,78,152,0,0.5296875,Cube_Ela5_Var3
36,53,0.6,5,30,79,95,180,0,0.865234375,Cube_Ela6_Var5
37,43,0.5,3,30,63,78,180,0,0.709765625,Cube_Ela5_Var3
38,66,0.8,2,30,87,122,160,0,0.959375,Cube_Ela8_Var2
