trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,56,0.6,8,30,66,98,150,0,0.390625,Cube_Ela6_Var8
2,72,0.8,8,30,83,128,77,0,0.62421875,Cube_Ela8_Var8
3,15,0.1,11,30,51,26,74,0,0.762109375,Cube_Ela1_Var11
4,36,0.4,4,30,47,64,60,0,0.784375,Cube_Ela4_Var4
5,3,0,10,30,34,10,61,0,0.133203125,Cube_Ela0_Var10
6,68,0.8,4,30,85,124,74,0,0.552734375,Cube_Ela8_Var4
7,60,0.7,4,30,83,109,56,0,0.55625,Cube_Ela7_Var4
8,24,0.2,10,30,39,40,52,0,0.105859375,Cube_Ela2_Var10
9,20,0.2,4,30,38,34,80,0,0.51875,Cube_Ela2_Var4
10,8,0,15,30,34,15,60,0,0.598828125,Cube_Ela0_Var15
11,65,0.8,1,30,59,121,104,0,0.41328125,Cube_Ela8_Var1
12,33,0.4,1,30,54,61,84,0,0.208203125,Cube_Ela4_Var1
13,28,0.3,4,30,59,49,82,0,0.13125,Cube_Ela3_Var4
14,9,0.1,4,30,32,19,81,0,0.155078125,Cube_Ela1_Var4
15,55,0.6,7,30,78,97,90,0,0.132421875,Cube_Ela6_Var7
16,4,0,11,30,30,11,60,0,0.0625,Cube_Ela0_Var11
17,35,0.4,3,30,64,63,76,0,0.6390625,Cube_Ela4_Var3
18,1,0,3,30,31,3,65,0,0.162109375,Cube_Ela0_Var3
19,31,0.3,8,30,52,53,138,0,0.207421875,Cube_Ela3_Var8
20,4,0,11,30,30,11,60,0,0.108203125,Cube_Ela0_Var11
21,16,0.1,13,30,38,28,53,0,0.00703125,Cube_Ela1_Var13
22,9,0.1,4,30,32,19,46,0,0.18203125,Cube_Ela1_Var4
23,8,0,15,30,34,15,46,0,0.89375,Cube_Ela0_Var15
24,64,0.7,8,30,69,113,42,0,0.64140625,Cube_Ela7_Var8
25,24,0.2,10,30,39,40,55,0,0.633984375,Cube_Ela2_Var10
26,79,0.9,7,30,103,142,81,0,0.791796875,Cube_Ela9_Var7
27,65,0.8,1,30,59,121,85,0,0.71015625,Cube_Ela8_Var1
28,12,0.1,8,30,34,23,56,0,0.205078125,Cube_Ela1_Var8
29,23,0.2,9,30,31,39,56,0,0.1859375,Cube_Ela2_Var9
30,73,0.9,1,30,104,136,43,0,0.78359375,Cube_Ela9_Var1
31,51,0.6,3,30,68,93,56,0,0.785546875,Cube_Ela6_Var3
32,47,0.5,7,30,61,82,60,0,0.259765625,Cube_Ela5_Var7
33,31,0.3,8,30,52,53,100,0,0.30703125,Cube_Ela3_Var8
34,55,0.6,7,30,78,97,42,0,0.599609375,Cube_Ela6_Var7
35,21,0.2,7,30,42,37,85,0,0.38203125,Cube_Ela2_Var7
36,34,0.4,2,30,54,62,52,0,0.87578125,Cube_Ela4_Var2
37,11,0.1,7,30,34,22,79,0,0.784765625,Cube_Ela1_Var7
38,48,0.5,8,30,47,83,68,0,0.608203125,Cube_Ela5_Var8
39,19,0.2,3,30,32,33,77,0,0.489453125,Cube_Ela2_Var3
40,23,0.2,9,30,31,39,79,0,0.208203125,Cube_Ela2_Var9
41,64,0.7,8,30,69,113,82,0,0.26328125,Cube_Ela7_Var8
42,51,0.6,3,30,68,93,64,0,0.780859375,Cube_Ela6_Var3
43,39,0.4,7,30,39,67,75,0,0.70546875,Cube_Ela4_Var7
44,9,0.1,4,30,32,19,52,0,0.738671875,Cube_Ela1_Var4
45,6,0,13,30,30,13,74,0,0.184375,Cube_Ela0_Var13
46,70,0.8,6,30,93,126,78,0,0.83359375,Cube_Ela8_Var6
47,51,0.6,3,30,68,93,69,0,0.87578125,Cube_Ela6_Var3
48,75,0.9,3,30,77,138,84,0,0.999609375,Cube_Ela9_Var3
49,17,0.2,1,30,34,31,35,0,0.999609375,Cube_Ela2_Var1
50,80,0.9,8,30,81,143,46,0,0.999609375,Cube_Ela9_Var8
51,78,0.9,6,30,119,141,60,0,0.752734375,Cube_Ela9_Var6
52,41,0.5,1,30,59,76,75,0,0.857421875,Cube_Ela5_Var1
53,43,0.5,3,30,63,78,81,0,0.622265625,Cube_Ela5_Var3
54,2,0,6,30,34,6,67,0,0.634375,Cube_Ela0_Var6
55,7,0,14,30,32,14,60,0,0.33359375,Cube_Ela0_Var14
56,59,0.7,3,30,80,108,56,0,0.7046875,Cube_Ela7_Var3
57,79,0.9,7,30,103,142,60,0,0.5859375,Cube_Ela9_Var7
58,32,0.3,9,30,30,54,50,0,0.752734375,Cube_Ela3_Var9
59,25,0.3,1,30,55,46,90,0,0.4109375,Cube_Ela3_Var1
60,73,0.9,1,30,104,136,66,0,0.999609375,Cube_Ela9_Var1
61,62,0.7,6,30,108,111,127,0,0.75546875,Cube_Ela7_Var6
62,63,0.7,7,30,70,112,80,0,0.50390625,Cube_Ela7_Var7
63,68,0.8,4,30,85,124,60,0,0.441796875,Cube_Ela8_Var4
64,22,0.2,8,30,42,38,104,0,0.83125,Cube_Ela2_Var8
65,28,0.3,4,30,59,49,71,0,0.833203125,Cube_Ela3_Var4
66,35,0.4,3,30,64,63,48,0,0.76484375,Cube_Ela4_Var3
67,45,0.5,5,30,73,80,42,0,0.853515625,Cube_Ela5_Var5
68,47,0.5,7,30,61,82,86,0,0.799609375,Cube_Ela5_Var7
69,45,0.5,5,30,73,80,50,0,0.849609375,Cube_Ela5_Var5
70,7,0,14,30,32,14,74,0,0.3765625,Cube_Ela0_Var14
71,60,0.7,4,30,83,109,66,0,0.518359375,Cube_Ela7_Var4
72,10,0.1,6,30,36,21,65,0,0.403515625,Cube_Ela1_Var6
73,52,0.6,4,30,91,94,60,0,0.812109375,Cube_Ela6_Var4
74,54,0.6,6,30,61,96,66,0,0.175,Cube_Ela6_Var6
75,68,0.8,4,30,85,124,74,0,0.623046875,Cube_Ela8_Var4
76,55,0.6,7,30,78,97,39,0,0.21015625,Cube_Ela6_Var7
77,47,0.5,7,30,61,82,68,0,0.56953125,Cube_Ela5_Var7
78,34,0.4,2,30,54,62,67,0,0.31875,Cube_Ela4_Var2
79,43,0.5,3,30,63,78,49,0,0.63359375,Cube_Ela5_Var3
80,43,0.5,3,30,63,78,83,0,0.85859375,Cube_Ela5_Var3
81,1,0,3,30,31,3,56,0,0.176953125,Cube_Ela0_Var3
82,49,0.6,1,30,79,91,42,0,0.385546875,Cube_Ela6_Var1
83,48,0.5,8,30,47,83,60,0,0.45625,Cube_Ela5_Var8
84,76,0.9,4,30,120,139,40,0,0.600390625,Cube_Ela9_Var4
85,63,0.7,7,30,70,112,97,0,0.394921875,Cube_Ela7_Var7
86,35,0.4,3,30,64,63,70,0,0.279296875,Cube_Ela4_Var3
87,42,0.5,2,30,61,77,77,0,0.318359375,Cube_Ela5_Var2
88,77,0.9,5,30,120,140,76,0,0.330078125,Cube_Ela9_Var5
89,26,0.3,2,30,40,47,74,0,0.301171875,Cube_Ela3_Var2
90,18,0.2,2,30,35,32,52,0,0.341796875,Cube_Ela2_Var2
91,38,0.4,6,30,45,66,49,0,0.23828125,Cube_Ela4_Var6
92,42,0.5,2,30,61,77,75,0,0.312109375,Cube_Ela5_Var2
93,14,0.1,10,30,37,25,60,0,0.074609375,Cube_Ela1_Var10
94,66,0.8,2,30,87,122,44,0,0.339453125,Cube_Ela8_Var2
95,56,0.6,8,30,66,98,73,0,0.586328125,Cube_Ela6_Var8
96,71,0.8,7,30,75,127,58,0,0.55859375,Cube_Ela8_Var7
97,56,0.6,8,30,66,98,64,0,0.832421875,Cube_Ela6_Var8
98,2,0,6,30,34,6,92,0,0.404296875,Cube_Ela0_Var6
99,22,0.2,8,30,42,38,60,0,0.33515625,Cube_Ela2_Var8
100,75,0.9,3,30,77,138,57,0,0.773828125,Cube_Ela9_Var3
101,17,0.2,1,30,34,31,69,0,0.268359375,Cube_Ela2_Var1
102,31,0.3,8,30,52,53,79,0,0.198828125,Cube_Ela3_Var8
103,32,0.3,9,30,30,54,43,0,0.151953125,Cube_Ela3_Var9
104,41,0.5,1,30,59,76,60,0,0.21875,Cube_Ela5_Var1
105,39,0.4,7,30,39,67,51,0,0.280859375,Cube_Ela4_Var7
106,30,0.3,7,30,47,52,73,0,0.3203125,Cube_Ela3_Var7
107,74,0.9,2,30,95,137,59,0,0.39296875,Cube_Ela9_Var2
108,5,0,12,30,35,12,50,0,0.373046875,Cube_Ela0_Var12
109,26,0.3,2,30,40,47,35,0,0.475390625,Cube_Ela3_Var2
110,40,0.4,8,30,49,68,60,0,0.334765625,Cube_Ela4_Var8
111,28,0.3,4,30,59,49,60,0,0.409375,Cube_Ela3_Var4
112,21,0.2,7,30,42,37,54,0,0.25546875,Cube_Ela2_Var7
113,67,0.8,3,30,97,123,64,0,0.55390625,Cube_Ela8_Var3
114,80,0.9,8,30,81,143,51,0,0.81484375,Cube_Ela9_Var8
115,46,0.5,6,30,44,81,63,0,0.494921875,Cube_Ela5_Var6
116,78,0.9,6,30,119,141,102,0,0.745703125,Cube_Ela9_Var6
117,45,0.5,5,30,73,80,55,0,0.88125,Cube_Ela5_Var5
118,74,0.9,2,30,95,137,75,0,0.476953125,Cube_Ela9_Var2
119,37,0.4,5,30,54,65,90,0,0.757421875,Cube_Ela4_Var5
120,15,0.1,11,30,51,26,60,0,0.22734375,Cube_Ela1_Var11
121,14,0.1,10,30,37,25,60,0,0.089453125,Cube_Ela1_Var10
122,14,0.1,10,30,37,25,52,0,0.09609375,Cube_Ela1_Var10
123,13,0.1,9,30,32,24,41,0,0.0859375,Cube_Ela1_Var9
124,72,0.8,8,30,83,128,60,0,0.81953125,Cube_Ela8_Var8
125,23,0.2,9,30,31,39,43,0,0.1359375,Cube_Ela2_Var9
126,13,0.1,9,30,32,24,34,0,0.60546875,Cube_Ela1_Var9
127,57,0.7,1,30,77,106,153,0,0.306640625,Cube_Ela7_Var1
128,75,0.9,3,30,77,138,68,0,0.51796875,Cube_Ela9_Var3
129,71,0.8,7,30,75,127,86,0,0.458984375,Cube_Ela8_Var7
130,66,0.8,2,30,87,122,47,0,0.43125,Cube_Ela8_Var2
131,4,0,11,30,30,11,51,0,0.1328125,Cube_Ela0_Var11
132,66,0.8,2,30,87,122,96,0,0.36875,Cube_Ela8_Var2
133,70,0.8,6,30,93,126,90,0,0.271484375,Cube_Ela8_Var6
134,62,0.7,6,30,108,111,63,0,0.872265625,Cube_Ela7_Var6
135,69,0.8,5,30,68,125,80,0,0.2671875,Cube_Ela8_Var5
136,41,0.5,1,30,59,76,52,0,0.419140625,Cube_Ela5_Var1
137,29,0.3,5,30,41,50,68,0,0.4734375,Cube_Ela3_Var5
138,33,0.4,1,30,54,61,60,0,0.588671875,Cube_Ela4_Var1
139,3,0,10,30,34,10,60,0,0.267578125,Cube_Ela0_Var10
140,16,0.1,13,30,38,28,54,0,0.244140625,Cube_Ela1_Var13
141,50,0.6,2,30,79,92,106,0,0.344921875,Cube_Ela6_Var2
142,49,0.6,1,30,79,91,60,0,0.405078125,Cube_Ela6_Var1
143,11,0.1,7,30,34,22,60,0,0.2828125,Cube_Ela1_Var7
144,32,0.3,9,30,30,54,53,0,0.171875,Cube_Ela3_Var9
145,10,0.1,6,30,36,21,46,0,0.16640625,Cube_Ela1_Var6
146,19,0.2,3,30,32,33,55,0,0.126171875,Cube_Ela2_Var3
147,58,0.7,2,30,77,107,120,0,0.3109375,Cube_Ela7_Var2
148,57,0.7,1,30,77,106,33,0,0.3453125,Cube_Ela7_Var1
149,7,0,14,30,32,14,74,0,0.140234375,Cube_Ela0_Var14
150,3,0,10,30,34,10,77,0,0.173046875,Cube_Ela0_Var10
151,44,0.5,4,30,44,79,95,0,0.198046875,Cube_Ela5_Var4
152,40,0.4,8,30,49,68,77,0,0.498828125,Cube_Ela4_Var8
153,50,0.6,2,30,79,92,76,0,0.39609375,Cube_Ela6_Var2
154,30,0.3,7,30,47,52,57,0,0.1421875,Cube_Ela3_Var7
