trialID,trialType,elasticity,variation,endFrame,origEndFrame,origTrialType,framesShown,missedTiming,rating,stimulusID
1,57,0.7,1,30,77,106,270,0,0.158203125,Cube_Ela7_Var1
2,2,0,6,30,34,6,88,0,0,Cube_Ela0_Var6
3,35,0.4,3,30,64,63,116,0,0.15390625,Cube_Ela4_Var3
4,19,0.2,3,30,32,33,106,0,0.036328125,Cube_Ela2_Var3
5,65,0.8,1,30,59,121,140,0,0.162109375,Cube_Ela8_Var1
6,51,0.6,3,30,68,93,99,0,0.45625,Cube_Ela6_Var3
7,21,0.2,7,30,42,37,90,0,0.14921875,Cube_Ela2_Var7
8,31,0.3,8,30,52,53,114,0,0.282421875,Cube_Ela3_Var8
9,4,0,11,30,30,11,78,0,0,Cube_Ela0_Var11
10,75,0.9,3,30,77,138,97,0,0.577734375,Cube_Ela9_Var3
11,13,0.1,9,30,32,24,81,0,0,Cube_Ela1_Var9
12,65,0.8,1,30,59,121,126,0,0.24921875,Cube_Ela8_Var1
13,40,0.4,8,30,49,68,99,0,0.192578125,Cube_Ela4_Var8
14,32,0.3,9,30,30,54,95,0,0.2359375,Cube_Ela3_Var9
15,80,0.9,8,30,81,143,173,0,0.11796875,Cube_Ela9_Var8
16,76,0.9,4,30,120,139,200,0,0.8484375,Cube_Ela9_Var4
17,59,0.7,3,30,80,108,168,0,0.21953125,Cube_Ela7_Var3
18,27,0.3,3,30,54,48,101,0,0.105078125,Cube_Ela3_Var3
19,25,0.3,1,30,55,46,113,0,0.13125,Cube_Ela3_Var1
20,78,0.9,6,30,119,141,127,0,0.7203125,Cube_Ela9_Var6
21,30,0.3,7,30,47,52,203,0,0.308203125,Cube_Ela3_Var7
22,9,0.1,4,30,32,19,160,0,0.133984375,Cube_Ela1_Var4
23,49,0.6,1,30,79,91,64,0,0.548046875,Cube_Ela6_Var1
24,7,0,14,30,32,14,60,0,0,Cube_Ela0_Var14
25,18,0.2,2,30,35,32,115,0,0.22890625,Cube_Ela2_Var2
26,50,0.6,2,30,79,92,180,0,0.660546875,Cube_Ela6_Var2
27,33,0.4,1,30,54,61,233,0,0.50859375,Cube_Ela4_Var1
28,22,0.2,8,30,42,38,82,0,0.193359375,Cube_Ela2_Var8
29,15,0.1,11,30,51,26,120,0,0.04296875,Cube_Ela1_Var11
30,54,0.6,6,30,61,96,137,0,0.20390625,Cube_Ela6_Var6
31,8,0,15,30,34,15,202,0,0.01875,Cube_Ela0_Var15
32,11,0.1,7,30,34,22,154,0,0.192578125,Cube_Ela1_Var7
33,21,0.2,7,30,42,37,123,0,0.2515625,Cube_Ela2_Var7
34,50,0.6,2,30,79,92,270,0,0.540625,Cube_Ela6_Var2
35,80,0.9,8,30,81,143,121,0,0.417578125,Cube_Ela9_Var8
36,70,0.8,6,30,93,126,206,0,0.479296875,Cube_Ela8_Var6
37,68,0.8,4,30,85,124,204,0,0.392578125,Cube_Ela8_Var4
38,61,0.7,5,30,80,110,64,0,0.302734375,Cube_Ela7_Var5
39,75,0.9,3,30,77,138,90,0,0.570703125,Cube_Ela9_Var3
40,5,0,12,30,35,12,98,0,0.17890625,Cube_Ela0_Var12
41,25,0.3,1,30,55,46,248,0,0.09765625,Cube_Ela3_Var1
42,4,0,11,30,30,11,119,0,0.0671875,Cube_Ela0_Var11
43,69,0.8,5,30,68,125,181,0,0.183984375,Cube_Ela8_Var5
44,57,0.7,1,30,77,106,94,0,0.525390625,Cube_Ela7_Var1
45,27,0.3,3,30,54,48,217,0,0.501953125,Cube_Ela3_Var3
46,51,0.6,3,30,68,93,152,0,0.686328125,Cube_Ela6_Var3
47,25,0.3,1,30,55,46,191,0,0.19921875,Cube_Ela3_Var1
48,14,0.1,10,30,37,25,60,0,0,Cube_Ela1_Var10
49,44,0.5,4,30,44,79,120,0,0.1125,Cube_Ela5_Var4
50,28,0.3,4,30,59,49,118,0,0.244140625,Cube_Ela3_Var4
51,12,0.1,8,30,34,23,68,0,0.07578125,Cube_Ela1_Var8
52,59,0.7,3,30,80,108,100,0,0.1734375,Cube_Ela7_Var3
53,12,0.1,8,30,34,23,111,0,0.084765625,Cube_Ela1_Var8
54,13,0.1,9,30,32,24,50,0,0.016796875,Cube_Ela1_Var9
55,40,0.4,8,30,49,68,135,0,0.1484375,Cube_Ela4_Var8
56,43,0.5,3,30,63,78,180,0,0.175390625,Cube_Ela5_Var3
57,7,0,14,30,32,14,60,0,0.0140625,Cube_Ela0_Var14
58,72,0.8,8,30,83,128,149,0,0.197265625,Cube_Ela8_Var8
59,34,0.4,2,30,54,62,93,0,0.053125,Cube_Ela4_Var2
60,79,0.9,7,30,103,142,82,0,0.625,Cube_Ela9_Var7
61,28,0.3,4,30,59,49,99,0,0.350390625,Cube_Ela3_Var4
62,68,0.8,4,30,85,124,127,0,0.342578125,Cube_Ela8_Var4
63,42,0.5,2,30,61,77,86,0,0.51171875,Cube_Ela5_Var2
64,14,0.1,10,30,37,25,136,0,0.026953125,Cube_Ela1_Var10
65,30,0.3,7,30,47,52,150,0,0.3546875,Cube_Ela3_Var7
66,23,0.2,9,30,31,39,155,0,0.04296875,Cube_Ela2_Var9
67,32,0.3,9,30,30,54,81,0,0.13203125,Cube_Ela3_Var9
68,50,0.6,2,30,79,92,180,0,0.95078125,Cube_Ela6_Var2
69,36,0.4,4,30,47,64,90,0,0.4703125,Cube_Ela4_Var4
70,19,0.2,3,30,32,33,90,0,0.07578125,Cube_Ela2_Var3
71,66,0.8,2,30,87,122,139,0,0.59765625,Cube_Ela8_Var2
72,54,0.6,6,30,61,96,69,0,0.375390625,Cube_Ela6_Var6
73,10,0.1,6,30,36,21,71,0,0.11953125,Cube_Ela1_Var6
74,24,0.2,10,30,39,40,150,0,0.046875,Cube_Ela2_Var10
75,43,0.5,3,30,63,78,71,0,0.2625,Cube_Ela5_Var3
76,32,0.3,9,30,30,54,93,0,0.1359375,Cube_Ela3_Var9
77,67,0.8,3,30,97,123,150,0,0.67734375,Cube_Ela8_Var3
78,20,0.2,4,30,38,34,69,0,0.3796875,Cube_Ela2_Var4
79,41,0.5,1,30,59,76,85,0,0.134375,Cube_Ela5_Var1
80,17,0.2,1,30,34,31,160,0,0.3828125,Cube_Ela2_Var1
81,62,0.7,6,30,108,111,91,0,0.539453125,Cube_Ela7_Var6
82,77,0.9,5,30,120,140,90,0,0.57890625,Cube_Ela9_Var5
83,76,0.9,4,30,120,139,130,0,0.8921875,Cube_Ela9_Var4
84,18,0.2,2,30,35,32,82,0,0.271484375,Cube_Ela2_Var2
85,15,0.1,11,30,51,26,141,0,0.138671875,Cube_Ela1_Var11
86,1,0,3,30,31,3,66,0,0.057421875,Cube_Ela0_Var3
87,62,0.7,6,30,108,111,99,0,0.45625,Cube_Ela7_Var6
88,9,0.1,4,30,32,19,60,0,0.05859375,Cube_Ela1_Var4
89,17,0.2,1,30,34,31,90,0,0.177734375,Cube_Ela2_Var1
90,20,0.2,4,30,38,34,175,0,0.290234375,Cube_Ela2_Var4
91,8,0,15,30,34,15,210,0,0.037890625,Cube_Ela0_Var15
92,48,0.5,8,30,47,83,142,0,0.27109375,Cube_Ela5_Var8
93,66,0.8,2,30,87,122,70,0,0.442578125,Cube_Ela8_Var2
94,7,0,14,30,32,14,82,0,0.028515625,Cube_Ela0_Var14
95,18,0.2,2,30,35,32,94,0,0.093359375,Cube_Ela2_Var2
96,72,0.8,8,30,83,128,291,0,0.26171875,Cube_Ela8_Var8
97,6,0,13,30,30,13,100,0,0.05703125,Cube_Ela0_Var13
98,31,0.3,8,30,52,53,60,0,0.1265625,Cube_Ela3_Var8
99,45,0.5,5,30,73,80,96,0,0.2171875,Cube_Ela5_Var5
100,37,0.4,5,30,54,65,60,0,0.458203125,Cube_Ela4_Var5
101,46,0.5,6,30,44,81,99,0,0.072265625,Cube_Ela5_Var6
102,29,0.3,5,30,41,50,60,0,0.241796875,Cube_Ela3_Var5
103,45,0.5,5,30,73,80,130,0,0.121484375,Cube_Ela5_Var5
104,3,0,10,30,34,10,90,0,0.027734375,Cube_Ela0_Var10
105,71,0.8,7,30,75,127,240,0,0.3859375,Cube_Ela8_Var7
106,64,0.7,8,30,69,113,60,0,0.153515625,Cube_Ela7_Var8
107,41,0.5,1,30,59,76,81,0,0.24375,Cube_Ela5_Var1
108,9,0.1,4,30,32,19,82,0,0.037109375,Cube_Ela1_Var4
109,48,0.5,8,30,47,83,90,0,0.336328125,Cube_Ela5_Var8
110,79,0.9,7,30,103,142,90,0,0.571484375,Cube_Ela9_Var7
111,38,0.4,6,30,45,66,406,0,0.070703125,Cube_Ela4_Var6
112,6,0,13,30,30,13,57,0,0.027734375,Cube_Ela0_Var13
113,42,0.5,2,30,61,77,79,0,0.808984375,Cube_Ela5_Var2
114,5,0,12,30,35,12,183,0,0.2015625,Cube_Ela0_Var12
115,11,0.1,7,30,34,22,54,0,0.084765625,Cube_Ela1_Var7
116,42,0.5,2,30,61,77,60,0,0.76484375,Cube_Ela5_Var2
117,55,0.6,7,30,78,97,179,0,0.772265625,Cube_Ela6_Var7
118,74,0.9,2,30,95,137,110,0,0.41484375,Cube_Ela9_Var2
119,80,0.9,8,30,81,143,113,0,0.662109375,Cube_Ela9_Var8
120,2,0,6,30,34,6,81,0,0.044921875,Cube_Ela0_Var6
121,53,0.6,5,30,79,95,84,0,0.263671875,Cube_Ela6_Var5
122,56,0.6,8,30,66,98,149,0,0.262109375,Cube_Ela6_Var8
123,34,0.4,2,30,54,62,53,0,0.07265625,Cube_Ela4_Var2
124,79,0.9,7,30,103,142,126,0,0.422265625,Cube_Ela9_Var7
125,31,0.3,8,30,52,53,120,0,0.347265625,Cube_Ela3_Var8
126,38,0.4,6,30,45,66,70,0,0.180078125,Cube_Ela4_Var6
127,3,0,10,30,34,10,74,0,0.05234375,Cube_Ela0_Var10
128,37,0.4,5,30,54,65,120,0,0.477734375,Cube_Ela4_Var5
129,13,0.1,9,30,32,24,69,0,0,Cube_Ela1_Var9
130,53,0.6,5,30,79,95,87,0,0.531640625,Cube_Ela6_Var5
131,17,0.2,1,30,34,31,77,0,0.092578125,Cube_Ela2_Var1
132,57,0.7,1,30,77,106,85,0,0.5125,Cube_Ela7_Var1
133,66,0.8,2,30,87,122,68,0,0.77421875,Cube_Ela8_Var2
134,38,0.4,6,30,45,66,73,0,0.25546875,Cube_Ela4_Var6
