trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,217,5,97115,44,75,0,0.262890625,Cube_Ela5_Var97115
2,8,5,10207,79,141,0,0.2875,Cube_Ela5_Var10207
3,106,5,46497,74,197,0,0.4046875,Cube_Ela5_Var46497
4,130,5,56121,69,139,0,0.303515625,Cube_Ela5_Var56121
5,132,5,56610,60,124,0,0.362890625,Cube_Ela5_Var56610
6,138,5,58186,36,87,0,0.04296875,Cube_Ela5_Var58186
7,10,5,10573,38,155,0,0.20234375,Cube_Ela5_Var10573
8,142,5,59599,76,93,0,0.664453125,Cube_Ela5_Var59599
9,4,5,2014,56,264,0,0.44609375,Cube_Ela5_Var2014
10,108,5,48452,49,120,0,0.433984375,Cube_Ela5_Var48452
11,165,5,65067,57,208,0,0.433203125,Cube_Ela5_Var65067
12,209,5,93025,80,324,0,0.308203125,Cube_Ela5_Var93025
13,24,5,15789,54,103,0,0.276953125,Cube_Ela5_Var15789
14,1,5,95,50,163,0,0.238671875,Cube_Ela5_Var95
15,35,5,22298,60,85,0,0.43125,Cube_Ela5_Var22298
16,65,5,31523,56,91,0,0.436328125,Cube_Ela5_Var31523
17,43,5,25642,75,130,0,0.48125,Cube_Ela5_Var25642
18,105,5,46404,39,76,0,0.028125,Cube_Ela5_Var46404
19,109,5,48705,76,137,0,0.466015625,Cube_Ela5_Var48705
20,153,5,61952,48,112,0,0.31875,Cube_Ela5_Var61952
21,172,5,66670,66,81,0,0.330859375,Cube_Ela5_Var66670
22,187,5,70824,46,82,0,0.484765625,Cube_Ela5_Var70824
23,97,5,41980,48,143,0,0.634765625,Cube_Ela5_Var41980
24,118,5,52600,62,63,0,0.34140625,Cube_Ela5_Var52600
25,46,5,27362,42,101,0,0.17734375,Cube_Ela5_Var27362
26,160,5,63484,76,82,0,0.68828125,Cube_Ela5_Var63484
27,9,5,10422,72,104,0,0.525,Cube_Ela5_Var10422
28,139,5,58628,33,42,0,0.205078125,Cube_Ela5_Var58628
29,220,5,98238,47,54,0,0.17109375,Cube_Ela5_Var98238
30,103,5,44770,60,154,0,0.16796875,Cube_Ela5_Var44770
31,154,5,62432,34,49,0,0.131640625,Cube_Ela5_Var62432
32,20,5,13902,42,127,0,0.180859375,Cube_Ela5_Var13902
33,45,5,26661,30,49,0,0.077734375,Cube_Ela5_Var26661
34,86,5,39108,46,71,0,0.1359375,Cube_Ela5_Var39108
35,152,5,61044,40,41,0,0.133203125,Cube_Ela5_Var61044
36,1,5,95,50,70,0,0.410546875,Cube_Ela5_Var95
37,203,5,83992,73,74,0,0.50234375,Cube_Ela5_Var83992
38,76,5,36126,34,139,0,0.357421875,Cube_Ela5_Var36126
39,70,5,34384,54,136,0,0.447265625,Cube_Ela5_Var34384
40,125,5,54033,75,76,0,0.633984375,Cube_Ela5_Var54033
41,166,5,65076,50,349,0,0.36640625,Cube_Ela5_Var65076
42,157,5,62983,63,64,0,0.641015625,Cube_Ela5_Var62983
43,145,5,60262,36,75,0,0.515625,Cube_Ela5_Var60262
44,89,5,39728,32,41,0,0.36875,Cube_Ela5_Var39728
45,9,5,10422,72,106,0,0.73984375,Cube_Ela5_Var10422
46,183,5,68712,70,71,0,0.6203125,Cube_Ela5_Var68712
47,144,5,59814,67,100,0,0.58046875,Cube_Ela5_Var59814
48,73,5,35598,42,96,0,0.441796875,Cube_Ela5_Var35598
