trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,184,5,69310,69,212,0,0.555078125,Cube_Ela5_Var69310
2,199,5,79293,58,143,0,0.74609375,Cube_Ela5_Var79293
3,191,5,72766,81,206,0,0.8671875,Cube_Ela5_Var72766
4,222,5,98445,51,117,0,0.68828125,Cube_Ela5_Var98445
5,164,5,65032,30,154,0,0.57265625,Cube_Ela5_Var65032
6,72,5,34859,63,150,0,0.735546875,Cube_Ela5_Var34859
7,198,5,78625,53,147,0,0.690234375,Cube_Ela5_Var78625
8,192,5,72817,41,227,0,0.64453125,Cube_Ela5_Var72817
9,56,5,30299,108,380,0,0.659375,Cube_Ela5_Var30299
10,95,5,41255,74,252,0,0.454296875,Cube_Ela5_Var41255
11,128,5,55634,27,110,0,0.04609375,Cube_Ela5_Var55634
12,151,5,60964,59,207,0,0.409375,Cube_Ela5_Var60964
13,74,5,35727,81,233,0,0.8265625,Cube_Ela5_Var35727
14,197,5,78238,63,139,0,0.723046875,Cube_Ela5_Var78238
15,53,5,28848,32,190,0,0.271875,Cube_Ela5_Var28848
16,110,5,49060,67,272,0,0.65234375,Cube_Ela5_Var49060
17,8,5,10207,79,252,0,0.61796875,Cube_Ela5_Var10207
18,183,5,68712,70,183,0,0.575390625,Cube_Ela5_Var68712
19,104,5,45337,36,160,0,0.680859375,Cube_Ela5_Var45337
20,153,5,61952,48,245,0,0.02109375,Cube_Ela5_Var61952
21,66,5,31722,77,245,0,0.79765625,Cube_Ela5_Var31722
22,46,5,27362,42,232,0,0.694140625,Cube_Ela5_Var27362
23,210,5,93053,44,124,0,0.435546875,Cube_Ela5_Var93053
24,214,5,95627,61,121,0,0.446484375,Cube_Ela5_Var95627
25,189,5,72299,52,106,0,0.3171875,Cube_Ela5_Var72299
26,57,5,30592,58,110,0,0.374609375,Cube_Ela5_Var30592
27,95,5,41255,74,161,0,0.948828125,Cube_Ela5_Var41255
28,205,5,87102,35,120,0,0.091015625,Cube_Ela5_Var87102
29,61,5,30904,37,94,0,0.06953125,Cube_Ela5_Var30904
30,140,5,59388,27,217,0,0,Cube_Ela5_Var59388
31,90,5,39860,35,72,0,0,Cube_Ela5_Var39860
32,216,5,96634,73,233,0,0.5546875,Cube_Ela5_Var96634
33,135,5,57376,57,101,0,0.593359375,Cube_Ela5_Var57376
34,197,5,78238,63,223,0,0.5453125,Cube_Ela5_Var78238
35,56,5,30299,108,280,0,0.374609375,Cube_Ela5_Var30299
36,171,5,66434,73,332,0,0.855859375,Cube_Ela5_Var66434
37,154,5,62432,34,221,0,0.252734375,Cube_Ela5_Var62432
38,79,5,36530,53,94,0,0.201953125,Cube_Ela5_Var36530
39,29,5,18297,34,60,0,0,Cube_Ela5_Var18297
40,123,5,53252,24,125,0,0.085546875,Cube_Ela5_Var53252
41,159,5,63122,74,248,0,0.738671875,Cube_Ela5_Var63122
42,11,5,10988,51,235,0,0.624609375,Cube_Ela5_Var10988
43,158,5,63004,48,108,0,0.643359375,Cube_Ela5_Var63004
44,165,5,65067,57,160,0,0.62734375,Cube_Ela5_Var65067
45,153,5,61952,48,97,0,0.618359375,Cube_Ela5_Var61952
46,192,5,72817,41,128,0,0.68828125,Cube_Ela5_Var72817
47,213,5,94941,68,152,0,0.645703125,Cube_Ela5_Var94941
48,154,5,62432,34,75,0,0.744140625,Cube_Ela5_Var62432
49,157,5,62983,63,133,0,0.758203125,Cube_Ela5_Var62983
50,87,5,39404,62,161,0,0.737890625,Cube_Ela5_Var39404
51,55,5,29792,52,102,0,0.72265625,Cube_Ela5_Var29792
52,213,5,94941,68,166,0,0.66796875,Cube_Ela5_Var94941
53,225,5,99232,69,114,0,0.6796875,Cube_Ela5_Var99232
54,176,5,67123,52,159,0,0.76328125,Cube_Ela5_Var67123
55,217,5,97115,44,81,0,0.98828125,Cube_Ela5_Var97115
56,102,5,44481,60,122,0,0.683984375,Cube_Ela5_Var44481
57,200,5,79724,44,138,0,0.713671875,Cube_Ela5_Var79724
58,18,5,13174,53,120,0,0.79375,Cube_Ela5_Var13174
59,187,5,70824,46,68,0,0.73984375,Cube_Ela5_Var70824
60,63,5,30989,70,155,0,0.606640625,Cube_Ela5_Var30989
61,127,5,54439,75,128,0,0.6390625,Cube_Ela5_Var54439
62,2,5,533,73,95,0,0.6140625,Cube_Ela5_Var533
63,50,5,28314,45,66,0,0.653125,Cube_Ela5_Var28314
64,124,5,53799,31,192,0,0.632421875,Cube_Ela5_Var53799
65,35,5,22298,60,114,0,0.7203125,Cube_Ela5_Var22298
66,190,5,72406,33,204,0,0.62578125,Cube_Ela5_Var72406
67,219,5,97901,60,112,0,0.6375,Cube_Ela5_Var97901
68,149,5,60415,44,199,0,0.634765625,Cube_Ela5_Var60415
69,208,5,90668,30,205,0,0.071875,Cube_Ela5_Var90668
70,90,5,39860,35,72,0,0.10625,Cube_Ela5_Var39860
71,160,5,63484,76,189,0,0.30546875,Cube_Ela5_Var63484
72,214,5,95627,61,149,0,0.34375,Cube_Ela5_Var95627
73,62,5,30951,65,101,0,0.378125,Cube_Ela5_Var30951
74,148,5,60391,51,112,0,0.4484375,Cube_Ela5_Var60391
75,37,5,22837,27,149,0,0.328125,Cube_Ela5_Var22837
76,219,5,97901,60,91,0,0.9484375,Cube_Ela5_Var97901
77,204,5,85942,46,171,0,0.865234375,Cube_Ela5_Var85942
78,113,5,50416,61,98,0,0.80703125,Cube_Ela5_Var50416
79,162,5,63683,38,289,0,0.51328125,Cube_Ela5_Var63683
80,121,5,53012,43,207,0,0.511328125,Cube_Ela5_Var53012
81,104,5,45337,36,132,0,0.644140625,Cube_Ela5_Var45337
82,44,5,26240,32,174,0,0.279296875,Cube_Ela5_Var26240
83,160,5,63484,76,181,0,0.750390625,Cube_Ela5_Var63484
84,21,5,14552,49,126,0,0.670703125,Cube_Ela5_Var14552
85,19,5,13562,57,72,0,0.71171875,Cube_Ela5_Var13562
86,79,5,36530,53,94,0,0.64921875,Cube_Ela5_Var36530
87,202,5,83408,63,160,0,0.656640625,Cube_Ela5_Var83408
88,24,5,15789,54,179,0,0.702734375,Cube_Ela5_Var15789
89,172,5,66670,66,99,0,0.71875,Cube_Ela5_Var66670
90,60,5,30868,39,160,0,0.74453125,Cube_Ela5_Var30868
91,88,5,39425,50,153,0,0.816015625,Cube_Ela5_Var39425
92,50,5,28314,45,117,0,0.74609375,Cube_Ela5_Var28314
93,192,5,72817,41,108,0,0.8296875,Cube_Ela5_Var72817
94,75,5,36074,39,128,0,0.36171875,Cube_Ela5_Var36074
95,205,5,87102,35,135,0,0.590625,Cube_Ela5_Var87102
96,208,5,90668,30,125,0,0.559765625,Cube_Ela5_Var90668
97,173,5,66846,81,161,0,0.6359375,Cube_Ela5_Var66846
98,86,5,39108,46,94,0,0.65546875,Cube_Ela5_Var39108
99,159,5,63122,74,149,0,0.940625,Cube_Ela5_Var63122
100,10,5,10573,38,74,0,0.88828125,Cube_Ela5_Var10573
101,92,5,40502,63,114,0,0.922265625,Cube_Ela5_Var40502
102,51,5,28640,52,53,0,0.66953125,Cube_Ela5_Var28640
103,30,5,18584,35,108,0,0.042578125,Cube_Ela5_Var18584
104,78,5,36398,83,168,0,0.84609375,Cube_Ela5_Var36398
105,40,5,23812,100,191,0,0.99296875,Cube_Ela5_Var23812
106,224,5,99116,34,210,0,0.445703125,Cube_Ela5_Var99116
107,181,5,68230,61,113,0,0.999609375,Cube_Ela5_Var68230
108,26,5,16631,44,259,0,0.7203125,Cube_Ela5_Var16631
109,190,5,72406,33,99,0,0.68828125,Cube_Ela5_Var72406
110,77,5,36329,75,152,0,0.8640625,Cube_Ela5_Var36329
111,3,5,1753,73,221,0,0.8234375,Cube_Ela5_Var1753
112,173,5,66846,81,87,0,0.796875,Cube_Ela5_Var66846
113,115,5,51632,76,77,0,0.784765625,Cube_Ela5_Var51632
114,83,5,37781,65,68,0,0.844921875,Cube_Ela5_Var37781
115,10,5,10573,38,80,0,0.84609375,Cube_Ela5_Var10573
116,131,5,56403,57,77,0,0.78984375,Cube_Ela5_Var56403
117,82,5,37518,46,171,0,0.679296875,Cube_Ela5_Var37518
118,97,5,41980,48,210,0,0.46875,Cube_Ela5_Var41980
119,146,5,60272,84,222,0,0.989453125,Cube_Ela5_Var60272
120,122,5,53239,74,99,0,0.98125,Cube_Ela5_Var53239
121,71,5,34733,72,146,0,0.996875,Cube_Ela5_Var34733
122,108,5,48452,49,267,0,0.73984375,Cube_Ela5_Var48452
123,154,5,62432,34,73,0,0.7,Cube_Ela5_Var62432
124,167,5,65325,61,162,0,0.745703125,Cube_Ela5_Var65325
125,175,5,67065,71,144,0,0.999609375,Cube_Ela5_Var67065
126,159,5,63122,74,142,0,0.97734375,Cube_Ela5_Var63122
127,60,5,30868,39,146,0,0.762109375,Cube_Ela5_Var30868
128,88,5,39425,50,185,0,0.729296875,Cube_Ela5_Var39425
129,165,5,65067,57,87,0,0.715625,Cube_Ela5_Var65067
130,210,5,93053,44,81,0,0.783203125,Cube_Ela5_Var93053
131,23,5,15733,42,68,0,0.7578125,Cube_Ela5_Var15733
132,139,5,58628,33,69,0,0.69140625,Cube_Ela5_Var58628
133,126,5,54385,43,93,0,0.660546875,Cube_Ela5_Var54385
134,99,5,43010,49,83,0,0.630078125,Cube_Ela5_Var43010
135,216,5,96634,73,148,0,0.98984375,Cube_Ela5_Var96634
136,146,5,60272,84,148,0,0.999609375,Cube_Ela5_Var60272
137,207,5,90330,50,185,0,0.86171875,Cube_Ela5_Var90330
138,136,5,57832,38,78,0,0.846484375,Cube_Ela5_Var57832
139,36,5,22614,75,76,0,0.821484375,Cube_Ela5_Var22614
140,132,5,56610,60,69,0,0.858984375,Cube_Ela5_Var56610
141,133,5,56945,72,146,0,0.823828125,Cube_Ela5_Var56945
142,31,5,18835,36,65,0,0.76875,Cube_Ela5_Var18835
143,100,5,43281,39,69,0,0.8015625,Cube_Ela5_Var43281
144,90,5,39860,35,89,0,0.44921875,Cube_Ela5_Var39860
145,47,5,27665,80,106,0,0.4140625,Cube_Ela5_Var27665
146,111,5,49550,65,68,0,0.416015625,Cube_Ela5_Var49550
147,89,5,39728,32,72,0,0.1328125,Cube_Ela5_Var39728
148,58,5,30630,85,138,0,0.778125,Cube_Ela5_Var30630
149,132,5,56610,60,86,0,0.718359375,Cube_Ela5_Var56610
