trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,197,5,78238,63,122,0,0.64375,Cube_Ela5_Var78238
2,67,5,32105,48,152,0,0.703515625,Cube_Ela5_Var32105
3,172,5,66670,66,216,0,0.48515625,Cube_Ela5_Var66670
4,97,5,41980,48,97,0,0.558203125,Cube_Ela5_Var41980
5,49,5,28250,66,74,0,0.6328125,Cube_Ela5_Var28250
6,191,5,72766,81,110,0,0.73203125,Cube_Ela5_Var72766
7,129,5,55777,80,179,0,0.658984375,Cube_Ela5_Var55777
8,189,5,72299,52,212,0,0.591015625,Cube_Ela5_Var72299
9,42,5,25567,41,149,0,0.63828125,Cube_Ela5_Var25567
10,62,5,30951,65,94,0,0.634765625,Cube_Ela5_Var30951
11,119,5,52689,33,142,0,0.5734375,Cube_Ela5_Var52689
12,138,5,58186,36,148,0,0.56171875,Cube_Ela5_Var58186
13,93,5,40512,48,234,0,0.6421875,Cube_Ela5_Var40512
14,86,5,39108,46,163,0,0.75546875,Cube_Ela5_Var39108
15,203,5,83992,73,153,0,0.821484375,Cube_Ela5_Var83992
16,182,5,68343,69,186,0,0.6390625,Cube_Ela5_Var68343
17,221,5,98250,68,83,0,0.705859375,Cube_Ela5_Var98250
18,108,5,48452,49,195,0,0.803515625,Cube_Ela5_Var48452
19,223,5,98967,50,190,0,0.458984375,Cube_Ela5_Var98967
20,219,5,97901,60,176,0,0.617578125,Cube_Ela5_Var97901
21,159,5,63122,74,102,0,0.723046875,Cube_Ela5_Var63122
22,35,5,22298,60,159,0,0.74140625,Cube_Ela5_Var22298
23,81,5,37276,78,223,0,0.684375,Cube_Ela5_Var37276
24,196,5,77725,45,73,0,0.709765625,Cube_Ela5_Var77725
25,51,5,28640,52,222,0,0.580859375,Cube_Ela5_Var28640
26,109,5,48705,76,152,0,0.7734375,Cube_Ela5_Var48705
27,62,5,30951,65,147,0,0.339453125,Cube_Ela5_Var30951
28,171,5,66434,73,103,0,0.536328125,Cube_Ela5_Var66434
29,79,5,36530,53,135,0,0.70859375,Cube_Ela5_Var36530
30,64,5,31274,56,119,0,0.887890625,Cube_Ela5_Var31274
31,20,5,13902,42,153,0,0.564453125,Cube_Ela5_Var13902
32,162,5,63683,38,165,0,0.434375,Cube_Ela5_Var63683
33,104,5,45337,36,80,0,0.774609375,Cube_Ela5_Var45337
34,149,5,60415,44,200,0,0.36328125,Cube_Ela5_Var60415
35,201,5,83015,34,175,0,0.48125,Cube_Ela5_Var83015
36,222,5,98445,51,150,0,0.6734375,Cube_Ela5_Var98445
37,103,5,44770,60,132,0,0.424609375,Cube_Ela5_Var44770
38,6,5,8740,63,192,0,0.57265625,Cube_Ela5_Var8740
39,140,5,59388,27,112,0,0.36953125,Cube_Ela5_Var59388
40,48,5,27806,32,104,0,0.341796875,Cube_Ela5_Var27806
41,194,5,74135,42,69,0,0.280078125,Cube_Ela5_Var74135
42,1,5,95,50,145,0,0.335546875,Cube_Ela5_Var95
43,76,5,36126,34,174,0,0.343359375,Cube_Ela5_Var36126
44,13,5,12521,61,92,0,0.337890625,Cube_Ela5_Var12521
45,78,5,36398,83,156,0,0.33203125,Cube_Ela5_Var36398
