trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,90,5,39860,35,181,0,0.08984375,Cube_Ela5_Var39860
2,78,5,36398,83,319,0,0.747265625,Cube_Ela5_Var36398
3,146,5,60272,84,157,0,0.84375,Cube_Ela5_Var60272
4,75,5,36074,39,338,0,0.34609375,Cube_Ela5_Var36074
5,80,5,36782,68,379,0,0.563671875,Cube_Ela5_Var36782
6,166,5,65076,50,221,0,0.58984375,Cube_Ela5_Var65076
7,80,5,36782,68,276,0,0.633203125,Cube_Ela5_Var36782
8,79,5,36530,53,283,0,0.659375,Cube_Ela5_Var36530
9,19,5,13562,57,716,0,0.284375,Cube_Ela5_Var13562
10,87,5,39404,62,162,0,0.526953125,Cube_Ela5_Var39404
11,76,5,36126,34,245,0,0.2078125,Cube_Ela5_Var36126
12,204,5,85942,46,305,0,0.226171875,Cube_Ela5_Var85942
13,182,5,68343,69,455,0,0.41796875,Cube_Ela5_Var68343
14,18,5,13174,53,229,0,0.73046875,Cube_Ela5_Var13174
15,17,5,13086,78,611,0,0.798046875,Cube_Ela5_Var13086
16,212,5,94137,61,383,0,0.319140625,Cube_Ela5_Var94137
17,172,5,66670,66,155,0,0.9015625,Cube_Ela5_Var66670
18,83,5,37781,65,152,0,0.835546875,Cube_Ela5_Var37781
19,188,5,72163,75,194,0,0.71796875,Cube_Ela5_Var72163
20,83,5,37781,65,190,0,0.8203125,Cube_Ela5_Var37781
21,214,5,95627,61,153,0,0.88359375,Cube_Ela5_Var95627
22,45,5,26661,30,232,0,0.213671875,Cube_Ela5_Var26661
23,142,5,59599,76,154,0,0.727734375,Cube_Ela5_Var59599
24,79,5,36530,53,257,0,0.8125,Cube_Ela5_Var36530
25,47,5,27665,80,152,0,0.91015625,Cube_Ela5_Var27665
26,107,5,47007,44,312,0,0.170703125,Cube_Ela5_Var47007
27,31,5,18835,36,111,0,0.077734375,Cube_Ela5_Var18835
28,25,5,16495,77,309,0,0.88359375,Cube_Ela5_Var16495
29,98,5,42576,69,155,0,0.816015625,Cube_Ela5_Var42576
30,27,5,17002,68,172,0,0.576953125,Cube_Ela5_Var17002
31,221,5,98250,68,631,0,0.63828125,Cube_Ela5_Var98250
32,16,5,12940,32,247,0,0.13203125,Cube_Ela5_Var12940
33,168,5,65506,74,78,0,0.735546875,Cube_Ela5_Var65506
34,197,5,78238,63,110,0,0.616015625,Cube_Ela5_Var78238
35,183,5,68712,70,131,0,0.59140625,Cube_Ela5_Var68712
36,121,5,53012,43,122,0,0.401171875,Cube_Ela5_Var53012
37,45,5,26661,30,94,0,0.2484375,Cube_Ela5_Var26661
38,205,5,87102,35,106,0,0.16015625,Cube_Ela5_Var87102
39,50,5,28314,45,103,0,0.355078125,Cube_Ela5_Var28314
40,67,5,32105,48,98,0,0.4359375,Cube_Ela5_Var32105
41,143,5,59616,64,1935,0,0.76484375,Cube_Ela5_Var59616
42,155,5,62615,59,198,0,0.7875,Cube_Ela5_Var62615
43,105,5,46404,39,122,0,0.049609375,Cube_Ela5_Var46404
44,65,5,31523,56,142,0,0.56796875,Cube_Ela5_Var31523
45,3,5,1753,73,193,0,0.5203125,Cube_Ela5_Var1753
46,136,5,57832,38,117,0,0.177734375,Cube_Ela5_Var57832
47,99,5,43010,49,234,0,0.28671875,Cube_Ela5_Var43010
48,220,5,98238,47,165,0,0.28984375,Cube_Ela5_Var98238
49,125,5,54033,75,207,0,0.541015625,Cube_Ela5_Var54033
50,174,5,66921,50,158,0,0.502734375,Cube_Ela5_Var66921
51,85,5,38136,73,148,0,0.821484375,Cube_Ela5_Var38136
52,36,5,22614,75,397,0,0.538671875,Cube_Ela5_Var22614
53,37,5,22837,27,140,0,0.060546875,Cube_Ela5_Var22837
54,154,5,62432,34,179,0,0.122265625,Cube_Ela5_Var62432
55,9,5,10422,72,500,0,0.608984375,Cube_Ela5_Var10422
56,201,5,83015,34,118,0,0.0609375,Cube_Ela5_Var83015
57,33,5,20514,77,156,0,0.225,Cube_Ela5_Var20514
58,188,5,72163,75,305,0,0.29296875,Cube_Ela5_Var72163
59,146,5,60272,84,134,0,0.884375,Cube_Ela5_Var60272
60,120,5,52995,36,111,0,0.052734375,Cube_Ela5_Var52995
61,34,5,21576,50,136,0,0.479296875,Cube_Ela5_Var21576
62,208,5,90668,30,158,0,0.040625,Cube_Ela5_Var90668
63,96,5,41906,54,275,0,0.528125,Cube_Ela5_Var41906
64,40,5,23812,100,115,0,0.647265625,Cube_Ela5_Var23812
65,97,5,41980,48,128,0,0.144921875,Cube_Ela5_Var41980
66,57,5,30592,58,200,0,0.21875,Cube_Ela5_Var30592
67,6,5,8740,63,176,0,0.17734375,Cube_Ela5_Var8740
68,132,5,56610,60,365,0,0.393359375,Cube_Ela5_Var56610
69,99,5,43010,49,231,0,0.23671875,Cube_Ela5_Var43010
70,95,5,41255,74,225,0,0.1703125,Cube_Ela5_Var41255
71,171,5,66434,73,184,0,0.26171875,Cube_Ela5_Var66434
72,139,5,58628,33,194,0,0.087890625,Cube_Ela5_Var58628
73,101,5,43352,88,346,0,0.581640625,Cube_Ela5_Var43352
74,40,5,23812,100,199,0,0.715234375,Cube_Ela5_Var23812
75,74,5,35727,81,506,0,0.13515625,Cube_Ela5_Var35727
76,108,5,48452,49,89,0,0.1921875,Cube_Ela5_Var48452
77,150,5,60710,46,128,0,0.3703125,Cube_Ela5_Var60710
78,63,5,30989,70,80,0,0.235546875,Cube_Ela5_Var30989
79,31,5,18835,36,125,0,0.022265625,Cube_Ela5_Var18835
80,89,5,39728,32,100,0,0.052734375,Cube_Ela5_Var39728
81,18,5,13174,53,107,0,0.178125,Cube_Ela5_Var13174
82,94,5,41136,62,126,0,0.70859375,Cube_Ela5_Var41136
83,191,5,72766,81,333,0,0.549609375,Cube_Ela5_Var72766
84,136,5,57832,38,122,0,0.078515625,Cube_Ela5_Var57832
85,183,5,68712,70,171,0,0.33828125,Cube_Ela5_Var68712
86,84,5,37820,79,173,0,0.7296875,Cube_Ela5_Var37820
87,4,5,2014,56,99,0,0.296875,Cube_Ela5_Var2014
88,211,5,93545,57,215,0,0.351171875,Cube_Ela5_Var93545
89,50,5,28314,45,97,0,0.38984375,Cube_Ela5_Var28314
90,160,5,63484,76,206,0,0.654296875,Cube_Ela5_Var63484
91,215,5,96448,54,330,0,0.515234375,Cube_Ela5_Var96448
92,164,5,65032,30,78,0,0.087890625,Cube_Ela5_Var65032
93,170,5,66008,42,110,0,0.298046875,Cube_Ela5_Var66008
94,92,5,40502,63,324,0,0.586328125,Cube_Ela5_Var40502
95,31,5,18835,36,336,0,0.084375,Cube_Ela5_Var18835
96,57,5,30592,58,307,0,0.175390625,Cube_Ela5_Var30592
97,19,5,13562,57,116,0,0.234765625,Cube_Ela5_Var13562
98,41,5,24292,51,227,0,0.514453125,Cube_Ela5_Var24292
99,30,5,18584,35,105,0,0,Cube_Ela5_Var18584
100,116,5,52499,30,62,0,0.103125,Cube_Ela5_Var52499
101,151,5,60964,59,161,0,0.396875,Cube_Ela5_Var60964
102,179,5,67592,81,182,0,0.9015625,Cube_Ela5_Var67592
103,43,5,25642,75,131,0,0.671484375,Cube_Ela5_Var25642
104,148,5,60391,51,127,0,0.2234375,Cube_Ela5_Var60391
105,87,5,39404,62,186,0,0.12109375,Cube_Ela5_Var39404
106,172,5,66670,66,166,0,0.57734375,Cube_Ela5_Var66670
107,1,5,95,50,253,0,0.187890625,Cube_Ela5_Var95
108,184,5,69310,69,140,0,0.3546875,Cube_Ela5_Var69310
109,132,5,56610,60,150,0,0.57578125,Cube_Ela5_Var56610
110,44,5,26240,32,153,0,0.035546875,Cube_Ela5_Var26240
111,20,5,13902,42,101,0,0.043359375,Cube_Ela5_Var13902
112,9,5,10422,72,182,0,0.655859375,Cube_Ela5_Var10422
113,51,5,28640,52,165,0,0.226171875,Cube_Ela5_Var28640
114,62,5,30951,65,270,0,0.13671875,Cube_Ela5_Var30951
115,35,5,22298,60,113,0,0.06328125,Cube_Ela5_Var22298
116,55,5,29792,52,117,0,0.066796875,Cube_Ela5_Var29792
117,74,5,35727,81,185,0,0.215234375,Cube_Ela5_Var35727
118,219,5,97901,60,122,0,0.316796875,Cube_Ela5_Var97901
119,184,5,69310,69,278,0,0.2640625,Cube_Ela5_Var69310
120,109,5,48705,76,145,0,0.384765625,Cube_Ela5_Var48705
121,199,5,79293,58,148,0,0.18359375,Cube_Ela5_Var79293
122,71,5,34733,72,219,0,0.348828125,Cube_Ela5_Var34733
123,201,5,83015,34,104,0,0.034765625,Cube_Ela5_Var83015
124,38,5,23059,47,104,0,0.129296875,Cube_Ela5_Var23059
125,180,5,67655,77,390,0,0.19375,Cube_Ela5_Var67655
126,208,5,90668,30,86,0,0.01484375,Cube_Ela5_Var90668
127,103,5,44770,60,334,0,0.188671875,Cube_Ela5_Var44770
128,19,5,13562,57,114,0,0.04609375,Cube_Ela5_Var13562
129,8,5,10207,79,144,0,0.34140625,Cube_Ela5_Var10207
130,10,5,10573,38,118,0,0.04765625,Cube_Ela5_Var10573
131,129,5,55777,80,253,0,0.513671875,Cube_Ela5_Var55777
132,204,5,85942,46,188,0,0.13203125,Cube_Ela5_Var85942
133,106,5,46497,74,249,0,0.315234375,Cube_Ela5_Var46497
134,27,5,17002,68,118,0,0.12265625,Cube_Ela5_Var17002
135,195,5,77379,50,102,0,0.21796875,Cube_Ela5_Var77379
136,216,5,96634,73,139,0,0.40078125,Cube_Ela5_Var96634
137,84,5,37820,79,92,0,0.481640625,Cube_Ela5_Var37820
138,145,5,60262,36,108,0,0.038671875,Cube_Ela5_Var60262
139,74,5,35727,81,164,0,0.1671875,Cube_Ela5_Var35727
140,93,5,40512,48,115,0,0.18125,Cube_Ela5_Var40512
141,52,5,28740,71,144,0,0.51171875,Cube_Ela5_Var28740
142,101,5,43352,88,90,0,0.380078125,Cube_Ela5_Var43352
143,9,5,10422,72,92,0,0.619140625,Cube_Ela5_Var10422
144,3,5,1753,73,154,0,0.414453125,Cube_Ela5_Var1753
145,22,5,15298,79,169,0,0.6015625,Cube_Ela5_Var15298
146,78,5,36398,83,226,0,0.683203125,Cube_Ela5_Var36398
147,20,5,13902,42,79,0,0.133203125,Cube_Ela5_Var13902
148,131,5,56403,57,85,0,0.190234375,Cube_Ela5_Var56403
149,210,5,93053,44,156,0,0.246875,Cube_Ela5_Var93053
150,175,5,67065,71,144,0,0.552734375,Cube_Ela5_Var67065
151,24,5,15789,54,105,0,0.134765625,Cube_Ela5_Var15789
152,221,5,98250,68,138,0,0.241015625,Cube_Ela5_Var98250
153,223,5,98967,50,102,0,0.019921875,Cube_Ela5_Var98967
154,195,5,77379,50,113,0,0.103125,Cube_Ela5_Var77379
155,45,5,26661,30,64,0,0.0609375,Cube_Ela5_Var26661
156,97,5,41980,48,105,0,0.125,Cube_Ela5_Var41980
157,18,5,13174,53,117,0,0.18125,Cube_Ela5_Var13174
158,200,5,79724,44,177,0,0.146484375,Cube_Ela5_Var79724
