trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,30,5,18584,35,459,0,0.208984375,Cube_Ela5_Var18584
2,111,5,49550,65,182,0,0.591015625,Cube_Ela5_Var49550
3,167,5,65325,61,124,0,0.518359375,Cube_Ela5_Var65325
4,162,5,63683,38,108,0,0.675,Cube_Ela5_Var63683
5,34,5,21576,50,255,0,0.544140625,Cube_Ela5_Var21576
6,151,5,60964,59,233,0,0.36796875,Cube_Ela5_Var60964
7,184,5,69310,69,146,0,0.575,Cube_Ela5_Var69310
8,138,5,58186,36,254,0,0.715625,Cube_Ela5_Var58186
9,43,5,25642,75,174,0,0.446484375,Cube_Ela5_Var25642
10,62,5,30951,65,110,0,0.5171875,Cube_Ela5_Var30951
11,3,5,1753,73,121,0,0.611328125,Cube_Ela5_Var1753
12,141,5,59454,39,142,0,0.24921875,Cube_Ela5_Var59454
13,35,5,22298,60,196,0,0.61484375,Cube_Ela5_Var22298
14,127,5,54439,75,183,0,0.753515625,Cube_Ela5_Var54439
15,95,5,41255,74,226,0,0.91953125,Cube_Ela5_Var41255
16,60,5,30868,39,280,0,0.56796875,Cube_Ela5_Var30868
17,154,5,62432,34,229,0,0.549609375,Cube_Ela5_Var62432
18,126,5,54385,43,90,0,0.79453125,Cube_Ela5_Var54385
19,118,5,52600,62,158,0,0.911328125,Cube_Ela5_Var52600
20,185,5,70169,40,123,0,0.648046875,Cube_Ela5_Var70169
21,45,5,26661,30,89,0,0.30234375,Cube_Ela5_Var26661
22,57,5,30592,58,118,0,0.41796875,Cube_Ela5_Var30592
23,50,5,28314,45,145,0,0.313671875,Cube_Ela5_Var28314
24,224,5,99116,34,175,0,0.152734375,Cube_Ela5_Var99116
25,101,5,43352,88,165,0,0.93359375,Cube_Ela5_Var43352
26,94,5,41136,62,192,0,0.889453125,Cube_Ela5_Var41136
27,155,5,62615,59,119,0,0.60234375,Cube_Ela5_Var62615
28,58,5,30630,85,169,0,0.972265625,Cube_Ela5_Var30630
29,68,5,32434,57,83,0,0.848046875,Cube_Ela5_Var32434
30,20,5,13902,42,117,0,0.5609375,Cube_Ela5_Var13902
31,93,5,40512,48,112,0,0.488671875,Cube_Ela5_Var40512
32,218,5,97425,89,121,0,0.78984375,Cube_Ela5_Var97425
33,193,5,74000,56,114,0,0.90703125,Cube_Ela5_Var74000
34,108,5,48452,49,121,0,0.629296875,Cube_Ela5_Var48452
35,73,5,35598,42,155,0,0.71171875,Cube_Ela5_Var35598
36,136,5,57832,38,220,0,0.591015625,Cube_Ela5_Var57832
37,29,5,18297,34,152,0,0.577734375,Cube_Ela5_Var18297
38,45,5,26661,30,213,0,0.4859375,Cube_Ela5_Var26661
39,225,5,99232,69,124,0,0.808203125,Cube_Ela5_Var99232
40,41,5,24292,51,122,0,0.7734375,Cube_Ela5_Var24292
41,217,5,97115,44,303,0,0.405078125,Cube_Ela5_Var97115
42,91,5,40399,54,154,0,0.429296875,Cube_Ela5_Var40399
43,199,5,79293,58,96,0,0.526171875,Cube_Ela5_Var79293
44,111,5,49550,65,149,0,0.42890625,Cube_Ela5_Var49550
45,80,5,36782,68,117,0,0.7546875,Cube_Ela5_Var36782
46,161,5,63655,38,96,0,0.8390625,Cube_Ela5_Var63655
47,165,5,65067,57,121,0,0.853125,Cube_Ela5_Var65067
48,140,5,59388,27,110,0,0.5921875,Cube_Ela5_Var59388
49,119,5,52689,33,80,0,0.72890625,Cube_Ela5_Var52689
50,155,5,62615,59,88,0,0.8171875,Cube_Ela5_Var62615
51,102,5,44481,60,122,0,0.77890625,Cube_Ela5_Var44481
52,115,5,51632,76,142,0,0.679296875,Cube_Ela5_Var51632
53,27,5,17002,68,112,0,0.7984375,Cube_Ela5_Var17002
54,50,5,28314,45,95,0,0.615234375,Cube_Ela5_Var28314
55,40,5,23812,100,101,0,0.831640625,Cube_Ela5_Var23812
56,152,5,61044,40,104,0,0.621484375,Cube_Ela5_Var61044
57,193,5,74000,56,75,0,0.80859375,Cube_Ela5_Var74000
58,10,5,10573,38,178,0,0.60859375,Cube_Ela5_Var10573
59,204,5,85942,46,63,0,0.741015625,Cube_Ela5_Var85942
60,55,5,29792,52,84,0,0.823046875,Cube_Ela5_Var29792
61,33,5,20514,77,222,0,0.658984375,Cube_Ela5_Var20514
62,32,5,19108,60,95,0,0.623046875,Cube_Ela5_Var19108
63,178,5,67224,57,58,0,0.80234375,Cube_Ela5_Var67224
64,50,5,28314,45,138,0,0.562109375,Cube_Ela5_Var28314
65,153,5,61952,48,84,0,0.54140625,Cube_Ela5_Var61952
66,100,5,43281,39,153,0,0.651953125,Cube_Ela5_Var43281
67,11,5,10988,51,110,0,0.73046875,Cube_Ela5_Var10988
68,66,5,31722,77,105,0,0.874609375,Cube_Ela5_Var31722
69,186,5,70179,70,139,0,0.7046875,Cube_Ela5_Var70179
70,197,5,78238,63,66,0,0.870703125,Cube_Ela5_Var78238
71,113,5,50416,61,156,0,0.80625,Cube_Ela5_Var50416
72,203,5,83992,73,148,0,0.92734375,Cube_Ela5_Var83992
73,189,5,72299,52,78,0,0.930859375,Cube_Ela5_Var72299
74,160,5,63484,76,134,0,0.906640625,Cube_Ela5_Var63484
75,96,5,41906,54,139,0,0.676171875,Cube_Ela5_Var41906
76,71,5,34733,72,154,0,0.716015625,Cube_Ela5_Var34733
77,74,5,35727,81,106,0,0.572265625,Cube_Ela5_Var35727
78,129,5,55777,80,96,0,0.801171875,Cube_Ela5_Var55777
79,90,5,39860,35,130,0,0.321875,Cube_Ela5_Var39860
80,214,5,95627,61,66,0,0.69921875,Cube_Ela5_Var95627
81,194,5,74135,42,129,0,0.2796875,Cube_Ela5_Var74135
82,92,5,40502,63,120,0,0.74140625,Cube_Ela5_Var40502
83,220,5,98238,47,113,0,0.572265625,Cube_Ela5_Var98238
84,158,5,63004,48,317,0,0.525,Cube_Ela5_Var63004
85,131,5,56403,57,322,0,0.465625,Cube_Ela5_Var56403
86,107,5,47007,44,169,0,0.44609375,Cube_Ela5_Var47007
87,134,5,57348,33,86,0,0.13203125,Cube_Ela5_Var57348
88,135,5,57376,57,70,0,0.65078125,Cube_Ela5_Var57376
89,163,5,64734,65,135,0,0.69375,Cube_Ela5_Var64734
90,213,5,94941,68,185,0,0.76796875,Cube_Ela5_Var94941
91,63,5,30989,70,140,0,0.3765625,Cube_Ela5_Var30989
92,69,5,33860,39,119,0,0.230859375,Cube_Ela5_Var33860
93,78,5,36398,83,84,0,0.57109375,Cube_Ela5_Var36398
94,161,5,63655,38,75,0,0.4765625,Cube_Ela5_Var63655
95,174,5,66921,50,117,0,0.611328125,Cube_Ela5_Var66921
96,87,5,39404,62,196,0,0.6703125,Cube_Ela5_Var39404
97,171,5,66434,73,104,0,0.8171875,Cube_Ela5_Var66434
98,201,5,83015,34,175,0,0.22421875,Cube_Ela5_Var83015
99,67,5,32105,48,152,0,0.324609375,Cube_Ela5_Var32105
100,17,5,13086,78,79,0,0.67109375,Cube_Ela5_Var13086
101,140,5,59388,27,140,0,0.159375,Cube_Ela5_Var59388
102,187,5,70824,46,113,0,0.440625,Cube_Ela5_Var70824
103,96,5,41906,54,70,0,0.658203125,Cube_Ela5_Var41906
104,76,5,36126,34,59,0,0.50546875,Cube_Ela5_Var36126
105,136,5,57832,38,179,0,0.733984375,Cube_Ela5_Var57832
106,164,5,65032,30,303,0,0.547265625,Cube_Ela5_Var65032
107,5,5,8450,32,94,0,0.6703125,Cube_Ela5_Var8450
108,154,5,62432,34,174,0,0.68125,Cube_Ela5_Var62432
109,171,5,66434,73,139,0,0.812109375,Cube_Ela5_Var66434
110,182,5,68343,69,161,0,0.81875,Cube_Ela5_Var68343
111,211,5,93545,57,239,0,0.404296875,Cube_Ela5_Var93545
112,179,5,67592,81,108,0,0.369140625,Cube_Ela5_Var67592
113,123,5,53252,24,136,0,0.297265625,Cube_Ela5_Var53252
114,58,5,30630,85,98,0,0.67109375,Cube_Ela5_Var30630
115,155,5,62615,59,83,0,0.455859375,Cube_Ela5_Var62615
116,103,5,44770,60,456,0,0.478515625,Cube_Ela5_Var44770
117,198,5,78625,53,98,0,0.35234375,Cube_Ela5_Var78625
118,142,5,59599,76,260,0,0.60078125,Cube_Ela5_Var59599
119,147,5,60335,72,261,0,0.21796875,Cube_Ela5_Var60335
120,101,5,43352,88,221,0,0.23984375,Cube_Ela5_Var43352
121,26,5,16631,44,77,0,0.2640625,Cube_Ela5_Var16631
122,117,5,52524,57,148,0,0.176953125,Cube_Ela5_Var52524
123,173,5,66846,81,111,0,0.3484375,Cube_Ela5_Var66846
124,127,5,54439,75,137,0,0.7046875,Cube_Ela5_Var54439
125,141,5,59454,39,60,0,0.242578125,Cube_Ela5_Var59454
126,36,5,22614,75,101,0,0.14921875,Cube_Ela5_Var22614
127,172,5,66670,66,176,0,0.533203125,Cube_Ela5_Var66670
128,215,5,96448,54,93,0,0.48359375,Cube_Ela5_Var96448
129,119,5,52689,33,114,0,0.52578125,Cube_Ela5_Var52689
130,85,5,38136,73,148,0,0.594140625,Cube_Ela5_Var38136
131,142,5,59599,76,227,0,0.64609375,Cube_Ela5_Var59599
132,10,5,10573,38,161,0,0.396484375,Cube_Ela5_Var10573
133,196,5,77725,45,191,0,0.612109375,Cube_Ela5_Var77725
134,158,5,63004,48,177,0,0.532421875,Cube_Ela5_Var63004
135,144,5,59814,67,95,0,0.7109375,Cube_Ela5_Var59814
136,150,5,60710,46,94,0,0.804296875,Cube_Ela5_Var60710
137,59,5,30644,60,141,0,0.51015625,Cube_Ela5_Var30644
138,78,5,36398,83,168,0,0.635546875,Cube_Ela5_Var36398
139,34,5,21576,50,151,0,0.345703125,Cube_Ela5_Var21576
140,61,5,30904,37,101,0,0.65234375,Cube_Ela5_Var30904
141,213,5,94941,68,129,0,0.891796875,Cube_Ela5_Var94941
142,91,5,40399,54,63,0,0.631640625,Cube_Ela5_Var40399
143,13,5,12521,61,89,0,0.25234375,Cube_Ela5_Var12521
144,117,5,52524,57,129,0,0.387109375,Cube_Ela5_Var52524
145,153,5,61952,48,129,0,0.430859375,Cube_Ela5_Var61952
146,34,5,21576,50,135,0,0.313671875,Cube_Ela5_Var21576
147,134,5,57348,33,98,0,0.348828125,Cube_Ela5_Var57348
148,4,5,2014,56,193,0,0.433984375,Cube_Ela5_Var2014
149,157,5,62983,63,208,0,0.583203125,Cube_Ela5_Var62983
150,44,5,26240,32,120,0,0.203515625,Cube_Ela5_Var26240
151,202,5,83408,63,253,0,0.25390625,Cube_Ela5_Var83408
152,77,5,36329,75,142,0,0.51640625,Cube_Ela5_Var36329
153,120,5,52995,36,154,0,0.20859375,Cube_Ela5_Var52995
154,183,5,68712,70,99,0,0.35859375,Cube_Ela5_Var68712
155,93,5,40512,48,107,0,0.213671875,Cube_Ela5_Var40512
156,13,5,12521,61,71,0,0.3953125,Cube_Ela5_Var12521
157,133,5,56945,72,155,0,0.1421875,Cube_Ela5_Var56945
158,4,5,2014,56,134,0,0.30859375,Cube_Ela5_Var2014
159,180,5,67655,77,133,0,0.413671875,Cube_Ela5_Var67655
160,112,5,49906,37,130,0,0.398046875,Cube_Ela5_Var49906
161,97,5,41980,48,102,0,0.523046875,Cube_Ela5_Var41980
162,15,5,12608,41,78,0,0.630859375,Cube_Ela5_Var12608
163,178,5,67224,57,75,0,0.716015625,Cube_Ela5_Var67224
164,223,5,98967,50,219,0,0.03046875,Cube_Ela5_Var98967
165,84,5,37820,79,175,0,0.119921875,Cube_Ela5_Var37820
166,225,5,99232,69,135,0,0.300390625,Cube_Ela5_Var99232
167,132,5,56610,60,77,0,0.491015625,Cube_Ela5_Var56610
168,221,5,98250,68,140,0,0.734765625,Cube_Ela5_Var98250
169,99,5,43010,49,75,0,0.619140625,Cube_Ela5_Var43010
170,201,5,83015,34,175,0,0.49921875,Cube_Ela5_Var83015
171,85,5,38136,73,147,0,0.621875,Cube_Ela5_Var38136
172,138,5,58186,36,74,0,0.3828125,Cube_Ela5_Var58186
173,78,5,36398,83,133,0,0.776171875,Cube_Ela5_Var36398
174,108,5,48452,49,162,0,0.35546875,Cube_Ela5_Var48452
175,7,5,10177,32,121,0,0.237890625,Cube_Ela5_Var10177
176,121,5,53012,43,77,0,0.6265625,Cube_Ela5_Var53012
177,102,5,44481,60,71,0,0.76875,Cube_Ela5_Var44481
178,221,5,98250,68,150,0,0.837890625,Cube_Ela5_Var98250
179,36,5,22614,75,96,0,0.669921875,Cube_Ela5_Var22614
180,191,5,72766,81,93,0,0.667578125,Cube_Ela5_Var72766
181,1,5,95,50,130,0,0.45546875,Cube_Ela5_Var95
182,118,5,52600,62,169,0,0.560546875,Cube_Ela5_Var52600
183,41,5,24292,51,125,0,0.431640625,Cube_Ela5_Var24292
184,205,5,87102,35,153,0,0.261328125,Cube_Ela5_Var87102
185,61,5,30904,37,116,0,0.159375,Cube_Ela5_Var30904
186,187,5,70824,46,62,0,0.5609375,Cube_Ela5_Var70824
187,22,5,15298,79,83,0,0.803125,Cube_Ela5_Var15298
188,12,5,11127,36,173,0,0.1984375,Cube_Ela5_Var11127
189,222,5,98445,51,62,0,0.4578125,Cube_Ela5_Var98445
190,46,5,27362,42,102,0,0.497265625,Cube_Ela5_Var27362
191,31,5,18835,36,112,0,0.155078125,Cube_Ela5_Var18835
192,186,5,70179,70,71,0,0.705078125,Cube_Ela5_Var70179
193,45,5,26661,30,66,0,0.311328125,Cube_Ela5_Var26661
194,193,5,74000,56,184,0,0.551953125,Cube_Ela5_Var74000
195,154,5,62432,34,127,0,0.230078125,Cube_Ela5_Var62432
196,43,5,25642,75,163,0,0.449609375,Cube_Ela5_Var25642
197,92,5,40502,63,91,0,0.65625,Cube_Ela5_Var40502
198,79,5,36530,53,141,0,0.41640625,Cube_Ela5_Var36530
199,7,5,10177,32,99,0,0.075390625,Cube_Ela5_Var10177
200,47,5,27665,80,160,0,0.347265625,Cube_Ela5_Var27665
201,27,5,17002,68,95,0,0.421875,Cube_Ela5_Var17002
202,48,5,27806,32,86,0,0.219140625,Cube_Ela5_Var27806
203,192,5,72817,41,71,0,0.31171875,Cube_Ela5_Var72817
204,75,5,36074,39,80,0,0.391015625,Cube_Ela5_Var36074
205,152,5,61044,40,119,0,0.3625,Cube_Ela5_Var61044
206,69,5,33860,39,112,0,0.451171875,Cube_Ela5_Var33860
207,209,5,93025,80,136,0,0.690234375,Cube_Ela5_Var93025
208,100,5,43281,39,83,0,0.56640625,Cube_Ela5_Var43281
209,167,5,65325,61,98,0,0.48203125,Cube_Ela5_Var65325
210,139,5,58628,33,105,0,0.447265625,Cube_Ela5_Var58628
211,165,5,65067,57,124,0,0.2234375,Cube_Ela5_Var65067
212,122,5,53239,74,90,0,0.688671875,Cube_Ela5_Var53239
213,195,5,77379,50,132,0,0.358984375,Cube_Ela5_Var77379
214,29,5,18297,34,84,0,0.1140625,Cube_Ela5_Var18297
215,212,5,94137,61,80,0,0.165234375,Cube_Ela5_Var94137
216,209,5,93025,80,102,0,0.65546875,Cube_Ela5_Var93025
217,208,5,90668,30,82,0,0.10546875,Cube_Ela5_Var90668
218,150,5,60710,46,137,0,0.314453125,Cube_Ela5_Var60710
219,2,5,533,73,90,0,0.4453125,Cube_Ela5_Var533
220,6,5,8740,63,84,0,0.558203125,Cube_Ela5_Var8740
221,177,5,67206,46,131,0,0.217578125,Cube_Ela5_Var67206
222,62,5,30951,65,79,0,0.34921875,Cube_Ela5_Var30951
223,156,5,62668,84,102,0,0.709765625,Cube_Ela5_Var62668
224,178,5,67224,57,96,0,0.750390625,Cube_Ela5_Var67224
225,59,5,30644,60,96,0,0.708203125,Cube_Ela5_Var30644
226,111,5,49550,65,106,0,0.697265625,Cube_Ela5_Var49550
227,162,5,63683,38,146,0,0.626953125,Cube_Ela5_Var63683
228,208,5,90668,30,144,0,0.486328125,Cube_Ela5_Var90668
229,60,5,30868,39,84,0,0.378125,Cube_Ela5_Var30868
230,81,5,37276,78,79,0,0.6609375,Cube_Ela5_Var37276
231,90,5,39860,35,98,0,0.208203125,Cube_Ela5_Var39860
232,113,5,50416,61,79,0,0.644921875,Cube_Ela5_Var50416
