trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,78,5,36398,83,173,0,0.373828125,Cube_Ela5_Var36398
2,19,5,13562,57,74,0,0.12890625,Cube_Ela5_Var13562
3,82,5,37518,46,103,0,0.140234375,Cube_Ela5_Var37518
4,206,5,90152,41,67,0,0.16875,Cube_Ela5_Var90152
5,78,5,36398,83,168,0,0.3359375,Cube_Ela5_Var36398
6,22,5,15298,79,131,0,0.677734375,Cube_Ela5_Var15298
7,185,5,70169,40,82,0,0.03828125,Cube_Ela5_Var70169
8,120,5,52995,36,65,0,0.0625,Cube_Ela5_Var52995
9,213,5,94941,68,119,0,0.192578125,Cube_Ela5_Var94941
10,5,5,8450,32,65,0,0.029296875,Cube_Ela5_Var8450
11,15,5,12608,41,126,0,0.0875,Cube_Ela5_Var12608
12,36,5,22614,75,76,0,0.231640625,Cube_Ela5_Var22614
13,183,5,68712,70,74,0,0.38671875,Cube_Ela5_Var68712
14,161,5,63655,38,78,0,0.08984375,Cube_Ela5_Var63655
15,2,5,533,73,76,0,0.68359375,Cube_Ela5_Var533
16,192,5,72817,41,126,0,0.044140625,Cube_Ela5_Var72817
17,88,5,39425,50,123,0,0.33984375,Cube_Ela5_Var39425
18,70,5,34384,54,84,0,0.23515625,Cube_Ela5_Var34384
19,184,5,69310,69,155,0,0.221875,Cube_Ela5_Var69310
20,8,5,10207,79,142,0,0.303515625,Cube_Ela5_Var10207
21,55,5,29792,52,134,0,0.104296875,Cube_Ela5_Var29792
22,196,5,77725,45,107,0,0.45234375,Cube_Ela5_Var77725
23,207,5,90330,50,105,0,0.165625,Cube_Ela5_Var90330
24,204,5,85942,46,74,0,0.412109375,Cube_Ela5_Var85942
25,77,5,36329,75,148,0,0.67734375,Cube_Ela5_Var36329
26,168,5,65506,74,75,0,0.841796875,Cube_Ela5_Var65506
27,110,5,49060,67,136,0,0.8234375,Cube_Ela5_Var49060
28,12,5,11127,36,80,0,0.047265625,Cube_Ela5_Var11127
29,48,5,27806,32,63,0,0.079296875,Cube_Ela5_Var27806
30,158,5,63004,48,75,0,0.23828125,Cube_Ela5_Var63004
31,3,5,1753,73,211,0,0.37265625,Cube_Ela5_Var1753
32,152,5,61044,40,51,0,0.05546875,Cube_Ela5_Var61044
33,120,5,52995,36,139,0,0.166015625,Cube_Ela5_Var52995
34,201,5,83015,34,66,0,0.065625,Cube_Ela5_Var83015
35,101,5,43352,88,156,0,0.54453125,Cube_Ela5_Var43352
36,174,5,66921,50,54,0,0.1765625,Cube_Ela5_Var66921
37,179,5,67592,81,123,0,0.95234375,Cube_Ela5_Var67592
38,47,5,27665,80,81,0,0.688671875,Cube_Ela5_Var27665
39,120,5,52995,36,122,0,0.083984375,Cube_Ela5_Var52995
40,27,5,17002,68,78,0,0.0453125,Cube_Ela5_Var17002
41,128,5,55634,27,67,0,0.05,Cube_Ela5_Var55634
42,14,5,12524,56,58,0,0.209375,Cube_Ela5_Var12524
43,121,5,53012,43,96,0,0.113671875,Cube_Ela5_Var53012
44,79,5,36530,53,75,0,0.30859375,Cube_Ela5_Var36530
45,17,5,13086,78,110,0,0.646875,Cube_Ela5_Var13086
46,54,5,28915,40,49,0,0.263671875,Cube_Ela5_Var28915
47,16,5,12940,32,53,0,0.116796875,Cube_Ela5_Var12940
48,118,5,52600,62,145,0,0.614453125,Cube_Ela5_Var52600
49,218,5,97425,89,143,0,0.921875,Cube_Ela5_Var97425
50,211,5,93545,57,116,0,0.269140625,Cube_Ela5_Var93545
51,146,5,60272,84,106,0,0.703125,Cube_Ela5_Var60272
52,189,5,72299,52,64,0,0.70078125,Cube_Ela5_Var72299
53,197,5,78238,63,86,0,0.631640625,Cube_Ela5_Var78238
54,116,5,52499,30,77,0,0.0421875,Cube_Ela5_Var52499
55,44,5,26240,32,51,0,0.100390625,Cube_Ela5_Var26240
56,186,5,70179,70,73,0,0.583984375,Cube_Ela5_Var70179
57,129,5,55777,80,87,0,0.558203125,Cube_Ela5_Var55777
