trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,23,5,15733,42,566,0,0.334375,Cube_Ela5_Var15733
2,35,5,22298,60,64,0,0.190625,Cube_Ela5_Var22298
3,113,5,50416,61,68,0,0.82578125,Cube_Ela5_Var50416
4,192,5,72817,41,62,0,0.058984375,Cube_Ela5_Var72817
5,63,5,30989,70,90,0,0.405078125,Cube_Ela5_Var30989
6,121,5,53012,43,88,0,0.496875,Cube_Ela5_Var53012
7,188,5,72163,75,81,0,0.52578125,Cube_Ela5_Var72163
8,52,5,28740,71,95,0,0.49921875,Cube_Ela5_Var28740
9,34,5,21576,50,51,0,0.159765625,Cube_Ela5_Var21576
10,151,5,60964,59,89,0,0.50703125,Cube_Ela5_Var60964
11,117,5,52524,57,58,0,0.51953125,Cube_Ela5_Var52524
12,47,5,27665,80,108,0,0.53203125,Cube_Ela5_Var27665
13,182,5,68343,69,74,0,0.45703125,Cube_Ela5_Var68343
14,156,5,62668,84,108,0,0.5953125,Cube_Ela5_Var62668
15,222,5,98445,51,97,0,0.46328125,Cube_Ela5_Var98445
16,211,5,93545,57,64,0,0.555078125,Cube_Ela5_Var93545
17,123,5,53252,24,70,0,0.519921875,Cube_Ela5_Var53252
18,99,5,43010,49,69,0,0.49453125,Cube_Ela5_Var43010
19,201,5,83015,34,38,0,0.491015625,Cube_Ela5_Var83015
20,206,5,90152,41,55,0,0.384765625,Cube_Ela5_Var90152
21,202,5,83408,63,137,0,0.74375,Cube_Ela5_Var83408
22,213,5,94941,68,145,0,0.537890625,Cube_Ela5_Var94941
23,120,5,52995,36,58,0,0.5234375,Cube_Ela5_Var52995
24,125,5,54033,75,152,0,0.554296875,Cube_Ela5_Var54033
25,78,5,36398,83,87,0,0.342578125,Cube_Ela5_Var36398
26,205,5,87102,35,59,0,0.219921875,Cube_Ela5_Var87102
27,144,5,59814,67,68,0,0.7484375,Cube_Ela5_Var59814
28,105,5,46404,39,112,0,0.404296875,Cube_Ela5_Var46404
29,61,5,30904,37,73,0,0.366796875,Cube_Ela5_Var30904
30,54,5,28915,40,83,0,0.480078125,Cube_Ela5_Var28915
31,183,5,68712,70,74,0,0.721875,Cube_Ela5_Var68712
32,191,5,72766,81,164,0,0.636328125,Cube_Ela5_Var72766
33,43,5,25642,75,139,0,0.668359375,Cube_Ela5_Var25642
34,114,5,51065,40,67,0,0.577734375,Cube_Ela5_Var51065
35,88,5,39425,50,56,0,0.6359375,Cube_Ela5_Var39425
36,155,5,62615,59,71,0,0.341796875,Cube_Ela5_Var62615
37,26,5,16631,44,45,0,0.49375,Cube_Ela5_Var16631
38,222,5,98445,51,65,0,0.5140625,Cube_Ela5_Var98445
39,127,5,54439,75,76,0,0.755859375,Cube_Ela5_Var54439
40,155,5,62615,59,60,0,0.539453125,Cube_Ela5_Var62615
41,118,5,52600,62,76,0,0.312890625,Cube_Ela5_Var52600
42,85,5,38136,73,74,0,0.285546875,Cube_Ela5_Var38136
43,92,5,40502,63,131,0,0.59296875,Cube_Ela5_Var40502
44,27,5,17002,68,77,0,0.440625,Cube_Ela5_Var17002
45,49,5,28250,66,190,0,0.58671875,Cube_Ela5_Var28250
46,21,5,14552,49,54,0,0.289453125,Cube_Ela5_Var14552
47,199,5,79293,58,59,0,0.63515625,Cube_Ela5_Var79293
48,32,5,19108,60,64,0,0.603125,Cube_Ela5_Var19108
49,62,5,30951,65,127,0,0.67578125,Cube_Ela5_Var30951
50,145,5,60262,36,51,0,0.371875,Cube_Ela5_Var60262
51,112,5,49906,37,63,0,0.214453125,Cube_Ela5_Var49906
52,43,5,25642,75,137,0,0.650390625,Cube_Ela5_Var25642
53,25,5,16495,77,78,0,0.67578125,Cube_Ela5_Var16495
54,103,5,44770,60,61,0,0.64140625,Cube_Ela5_Var44770
55,90,5,39860,35,38,0,0.30234375,Cube_Ela5_Var39860
56,160,5,63484,76,80,0,0.524609375,Cube_Ela5_Var63484
57,15,5,12608,41,71,0,0.576171875,Cube_Ela5_Var12608
58,211,5,93545,57,115,0,0.44140625,Cube_Ela5_Var93545
59,31,5,18835,36,64,0,0.3125,Cube_Ela5_Var18835
60,7,5,10177,32,54,0,0.339453125,Cube_Ela5_Var10177
61,76,5,36126,34,94,0,0.330859375,Cube_Ela5_Var36126
62,135,5,57376,57,58,0,0.58203125,Cube_Ela5_Var57376
63,4,5,2014,56,63,0,0.35078125,Cube_Ela5_Var2014
64,14,5,12524,56,57,0,0.628515625,Cube_Ela5_Var12524
65,67,5,32105,48,84,0,0.613671875,Cube_Ela5_Var32105
66,180,5,67655,77,78,0,0.708984375,Cube_Ela5_Var67655
67,118,5,52600,62,100,0,0.74296875,Cube_Ela5_Var52600
68,140,5,59388,27,56,0,0.315625,Cube_Ela5_Var59388
69,87,5,39404,62,118,0,0.632421875,Cube_Ela5_Var39404
70,36,5,22614,75,146,0,0.623828125,Cube_Ela5_Var22614
71,186,5,70179,70,105,0,0.669140625,Cube_Ela5_Var70179
72,219,5,97901,60,61,0,0.477734375,Cube_Ela5_Var97901
73,94,5,41136,62,63,0,0.6578125,Cube_Ela5_Var41136
74,79,5,36530,53,89,0,0.6546875,Cube_Ela5_Var36530
75,191,5,72766,81,87,0,0.65859375,Cube_Ela5_Var72766
76,40,5,23812,100,106,0,0.6640625,Cube_Ela5_Var23812
77,103,5,44770,60,61,0,0.49921875,Cube_Ela5_Var44770
78,99,5,43010,49,72,0,0.271875,Cube_Ela5_Var43010
79,41,5,24292,51,64,0,0.507421875,Cube_Ela5_Var24292
80,112,5,49906,37,52,0,0.739453125,Cube_Ela5_Var49906
81,58,5,30630,85,87,0,0.723828125,Cube_Ela5_Var30630
82,2,5,533,73,74,0,0.594140625,Cube_Ela5_Var533
83,86,5,39108,46,59,0,0.320703125,Cube_Ela5_Var39108
84,134,5,57348,33,66,0,0.251171875,Cube_Ela5_Var57348
85,225,5,99232,69,125,0,0.72890625,Cube_Ela5_Var99232
86,171,5,66434,73,120,0,0.72265625,Cube_Ela5_Var66434
87,165,5,65067,57,110,0,0.34765625,Cube_Ela5_Var65067
88,180,5,67655,77,111,0,0.6640625,Cube_Ela5_Var67655
89,5,5,8450,32,61,0,0.317578125,Cube_Ela5_Var8450
90,56,5,30299,108,114,0,0.4984375,Cube_Ela5_Var30299
91,16,5,12940,32,66,0,0.169140625,Cube_Ela5_Var12940
92,45,5,26661,30,101,0,0.391796875,Cube_Ela5_Var26661
93,116,5,52499,30,62,0,0.24453125,Cube_Ela5_Var52499
94,163,5,64734,65,66,0,0.501171875,Cube_Ela5_Var64734
95,122,5,53239,74,82,0,0.644921875,Cube_Ela5_Var53239
96,3,5,1753,73,78,0,0.735546875,Cube_Ela5_Var1753
97,146,5,60272,84,121,0,0.708984375,Cube_Ela5_Var60272
98,65,5,31523,56,79,0,0.82421875,Cube_Ela5_Var31523
99,209,5,93025,80,125,0,0.778515625,Cube_Ela5_Var93025
100,38,5,23059,47,52,0,0.6140625,Cube_Ela5_Var23059
101,92,5,40502,63,160,0,0.287890625,Cube_Ela5_Var40502
102,205,5,87102,35,36,0,0.20859375,Cube_Ela5_Var87102
103,16,5,12940,32,33,0,0.95078125,Cube_Ela5_Var12940
104,200,5,79724,44,59,0,0.248828125,Cube_Ela5_Var79724
105,160,5,63484,76,84,0,0.487890625,Cube_Ela5_Var63484
106,168,5,65506,74,150,0,0.718359375,Cube_Ela5_Var65506
107,93,5,40512,48,74,0,0.301953125,Cube_Ela5_Var40512
108,149,5,60415,44,45,0,0.390234375,Cube_Ela5_Var60415
109,75,5,36074,39,69,0,0.308203125,Cube_Ela5_Var36074
110,110,5,49060,67,106,0,0.277734375,Cube_Ela5_Var49060
111,143,5,59616,64,65,0,0.33828125,Cube_Ela5_Var59616
112,171,5,66434,73,74,0,0.622265625,Cube_Ela5_Var66434
113,23,5,15733,42,98,0,0.315625,Cube_Ela5_Var15733
114,28,5,17556,48,98,0,0.3796875,Cube_Ela5_Var17556
115,146,5,60272,84,106,0,0.32734375,Cube_Ela5_Var60272
116,19,5,13562,57,81,0,0.323828125,Cube_Ela5_Var13562
117,142,5,59599,76,217,0,0.51875,Cube_Ela5_Var59599
118,19,5,13562,57,61,0,0.203515625,Cube_Ela5_Var13562
119,174,5,66921,50,59,0,0.394921875,Cube_Ela5_Var66921
120,73,5,35598,42,56,0,0.321875,Cube_Ela5_Var35598
121,182,5,68343,69,107,0,0.211328125,Cube_Ela5_Var68343
122,221,5,98250,68,93,0,0.546484375,Cube_Ela5_Var98250
123,133,5,56945,72,127,0,0.678125,Cube_Ela5_Var56945
124,69,5,33860,39,55,0,0.278125,Cube_Ela5_Var33860
125,157,5,62983,63,86,0,0.303125,Cube_Ela5_Var62983
126,64,5,31274,56,61,0,0.6125,Cube_Ela5_Var31274
127,72,5,34859,63,64,0,0.4609375,Cube_Ela5_Var34859
128,170,5,66008,42,73,0,0.294921875,Cube_Ela5_Var66008
129,57,5,30592,58,73,0,0.253515625,Cube_Ela5_Var30592
130,15,5,12608,41,42,0,0.316015625,Cube_Ela5_Var12608
131,216,5,96634,73,81,0,0.2765625,Cube_Ela5_Var96634
132,167,5,65325,61,124,0,0.216015625,Cube_Ela5_Var65325
133,168,5,65506,74,135,0,0.61328125,Cube_Ela5_Var65506
134,74,5,35727,81,161,0,0.408984375,Cube_Ela5_Var35727
135,101,5,43352,88,149,0,0.48984375,Cube_Ela5_Var43352
136,126,5,54385,43,60,0,0.694921875,Cube_Ela5_Var54385
137,8,5,10207,79,153,0,0.690625,Cube_Ela5_Var10207
138,73,5,35598,42,52,0,0.22421875,Cube_Ela5_Var35598
139,40,5,23812,100,161,0,0.64453125,Cube_Ela5_Var23812
140,37,5,22837,27,81,0,0.26484375,Cube_Ela5_Var22837
141,216,5,96634,73,79,0,0.46796875,Cube_Ela5_Var96634
142,117,5,52524,57,108,0,0.64609375,Cube_Ela5_Var52524
143,108,5,48452,49,77,0,0.407421875,Cube_Ela5_Var48452
144,172,5,66670,66,78,0,0.351953125,Cube_Ela5_Var66670
145,6,5,8740,63,66,0,0.37890625,Cube_Ela5_Var8740
146,100,5,43281,39,62,0,0.24375,Cube_Ela5_Var43281
147,70,5,34384,54,149,0,0.37890625,Cube_Ela5_Var34384
148,21,5,14552,49,50,0,0.233984375,Cube_Ela5_Var14552
149,221,5,98250,68,77,0,0.54765625,Cube_Ela5_Var98250
150,153,5,61952,48,98,0,0.521484375,Cube_Ela5_Var61952
151,70,5,34384,54,70,0,0.305859375,Cube_Ela5_Var34384
152,88,5,39425,50,123,0,0.512890625,Cube_Ela5_Var39425
153,46,5,27362,42,43,0,0.2109375,Cube_Ela5_Var27362
154,157,5,62983,63,73,0,0.24140625,Cube_Ela5_Var62983
155,188,5,72163,75,146,0,0.304296875,Cube_Ela5_Var72163
156,55,5,29792,52,94,0,0.245703125,Cube_Ela5_Var29792
157,159,5,63122,74,85,0,0.23984375,Cube_Ela5_Var63122
158,22,5,15298,79,144,0,0.49296875,Cube_Ela5_Var15298
159,27,5,17002,68,126,0,0.1953125,Cube_Ela5_Var17002
160,187,5,70824,46,80,0,0.141796875,Cube_Ela5_Var70824
161,162,5,63683,38,55,0,0.271875,Cube_Ela5_Var63683
162,5,5,8450,32,59,0,0.233984375,Cube_Ela5_Var8450
163,24,5,15789,54,109,0,0.24765625,Cube_Ela5_Var15789
164,177,5,67206,46,62,0,0.27890625,Cube_Ela5_Var67206
165,192,5,72817,41,59,0,0.19609375,Cube_Ela5_Var72817
166,192,5,72817,41,49,0,0.144921875,Cube_Ela5_Var72817
167,29,5,18297,34,70,0,0.34921875,Cube_Ela5_Var18297
168,194,5,74135,42,51,0,0.31484375,Cube_Ela5_Var74135
169,85,5,38136,73,122,0,0.3453125,Cube_Ela5_Var38136
170,124,5,53799,31,51,0,0.1921875,Cube_Ela5_Var53799
171,9,5,10422,72,110,0,0.5734375,Cube_Ela5_Var10422
172,218,5,97425,89,119,0,0.66328125,Cube_Ela5_Var97425
173,223,5,98967,50,62,0,0.27421875,Cube_Ela5_Var98967
174,42,5,25567,41,50,0,0.26875,Cube_Ela5_Var25567
175,12,5,11127,36,91,0,0.275390625,Cube_Ela5_Var11127
176,68,5,32434,57,109,0,0.7625,Cube_Ela5_Var32434
177,159,5,63122,74,117,0,0.7609375,Cube_Ela5_Var63122
178,67,5,32105,48,49,0,0.303125,Cube_Ela5_Var32105
