trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,17,5,13086,78,185,0,0.25625,Cube_Ela5_Var13086
2,107,5,47007,44,355,0,0,Cube_Ela5_Var47007
3,174,5,66921,50,61,0,0.043359375,Cube_Ela5_Var66921
4,147,5,60335,72,81,0,0.062109375,Cube_Ela5_Var60335
5,129,5,55777,80,83,0,0.255859375,Cube_Ela5_Var55777
6,73,5,35598,42,124,0,0.038671875,Cube_Ela5_Var35598
7,138,5,58186,36,53,0,0,Cube_Ela5_Var58186
8,209,5,93025,80,91,0,0.142578125,Cube_Ela5_Var93025
9,1,5,95,50,128,0,0.08125,Cube_Ela5_Var95
10,48,5,27806,32,35,0,0,Cube_Ela5_Var27806
11,44,5,26240,32,38,0,0.0390625,Cube_Ela5_Var26240
12,76,5,36126,34,47,0,0.053125,Cube_Ela5_Var36126
13,203,5,83992,73,74,0,0.85703125,Cube_Ela5_Var83992
14,162,5,63683,38,39,0,0.11484375,Cube_Ela5_Var63683
15,149,5,60415,44,65,0,0.1984375,Cube_Ela5_Var60415
16,21,5,14552,49,132,0,0.207421875,Cube_Ela5_Var14552
17,68,5,32434,57,66,0,0.18984375,Cube_Ela5_Var32434
18,117,5,52524,57,79,0,0.47109375,Cube_Ela5_Var52524
19,106,5,46497,74,78,0,0.75625,Cube_Ela5_Var46497
20,200,5,79724,44,53,0,0.1421875,Cube_Ela5_Var79724
21,195,5,77379,50,144,0,0.125390625,Cube_Ela5_Var77379
22,202,5,83408,63,128,0,0.239453125,Cube_Ela5_Var83408
23,8,5,10207,79,106,0,0.065625,Cube_Ela5_Var10207
24,225,5,99232,69,77,0,0.139453125,Cube_Ela5_Var99232
25,209,5,93025,80,84,0,0.8015625,Cube_Ela5_Var93025
26,162,5,63683,38,68,0,0.037890625,Cube_Ela5_Var63683
27,65,5,31523,56,58,0,0.58125,Cube_Ela5_Var31523
28,130,5,56121,69,76,0,0.751953125,Cube_Ela5_Var56121
29,42,5,25567,41,66,0,0.012890625,Cube_Ela5_Var25567
30,161,5,63655,38,148,0,0.076171875,Cube_Ela5_Var63655
31,68,5,32434,57,174,0,0.0375,Cube_Ela5_Var32434
32,169,5,65603,52,90,0,0.16484375,Cube_Ela5_Var65603
33,155,5,62615,59,149,0,0.117578125,Cube_Ela5_Var62615
34,41,5,24292,51,81,0,0.039453125,Cube_Ela5_Var24292
35,8,5,10207,79,142,0,0.197265625,Cube_Ela5_Var10207
36,109,5,48705,76,120,0,0.14453125,Cube_Ela5_Var48705
37,187,5,70824,46,47,0,0.02890625,Cube_Ela5_Var70824
38,60,5,30868,39,43,0,0.019921875,Cube_Ela5_Var30868
39,51,5,28640,52,106,0,0.0515625,Cube_Ela5_Var28640
40,180,5,67655,77,273,0,0.127734375,Cube_Ela5_Var67655
41,106,5,46497,74,131,0,0.447265625,Cube_Ela5_Var46497
42,154,5,62432,34,52,0,0.04453125,Cube_Ela5_Var62432
43,114,5,51065,40,114,0,0.096484375,Cube_Ela5_Var51065
44,70,5,34384,54,94,0,0.33828125,Cube_Ela5_Var34384
45,186,5,70179,70,71,0,0.67734375,Cube_Ela5_Var70179
46,76,5,36126,34,175,0,0.1609375,Cube_Ela5_Var36126
47,36,5,22614,75,125,0,0.17109375,Cube_Ela5_Var22614
48,120,5,52995,36,76,0,0.053125,Cube_Ela5_Var52995
49,96,5,41906,54,165,0,0.431640625,Cube_Ela5_Var41906
50,123,5,53252,24,35,0,0,Cube_Ela5_Var53252
51,132,5,56610,60,123,0,0.70859375,Cube_Ela5_Var56610
52,200,5,79724,44,225,0,0.373046875,Cube_Ela5_Var79724
53,87,5,39404,62,96,0,0.14765625,Cube_Ela5_Var39404
54,56,5,30299,108,165,0,0.678515625,Cube_Ela5_Var30299
55,186,5,70179,70,154,0,0.498046875,Cube_Ela5_Var70179
56,38,5,23059,47,139,0,0.309765625,Cube_Ela5_Var23059
57,133,5,56945,72,207,0,0.24296875,Cube_Ela5_Var56945
58,66,5,31722,77,81,0,0.709765625,Cube_Ela5_Var31722
59,180,5,67655,77,156,0,0.265234375,Cube_Ela5_Var67655
60,192,5,72817,41,75,0,0.29375,Cube_Ela5_Var72817
61,31,5,18835,36,161,0,0.251171875,Cube_Ela5_Var18835
62,6,5,8740,63,317,0,0.194921875,Cube_Ela5_Var8740
63,172,5,66670,66,225,0,0.621875,Cube_Ela5_Var66670
64,167,5,65325,61,121,0,0.383984375,Cube_Ela5_Var65325
65,152,5,61044,40,205,0,0.300390625,Cube_Ela5_Var61044
66,100,5,43281,39,90,0,0.34765625,Cube_Ela5_Var43281
67,15,5,12608,41,156,0,0.472265625,Cube_Ela5_Var12608
68,77,5,36329,75,130,0,0.4328125,Cube_Ela5_Var36329
69,176,5,67123,52,525,0,0.29375,Cube_Ela5_Var67123
