trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,210,5,93053,44,450,0,0.408203125,Cube_Ela5_Var93053
2,23,5,15733,42,140,0,0.406640625,Cube_Ela5_Var15733
3,37,5,22837,27,213,0,0.4828125,Cube_Ela5_Var22837
4,217,5,97115,44,104,0,0.578515625,Cube_Ela5_Var97115
5,72,5,34859,63,348,0,0.542578125,Cube_Ela5_Var34859
6,198,5,78625,53,196,0,0.4859375,Cube_Ela5_Var78625
7,85,5,38136,73,114,0,0.522265625,Cube_Ela5_Var38136
8,193,5,74000,56,206,0,0.40390625,Cube_Ela5_Var74000
9,57,5,30592,58,246,0,0.34453125,Cube_Ela5_Var30592
10,138,5,58186,36,213,0,0.05703125,Cube_Ela5_Var58186
11,157,5,62983,63,196,0,0.510546875,Cube_Ela5_Var62983
12,5,5,8450,32,132,0,0.290625,Cube_Ela5_Var8450
13,213,5,94941,68,154,0,0.78046875,Cube_Ela5_Var94941
14,149,5,60415,44,125,0,0.34296875,Cube_Ela5_Var60415
15,134,5,57348,33,408,0,0.386328125,Cube_Ela5_Var57348
16,189,5,72299,52,120,0,0.50078125,Cube_Ela5_Var72299
17,75,5,36074,39,308,0,0.36171875,Cube_Ela5_Var36074
18,141,5,59454,39,280,0,0.3421875,Cube_Ela5_Var59454
19,158,5,63004,48,148,0,0.3515625,Cube_Ela5_Var63004
20,25,5,16495,77,139,0,0.567578125,Cube_Ela5_Var16495
21,163,5,64734,65,89,0,0.5625,Cube_Ela5_Var64734
22,151,5,60964,59,85,0,0.46875,Cube_Ela5_Var60964
23,39,5,23710,32,100,0,0.199609375,Cube_Ela5_Var23710
24,66,5,31722,77,196,0,0.735546875,Cube_Ela5_Var31722
25,70,5,34384,54,224,0,0.743359375,Cube_Ela5_Var34384
26,165,5,65067,57,135,0,0.756640625,Cube_Ela5_Var65067
27,13,5,12521,61,272,0,0.43359375,Cube_Ela5_Var12521
28,96,5,41906,54,87,0,0.465625,Cube_Ela5_Var41906
29,58,5,30630,85,202,0,0.49765625,Cube_Ela5_Var30630
30,26,5,16631,44,69,0,0.196875,Cube_Ela5_Var16631
31,216,5,96634,73,228,0,0.62734375,Cube_Ela5_Var96634
32,36,5,22614,75,304,0,0.598828125,Cube_Ela5_Var22614
33,17,5,13086,78,85,0,0.684765625,Cube_Ela5_Var13086
34,48,5,27806,32,98,0,0.389453125,Cube_Ela5_Var27806
35,191,5,72766,81,177,0,0.590625,Cube_Ela5_Var72766
36,69,5,33860,39,113,0,0.419140625,Cube_Ela5_Var33860
37,82,5,37518,46,68,0,0.317578125,Cube_Ela5_Var37518
38,132,5,56610,60,200,0,0.502734375,Cube_Ela5_Var56610
39,19,5,13562,57,137,0,0.408203125,Cube_Ela5_Var13562
40,212,5,94137,61,156,0,0.212890625,Cube_Ela5_Var94137
41,107,5,47007,44,94,0,0.27578125,Cube_Ela5_Var47007
42,20,5,13902,42,143,0,0.45546875,Cube_Ela5_Var13902
43,133,5,56945,72,129,0,0.243359375,Cube_Ela5_Var56945
44,205,5,87102,35,72,0,0.253125,Cube_Ela5_Var87102
45,154,5,62432,34,83,0,0.273046875,Cube_Ela5_Var62432
46,33,5,20514,77,78,0,0.492578125,Cube_Ela5_Var20514
47,40,5,23812,100,117,0,0.594921875,Cube_Ela5_Var23812
48,135,5,57376,57,121,0,0.572265625,Cube_Ela5_Var57376
49,125,5,54033,75,124,0,0.818359375,Cube_Ela5_Var54033
50,162,5,63683,38,120,0,0,Cube_Ela5_Var63683
51,141,5,59454,39,104,0,0.367578125,Cube_Ela5_Var59454
52,25,5,16495,77,86,0,0.3640625,Cube_Ela5_Var16495
53,93,5,40512,48,74,0,0.418359375,Cube_Ela5_Var40512
54,29,5,18297,34,126,0,0.046875,Cube_Ela5_Var18297
55,55,5,29792,52,104,0,0.115234375,Cube_Ela5_Var29792
56,169,5,65603,52,159,0,0.4765625,Cube_Ela5_Var65603
57,154,5,62432,34,46,0,0.27265625,Cube_Ela5_Var62432
58,40,5,23812,100,114,0,0.596484375,Cube_Ela5_Var23812
59,88,5,39425,50,112,0,0.193359375,Cube_Ela5_Var39425
60,131,5,56403,57,178,0,0.275,Cube_Ela5_Var56403
61,113,5,50416,61,323,0,0.2640625,Cube_Ela5_Var50416
62,62,5,30951,65,132,0,0.297265625,Cube_Ela5_Var30951
63,65,5,31523,56,60,0,0.222265625,Cube_Ela5_Var31523
64,165,5,65067,57,58,0,0.194140625,Cube_Ela5_Var65067
65,2,5,533,73,74,0,0.146875,Cube_Ela5_Var533
66,28,5,17556,48,49,0,0.1296875,Cube_Ela5_Var17556
67,202,5,83408,63,73,0,0.200390625,Cube_Ela5_Var83408
68,194,5,74135,42,49,0,0.116015625,Cube_Ela5_Var74135
69,93,5,40512,48,102,0,0.247265625,Cube_Ela5_Var40512
70,187,5,70824,46,98,0,0.18515625,Cube_Ela5_Var70824
71,150,5,60710,46,135,0,0.205078125,Cube_Ela5_Var60710
72,191,5,72766,81,82,0,0.2890625,Cube_Ela5_Var72766
73,47,5,27665,80,95,0,0.258203125,Cube_Ela5_Var27665
74,153,5,61952,48,109,0,0.310546875,Cube_Ela5_Var61952
75,52,5,28740,71,89,0,0.31171875,Cube_Ela5_Var28740
76,143,5,59616,64,75,0,0.29921875,Cube_Ela5_Var59616
77,76,5,36126,34,126,0,0.209375,Cube_Ela5_Var36126
78,14,5,12524,56,115,0,0.458984375,Cube_Ela5_Var12524
79,117,5,52524,57,66,0,0.626171875,Cube_Ela5_Var52524
80,216,5,96634,73,134,0,0.52421875,Cube_Ela5_Var96634
81,77,5,36329,75,128,0,0.673046875,Cube_Ela5_Var36329
82,90,5,39860,35,132,0,0.124609375,Cube_Ela5_Var39860
83,188,5,72163,75,294,0,0.355078125,Cube_Ela5_Var72163
84,146,5,60272,84,245,0,0.612890625,Cube_Ela5_Var60272
85,109,5,48705,76,154,0,0.40390625,Cube_Ela5_Var48705
86,185,5,70169,40,116,0,0.15234375,Cube_Ela5_Var70169
87,155,5,62615,59,140,0,0.45390625,Cube_Ela5_Var62615
88,66,5,31722,77,83,0,0.816796875,Cube_Ela5_Var31722
89,123,5,53252,24,139,0,0.121484375,Cube_Ela5_Var53252
90,56,5,30299,108,125,0,0.707421875,Cube_Ela5_Var30299
91,55,5,29792,52,239,0,0.275,Cube_Ela5_Var29792
92,146,5,60272,84,150,0,0.740625,Cube_Ela5_Var60272
93,43,5,25642,75,86,0,0.44921875,Cube_Ela5_Var25642
94,152,5,61044,40,160,0,0.196484375,Cube_Ela5_Var61044
95,201,5,83015,34,134,0,0.106640625,Cube_Ela5_Var83015
96,18,5,13174,53,87,0,0.301171875,Cube_Ela5_Var13174
97,222,5,98445,51,70,0,0.426953125,Cube_Ela5_Var98445
98,56,5,30299,108,111,0,0.809375,Cube_Ela5_Var30299
99,94,5,41136,62,72,0,0.468359375,Cube_Ela5_Var41136
100,184,5,69310,69,123,0,0.587109375,Cube_Ela5_Var69310
101,211,5,93545,57,580,0,0.3609375,Cube_Ela5_Var93545
102,99,5,43010,49,153,0,0.46171875,Cube_Ela5_Var43010
103,16,5,12940,32,130,0,0.4859375,Cube_Ela5_Var12940
104,138,5,58186,36,170,0,0,Cube_Ela5_Var58186
105,24,5,15789,54,104,0,0.492578125,Cube_Ela5_Var15789
106,176,5,67123,52,97,0,0.28125,Cube_Ela5_Var67123
107,116,5,52499,30,77,0,0.1859375,Cube_Ela5_Var52499
108,78,5,36398,83,84,0,0.91171875,Cube_Ela5_Var36398
109,83,5,37781,65,86,0,0.8109375,Cube_Ela5_Var37781
110,119,5,52689,33,102,0,0.2046875,Cube_Ela5_Var52689
111,94,5,41136,62,195,0,0.5859375,Cube_Ela5_Var41136
112,81,5,37276,78,137,0,0.714453125,Cube_Ela5_Var37276
113,22,5,15298,79,157,0,0.6734375,Cube_Ela5_Var15298
114,47,5,27665,80,353,0,0.491015625,Cube_Ela5_Var27665
115,74,5,35727,81,107,0,0.291015625,Cube_Ela5_Var35727
116,171,5,66434,73,189,0,0.29296875,Cube_Ela5_Var66434
117,53,5,28848,32,58,0,0.160546875,Cube_Ela5_Var28848
118,132,5,56610,60,94,0,0.403125,Cube_Ela5_Var56610
119,10,5,10573,38,78,0,0.07421875,Cube_Ela5_Var10573
120,136,5,57832,38,95,0,0.210546875,Cube_Ela5_Var57832
121,199,5,79293,58,81,0,0.5671875,Cube_Ela5_Var79293
122,168,5,65506,74,243,0,0.415234375,Cube_Ela5_Var65506
123,38,5,23059,47,203,0,0.455859375,Cube_Ela5_Var23059
124,6,5,8740,63,184,0,0.300390625,Cube_Ela5_Var8740
125,58,5,30630,85,255,0,0.425390625,Cube_Ela5_Var30630
126,13,5,12521,61,66,0,0.257421875,Cube_Ela5_Var12521
127,18,5,13174,53,122,0,0.5265625,Cube_Ela5_Var13174
128,160,5,63484,76,82,0,0.68359375,Cube_Ela5_Var63484
129,22,5,15298,79,107,0,0.71640625,Cube_Ela5_Var15298
130,8,5,10207,79,93,0,0.852734375,Cube_Ela5_Var10207
131,35,5,22298,60,77,0,0.751171875,Cube_Ela5_Var22298
132,80,5,36782,68,80,0,0.815234375,Cube_Ela5_Var36782
133,26,5,16631,44,59,0,0.72578125,Cube_Ela5_Var16631
