trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,153,5,61952,48,101,0,0.218359375,Cube_Ela5_Var61952
2,48,5,27806,32,163,0,0.261328125,Cube_Ela5_Var27806
3,89,5,39728,32,112,0,0.115234375,Cube_Ela5_Var39728
4,43,5,25642,75,76,0,0.605078125,Cube_Ela5_Var25642
5,126,5,54385,43,54,0,0.753125,Cube_Ela5_Var54385
6,95,5,41255,74,102,0,0.819921875,Cube_Ela5_Var41255
7,141,5,59454,39,71,0,0.478515625,Cube_Ela5_Var59454
8,72,5,34859,63,77,0,0.74375,Cube_Ela5_Var34859
9,138,5,58186,36,110,0,0.33359375,Cube_Ela5_Var58186
10,202,5,83408,63,70,0,0.480078125,Cube_Ela5_Var83408
11,77,5,36329,75,233,0,0.727734375,Cube_Ela5_Var36329
12,129,5,55777,80,99,0,0.771484375,Cube_Ela5_Var55777
13,187,5,70824,46,92,0,0.787109375,Cube_Ela5_Var70824
14,142,5,59599,76,86,0,0.7140625,Cube_Ela5_Var59599
15,4,5,2014,56,116,0,0.64921875,Cube_Ela5_Var2014
16,9,5,10422,72,112,0,0.88046875,Cube_Ela5_Var10422
17,67,5,32105,48,49,0,0.808984375,Cube_Ela5_Var32105
18,79,5,36530,53,62,0,0.7125,Cube_Ela5_Var36530
19,63,5,30989,70,71,0,0.756640625,Cube_Ela5_Var30989
20,139,5,58628,33,72,0,0.751953125,Cube_Ela5_Var58628
21,47,5,27665,80,94,0,0.64375,Cube_Ela5_Var27665
22,216,5,96634,73,167,0,0.7328125,Cube_Ela5_Var96634
23,75,5,36074,39,77,0,0.62109375,Cube_Ela5_Var36074
24,158,5,63004,48,125,0,0.599609375,Cube_Ela5_Var63004
25,217,5,97115,44,91,0,0.56953125,Cube_Ela5_Var97115
26,54,5,28915,40,88,0,0.6,Cube_Ela5_Var28915
27,121,5,53012,43,88,0,0.6640625,Cube_Ela5_Var53012
28,98,5,42576,69,140,0,0.7640625,Cube_Ela5_Var42576
29,12,5,11127,36,101,0,0.36328125,Cube_Ela5_Var11127
30,77,5,36329,75,95,0,0.671484375,Cube_Ela5_Var36329
31,157,5,62983,63,314,0,0.68984375,Cube_Ela5_Var62983
32,43,5,25642,75,152,0,0.871484375,Cube_Ela5_Var25642
33,195,5,77379,50,101,0,0.3546875,Cube_Ela5_Var77379
34,222,5,98445,51,80,0,0.74609375,Cube_Ela5_Var98445
35,116,5,52499,30,70,0,0.437109375,Cube_Ela5_Var52499
36,62,5,30951,65,68,0,0.765234375,Cube_Ela5_Var30951
37,104,5,45337,36,90,0,0.817578125,Cube_Ela5_Var45337
38,48,5,27806,32,66,0,0.846875,Cube_Ela5_Var27806
39,50,5,28314,45,74,0,0.849609375,Cube_Ela5_Var28314
40,50,5,28314,45,92,0,0.96015625,Cube_Ela5_Var28314
41,187,5,70824,46,102,0,0.761328125,Cube_Ela5_Var70824
42,193,5,74000,56,59,0,0.796875,Cube_Ela5_Var74000
43,161,5,63655,38,110,0,0.438671875,Cube_Ela5_Var63655
44,42,5,25567,41,138,0,0.618359375,Cube_Ela5_Var25567
45,111,5,49550,65,69,0,0.833984375,Cube_Ela5_Var49550
46,34,5,21576,50,53,0,0.82734375,Cube_Ela5_Var21576
47,145,5,60262,36,130,0,0.196875,Cube_Ela5_Var60262
48,198,5,78625,53,78,0,0.5890625,Cube_Ela5_Var78625
49,124,5,53799,31,59,0,0.741796875,Cube_Ela5_Var53799
