trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,165,5,65067,57,81,0,0.358203125,Cube_Ela5_Var65067
2,221,5,98250,68,114,0,0.7328125,Cube_Ela5_Var98250
3,196,5,77725,45,93,0,0.597265625,Cube_Ela5_Var77725
4,14,5,12524,56,63,0,0.541796875,Cube_Ela5_Var12524
5,21,5,14552,49,61,0,0.5765625,Cube_Ela5_Var14552
6,119,5,52689,33,134,0,0.2234375,Cube_Ela5_Var52689
7,110,5,49060,67,78,0,0.3515625,Cube_Ela5_Var49060
8,186,5,70179,70,108,0,0.675,Cube_Ela5_Var70179
9,10,5,10573,38,156,0,0.098828125,Cube_Ela5_Var10573
10,149,5,60415,44,90,0,0.227734375,Cube_Ela5_Var60415
11,26,5,16631,44,114,0,0.30546875,Cube_Ela5_Var16631
12,22,5,15298,79,105,0,0.764453125,Cube_Ela5_Var15298
13,89,5,39728,32,72,0,0.05546875,Cube_Ela5_Var39728
14,193,5,74000,56,100,0,0.48203125,Cube_Ela5_Var74000
15,184,5,69310,69,135,0,0.355078125,Cube_Ela5_Var69310
16,9,5,10422,72,89,0,0.66171875,Cube_Ela5_Var10422
17,212,5,94137,61,104,0,0.536328125,Cube_Ela5_Var94137
18,43,5,25642,75,95,0,0.716015625,Cube_Ela5_Var25642
19,112,5,49906,37,157,0,0.16171875,Cube_Ela5_Var49906
20,61,5,30904,37,71,0,0.121875,Cube_Ela5_Var30904
21,173,5,66846,81,150,0,0.591015625,Cube_Ela5_Var66846
22,147,5,60335,72,104,0,0.51796875,Cube_Ela5_Var60335
23,164,5,65032,30,73,0,0.184375,Cube_Ela5_Var65032
24,100,5,43281,39,117,0,0.196875,Cube_Ela5_Var43281
25,187,5,70824,46,90,0,0.276171875,Cube_Ela5_Var70824
26,124,5,53799,31,64,0,0.303515625,Cube_Ela5_Var53799
27,59,5,30644,60,73,0,0.623046875,Cube_Ela5_Var30644
28,155,5,62615,59,66,0,0.799609375,Cube_Ela5_Var62615
29,208,5,90668,30,58,0,0.15625,Cube_Ela5_Var90668
30,19,5,13562,57,67,0,0.3546875,Cube_Ela5_Var13562
31,28,5,17556,48,117,0,0.443359375,Cube_Ela5_Var17556
32,76,5,36126,34,84,0,0.261328125,Cube_Ela5_Var36126
33,8,5,10207,79,89,0,0.65546875,Cube_Ela5_Var10207
34,15,5,12608,41,153,0,0.2734375,Cube_Ela5_Var12608
35,114,5,51065,40,86,0,0.30234375,Cube_Ela5_Var51065
36,53,5,28848,32,79,0,0.325,Cube_Ela5_Var28848
37,188,5,72163,75,108,0,0.54140625,Cube_Ela5_Var72163
38,63,5,30989,70,142,0,0.853515625,Cube_Ela5_Var30989
39,153,5,61952,48,66,0,0.25078125,Cube_Ela5_Var61952
40,190,5,72406,33,50,0,0.230859375,Cube_Ela5_Var72406
41,224,5,99116,34,116,0,0.221484375,Cube_Ela5_Var99116
42,91,5,40399,54,75,0,0.2875,Cube_Ela5_Var40399
43,87,5,39404,62,73,0,0.73828125,Cube_Ela5_Var39404
44,35,5,22298,60,63,0,0.392578125,Cube_Ela5_Var22298
45,45,5,26661,30,47,0,0.41015625,Cube_Ela5_Var26661
46,29,5,18297,34,52,0,0.163671875,Cube_Ela5_Var18297
47,160,5,63484,76,88,0,0.606640625,Cube_Ela5_Var63484
48,73,5,35598,42,64,0,0.419921875,Cube_Ela5_Var35598
49,160,5,63484,76,96,0,0.79765625,Cube_Ela5_Var63484
