trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,209,5,93025,80,145,0,0.44609375,Cube_Ela5_Var93025
2,169,5,65603,52,87,0,0.6875,Cube_Ela5_Var65603
3,76,5,36126,34,139,0,0.428125,Cube_Ela5_Var36126
4,19,5,13562,57,79,0,0.62421875,Cube_Ela5_Var13562
5,137,5,58046,59,88,0,0.6265625,Cube_Ela5_Var58046
6,81,5,37276,78,85,0,0.7140625,Cube_Ela5_Var37276
7,39,5,23710,32,62,0,0.253125,Cube_Ela5_Var23710
8,202,5,83408,63,102,0,0.533203125,Cube_Ela5_Var83408
9,136,5,57832,38,245,0,0.26328125,Cube_Ela5_Var57832
10,93,5,40512,48,69,0,0.650390625,Cube_Ela5_Var40512
11,53,5,28848,32,66,0,0.168359375,Cube_Ela5_Var28848
12,172,5,66670,66,79,0,0.90390625,Cube_Ela5_Var66670
13,204,5,85942,46,163,0,0.624609375,Cube_Ela5_Var85942
14,16,5,12940,32,99,0,0.282421875,Cube_Ela5_Var12940
15,15,5,12608,41,103,0,0.198828125,Cube_Ela5_Var12608
16,116,5,52499,30,210,0,0.222265625,Cube_Ela5_Var52499
17,63,5,30989,70,162,0,0.636328125,Cube_Ela5_Var30989
18,74,5,35727,81,175,0,0.7984375,Cube_Ela5_Var35727
19,50,5,28314,45,79,0,0.470703125,Cube_Ela5_Var28314
20,192,5,72817,41,92,0,0.12578125,Cube_Ela5_Var72817
21,46,5,27362,42,140,0,0.162890625,Cube_Ela5_Var27362
22,223,5,98967,50,127,0,0.130078125,Cube_Ela5_Var98967
23,26,5,16631,44,268,0,0.237109375,Cube_Ela5_Var16631
24,63,5,30989,70,87,0,0.656640625,Cube_Ela5_Var30989
25,184,5,69310,69,125,0,0.611328125,Cube_Ela5_Var69310
26,156,5,62668,84,89,0,0.837109375,Cube_Ela5_Var62668
27,74,5,35727,81,83,0,0.61875,Cube_Ela5_Var35727
28,40,5,23812,100,239,0,0.63671875,Cube_Ela5_Var23812
29,182,5,68343,69,105,0,0.742578125,Cube_Ela5_Var68343
30,66,5,31722,77,248,0,0.55703125,Cube_Ela5_Var31722
31,218,5,97425,89,202,0,0.566796875,Cube_Ela5_Var97425
32,200,5,79724,44,66,0,0.29921875,Cube_Ela5_Var79724
33,96,5,41906,54,76,0,0.78515625,Cube_Ela5_Var41906
34,56,5,30299,108,124,0,0.76953125,Cube_Ela5_Var30299
35,100,5,43281,39,80,0,0.500390625,Cube_Ela5_Var43281
36,188,5,72163,75,105,0,0.696484375,Cube_Ela5_Var72163
37,54,5,28915,40,134,0,0.2078125,Cube_Ela5_Var28915
38,66,5,31722,77,99,0,0.48984375,Cube_Ela5_Var31722
39,74,5,35727,81,94,0,0.241015625,Cube_Ela5_Var35727
40,165,5,65067,57,85,0,0.476171875,Cube_Ela5_Var65067
41,207,5,90330,50,102,0,0.462109375,Cube_Ela5_Var90330
42,193,5,74000,56,107,0,0.293359375,Cube_Ela5_Var74000
43,197,5,78238,63,75,0,0.13984375,Cube_Ela5_Var78238
44,132,5,56610,60,78,0,0.384765625,Cube_Ela5_Var56610
45,94,5,41136,62,166,0,0.58984375,Cube_Ela5_Var41136
46,21,5,14552,49,62,0,0.664453125,Cube_Ela5_Var14552
47,8,5,10207,79,133,0,0.899609375,Cube_Ela5_Var10207
48,9,5,10422,72,86,0,0.916015625,Cube_Ela5_Var10422
49,52,5,28740,71,85,0,0.7125,Cube_Ela5_Var28740
50,216,5,96634,73,106,0,0.566015625,Cube_Ela5_Var96634
51,194,5,74135,42,54,0,0.4875,Cube_Ela5_Var74135
52,48,5,27806,32,77,0,0.161328125,Cube_Ela5_Var27806
53,195,5,77379,50,128,0,0.351953125,Cube_Ela5_Var77379
54,225,5,99232,69,78,0,0.174609375,Cube_Ela5_Var99232
55,80,5,36782,68,70,0,0.438671875,Cube_Ela5_Var36782
56,157,5,62983,63,88,0,0.301171875,Cube_Ela5_Var62983
57,186,5,70179,70,101,0,0.528515625,Cube_Ela5_Var70179
58,175,5,67065,71,90,0,0.745703125,Cube_Ela5_Var67065
59,98,5,42576,69,122,0,0.86328125,Cube_Ela5_Var42576
60,147,5,60335,72,183,0,0.74296875,Cube_Ela5_Var60335
61,150,5,60710,46,57,0,0.433984375,Cube_Ela5_Var60710
62,218,5,97425,89,101,0,0.506640625,Cube_Ela5_Var97425
63,98,5,42576,69,150,0,0.36328125,Cube_Ela5_Var42576
64,174,5,66921,50,58,0,0.196484375,Cube_Ela5_Var66921
65,127,5,54439,75,119,0,0.348828125,Cube_Ela5_Var54439
66,37,5,22837,27,66,0,0.0609375,Cube_Ela5_Var22837
67,15,5,12608,41,63,0,0.174609375,Cube_Ela5_Var12608
68,69,5,33860,39,40,0,0.109375,Cube_Ela5_Var33860
69,222,5,98445,51,68,0,0.36015625,Cube_Ela5_Var98445
70,49,5,28250,66,89,0,0.35,Cube_Ela5_Var28250
71,178,5,67224,57,116,0,0.499609375,Cube_Ela5_Var67224
72,204,5,85942,46,63,0,0.3609375,Cube_Ela5_Var85942
73,158,5,63004,48,59,0,0.594140625,Cube_Ela5_Var63004
74,80,5,36782,68,98,0,0.677734375,Cube_Ela5_Var36782
75,55,5,29792,52,79,0,0.71484375,Cube_Ela5_Var29792
76,122,5,53239,74,99,0,0.609765625,Cube_Ela5_Var53239
77,86,5,39108,46,55,0,0.17109375,Cube_Ela5_Var39108
78,6,5,8740,63,153,0,0.3859375,Cube_Ela5_Var8740
79,106,5,46497,74,75,0,0.2875,Cube_Ela5_Var46497
80,68,5,32434,57,86,0,0.341015625,Cube_Ela5_Var32434
81,29,5,18297,34,90,0,0,Cube_Ela5_Var18297
82,173,5,66846,81,92,0,0.241015625,Cube_Ela5_Var66846
83,110,5,49060,67,91,0,0.2765625,Cube_Ela5_Var49060
84,197,5,78238,63,149,0,0.369140625,Cube_Ela5_Var78238
85,175,5,67065,71,72,0,0.626171875,Cube_Ela5_Var67065
86,100,5,43281,39,71,0,0.683984375,Cube_Ela5_Var43281
87,198,5,78625,53,108,0,0.65625,Cube_Ela5_Var78625
88,18,5,13174,53,64,0,0.650390625,Cube_Ela5_Var13174
89,55,5,29792,52,57,0,0.316015625,Cube_Ela5_Var29792
90,51,5,28640,52,71,0,0.1015625,Cube_Ela5_Var28640
91,207,5,90330,50,84,0,0.239453125,Cube_Ela5_Var90330
92,31,5,18835,36,101,0,0.059375,Cube_Ela5_Var18835
93,153,5,61952,48,83,0,0.262890625,Cube_Ela5_Var61952
94,196,5,77725,45,115,0,0.31796875,Cube_Ela5_Var77725
95,67,5,32105,48,77,0,0.61484375,Cube_Ela5_Var32105
96,71,5,34733,72,79,0,0.848828125,Cube_Ela5_Var34733
97,181,5,68230,61,77,0,0.768359375,Cube_Ela5_Var68230
98,175,5,67065,71,86,0,0.959765625,Cube_Ela5_Var67065
99,202,5,83408,63,74,0,0.89375,Cube_Ela5_Var83408
100,51,5,28640,52,59,0,0.736328125,Cube_Ela5_Var28640
101,183,5,68712,70,92,0,0.63984375,Cube_Ela5_Var68712
102,90,5,39860,35,47,0,0.16640625,Cube_Ela5_Var39860
103,157,5,62983,63,100,0,0.2078125,Cube_Ela5_Var62983
104,44,5,26240,32,66,0,0.032421875,Cube_Ela5_Var26240
105,84,5,37820,79,92,0,0.65234375,Cube_Ela5_Var37820
106,42,5,25567,41,85,0,0.176953125,Cube_Ela5_Var25567
107,167,5,65325,61,78,0,0.741015625,Cube_Ela5_Var65325
108,141,5,59454,39,72,0,0.5328125,Cube_Ela5_Var59454
109,177,5,67206,46,160,0,0.62421875,Cube_Ela5_Var67206
110,132,5,56610,60,67,0,0.748046875,Cube_Ela5_Var56610
111,105,5,46404,39,160,0,0.363671875,Cube_Ela5_Var46404
112,11,5,10988,51,91,0,0.646875,Cube_Ela5_Var10988
113,73,5,35598,42,117,0,0.498828125,Cube_Ela5_Var35598
114,99,5,43010,49,74,0,0.574609375,Cube_Ela5_Var43010
115,9,5,10422,72,210,0,0.571484375,Cube_Ela5_Var10422
116,4,5,2014,56,65,0,0.8046875,Cube_Ela5_Var2014
117,47,5,27665,80,91,0,0.786328125,Cube_Ela5_Var27665
118,151,5,60964,59,89,0,0.79921875,Cube_Ela5_Var60964
119,209,5,93025,80,97,0,0.1765625,Cube_Ela5_Var93025
120,176,5,67123,52,62,0,0.497265625,Cube_Ela5_Var67123
121,180,5,67655,77,85,0,0.350390625,Cube_Ela5_Var67655
122,209,5,93025,80,81,0,0.172265625,Cube_Ela5_Var93025
123,20,5,13902,42,76,0,0.04765625,Cube_Ela5_Var13902
124,64,5,31274,56,69,0,0.327734375,Cube_Ela5_Var31274
125,61,5,30904,37,53,0,0.072265625,Cube_Ela5_Var30904
126,24,5,15789,54,124,0,0.64453125,Cube_Ela5_Var15789
127,125,5,54033,75,81,0,0.8453125,Cube_Ela5_Var54033
128,216,5,96634,73,138,0,0.734375,Cube_Ela5_Var96634
129,123,5,53252,24,116,0,0.999609375,Cube_Ela5_Var53252
130,115,5,51632,76,233,0,0.78125,Cube_Ela5_Var51632
131,88,5,39425,50,167,0,0.7015625,Cube_Ela5_Var39425
132,186,5,70179,70,95,0,0.587109375,Cube_Ela5_Var70179
133,33,5,20514,77,105,0,0.50390625,Cube_Ela5_Var20514
134,172,5,66670,66,98,0,0.2421875,Cube_Ela5_Var66670
135,219,5,97901,60,89,0,0.12265625,Cube_Ela5_Var97901
136,133,5,56945,72,140,0,0.61015625,Cube_Ela5_Var56945
137,194,5,74135,42,112,0,0.459765625,Cube_Ela5_Var74135
138,25,5,16495,77,100,0,0.758984375,Cube_Ela5_Var16495
139,124,5,53799,31,75,0,0.364453125,Cube_Ela5_Var53799
140,190,5,72406,33,87,0,0.325390625,Cube_Ela5_Var72406
141,134,5,57348,33,129,0,0.1890625,Cube_Ela5_Var57348
142,111,5,49550,65,70,0,0.707421875,Cube_Ela5_Var49550
143,1,5,95,50,73,0,0.66171875,Cube_Ela5_Var95
144,93,5,40512,48,178,0,0.636328125,Cube_Ela5_Var40512
145,132,5,56610,60,72,0,0.844921875,Cube_Ela5_Var56610
146,84,5,37820,79,89,0,0.901171875,Cube_Ela5_Var37820
147,158,5,63004,48,59,0,0.724609375,Cube_Ela5_Var63004
148,71,5,34733,72,96,0,0.700390625,Cube_Ela5_Var34733
149,161,5,63655,38,73,0,0.49140625,Cube_Ela5_Var63655
150,30,5,18584,35,73,0,0.091015625,Cube_Ela5_Var18584
151,16,5,12940,32,63,0,0.398828125,Cube_Ela5_Var12940
152,192,5,72817,41,53,0,0.491015625,Cube_Ela5_Var72817
153,199,5,79293,58,76,0,0.60078125,Cube_Ela5_Var79293
154,208,5,90668,30,91,0,0.5734375,Cube_Ela5_Var90668
155,225,5,99232,69,71,0,0.724609375,Cube_Ela5_Var99232
156,23,5,15733,42,56,0,0.457421875,Cube_Ela5_Var15733
157,148,5,60391,51,67,0,0.138671875,Cube_Ela5_Var60391
158,48,5,27806,32,68,0,0.041015625,Cube_Ela5_Var27806
159,75,5,36074,39,80,0,0.15390625,Cube_Ela5_Var36074
160,103,5,44770,60,70,0,0.391015625,Cube_Ela5_Var44770
161,82,5,37518,46,165,0,0.466015625,Cube_Ela5_Var37518
162,91,5,40399,54,62,0,0.71640625,Cube_Ela5_Var40399
163,162,5,63683,38,78,0,0.308984375,Cube_Ela5_Var63683
164,11,5,10988,51,90,0,0.65546875,Cube_Ela5_Var10988
165,221,5,98250,68,86,0,0.77109375,Cube_Ela5_Var98250
166,36,5,22614,75,80,0,0.644921875,Cube_Ela5_Var22614
167,139,5,58628,33,130,0,0.2046875,Cube_Ela5_Var58628
168,1,5,95,50,77,0,0.064453125,Cube_Ela5_Var95
169,1,5,95,50,65,0,0.276953125,Cube_Ela5_Var95
170,30,5,18584,35,90,0,0.1515625,Cube_Ela5_Var18584
171,110,5,49060,67,113,0,0.215234375,Cube_Ela5_Var49060
172,4,5,2014,56,127,0,0.259375,Cube_Ela5_Var2014
173,65,5,31523,56,63,0,0.3609375,Cube_Ela5_Var31523
174,60,5,30868,39,52,0,0.275,Cube_Ela5_Var30868
175,121,5,53012,43,57,0,0.204296875,Cube_Ela5_Var53012
176,214,5,95627,61,134,0,0.510546875,Cube_Ela5_Var95627
177,91,5,40399,54,122,0,0.28984375,Cube_Ela5_Var40399
178,51,5,28640,52,87,0,0.14140625,Cube_Ela5_Var28640
179,77,5,36329,75,93,0,0.166796875,Cube_Ela5_Var36329
180,133,5,56945,72,119,0,0.360546875,Cube_Ela5_Var56945
181,5,5,8450,32,52,0,0.176171875,Cube_Ela5_Var8450
182,26,5,16631,44,79,0,0.48984375,Cube_Ela5_Var16631
183,85,5,38136,73,106,0,0.6171875,Cube_Ela5_Var38136
184,130,5,56121,69,314,0,0.433203125,Cube_Ela5_Var56121
185,73,5,35598,42,106,0,0.2984375,Cube_Ela5_Var35598
186,210,5,93053,44,67,0,0.46640625,Cube_Ela5_Var93053
187,69,5,33860,39,156,0,0.591796875,Cube_Ela5_Var33860
188,6,5,8740,63,101,0,0.35625,Cube_Ela5_Var8740
189,25,5,16495,77,86,0,0.688671875,Cube_Ela5_Var16495
190,137,5,58046,59,104,0,0.6671875,Cube_Ela5_Var58046
191,171,5,66434,73,176,0,0.702734375,Cube_Ela5_Var66434
192,170,5,66008,42,107,0,0.834765625,Cube_Ela5_Var66008
193,96,5,41906,54,88,0,0.816796875,Cube_Ela5_Var41906
194,68,5,32434,57,126,0,0.824609375,Cube_Ela5_Var32434
195,136,5,57832,38,119,0,0.535546875,Cube_Ela5_Var57832
196,160,5,63484,76,173,0,0.438671875,Cube_Ela5_Var63484
197,140,5,59388,27,49,0,0.156640625,Cube_Ela5_Var59388
198,106,5,46497,74,108,0,0.634375,Cube_Ela5_Var46497
199,35,5,22298,60,83,0,0.50078125,Cube_Ela5_Var22298
200,36,5,22614,75,102,0,0.428515625,Cube_Ela5_Var22614
201,145,5,60262,36,123,0,0.22890625,Cube_Ela5_Var60262
202,127,5,54439,75,107,0,0.615234375,Cube_Ela5_Var54439
203,119,5,52689,33,74,0,0.519921875,Cube_Ela5_Var52689
204,129,5,55777,80,89,0,0.770703125,Cube_Ela5_Var55777
205,181,5,68230,61,75,0,0.849609375,Cube_Ela5_Var68230
206,122,5,53239,74,75,0,0.70390625,Cube_Ela5_Var53239
207,14,5,12524,56,183,0,0.58515625,Cube_Ela5_Var12524
208,203,5,83992,73,79,0,0.854296875,Cube_Ela5_Var83992
209,199,5,79293,58,69,0,0.658203125,Cube_Ela5_Var79293
210,186,5,70179,70,83,0,0.684765625,Cube_Ela5_Var70179
211,202,5,83408,63,158,0,0.673046875,Cube_Ela5_Var83408
212,61,5,30904,37,87,0,0.3953125,Cube_Ela5_Var30904
213,8,5,10207,79,88,0,0.67109375,Cube_Ela5_Var10207
214,86,5,39108,46,111,0,0.608203125,Cube_Ela5_Var39108
215,96,5,41906,54,164,0,0.34765625,Cube_Ela5_Var41906
216,131,5,56403,57,69,0,0.565234375,Cube_Ela5_Var56403
217,83,5,37781,65,91,0,0.665625,Cube_Ela5_Var37781
218,2,5,533,73,93,0,0.646484375,Cube_Ela5_Var533
219,139,5,58628,33,44,0,0.287890625,Cube_Ela5_Var58628
220,41,5,24292,51,58,0,0.046484375,Cube_Ela5_Var24292
221,123,5,53252,24,146,0,0.64453125,Cube_Ela5_Var53252
222,92,5,40502,63,103,0,0.255078125,Cube_Ela5_Var40502
223,108,5,48452,49,111,0,0.32265625,Cube_Ela5_Var48452
224,165,5,65067,57,201,0,0.358984375,Cube_Ela5_Var65067
225,15,5,12608,41,63,0,0.555078125,Cube_Ela5_Var12608
226,166,5,65076,50,129,0,0.34765625,Cube_Ela5_Var65076
227,29,5,18297,34,63,0,0.14296875,Cube_Ela5_Var18297
228,62,5,30951,65,121,0,0.371875,Cube_Ela5_Var30951
229,92,5,40502,63,84,0,0.25703125,Cube_Ela5_Var40502
230,64,5,31274,56,96,0,0.34609375,Cube_Ela5_Var31274
231,65,5,31523,56,114,0,0.156640625,Cube_Ela5_Var31523
232,10,5,10573,38,66,0,0.425390625,Cube_Ela5_Var10573
233,206,5,90152,41,66,0,0.523046875,Cube_Ela5_Var90152
234,128,5,55634,27,66,0,0.06484375,Cube_Ela5_Var55634
235,155,5,62615,59,180,0,0.320703125,Cube_Ela5_Var62615
236,188,5,72163,75,82,0,0.60390625,Cube_Ela5_Var72163
237,133,5,56945,72,81,0,0.539453125,Cube_Ela5_Var56945
238,2,5,533,73,145,0,0.72109375,Cube_Ela5_Var533
239,113,5,50416,61,69,0,0.737109375,Cube_Ela5_Var50416
240,154,5,62432,34,53,0,0.31875,Cube_Ela5_Var62432
241,39,5,23710,32,50,0,0.286328125,Cube_Ela5_Var23710
242,225,5,99232,69,92,0,0.34453125,Cube_Ela5_Var99232
243,54,5,28915,40,120,0,0.303515625,Cube_Ela5_Var28915
244,143,5,59616,64,89,0,0.482421875,Cube_Ela5_Var59616
245,77,5,36329,75,159,0,0.518359375,Cube_Ela5_Var36329
246,10,5,10573,38,78,0,0.3453125,Cube_Ela5_Var10573
247,179,5,67592,81,98,0,0.7578125,Cube_Ela5_Var67592
248,111,5,49550,65,81,0,0.521875,Cube_Ela5_Var49550
249,138,5,58186,36,65,0,0.302734375,Cube_Ela5_Var58186
250,158,5,63004,48,63,0,0.676171875,Cube_Ela5_Var63004
251,189,5,72299,52,108,0,0.5578125,Cube_Ela5_Var72299
252,53,5,28848,32,66,0,0.2125,Cube_Ela5_Var28848
253,98,5,42576,69,101,0,0.751953125,Cube_Ela5_Var42576
254,81,5,37276,78,149,0,0.754296875,Cube_Ela5_Var37276
255,94,5,41136,62,79,0,0.769140625,Cube_Ela5_Var41136
256,190,5,72406,33,196,0,0.30703125,Cube_Ela5_Var72406
257,45,5,26661,30,91,0,0.31953125,Cube_Ela5_Var26661
258,166,5,65076,50,58,0,0.175390625,Cube_Ela5_Var65076
259,164,5,65032,30,62,0,0.369921875,Cube_Ela5_Var65032
260,144,5,59814,67,402,0,0.30625,Cube_Ela5_Var59814
261,196,5,77725,45,94,0,0.290234375,Cube_Ela5_Var77725
262,44,5,26240,32,61,0,0.179296875,Cube_Ela5_Var26240
263,138,5,58186,36,65,0,0.195703125,Cube_Ela5_Var58186
264,114,5,51065,40,123,0,0.33203125,Cube_Ela5_Var51065
265,163,5,64734,65,150,0,0.391796875,Cube_Ela5_Var64734
266,104,5,45337,36,75,0,0.37109375,Cube_Ela5_Var45337
267,102,5,44481,60,84,0,0.686328125,Cube_Ela5_Var44481
268,12,5,11127,36,69,0,0.29375,Cube_Ela5_Var11127
269,192,5,72817,41,84,0,0.41484375,Cube_Ela5_Var72817
270,21,5,14552,49,55,0,0.617578125,Cube_Ela5_Var14552
271,79,5,36530,53,62,0,0.6484375,Cube_Ela5_Var36530
272,185,5,70169,40,45,0,0.45078125,Cube_Ela5_Var70169
273,162,5,63683,38,51,0,0.332421875,Cube_Ela5_Var63683
274,222,5,98445,51,110,0,0.61640625,Cube_Ela5_Var98445
275,217,5,97115,44,79,0,0.741796875,Cube_Ela5_Var97115
276,153,5,61952,48,120,0,0.7625,Cube_Ela5_Var61952
277,105,5,46404,39,52,0,0.22578125,Cube_Ela5_Var46404
278,22,5,15298,79,88,0,0.9,Cube_Ela5_Var15298
