trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,40,5,23812,100,144,0,0.905859375,Cube_Ela5_Var23812
2,205,5,87102,35,183,0,0.72109375,Cube_Ela5_Var87102
3,83,5,37781,65,139,0,0.833984375,Cube_Ela5_Var37781
4,135,5,57376,57,189,0,0.747265625,Cube_Ela5_Var57376
5,89,5,39728,32,198,0,0.56484375,Cube_Ela5_Var39728
6,30,5,18584,35,175,0,0.614453125,Cube_Ela5_Var18584
7,85,5,38136,73,157,0,0.58125,Cube_Ela5_Var38136
8,160,5,63484,76,153,0,0.802734375,Cube_Ela5_Var63484
9,222,5,98445,51,111,0,0.6890625,Cube_Ela5_Var98445
10,19,5,13562,57,119,0,0.6859375,Cube_Ela5_Var13562
11,174,5,66921,50,102,0,0.833203125,Cube_Ela5_Var66921
12,202,5,83408,63,149,0,0.737890625,Cube_Ela5_Var83408
13,176,5,67123,52,133,0,0.658203125,Cube_Ela5_Var67123
14,155,5,62615,59,155,0,0.691796875,Cube_Ela5_Var62615
15,56,5,30299,108,196,0,0.730078125,Cube_Ela5_Var30299
16,130,5,56121,69,140,0,0.72734375,Cube_Ela5_Var56121
17,59,5,30644,60,153,0,0.63125,Cube_Ela5_Var30644
18,3,5,1753,73,156,0,0.72109375,Cube_Ela5_Var1753
19,149,5,60415,44,144,0,0.45078125,Cube_Ela5_Var60415
20,144,5,59814,67,159,0,0.4578125,Cube_Ela5_Var59814
21,87,5,39404,62,130,0,0.469921875,Cube_Ela5_Var39404
22,203,5,83992,73,74,0,0.846875,Cube_Ela5_Var83992
23,83,5,37781,65,70,0,0.648046875,Cube_Ela5_Var37781
24,34,5,21576,50,124,0,0.573828125,Cube_Ela5_Var21576
25,218,5,97425,89,110,0,0.859765625,Cube_Ela5_Var97425
26,9,5,10422,72,126,0,0.77890625,Cube_Ela5_Var10422
27,32,5,19108,60,147,0,0.74453125,Cube_Ela5_Var19108
28,22,5,15298,79,152,0,0.76640625,Cube_Ela5_Var15298
29,44,5,26240,32,210,0,0.603125,Cube_Ela5_Var26240
30,124,5,53799,31,130,0,0.57890625,Cube_Ela5_Var53799
31,194,5,74135,42,207,0,0.59375,Cube_Ela5_Var74135
32,177,5,67206,46,100,0,0.70234375,Cube_Ela5_Var67206
33,17,5,13086,78,148,0,0.606640625,Cube_Ela5_Var13086
34,208,5,90668,30,124,0,0.523046875,Cube_Ela5_Var90668
35,190,5,72406,33,170,0,0.635546875,Cube_Ela5_Var72406
36,23,5,15733,42,129,0,0.67421875,Cube_Ela5_Var15733
37,192,5,72817,41,133,0,0.542578125,Cube_Ela5_Var72817
38,137,5,58046,59,105,0,0.6078125,Cube_Ela5_Var58046
39,134,5,57348,33,113,0,0.5828125,Cube_Ela5_Var57348
40,13,5,12521,61,112,0,0.589453125,Cube_Ela5_Var12521
41,108,5,48452,49,127,0,0.59453125,Cube_Ela5_Var48452
42,197,5,78238,63,108,0,0.626953125,Cube_Ela5_Var78238
43,39,5,23710,32,170,0,0.587109375,Cube_Ela5_Var23710
44,71,5,34733,72,147,0,0.551171875,Cube_Ela5_Var34733
45,200,5,79724,44,166,0,0.587109375,Cube_Ela5_Var79724
46,191,5,72766,81,126,0,0.709765625,Cube_Ela5_Var72766
47,149,5,60415,44,109,0,0.4734375,Cube_Ela5_Var60415
48,54,5,28915,40,96,0,0.682421875,Cube_Ela5_Var28915
49,180,5,67655,77,95,0,0.7421875,Cube_Ela5_Var67655
50,198,5,78625,53,116,0,0.659765625,Cube_Ela5_Var78625
51,160,5,63484,76,77,0,0.740625,Cube_Ela5_Var63484
52,120,5,52995,36,110,0,0.4,Cube_Ela5_Var52995
53,68,5,32434,57,79,0,0.6890625,Cube_Ela5_Var32434
54,183,5,68712,70,87,0,0.56484375,Cube_Ela5_Var68712
55,32,5,19108,60,123,0,0.63046875,Cube_Ela5_Var19108
