trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,182,5,68343,69,194,0,0.266015625,Cube_Ela5_Var68343
2,71,5,34733,72,74,0,0.698828125,Cube_Ela5_Var34733
3,92,5,40502,63,96,0,0.8203125,Cube_Ela5_Var40502
4,125,5,54033,75,117,0,0.829296875,Cube_Ela5_Var54033
5,137,5,58046,59,74,0,0.7453125,Cube_Ela5_Var58046
6,121,5,53012,43,84,0,0.64140625,Cube_Ela5_Var53012
7,115,5,51632,76,154,0,0.6171875,Cube_Ela5_Var51632
8,188,5,72163,75,171,0,0.510546875,Cube_Ela5_Var72163
9,151,5,60964,59,126,0,0.7453125,Cube_Ela5_Var60964
10,14,5,12524,56,79,0,0.62578125,Cube_Ela5_Var12524
11,1,5,95,50,131,0,0.3015625,Cube_Ela5_Var95
12,70,5,34384,54,61,0,0.320703125,Cube_Ela5_Var34384
13,225,5,99232,69,127,0,0.471875,Cube_Ela5_Var99232
14,172,5,66670,66,89,0,0.256640625,Cube_Ela5_Var66670
15,36,5,22614,75,79,0,0.586328125,Cube_Ela5_Var22614
16,52,5,28740,71,143,0,0.61875,Cube_Ela5_Var28740
17,116,5,52499,30,157,0,0.400390625,Cube_Ela5_Var52499
18,185,5,70169,40,86,0,0.363671875,Cube_Ela5_Var70169
19,53,5,28848,32,49,0,0.345703125,Cube_Ela5_Var28848
20,141,5,59454,39,49,0,0.415625,Cube_Ela5_Var59454
21,11,5,10988,51,158,0,0.521484375,Cube_Ela5_Var10988
22,110,5,49060,67,74,0,0.5265625,Cube_Ela5_Var49060
23,70,5,34384,54,60,0,0.4078125,Cube_Ela5_Var34384
24,37,5,22837,27,55,0,0.34140625,Cube_Ela5_Var22837
25,71,5,34733,72,73,0,0.59296875,Cube_Ela5_Var34733
26,101,5,43352,88,151,0,0.459375,Cube_Ela5_Var43352
27,72,5,34859,63,107,0,0.424609375,Cube_Ela5_Var34859
28,128,5,55634,27,72,0,0.025390625,Cube_Ela5_Var55634
29,200,5,79724,44,70,0,0.260546875,Cube_Ela5_Var79724
30,117,5,52524,57,59,0,0.431640625,Cube_Ela5_Var52524
31,172,5,66670,66,134,0,0.29140625,Cube_Ela5_Var66670
32,150,5,60710,46,70,0,0.309765625,Cube_Ela5_Var60710
33,163,5,64734,65,129,0,0.357421875,Cube_Ela5_Var64734
34,9,5,10422,72,101,0,0.64765625,Cube_Ela5_Var10422
35,63,5,30989,70,83,0,0.584765625,Cube_Ela5_Var30989
36,221,5,98250,68,80,0,0.6171875,Cube_Ela5_Var98250
37,96,5,41906,54,110,0,0.516796875,Cube_Ela5_Var41906
38,42,5,25567,41,84,0,0.76875,Cube_Ela5_Var25567
39,85,5,38136,73,132,0,0.787890625,Cube_Ela5_Var38136
40,217,5,97115,44,87,0,0.625,Cube_Ela5_Var97115
41,128,5,55634,27,112,0,0.098046875,Cube_Ela5_Var55634
42,108,5,48452,49,50,0,0.16953125,Cube_Ela5_Var48452
43,1,5,95,50,67,0,0.455078125,Cube_Ela5_Var95
44,12,5,11127,36,53,0,0.526171875,Cube_Ela5_Var11127
45,181,5,68230,61,62,0,0.589453125,Cube_Ela5_Var68230
46,161,5,63655,38,44,0,0.814453125,Cube_Ela5_Var63655
47,97,5,41980,48,119,0,0.663671875,Cube_Ela5_Var41980
48,180,5,67655,77,156,0,0.788671875,Cube_Ela5_Var67655
49,24,5,15789,54,55,0,0.501171875,Cube_Ela5_Var15789
50,223,5,98967,50,88,0,0.207421875,Cube_Ela5_Var98967
51,190,5,72406,33,49,0,0.12890625,Cube_Ela5_Var72406
52,224,5,99116,34,62,0,0.109765625,Cube_Ela5_Var99116
53,88,5,39425,50,102,0,0.30859375,Cube_Ela5_Var39425
54,124,5,53799,31,64,0,0.278125,Cube_Ela5_Var53799
55,197,5,78238,63,64,0,0.432421875,Cube_Ela5_Var78238
56,40,5,23812,100,103,0,0.8109375,Cube_Ela5_Var23812
57,182,5,68343,69,70,0,0.45625,Cube_Ela5_Var68343
58,163,5,64734,65,68,0,0.66171875,Cube_Ela5_Var64734
59,209,5,93025,80,121,0,0.81875,Cube_Ela5_Var93025
60,60,5,30868,39,151,0,0.507421875,Cube_Ela5_Var30868
61,93,5,40512,48,55,0,0.69609375,Cube_Ela5_Var40512
62,40,5,23812,100,115,0,0.953125,Cube_Ela5_Var23812
63,191,5,72766,81,132,0,0.89375,Cube_Ela5_Var72766
64,21,5,14552,49,100,0,0.778125,Cube_Ela5_Var14552
65,74,5,35727,81,93,0,0.81875,Cube_Ela5_Var35727
66,179,5,67592,81,107,0,0.999609375,Cube_Ela5_Var67592
67,107,5,47007,44,119,0,0.716796875,Cube_Ela5_Var47007
68,150,5,60710,46,81,0,0.722265625,Cube_Ela5_Var60710
69,137,5,58046,59,120,0,0.65390625,Cube_Ela5_Var58046
70,135,5,57376,57,62,0,0.846875,Cube_Ela5_Var57376
