trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,10,5,10573,38,128,0,0.23203125,Cube_Ela5_Var10573
2,193,5,74000,56,137,0,0.217578125,Cube_Ela5_Var74000
3,19,5,13562,57,130,0,0.483984375,Cube_Ela5_Var13562
4,53,5,28848,32,165,0,0.137109375,Cube_Ela5_Var28848
5,28,5,17556,48,68,0,0.353125,Cube_Ela5_Var17556
6,134,5,57348,33,121,0,0.08125,Cube_Ela5_Var57348
7,139,5,58628,33,69,0,0.19140625,Cube_Ela5_Var58628
8,225,5,99232,69,89,0,0.5921875,Cube_Ela5_Var99232
9,112,5,49906,37,111,0,0.148046875,Cube_Ela5_Var49906
10,94,5,41136,62,76,0,0.512109375,Cube_Ela5_Var41136
11,99,5,43010,49,221,0,0.13515625,Cube_Ela5_Var43010
12,18,5,13174,53,164,0,0.605859375,Cube_Ela5_Var13174
13,177,5,67206,46,112,0,0.44609375,Cube_Ela5_Var67206
14,192,5,72817,41,76,0,0.40703125,Cube_Ela5_Var72817
15,201,5,83015,34,91,0,0.1984375,Cube_Ela5_Var83015
16,142,5,59599,76,115,0,0.514453125,Cube_Ela5_Var59599
17,38,5,23059,47,156,0,0.518359375,Cube_Ela5_Var23059
18,161,5,63655,38,72,0,0.155078125,Cube_Ela5_Var63655
19,55,5,29792,52,158,0,0.18515625,Cube_Ela5_Var29792
20,15,5,12608,41,121,0,0.164453125,Cube_Ela5_Var12608
21,26,5,16631,44,99,0,0.42109375,Cube_Ela5_Var16631
22,149,5,60415,44,53,0,0.68671875,Cube_Ela5_Var60415
23,209,5,93025,80,81,0,0.723046875,Cube_Ela5_Var93025
24,62,5,30951,65,113,0,0.91484375,Cube_Ela5_Var30951
25,63,5,30989,70,83,0,0.403515625,Cube_Ela5_Var30989
26,41,5,24292,51,88,0,0.15078125,Cube_Ela5_Var24292
27,149,5,60415,44,67,0,0.321484375,Cube_Ela5_Var60415
28,61,5,30904,37,69,0,0.1328125,Cube_Ela5_Var30904
29,183,5,68712,70,78,0,0.999609375,Cube_Ela5_Var68712
30,144,5,59814,67,68,0,0.876953125,Cube_Ela5_Var59814
31,171,5,66434,73,247,0,0.601171875,Cube_Ela5_Var66434
32,186,5,70179,70,109,0,0.741796875,Cube_Ela5_Var70179
33,182,5,68343,69,98,0,0.53828125,Cube_Ela5_Var68343
34,105,5,46404,39,40,0,0,Cube_Ela5_Var46404
35,76,5,36126,34,64,0,0,Cube_Ela5_Var36126
36,72,5,34859,63,182,0,0.416796875,Cube_Ela5_Var34859
37,187,5,70824,46,80,0,0,Cube_Ela5_Var70824
38,147,5,60335,72,85,0,0.44296875,Cube_Ela5_Var60335
39,126,5,54385,43,52,0,0.7078125,Cube_Ela5_Var54385
40,54,5,28915,40,60,0,0.68359375,Cube_Ela5_Var28915
41,20,5,13902,42,145,0,0.343359375,Cube_Ela5_Var13902
42,13,5,12521,61,116,0,0.999609375,Cube_Ela5_Var12521
43,112,5,49906,37,38,0,0.33203125,Cube_Ela5_Var49906
44,9,5,10422,72,83,0,0.919140625,Cube_Ela5_Var10422
45,39,5,23710,32,44,0,0.45859375,Cube_Ela5_Var23710
46,41,5,24292,51,73,0,0.42421875,Cube_Ela5_Var24292
47,136,5,57832,38,76,0,0.46640625,Cube_Ela5_Var57832
48,27,5,17002,68,69,0,0.716015625,Cube_Ela5_Var17002
49,117,5,52524,57,76,0,0.82890625,Cube_Ela5_Var52524
50,57,5,30592,58,67,0,0.147265625,Cube_Ela5_Var30592
51,196,5,77725,45,291,0,0.533203125,Cube_Ela5_Var77725
52,47,5,27665,80,846,0,0.455078125,Cube_Ela5_Var27665
53,80,5,36782,68,212,0,0.320703125,Cube_Ela5_Var36782
54,114,5,51065,40,68,0,0.16484375,Cube_Ela5_Var51065
55,19,5,13562,57,116,0,0.70546875,Cube_Ela5_Var13562
56,220,5,98238,47,48,0,0.31171875,Cube_Ela5_Var98238
57,153,5,61952,48,49,0,0.2296875,Cube_Ela5_Var61952
58,178,5,67224,57,114,0,0.658984375,Cube_Ela5_Var67224
59,93,5,40512,48,62,0,0.687109375,Cube_Ela5_Var40512
60,23,5,15733,42,64,0,0.511328125,Cube_Ela5_Var15733
61,197,5,78238,63,401,0,0.506640625,Cube_Ela5_Var78238
62,30,5,18584,35,76,0,0.0453125,Cube_Ela5_Var18584
63,81,5,37276,78,127,0,0.65625,Cube_Ela5_Var37276
64,83,5,37781,65,104,0,0.5984375,Cube_Ela5_Var37781
65,73,5,35598,42,44,0,0.23203125,Cube_Ela5_Var35598
66,24,5,15789,54,58,0,0.6078125,Cube_Ela5_Var15789
67,115,5,51632,76,145,0,0.59453125,Cube_Ela5_Var51632
68,201,5,83015,34,44,0,0,Cube_Ela5_Var83015
69,108,5,48452,49,92,0,0.476953125,Cube_Ela5_Var48452
70,23,5,15733,42,44,0,0.602734375,Cube_Ela5_Var15733
71,151,5,60964,59,83,0,0.4734375,Cube_Ela5_Var60964
72,76,5,36126,34,105,0,0.162890625,Cube_Ela5_Var36126
73,42,5,25567,41,343,0,0,Cube_Ela5_Var25567
74,143,5,59616,64,328,0,0.376953125,Cube_Ela5_Var59616
75,32,5,19108,60,228,0,0.227734375,Cube_Ela5_Var19108
76,223,5,98967,50,111,0,0.473046875,Cube_Ela5_Var98967
77,30,5,18584,35,78,0,0,Cube_Ela5_Var18584
78,16,5,12940,32,68,0,0.1375,Cube_Ela5_Var12940
79,74,5,35727,81,187,0,0.406640625,Cube_Ela5_Var35727
80,160,5,63484,76,109,0,0.683984375,Cube_Ela5_Var63484
81,70,5,34384,54,141,0,0.451171875,Cube_Ela5_Var34384
82,90,5,39860,35,72,0,0.3625,Cube_Ela5_Var39860
83,139,5,58628,33,159,0,0.22109375,Cube_Ela5_Var58628
84,186,5,70179,70,228,0,0.605859375,Cube_Ela5_Var70179
85,181,5,68230,61,128,0,0.63359375,Cube_Ela5_Var68230
86,121,5,53012,43,44,0,0.753125,Cube_Ela5_Var53012
87,13,5,12521,61,68,0,0.9078125,Cube_Ela5_Var12521
88,211,5,93545,57,58,0,0.710546875,Cube_Ela5_Var93545
89,141,5,59454,39,74,0,0.159375,Cube_Ela5_Var59454
90,159,5,63122,74,77,0,0.840625,Cube_Ela5_Var63122
91,129,5,55777,80,134,0,0.826171875,Cube_Ela5_Var55777
92,179,5,67592,81,120,0,0.975,Cube_Ela5_Var67592
93,99,5,43010,49,90,0,0.4515625,Cube_Ela5_Var43010
94,177,5,67206,46,62,0,0.503515625,Cube_Ela5_Var67206
95,74,5,35727,81,158,0,0.7171875,Cube_Ela5_Var35727
96,61,5,30904,37,81,0,0.5,Cube_Ela5_Var30904
97,102,5,44481,60,120,0,0.401171875,Cube_Ela5_Var44481
98,209,5,93025,80,81,0,0.6828125,Cube_Ela5_Var93025
99,101,5,43352,88,118,0,0.568359375,Cube_Ela5_Var43352
100,125,5,54033,75,76,0,0.8203125,Cube_Ela5_Var54033
101,52,5,28740,71,126,0,0.726953125,Cube_Ela5_Var28740
102,101,5,43352,88,102,0,0.616796875,Cube_Ela5_Var43352
103,32,5,19108,60,194,0,0.5796875,Cube_Ela5_Var19108
104,44,5,26240,32,127,0,0.13828125,Cube_Ela5_Var26240
105,7,5,10177,32,168,0,0.2546875,Cube_Ela5_Var10177
106,142,5,59599,76,100,0,0.598046875,Cube_Ela5_Var59599
107,38,5,23059,47,48,0,0.3984375,Cube_Ela5_Var23059
108,205,5,87102,35,43,0,0,Cube_Ela5_Var87102
109,82,5,37518,46,81,0,0.625,Cube_Ela5_Var37518
110,71,5,34733,72,2352,0,0.4375,Cube_Ela5_Var34733
111,219,5,97901,60,277,0,0.485546875,Cube_Ela5_Var97901
112,33,5,20514,77,314,0,0.465625,Cube_Ela5_Var20514
113,220,5,98238,47,121,0,0.63125,Cube_Ela5_Var98238
114,168,5,65506,74,145,0,0.78671875,Cube_Ela5_Var65506
115,180,5,67655,77,156,0,0.629296875,Cube_Ela5_Var67655
116,202,5,83408,63,439,0,0.508203125,Cube_Ela5_Var83408
117,122,5,53239,74,86,0,0.5984375,Cube_Ela5_Var53239
118,218,5,97425,89,126,0,0.85078125,Cube_Ela5_Var97425
119,38,5,23059,47,60,0,0.560546875,Cube_Ela5_Var23059
120,79,5,36530,53,101,0,0.9265625,Cube_Ela5_Var36530
121,188,5,72163,75,159,0,0.19296875,Cube_Ela5_Var72163
122,73,5,35598,42,100,0,0.055859375,Cube_Ela5_Var35598
123,208,5,90668,30,38,0,0.116796875,Cube_Ela5_Var90668
124,65,5,31523,56,57,0,0.750390625,Cube_Ela5_Var31523
125,152,5,61044,40,41,0,0.0234375,Cube_Ela5_Var61044
126,66,5,31722,77,98,0,0.69453125,Cube_Ela5_Var31722
127,124,5,53799,31,48,0,0.3125,Cube_Ela5_Var53799
128,69,5,33860,39,55,0,0.14140625,Cube_Ela5_Var33860
129,55,5,29792,52,53,0,0.798046875,Cube_Ela5_Var29792
130,176,5,67123,52,78,0,0.27734375,Cube_Ela5_Var67123
131,68,5,32434,57,196,0,0.457421875,Cube_Ela5_Var32434
132,125,5,54033,75,108,0,0.617578125,Cube_Ela5_Var54033
133,51,5,28640,52,86,0,0.348828125,Cube_Ela5_Var28640
134,214,5,95627,61,62,0,0.82109375,Cube_Ela5_Var95627
135,43,5,25642,75,80,0,0.7640625,Cube_Ela5_Var25642
136,75,5,36074,39,498,0,0.317578125,Cube_Ela5_Var36074
137,55,5,29792,52,68,0,0.858984375,Cube_Ela5_Var29792
138,209,5,93025,80,84,0,0.84921875,Cube_Ela5_Var93025
139,153,5,61952,48,216,0,0.4953125,Cube_Ela5_Var61952
140,206,5,90152,41,122,0,0.26015625,Cube_Ela5_Var90152
141,105,5,46404,39,1074,0,0.211328125,Cube_Ela5_Var46404
142,223,5,98967,50,71,0,0.220703125,Cube_Ela5_Var98967
143,130,5,56121,69,70,0,0.55859375,Cube_Ela5_Var56121
144,188,5,72163,75,114,0,0.99296875,Cube_Ela5_Var72163
145,37,5,22837,27,45,0,0.630859375,Cube_Ela5_Var22837
146,12,5,11127,36,54,0,0.01796875,Cube_Ela5_Var11127
147,171,5,66434,73,173,0,0.56484375,Cube_Ela5_Var66434
148,197,5,78238,63,70,0,0.809375,Cube_Ela5_Var78238
149,165,5,65067,57,60,0,0.268359375,Cube_Ela5_Var65067
150,113,5,50416,61,71,0,0.999609375,Cube_Ela5_Var50416
151,143,5,59616,64,65,0,0.216796875,Cube_Ela5_Var59616
152,191,5,72766,81,82,0,0.351953125,Cube_Ela5_Var72766
153,157,5,62983,63,98,0,0.194140625,Cube_Ela5_Var62983
154,32,5,19108,60,65,0,0.604296875,Cube_Ela5_Var19108
155,67,5,32105,48,73,0,0.20625,Cube_Ela5_Var32105
156,88,5,39425,50,59,0,0.184765625,Cube_Ela5_Var39425
157,121,5,53012,43,105,0,0.746484375,Cube_Ela5_Var53012
158,211,5,93545,57,61,0,0.2375,Cube_Ela5_Var93545
159,223,5,98967,50,58,0,0.11875,Cube_Ela5_Var98967
160,186,5,70179,70,105,0,0.684375,Cube_Ela5_Var70179
161,127,5,54439,75,105,0,0.194140625,Cube_Ela5_Var54439
162,141,5,59454,39,61,0,0,Cube_Ela5_Var59454
163,162,5,63683,38,294,0,0,Cube_Ela5_Var63683
164,170,5,66008,42,43,0,0.61640625,Cube_Ela5_Var66008
165,185,5,70169,40,42,0,0.14453125,Cube_Ela5_Var70169
166,5,5,8450,32,67,0,0,Cube_Ela5_Var8450
167,50,5,28314,45,55,0,0.621484375,Cube_Ela5_Var28314
168,66,5,31722,77,82,0,0.79453125,Cube_Ela5_Var31722
169,174,5,66921,50,151,0,0.66484375,Cube_Ela5_Var66921
170,60,5,30868,39,51,0,0.256640625,Cube_Ela5_Var30868
171,122,5,53239,74,112,0,0.708203125,Cube_Ela5_Var53239
172,25,5,16495,77,124,0,0.797265625,Cube_Ela5_Var16495
173,200,5,79724,44,85,0,0.175,Cube_Ela5_Var79724
174,115,5,51632,76,89,0,0.6875,Cube_Ela5_Var51632
175,126,5,54385,43,44,0,0.6359375,Cube_Ela5_Var54385
176,95,5,41255,74,81,0,0.79921875,Cube_Ela5_Var41255
177,80,5,36782,68,77,0,0.76171875,Cube_Ela5_Var36782
178,4,5,2014,56,78,0,0.187109375,Cube_Ela5_Var2014
179,43,5,25642,75,151,0,0.37578125,Cube_Ela5_Var25642
180,77,5,36329,75,80,0,0.554296875,Cube_Ela5_Var36329
181,136,5,57832,38,49,0,0.259765625,Cube_Ela5_Var57832
182,60,5,30868,39,40,0,0.645703125,Cube_Ela5_Var30868
183,212,5,94137,61,81,0,0.38125,Cube_Ela5_Var94137
184,172,5,66670,66,67,0,0.816015625,Cube_Ela5_Var66670
185,89,5,39728,32,87,0,0.187109375,Cube_Ela5_Var39728
186,33,5,20514,77,148,0,0.387890625,Cube_Ela5_Var20514
187,204,5,85942,46,52,0,0.3921875,Cube_Ela5_Var85942
188,195,5,77379,50,62,0,0.516015625,Cube_Ela5_Var77379
189,82,5,37518,46,61,0,0.54609375,Cube_Ela5_Var37518
190,74,5,35727,81,103,0,0.303515625,Cube_Ela5_Var35727
191,167,5,65325,61,207,0,0.551171875,Cube_Ela5_Var65325
192,143,5,59616,64,92,0,0.4078125,Cube_Ela5_Var59616
193,117,5,52524,57,161,0,0.598828125,Cube_Ela5_Var52524
194,150,5,60710,46,148,0,0.594140625,Cube_Ela5_Var60710
195,14,5,12524,56,210,0,0.50390625,Cube_Ela5_Var12524
196,124,5,53799,31,64,0,0.34453125,Cube_Ela5_Var53799
197,138,5,58186,36,71,0,0.13828125,Cube_Ela5_Var58186
198,224,5,99116,34,87,0,0.056640625,Cube_Ela5_Var99116
199,20,5,13902,42,53,0,0.409375,Cube_Ela5_Var13902
