trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,136,5,57832,38,157,0,0.115625,Cube_Ela5_Var57832
2,49,5,28250,66,135,0,0.287109375,Cube_Ela5_Var28250
3,166,5,65076,50,172,0,0.290234375,Cube_Ela5_Var65076
4,77,5,36329,75,105,0,0.585546875,Cube_Ela5_Var36329
5,211,5,93545,57,251,0,0.096875,Cube_Ela5_Var93545
6,15,5,12608,41,57,0,0.156640625,Cube_Ela5_Var12608
7,65,5,31523,56,178,0,0.295703125,Cube_Ela5_Var31523
8,223,5,98967,50,272,0,0.126171875,Cube_Ela5_Var98967
9,33,5,20514,77,229,0,0.262890625,Cube_Ela5_Var20514
10,187,5,70824,46,250,0,0.07265625,Cube_Ela5_Var70824
11,166,5,65076,50,204,0,0.249609375,Cube_Ela5_Var65076
12,20,5,13902,42,92,0,0.1734375,Cube_Ela5_Var13902
13,64,5,31274,56,110,0,0.53359375,Cube_Ela5_Var31274
14,76,5,36126,34,61,0,0.171484375,Cube_Ela5_Var36126
15,112,5,49906,37,114,0,0.253515625,Cube_Ela5_Var49906
16,184,5,69310,69,141,0,0.4328125,Cube_Ela5_Var69310
17,133,5,56945,72,146,0,0.4640625,Cube_Ela5_Var56945
18,53,5,28848,32,198,0,0.405078125,Cube_Ela5_Var28848
19,38,5,23059,47,110,0,0.2296875,Cube_Ela5_Var23059
20,182,5,68343,69,210,0,0.316796875,Cube_Ela5_Var68343
21,105,5,46404,39,151,0,0.30703125,Cube_Ela5_Var46404
22,107,5,47007,44,326,0,0.486328125,Cube_Ela5_Var47007
23,5,5,8450,32,114,0,0.2171875,Cube_Ela5_Var8450
24,57,5,30592,58,347,0,0.492578125,Cube_Ela5_Var30592
25,91,5,40399,54,124,0,0.59765625,Cube_Ela5_Var40399
26,176,5,67123,52,62,0,0.590234375,Cube_Ela5_Var67123
27,159,5,63122,74,109,0,0.84765625,Cube_Ela5_Var63122
28,10,5,10573,38,114,0,0.094140625,Cube_Ela5_Var10573
29,178,5,67224,57,137,0,0.304296875,Cube_Ela5_Var67224
30,184,5,69310,69,693,0,0.383984375,Cube_Ela5_Var69310
31,123,5,53252,24,245,0,0.644140625,Cube_Ela5_Var53252
32,189,5,72299,52,130,0,0.323046875,Cube_Ela5_Var72299
33,45,5,26661,30,116,0,0.149609375,Cube_Ela5_Var26661
34,2,5,533,73,221,0,0.178515625,Cube_Ela5_Var533
35,32,5,19108,60,75,0,0.683984375,Cube_Ela5_Var19108
36,112,5,49906,37,135,0,0.2671875,Cube_Ela5_Var49906
37,18,5,13174,53,390,0,0.766015625,Cube_Ela5_Var13174
38,188,5,72163,75,307,0,0.736328125,Cube_Ela5_Var72163
39,2,5,533,73,81,0,0.1484375,Cube_Ela5_Var533
40,34,5,21576,50,135,0,0.1484375,Cube_Ela5_Var21576
41,14,5,12524,56,212,0,0.736328125,Cube_Ela5_Var12524
42,62,5,30951,65,130,0,0.74375,Cube_Ela5_Var30951
43,82,5,37518,46,94,0,0.08984375,Cube_Ela5_Var37518
44,144,5,59814,67,132,0,0.78046875,Cube_Ela5_Var59814
45,76,5,36126,34,54,0,0.207421875,Cube_Ela5_Var36126
46,45,5,26661,30,85,0,0,Cube_Ela5_Var26661
47,31,5,18835,36,92,0,0.051171875,Cube_Ela5_Var18835
48,162,5,63683,38,134,0,0.1921875,Cube_Ela5_Var63683
49,52,5,28740,71,143,0,0.629296875,Cube_Ela5_Var28740
50,9,5,10422,72,136,0,0.495703125,Cube_Ela5_Var10422
51,173,5,66846,81,164,0,0.208203125,Cube_Ela5_Var66846
52,214,5,95627,61,65,0,0.251953125,Cube_Ela5_Var95627
53,22,5,15298,79,252,0,0.338671875,Cube_Ela5_Var15298
54,14,5,12524,56,225,0,0.615625,Cube_Ela5_Var12524
55,78,5,36398,83,150,0,0.358984375,Cube_Ela5_Var36398
56,74,5,35727,81,90,0,0.4125,Cube_Ela5_Var35727
57,85,5,38136,73,82,0,0.40703125,Cube_Ela5_Var38136
58,217,5,97115,44,89,0,0.226953125,Cube_Ela5_Var97115
59,114,5,51065,40,89,0,0.27890625,Cube_Ela5_Var51065
60,30,5,18584,35,63,0,0.043359375,Cube_Ela5_Var18584
61,213,5,94941,68,266,0,0.5015625,Cube_Ela5_Var94941
62,121,5,53012,43,57,0,0.544921875,Cube_Ela5_Var53012
63,206,5,90152,41,126,0,0.566796875,Cube_Ela5_Var90152
64,190,5,72406,33,51,0,0.225,Cube_Ela5_Var72406
65,197,5,78238,63,92,0,0.615234375,Cube_Ela5_Var78238
66,127,5,54439,75,167,0,0.678125,Cube_Ela5_Var54439
67,28,5,17556,48,77,0,0.48671875,Cube_Ela5_Var17556
68,196,5,77725,45,60,0,0.213671875,Cube_Ela5_Var77725
69,137,5,58046,59,206,0,0.225,Cube_Ela5_Var58046
70,135,5,57376,57,154,0,0.46171875,Cube_Ela5_Var57376
71,110,5,49060,67,213,0,0.376171875,Cube_Ela5_Var49060
72,15,5,12608,41,133,0,0.32265625,Cube_Ela5_Var12608
73,147,5,60335,72,430,0,0.556640625,Cube_Ela5_Var60335
74,54,5,28915,40,110,0,0.335546875,Cube_Ela5_Var28915
75,35,5,22298,60,115,0,0.356640625,Cube_Ela5_Var22298
76,69,5,33860,39,120,0,0.20390625,Cube_Ela5_Var33860
77,35,5,22298,60,208,0,0.3078125,Cube_Ela5_Var22298
78,40,5,23812,100,113,0,0.63671875,Cube_Ela5_Var23812
79,39,5,23710,32,108,0,0.253515625,Cube_Ela5_Var23710
80,47,5,27665,80,187,0,0.39609375,Cube_Ela5_Var27665
81,61,5,30904,37,200,0,0.241796875,Cube_Ela5_Var30904
82,23,5,15733,42,105,0,0.262890625,Cube_Ela5_Var15733
83,112,5,49906,37,168,0,0.308203125,Cube_Ela5_Var49906
84,176,5,67123,52,641,0,0.35859375,Cube_Ela5_Var67123
85,152,5,61044,40,66,0,0.232421875,Cube_Ela5_Var61044
86,37,5,22837,27,99,0,0.31015625,Cube_Ela5_Var22837
87,27,5,17002,68,164,0,0.55,Cube_Ela5_Var17002
88,185,5,70169,40,100,0,0.26328125,Cube_Ela5_Var70169
89,214,5,95627,61,66,0,0.609765625,Cube_Ela5_Var95627
90,210,5,93053,44,95,0,0.506640625,Cube_Ela5_Var93053
91,28,5,17556,48,153,0,0.200390625,Cube_Ela5_Var17556
92,100,5,43281,39,157,0,0.1578125,Cube_Ela5_Var43281
93,215,5,96448,54,61,0,0.267578125,Cube_Ela5_Var96448
94,129,5,55777,80,90,0,0.75234375,Cube_Ela5_Var55777
95,119,5,52689,33,59,0,0.288671875,Cube_Ela5_Var52689
96,210,5,93053,44,156,0,0.2578125,Cube_Ela5_Var93053
97,94,5,41136,62,73,0,0.578515625,Cube_Ela5_Var41136
98,109,5,48705,76,179,0,0.494921875,Cube_Ela5_Var48705
99,209,5,93025,80,101,0,0.692578125,Cube_Ela5_Var93025
100,173,5,66846,81,82,0,0.81015625,Cube_Ela5_Var66846
101,84,5,37820,79,155,0,0.66484375,Cube_Ela5_Var37820
102,90,5,39860,35,72,0,0.307421875,Cube_Ela5_Var39860
103,37,5,22837,27,71,0,0.138671875,Cube_Ela5_Var22837
104,98,5,42576,69,117,0,0.682421875,Cube_Ela5_Var42576
105,160,5,63484,76,77,0,0.651953125,Cube_Ela5_Var63484
106,186,5,70179,70,267,0,0.52734375,Cube_Ela5_Var70179
107,120,5,52995,36,125,0,0.3875,Cube_Ela5_Var52995
108,56,5,30299,108,122,0,0.670703125,Cube_Ela5_Var30299
109,48,5,27806,32,118,0,0.226171875,Cube_Ela5_Var27806
110,143,5,59616,64,246,0,0.6328125,Cube_Ela5_Var59616
111,168,5,65506,74,133,0,0.653515625,Cube_Ela5_Var65506
112,69,5,33860,39,200,0,0.431640625,Cube_Ela5_Var33860
113,50,5,28314,45,98,0,0.6234375,Cube_Ela5_Var28314
114,55,5,29792,52,183,0,0.218359375,Cube_Ela5_Var29792
115,154,5,62432,34,86,0,0.2265625,Cube_Ela5_Var62432
116,198,5,78625,53,573,0,0.56796875,Cube_Ela5_Var78625
117,139,5,58628,33,121,0,0.2875,Cube_Ela5_Var58628
118,177,5,67206,46,147,0,0.38359375,Cube_Ela5_Var67206
