trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,42,5,25567,41,556,0,0.61015625,Cube_Ela5_Var25567
2,150,5,60710,46,287,0,0.5234375,Cube_Ela5_Var60710
3,76,5,36126,34,245,0,0.3578125,Cube_Ela5_Var36126
4,183,5,68712,70,355,0,0.530078125,Cube_Ela5_Var68712
5,103,5,44770,60,502,0,0.3640625,Cube_Ela5_Var44770
6,166,5,65076,50,582,0,0.735546875,Cube_Ela5_Var65076
7,33,5,20514,77,433,0,0.658203125,Cube_Ela5_Var20514
8,137,5,58046,59,394,0,0.07890625,Cube_Ela5_Var58046
9,203,5,83992,73,222,0,0.81015625,Cube_Ela5_Var83992
10,16,5,12940,32,550,0,0.503515625,Cube_Ela5_Var12940
11,143,5,59616,64,325,0,0.567578125,Cube_Ela5_Var59616
12,109,5,48705,76,485,0,0.642578125,Cube_Ela5_Var48705
13,73,5,35598,42,572,0,0.67578125,Cube_Ela5_Var35598
14,185,5,70169,40,141,0,0.777734375,Cube_Ela5_Var70169
15,187,5,70824,46,176,0,0.589453125,Cube_Ela5_Var70824
16,135,5,57376,57,421,0,0.69921875,Cube_Ela5_Var57376
17,19,5,13562,57,875,0,0.42578125,Cube_Ela5_Var13562
18,40,5,23812,100,488,0,0.26171875,Cube_Ela5_Var23812
19,81,5,37276,78,1140,0,0.53125,Cube_Ela5_Var37276
20,57,5,30592,58,970,0,0.496484375,Cube_Ela5_Var30592
21,199,5,79293,58,705,0,0.42890625,Cube_Ela5_Var79293
22,10,5,10573,38,209,0,0.129296875,Cube_Ela5_Var10573
23,8,5,10207,79,190,0,0.183984375,Cube_Ela5_Var10207
24,189,5,72299,52,166,0,0.18828125,Cube_Ela5_Var72299
25,114,5,51065,40,261,0,0.3078125,Cube_Ela5_Var51065
26,94,5,41136,62,338,0,0.3453125,Cube_Ela5_Var41136
27,46,5,27362,42,413,0,0.541796875,Cube_Ela5_Var27362
28,23,5,15733,42,712,0,0.480078125,Cube_Ela5_Var15733
29,126,5,54385,43,512,0,0.15390625,Cube_Ela5_Var54385
30,109,5,48705,76,423,0,0.1140625,Cube_Ela5_Var48705
31,13,5,12521,61,993,0,0.809765625,Cube_Ela5_Var12521
32,205,5,87102,35,621,0,0.5234375,Cube_Ela5_Var87102
33,107,5,47007,44,159,0,0.446875,Cube_Ela5_Var47007
34,5,5,8450,32,248,0,0.795703125,Cube_Ela5_Var8450
35,62,5,30951,65,189,0,0.380078125,Cube_Ela5_Var30951
36,108,5,48452,49,287,0,0.380078125,Cube_Ela5_Var48452
37,50,5,28314,45,320,0,0.16875,Cube_Ela5_Var28314
38,176,5,67123,52,200,0,0.628125,Cube_Ela5_Var67123
39,140,5,59388,27,582,0,0.1046875,Cube_Ela5_Var59388
40,115,5,51632,76,479,0,0.76484375,Cube_Ela5_Var51632
41,98,5,42576,69,1120,0,0.815625,Cube_Ela5_Var42576
42,85,5,38136,73,670,0,0.58046875,Cube_Ela5_Var38136
43,102,5,44481,60,295,0,0.26171875,Cube_Ela5_Var44481
44,97,5,41980,48,245,0,0.065234375,Cube_Ela5_Var41980
45,43,5,25642,75,249,0,0.687109375,Cube_Ela5_Var25642
46,170,5,66008,42,501,0,0.44140625,Cube_Ela5_Var66008
47,148,5,60391,51,1265,0,0.22421875,Cube_Ela5_Var60391
48,37,5,22837,27,355,0,0.265234375,Cube_Ela5_Var22837
49,27,5,17002,68,901,0,0.24296875,Cube_Ela5_Var17002
50,94,5,41136,62,206,0,0.421875,Cube_Ela5_Var41136
51,208,5,90668,30,299,0,0.328515625,Cube_Ela5_Var90668
52,209,5,93025,80,170,0,0.650390625,Cube_Ela5_Var93025
53,7,5,10177,32,108,0,0.103515625,Cube_Ela5_Var10177
54,208,5,90668,30,291,0,0.316015625,Cube_Ela5_Var90668
55,28,5,17556,48,1938,0,0.3015625,Cube_Ela5_Var17556
56,34,5,21576,50,201,0,0.830859375,Cube_Ela5_Var21576
57,61,5,30904,37,337,0,0.776953125,Cube_Ela5_Var30904
58,37,5,22837,27,1289,0,0.378515625,Cube_Ela5_Var22837
59,18,5,13174,53,312,0,0.51796875,Cube_Ela5_Var13174
60,75,5,36074,39,89,0,0.115625,Cube_Ela5_Var36074
61,191,5,72766,81,156,0,0.7796875,Cube_Ela5_Var72766
62,98,5,42576,69,420,0,0.885546875,Cube_Ela5_Var42576
63,106,5,46497,74,300,0,0.240234375,Cube_Ela5_Var46497
64,171,5,66434,73,444,0,0.850390625,Cube_Ela5_Var66434
65,190,5,72406,33,394,0,0.247265625,Cube_Ela5_Var72406
66,51,5,28640,52,159,0,0.387890625,Cube_Ela5_Var28640
67,134,5,57348,33,136,0,0.54453125,Cube_Ela5_Var57348
68,29,5,18297,34,300,0,0.7375,Cube_Ela5_Var18297
69,133,5,56945,72,276,0,0.740625,Cube_Ela5_Var56945
70,173,5,66846,81,983,0,0.620703125,Cube_Ela5_Var66846
71,145,5,60262,36,189,0,0.731640625,Cube_Ela5_Var60262
72,46,5,27362,42,232,0,0.348046875,Cube_Ela5_Var27362
73,88,5,39425,50,178,0,0.786328125,Cube_Ela5_Var39425
74,190,5,72406,33,615,0,0.33203125,Cube_Ela5_Var72406
75,5,5,8450,32,134,0,0.92265625,Cube_Ela5_Var8450
76,77,5,36329,75,474,0,0.469921875,Cube_Ela5_Var36329
77,131,5,56403,57,236,0,0.4015625,Cube_Ela5_Var56403
78,28,5,17556,48,203,0,0.39921875,Cube_Ela5_Var17556
79,113,5,50416,61,204,0,0.824609375,Cube_Ela5_Var50416
80,185,5,70169,40,732,0,0.540625,Cube_Ela5_Var70169
81,4,5,2014,56,683,0,0.501953125,Cube_Ela5_Var2014
82,25,5,16495,77,380,0,0.847265625,Cube_Ela5_Var16495
83,15,5,12608,41,412,0,0.70546875,Cube_Ela5_Var12608
84,54,5,28915,40,645,0,0.394921875,Cube_Ela5_Var28915
85,225,5,99232,69,349,0,0.675,Cube_Ela5_Var99232
86,169,5,65603,52,371,0,0.73671875,Cube_Ela5_Var65603
87,12,5,11127,36,298,0,0.466796875,Cube_Ela5_Var11127
88,80,5,36782,68,666,0,0.419140625,Cube_Ela5_Var36782
89,3,5,1753,73,155,0,0.630859375,Cube_Ela5_Var1753
90,36,5,22614,75,139,0,0.404296875,Cube_Ela5_Var22614
91,8,5,10207,79,1567,0,0.475390625,Cube_Ela5_Var10207
92,88,5,39425,50,102,0,0.826171875,Cube_Ela5_Var39425
93,5,5,8450,32,83,0,0.830859375,Cube_Ela5_Var8450
94,3,5,1753,73,290,0,0.50625,Cube_Ela5_Var1753
95,193,5,74000,56,342,0,0.664453125,Cube_Ela5_Var74000
96,68,5,32434,57,183,0,0.894921875,Cube_Ela5_Var32434
97,103,5,44770,60,388,0,0.512890625,Cube_Ela5_Var44770
98,110,5,49060,67,195,0,0.508984375,Cube_Ela5_Var49060
99,151,5,60964,59,698,0,0.453515625,Cube_Ela5_Var60964
100,132,5,56610,60,291,0,0.608984375,Cube_Ela5_Var56610
101,74,5,35727,81,324,0,0.50078125,Cube_Ela5_Var35727
102,159,5,63122,74,216,0,0.66015625,Cube_Ela5_Var63122
103,163,5,64734,65,132,0,0.511328125,Cube_Ela5_Var64734
104,182,5,68343,69,757,0,0.559375,Cube_Ela5_Var68343
105,178,5,67224,57,232,0,0.48046875,Cube_Ela5_Var67224
106,50,5,28314,45,239,0,0.7375,Cube_Ela5_Var28314
107,70,5,34384,54,289,0,0.583984375,Cube_Ela5_Var34384
108,67,5,32105,48,448,0,0.6328125,Cube_Ela5_Var32105
109,15,5,12608,41,283,0,0.339453125,Cube_Ela5_Var12608
110,163,5,64734,65,358,0,0.559765625,Cube_Ela5_Var64734
111,142,5,59599,76,972,0,0.778515625,Cube_Ela5_Var59599
112,42,5,25567,41,264,0,0.6578125,Cube_Ela5_Var25567
113,66,5,31722,77,679,0,0.43359375,Cube_Ela5_Var31722
114,201,5,83015,34,116,0,0.149609375,Cube_Ela5_Var83015
115,9,5,10422,72,78,0,0.703515625,Cube_Ela5_Var10422
116,24,5,15789,54,198,0,0.41796875,Cube_Ela5_Var15789
117,192,5,72817,41,168,0,0.47734375,Cube_Ela5_Var72817
118,184,5,69310,69,145,0,0.266015625,Cube_Ela5_Var69310
119,48,5,27806,32,594,0,0.391015625,Cube_Ela5_Var27806
120,182,5,68343,69,116,0,0.21484375,Cube_Ela5_Var68343
121,175,5,67065,71,283,0,0.6671875,Cube_Ela5_Var67065
122,116,5,52499,30,182,0,0.309765625,Cube_Ela5_Var52499
123,95,5,41255,74,266,0,0.327734375,Cube_Ela5_Var41255
124,133,5,56945,72,385,0,0.494921875,Cube_Ela5_Var56945
125,35,5,22298,60,675,0,0.498828125,Cube_Ela5_Var22298
126,213,5,94941,68,129,0,0.470703125,Cube_Ela5_Var94941
127,87,5,39404,62,124,0,0.321484375,Cube_Ela5_Var39404
128,90,5,39860,35,118,0,0.369921875,Cube_Ela5_Var39860
129,175,5,67065,71,121,0,0.715234375,Cube_Ela5_Var67065
130,96,5,41906,54,135,0,0.410546875,Cube_Ela5_Var41906
131,9,5,10422,72,475,0,0.558984375,Cube_Ela5_Var10422
132,53,5,28848,32,508,0,0.397265625,Cube_Ela5_Var28848
133,220,5,98238,47,145,0,0.666796875,Cube_Ela5_Var98238
134,29,5,18297,34,337,0,0.347265625,Cube_Ela5_Var18297
135,129,5,55777,80,352,0,0.696484375,Cube_Ela5_Var55777
136,35,5,22298,60,788,0,0.520703125,Cube_Ela5_Var22298
137,168,5,65506,74,232,0,0.7359375,Cube_Ela5_Var65506
138,1,5,95,50,190,0,0.583203125,Cube_Ela5_Var95
139,27,5,17002,68,406,0,0.464453125,Cube_Ela5_Var17002
140,58,5,30630,85,347,0,0.287109375,Cube_Ela5_Var30630
141,31,5,18835,36,195,0,0.426171875,Cube_Ela5_Var18835
142,164,5,65032,30,260,0,0.703125,Cube_Ela5_Var65032
143,207,5,90330,50,418,0,0.49453125,Cube_Ela5_Var90330
144,127,5,54439,75,81,0,0.7765625,Cube_Ela5_Var54439
145,143,5,59616,64,290,0,0.62421875,Cube_Ela5_Var59616
146,157,5,62983,63,155,0,0.155078125,Cube_Ela5_Var62983
147,11,5,10988,51,156,0,0.6734375,Cube_Ela5_Var10988
148,181,5,68230,61,980,0,0.496484375,Cube_Ela5_Var68230
149,65,5,31523,56,116,0,0.746875,Cube_Ela5_Var31523
150,186,5,70179,70,120,0,0.81875,Cube_Ela5_Var70179
151,153,5,61952,48,199,0,0.615234375,Cube_Ela5_Var61952
152,122,5,53239,74,181,0,0.61171875,Cube_Ela5_Var53239
153,91,5,40399,54,224,0,0.828515625,Cube_Ela5_Var40399
154,135,5,57376,57,462,0,0.7078125,Cube_Ela5_Var57376
155,55,5,29792,52,162,0,0.779296875,Cube_Ela5_Var29792
156,64,5,31274,56,175,0,0.743359375,Cube_Ela5_Var31274
157,65,5,31523,56,112,0,0.809765625,Cube_Ela5_Var31523
158,49,5,28250,66,246,0,0.4453125,Cube_Ela5_Var28250
159,63,5,30989,70,618,0,0.730859375,Cube_Ela5_Var30989
160,66,5,31722,77,371,0,0.587890625,Cube_Ela5_Var31722
161,131,5,56403,57,177,0,0.64296875,Cube_Ela5_Var56403
162,191,5,72766,81,235,0,0.43359375,Cube_Ela5_Var72766
163,95,5,41255,74,366,0,0.621484375,Cube_Ela5_Var41255
164,181,5,68230,61,1054,0,0.41171875,Cube_Ela5_Var68230
165,32,5,19108,60,130,0,0.6046875,Cube_Ela5_Var19108
166,93,5,40512,48,147,0,0.79296875,Cube_Ela5_Var40512
167,116,5,52499,30,160,0,0.485546875,Cube_Ela5_Var52499
168,124,5,53799,31,192,0,0.43359375,Cube_Ela5_Var53799
169,162,5,63683,38,291,0,0.219921875,Cube_Ela5_Var63683
170,34,5,21576,50,352,0,0.66640625,Cube_Ela5_Var21576
171,112,5,49906,37,266,0,0.262109375,Cube_Ela5_Var49906
172,43,5,25642,75,277,0,0.384375,Cube_Ela5_Var25642
173,33,5,20514,77,1174,0,0.39140625,Cube_Ela5_Var20514
174,49,5,28250,66,134,0,0.46015625,Cube_Ela5_Var28250
175,107,5,47007,44,360,0,0.666015625,Cube_Ela5_Var47007
176,32,5,19108,60,176,0,0.808203125,Cube_Ela5_Var19108
177,162,5,63683,38,312,0,0.512890625,Cube_Ela5_Var63683
178,185,5,70169,40,1057,0,0.621875,Cube_Ela5_Var70169
179,172,5,66670,66,280,0,0.54140625,Cube_Ela5_Var66670
180,215,5,96448,54,161,0,0.768359375,Cube_Ela5_Var96448
181,125,5,54033,75,195,0,0.814453125,Cube_Ela5_Var54033
182,202,5,83408,63,183,0,0.75,Cube_Ela5_Var83408
183,183,5,68712,70,154,0,0.809375,Cube_Ela5_Var68712
184,63,5,30989,70,541,0,0.7109375,Cube_Ela5_Var30989
185,69,5,33860,39,224,0,0.28359375,Cube_Ela5_Var33860
186,16,5,12940,32,132,0,0.710546875,Cube_Ela5_Var12940
187,20,5,13902,42,473,0,0.252734375,Cube_Ela5_Var13902
188,106,5,46497,74,161,0,0.7171875,Cube_Ela5_Var46497
189,64,5,31274,56,793,0,0.591796875,Cube_Ela5_Var31274
190,137,5,58046,59,300,0,0.39375,Cube_Ela5_Var58046
191,51,5,28640,52,216,0,0.151953125,Cube_Ela5_Var28640
192,83,5,37781,65,264,0,0.090234375,Cube_Ela5_Var37781
193,197,5,78238,63,588,0,0.417578125,Cube_Ela5_Var78238
194,130,5,56121,69,168,0,0.489453125,Cube_Ela5_Var56121
195,11,5,10988,51,115,0,0.718359375,Cube_Ela5_Var10988
196,68,5,32434,57,106,0,0.848828125,Cube_Ela5_Var32434
197,196,5,77725,45,217,0,0.596484375,Cube_Ela5_Var77725
198,38,5,23059,47,779,0,0.312890625,Cube_Ela5_Var23059
199,196,5,77725,45,284,0,0.193359375,Cube_Ela5_Var77725
200,140,5,59388,27,168,0,0.172265625,Cube_Ela5_Var59388
201,68,5,32434,57,174,0,0.158984375,Cube_Ela5_Var32434
202,44,5,26240,32,138,0,0.693359375,Cube_Ela5_Var26240
203,95,5,41255,74,354,0,0.6671875,Cube_Ela5_Var41255
204,35,5,22298,60,190,0,0.601953125,Cube_Ela5_Var22298
205,127,5,54439,75,226,0,0.656640625,Cube_Ela5_Var54439
206,214,5,95627,61,679,0,0.66640625,Cube_Ela5_Var95627
207,4,5,2014,56,325,0,0.469140625,Cube_Ela5_Var2014
208,224,5,99116,34,162,0,0.30625,Cube_Ela5_Var99116
209,67,5,32105,48,158,0,0.814453125,Cube_Ela5_Var32105
210,38,5,23059,47,479,0,0.25078125,Cube_Ela5_Var23059
211,89,5,39728,32,772,0,0.59140625,Cube_Ela5_Var39728
212,153,5,61952,48,195,0,0.6828125,Cube_Ela5_Var61952
213,204,5,85942,46,235,0,0.45859375,Cube_Ela5_Var85942
214,60,5,30868,39,855,0,0.753515625,Cube_Ela5_Var30868
215,48,5,27806,32,107,0,0.637109375,Cube_Ela5_Var27806
216,119,5,52689,33,136,0,0.40703125,Cube_Ela5_Var52689
217,71,5,34733,72,81,0,0.78359375,Cube_Ela5_Var34733
218,222,5,98445,51,416,0,0.468359375,Cube_Ela5_Var98445
219,152,5,61044,40,105,0,0.56328125,Cube_Ela5_Var61044
220,10,5,10573,38,1759,0,0.565234375,Cube_Ela5_Var10573
221,45,5,26661,30,193,0,0.47421875,Cube_Ela5_Var26661
222,100,5,43281,39,83,0,0.64609375,Cube_Ela5_Var43281
223,215,5,96448,54,103,0,0.68515625,Cube_Ela5_Var96448
224,224,5,99116,34,151,0,0.418359375,Cube_Ela5_Var99116
225,165,5,65067,57,105,0,0.569140625,Cube_Ela5_Var65067
226,112,5,49906,37,107,0,0.36796875,Cube_Ela5_Var49906
227,97,5,41980,48,103,0,0.565234375,Cube_Ela5_Var41980
228,149,5,60415,44,101,0,0.526953125,Cube_Ela5_Var60415
229,171,5,66434,73,140,0,0.94296875,Cube_Ela5_Var66434
230,39,5,23710,32,145,0,0.32265625,Cube_Ela5_Var23710
231,59,5,30644,60,1030,0,0.511328125,Cube_Ela5_Var30644
232,123,5,53252,24,125,0,0.348828125,Cube_Ela5_Var53252
233,216,5,96634,73,199,0,0.655859375,Cube_Ela5_Var96634
234,59,5,30644,60,786,0,0.710546875,Cube_Ela5_Var30644
235,6,5,8740,63,332,0,0.408203125,Cube_Ela5_Var8740
236,159,5,63122,74,157,0,0.5328125,Cube_Ela5_Var63122
237,117,5,52524,57,680,0,0.540625,Cube_Ela5_Var52524
238,23,5,15733,42,166,0,0.7484375,Cube_Ela5_Var15733
239,38,5,23059,47,160,0,0.508984375,Cube_Ela5_Var23059
240,1,5,95,50,301,0,0.33203125,Cube_Ela5_Var95
241,104,5,45337,36,204,0,0.531640625,Cube_Ela5_Var45337
242,82,5,37518,46,165,0,0.416015625,Cube_Ela5_Var37518
243,224,5,99116,34,1097,0,0.533203125,Cube_Ela5_Var99116
244,181,5,68230,61,177,0,0.658203125,Cube_Ela5_Var68230
245,45,5,26661,30,271,0,0.505859375,Cube_Ela5_Var26661
246,161,5,63655,38,157,0,0.48203125,Cube_Ela5_Var63655
247,101,5,43352,88,304,0,0.500390625,Cube_Ela5_Var43352
248,24,5,15789,54,131,0,0.392578125,Cube_Ela5_Var15789
249,90,5,39860,35,145,0,0.76171875,Cube_Ela5_Var39860
250,211,5,93545,57,301,0,0.282421875,Cube_Ela5_Var93545
251,82,5,37518,46,151,0,0.65703125,Cube_Ela5_Var37518
252,62,5,30951,65,990,0,0.81640625,Cube_Ela5_Var30951
253,31,5,18835,36,283,0,0.385546875,Cube_Ela5_Var18835
254,129,5,55777,80,140,0,0.805859375,Cube_Ela5_Var55777
255,92,5,40502,63,192,0,0.55625,Cube_Ela5_Var40502
256,193,5,74000,56,512,0,0.520703125,Cube_Ela5_Var74000
257,100,5,43281,39,120,0,0.862890625,Cube_Ela5_Var43281
258,128,5,55634,27,140,0,0.78671875,Cube_Ela5_Var55634
259,192,5,72817,41,223,0,0.546484375,Cube_Ela5_Var72817
260,213,5,94941,68,207,0,0.4703125,Cube_Ela5_Var94941
261,195,5,77379,50,357,0,0.5453125,Cube_Ela5_Var77379
262,71,5,34733,72,138,0,0.511328125,Cube_Ela5_Var34733
263,141,5,59454,39,234,0,0.65078125,Cube_Ela5_Var59454
264,147,5,60335,72,562,0,0.53828125,Cube_Ela5_Var60335
265,61,5,30904,37,92,0,0.288671875,Cube_Ela5_Var30904
266,21,5,14552,49,599,0,0.67421875,Cube_Ela5_Var14552
267,214,5,95627,61,491,0,0.734765625,Cube_Ela5_Var95627
268,210,5,93053,44,135,0,0.759375,Cube_Ela5_Var93053
269,3,5,1753,73,432,0,0.7640625,Cube_Ela5_Var1753
270,142,5,59599,76,123,0,0.714453125,Cube_Ela5_Var59599
271,204,5,85942,46,376,0,0.17109375,Cube_Ela5_Var85942
272,96,5,41906,54,55,0,0.8671875,Cube_Ela5_Var41906
273,167,5,65325,61,164,0,0.453515625,Cube_Ela5_Var65325
274,225,5,99232,69,122,0,0.873046875,Cube_Ela5_Var99232
275,193,5,74000,56,124,0,0.433203125,Cube_Ela5_Var74000
276,188,5,72163,75,133,0,0.401171875,Cube_Ela5_Var72163
277,81,5,37276,78,151,0,0.378125,Cube_Ela5_Var37276
278,150,5,60710,46,146,0,0.79140625,Cube_Ela5_Var60710
279,6,5,8740,63,193,0,0.524609375,Cube_Ela5_Var8740
280,86,5,39108,46,188,0,0.65703125,Cube_Ela5_Var39108
281,111,5,49550,65,198,0,0.703125,Cube_Ela5_Var49550
282,112,5,49906,37,347,0,0.41953125,Cube_Ela5_Var49906
283,78,5,36398,83,726,0,0.601171875,Cube_Ela5_Var36398
