trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,102,5,44481,60,280,0,0.099609375,Cube_Ela5_Var44481
2,181,5,68230,61,264,0,0.15078125,Cube_Ela5_Var68230
3,128,5,55634,27,140,0,0,Cube_Ela5_Var55634
4,68,5,32434,57,237,0,0.32578125,Cube_Ela5_Var32434
5,115,5,51632,76,117,0,0.69453125,Cube_Ela5_Var51632
6,111,5,49550,65,170,0,0.1078125,Cube_Ela5_Var49550
7,34,5,21576,50,322,0,0.1234375,Cube_Ela5_Var21576
8,189,5,72299,52,238,0,0.348046875,Cube_Ela5_Var72299
9,95,5,41255,74,178,0,0.189453125,Cube_Ela5_Var41255
10,71,5,34733,72,175,0,0.662890625,Cube_Ela5_Var34733
11,198,5,78625,53,122,0,0.54296875,Cube_Ela5_Var78625
12,119,5,52689,33,95,0,0.186328125,Cube_Ela5_Var52689
13,53,5,28848,32,260,0,0.248828125,Cube_Ela5_Var28848
14,193,5,74000,56,270,0,0.88515625,Cube_Ela5_Var74000
15,74,5,35727,81,150,0,0.587890625,Cube_Ela5_Var35727
16,72,5,34859,63,164,0,0.751171875,Cube_Ela5_Var34859
17,143,5,59616,64,455,0,0.46640625,Cube_Ela5_Var59616
18,26,5,16631,44,315,0,0.549609375,Cube_Ela5_Var16631
19,67,5,32105,48,216,0,0.53984375,Cube_Ela5_Var32105
20,153,5,61952,48,138,0,0.883203125,Cube_Ela5_Var61952
21,145,5,60262,36,237,0,0.4625,Cube_Ela5_Var60262
22,156,5,62668,84,101,0,0.787109375,Cube_Ela5_Var62668
23,50,5,28314,45,119,0,0.40546875,Cube_Ela5_Var28314
24,218,5,97425,89,366,0,0.533984375,Cube_Ela5_Var97425
25,104,5,45337,36,276,0,0.34609375,Cube_Ela5_Var45337
26,135,5,57376,57,610,0,0.79765625,Cube_Ela5_Var57376
27,52,5,28740,71,155,0,0.846875,Cube_Ela5_Var28740
28,204,5,85942,46,152,0,0.16171875,Cube_Ela5_Var85942
29,165,5,65067,57,110,0,0.91484375,Cube_Ela5_Var65067
30,64,5,31274,56,74,0,0.5984375,Cube_Ela5_Var31274
31,69,5,33860,39,99,0,0.118359375,Cube_Ela5_Var33860
32,214,5,95627,61,76,0,0.985546875,Cube_Ela5_Var95627
33,207,5,90330,50,109,0,0.110546875,Cube_Ela5_Var90330
34,52,5,28740,71,114,0,0.887109375,Cube_Ela5_Var28740
35,17,5,13086,78,170,0,0.94375,Cube_Ela5_Var13086
36,30,5,18584,35,180,0,0.82890625,Cube_Ela5_Var18584
37,144,5,59814,67,350,0,0.6046875,Cube_Ela5_Var59814
38,182,5,68343,69,164,0,0.5171875,Cube_Ela5_Var68343
39,118,5,52600,62,441,0,0.761328125,Cube_Ela5_Var52600
40,29,5,18297,34,105,0,0.308984375,Cube_Ela5_Var18297
41,184,5,69310,69,82,0,0.661328125,Cube_Ela5_Var69310
42,37,5,22837,27,96,0,0.399609375,Cube_Ela5_Var22837
43,153,5,61952,48,132,0,0.53359375,Cube_Ela5_Var61952
44,96,5,41906,54,166,0,0.617578125,Cube_Ela5_Var41906
45,21,5,14552,49,78,0,0.706640625,Cube_Ela5_Var14552
46,76,5,36126,34,119,0,0.51484375,Cube_Ela5_Var36126
47,196,5,77725,45,169,0,0.337890625,Cube_Ela5_Var77725
48,140,5,59388,27,62,0,0.1515625,Cube_Ela5_Var59388
49,204,5,85942,46,238,0,0.451171875,Cube_Ela5_Var85942
50,121,5,53012,43,186,0,0.32109375,Cube_Ela5_Var53012
51,187,5,70824,46,198,0,0.365625,Cube_Ela5_Var70824
52,7,5,10177,32,204,0,0.285546875,Cube_Ela5_Var10177
53,23,5,15733,42,608,0,0.077734375,Cube_Ela5_Var15733
54,110,5,49060,67,92,0,0.66328125,Cube_Ela5_Var49060
55,166,5,65076,50,102,0,0.619140625,Cube_Ela5_Var65076
56,62,5,30951,65,97,0,0.228515625,Cube_Ela5_Var30951
57,131,5,56403,57,186,0,0.4953125,Cube_Ela5_Var56403
58,167,5,65325,61,159,0,0.641015625,Cube_Ela5_Var65325
59,64,5,31274,56,414,0,0.375,Cube_Ela5_Var31274
60,78,5,36398,83,179,0,0.403515625,Cube_Ela5_Var36398
61,157,5,62983,63,214,0,0.564453125,Cube_Ela5_Var62983
62,2,5,533,73,142,0,0.31484375,Cube_Ela5_Var533
63,206,5,90152,41,183,0,0.232421875,Cube_Ela5_Var90152
64,222,5,98445,51,156,0,0.435546875,Cube_Ela5_Var98445
65,74,5,35727,81,429,0,0.1765625,Cube_Ela5_Var35727
66,112,5,49906,37,175,0,0.11640625,Cube_Ela5_Var49906
67,52,5,28740,71,88,0,0.724609375,Cube_Ela5_Var28740
68,223,5,98967,50,139,0,0.050390625,Cube_Ela5_Var98967
69,17,5,13086,78,94,0,0.06328125,Cube_Ela5_Var13086
70,66,5,31722,77,173,0,0.7140625,Cube_Ela5_Var31722
71,22,5,15298,79,787,0,0.503125,Cube_Ela5_Var15298
72,78,5,36398,83,84,0,0.789453125,Cube_Ela5_Var36398
73,64,5,31274,56,235,0,0.603125,Cube_Ela5_Var31274
74,75,5,36074,39,86,0,0.02421875,Cube_Ela5_Var36074
75,178,5,67224,57,111,0,0.316796875,Cube_Ela5_Var67224
76,223,5,98967,50,79,0,0.10390625,Cube_Ela5_Var98967
77,121,5,53012,43,176,0,0.49765625,Cube_Ela5_Var53012
78,161,5,63655,38,61,0,0.1453125,Cube_Ela5_Var63655
79,160,5,63484,76,82,0,0.79609375,Cube_Ela5_Var63484
80,90,5,39860,35,138,0,0.384765625,Cube_Ela5_Var39860
