trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,93,5,40512,48,244,0,0.30625,Cube_Ela5_Var40512
2,28,5,17556,48,147,0,0.212109375,Cube_Ela5_Var17556
3,74,5,35727,81,164,0,0.410546875,Cube_Ela5_Var35727
4,78,5,36398,83,139,0,0.64609375,Cube_Ela5_Var36398
5,142,5,59599,76,170,0,0.519921875,Cube_Ela5_Var59599
6,184,5,69310,69,126,0,0.611328125,Cube_Ela5_Var69310
7,113,5,50416,61,122,0,0.74296875,Cube_Ela5_Var50416
8,154,5,62432,34,121,0,0.54140625,Cube_Ela5_Var62432
9,215,5,96448,54,148,0,0.5890625,Cube_Ela5_Var96448
10,205,5,87102,35,108,0,0.554296875,Cube_Ela5_Var87102
11,21,5,14552,49,162,0,0.49609375,Cube_Ela5_Var14552
12,189,5,72299,52,143,0,0.492578125,Cube_Ela5_Var72299
13,81,5,37276,78,146,0,0.5546875,Cube_Ela5_Var37276
14,127,5,54439,75,85,0,0.8765625,Cube_Ela5_Var54439
15,145,5,60262,36,111,0,0.362109375,Cube_Ela5_Var60262
16,94,5,41136,62,98,0,0.86875,Cube_Ela5_Var41136
17,98,5,42576,69,111,0,0.634375,Cube_Ela5_Var42576
18,31,5,18835,36,129,0,0.41640625,Cube_Ela5_Var18835
19,73,5,35598,42,91,0,0.47421875,Cube_Ela5_Var35598
20,120,5,52995,36,63,0,0.29140625,Cube_Ela5_Var52995
21,156,5,62668,84,161,0,0.71171875,Cube_Ela5_Var62668
22,107,5,47007,44,158,0,0.512109375,Cube_Ela5_Var47007
23,138,5,58186,36,93,0,0.394921875,Cube_Ela5_Var58186
24,197,5,78238,63,74,0,0.6109375,Cube_Ela5_Var78238
25,103,5,44770,60,122,0,0.763671875,Cube_Ela5_Var44770
26,76,5,36126,34,176,0,0.465625,Cube_Ela5_Var36126
27,149,5,60415,44,135,0,0.499609375,Cube_Ela5_Var60415
28,135,5,57376,57,117,0,0.57578125,Cube_Ela5_Var57376
29,188,5,72163,75,81,0,0.75546875,Cube_Ela5_Var72163
30,91,5,40399,54,89,0,0.83046875,Cube_Ela5_Var40399
31,176,5,67123,52,73,0,0.8609375,Cube_Ela5_Var67123
32,104,5,45337,36,85,0,0.4140625,Cube_Ela5_Var45337
33,115,5,51632,76,118,0,0.730859375,Cube_Ela5_Var51632
34,29,5,18297,34,124,0,0.339453125,Cube_Ela5_Var18297
35,183,5,68712,70,82,0,0.675,Cube_Ela5_Var68712
36,97,5,41980,48,106,0,0.514453125,Cube_Ela5_Var41980
37,65,5,31523,56,63,0,0.733203125,Cube_Ela5_Var31523
38,219,5,97901,60,75,0,0.812109375,Cube_Ela5_Var97901
39,101,5,43352,88,211,0,0.915234375,Cube_Ela5_Var43352
40,61,5,30904,37,93,0,0.361328125,Cube_Ela5_Var30904
41,198,5,78625,53,167,0,0.4109375,Cube_Ela5_Var78625
42,162,5,63683,38,156,0,0.357421875,Cube_Ela5_Var63683
43,118,5,52600,62,144,0,0.713671875,Cube_Ela5_Var52600
44,64,5,31274,56,124,0,0.621484375,Cube_Ela5_Var31274
45,174,5,66921,50,139,0,0.5515625,Cube_Ela5_Var66921
46,211,5,93545,57,173,0,0.580859375,Cube_Ela5_Var93545
47,222,5,98445,51,109,0,0.68046875,Cube_Ela5_Var98445
48,196,5,77725,45,105,0,0.675390625,Cube_Ela5_Var77725
49,46,5,27362,42,114,0,0.47734375,Cube_Ela5_Var27362
50,193,5,74000,56,87,0,0.853515625,Cube_Ela5_Var74000
51,202,5,83408,63,127,0,0.915625,Cube_Ela5_Var83408
52,51,5,28640,52,174,0,0.6203125,Cube_Ela5_Var28640
53,5,5,8450,32,94,0,0.4921875,Cube_Ela5_Var8450
54,71,5,34733,72,73,0,0.8828125,Cube_Ela5_Var34733
55,27,5,17002,68,137,0,0.655078125,Cube_Ela5_Var17002
56,208,5,90668,30,171,0,0.037890625,Cube_Ela5_Var90668
57,173,5,66846,81,162,0,0.6703125,Cube_Ela5_Var66846
58,162,5,63683,38,80,0,0.576953125,Cube_Ela5_Var63683
59,52,5,28740,71,92,0,0.655078125,Cube_Ela5_Var28740
60,123,5,53252,24,123,0,0.413671875,Cube_Ela5_Var53252
61,121,5,53012,43,325,0,0.409765625,Cube_Ela5_Var53012
62,14,5,12524,56,90,0,0.8046875,Cube_Ela5_Var12524
63,207,5,90330,50,153,0,0.475390625,Cube_Ela5_Var90330
