trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,128,5,55634,27,103,0,0.194140625,Cube_Ela5_Var55634
2,221,5,98250,68,137,0,0.81171875,Cube_Ela5_Var98250
3,132,5,56610,60,61,0,0.844921875,Cube_Ela5_Var56610
4,19,5,13562,57,126,0,0.482421875,Cube_Ela5_Var13562
5,173,5,66846,81,146,0,0.7015625,Cube_Ela5_Var66846
6,183,5,68712,70,103,0,0.747265625,Cube_Ela5_Var68712
7,62,5,30951,65,132,0,0.7625,Cube_Ela5_Var30951
8,51,5,28640,52,130,0,0.523046875,Cube_Ela5_Var28640
9,218,5,97425,89,209,0,0.999609375,Cube_Ela5_Var97425
10,118,5,52600,62,110,0,0.831640625,Cube_Ela5_Var52600
11,158,5,63004,48,101,0,0.7859375,Cube_Ela5_Var63004
12,215,5,96448,54,65,0,0.63671875,Cube_Ela5_Var96448
13,151,5,60964,59,188,0,0.49453125,Cube_Ela5_Var60964
14,127,5,54439,75,105,0,0.733984375,Cube_Ela5_Var54439
15,178,5,67224,57,116,0,0.999609375,Cube_Ela5_Var67224
16,103,5,44770,60,194,0,0.76875,Cube_Ela5_Var44770
17,155,5,62615,59,104,0,0.999609375,Cube_Ela5_Var62615
18,134,5,57348,33,77,0,0.291015625,Cube_Ela5_Var57348
19,94,5,41136,62,126,0,0.999609375,Cube_Ela5_Var41136
20,68,5,32434,57,130,0,0.8484375,Cube_Ela5_Var32434
21,36,5,22614,75,138,0,0.469921875,Cube_Ela5_Var22614
22,42,5,25567,41,102,0,0.48203125,Cube_Ela5_Var25567
23,135,5,57376,57,61,0,0.806640625,Cube_Ela5_Var57376
24,29,5,18297,34,175,0,0.357421875,Cube_Ela5_Var18297
25,84,5,37820,79,124,0,0.999609375,Cube_Ela5_Var37820
26,195,5,77379,50,51,0,0.999609375,Cube_Ela5_Var77379
27,209,5,93025,80,140,0,0.524609375,Cube_Ela5_Var93025
28,119,5,52689,33,65,0,0.265234375,Cube_Ela5_Var52689
29,84,5,37820,79,160,0,0.747265625,Cube_Ela5_Var37820
30,71,5,34733,72,123,0,0.80703125,Cube_Ela5_Var34733
31,33,5,20514,77,138,0,0.517578125,Cube_Ela5_Var20514
32,10,5,10573,38,58,0,0.27578125,Cube_Ela5_Var10573
33,51,5,28640,52,106,0,0.641796875,Cube_Ela5_Var28640
34,116,5,52499,30,56,0,0.43125,Cube_Ela5_Var52499
35,33,5,20514,77,96,0,0.608984375,Cube_Ela5_Var20514
36,109,5,48705,76,122,0,0.8359375,Cube_Ela5_Var48705
37,40,5,23812,100,245,0,0.999609375,Cube_Ela5_Var23812
