trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,147,5,60335,72,264,0,0.408203125,Cube_Ela5_Var60335
2,120,5,52995,36,152,0,0.131640625,Cube_Ela5_Var52995
3,117,5,52524,57,174,0,0.820703125,Cube_Ela5_Var52524
4,57,5,30592,58,200,0,0.3609375,Cube_Ela5_Var30592
5,85,5,38136,73,225,0,0.718359375,Cube_Ela5_Var38136
6,213,5,94941,68,163,0,0.5859375,Cube_Ela5_Var94941
7,174,5,66921,50,302,0,0.730859375,Cube_Ela5_Var66921
8,135,5,57376,57,307,0,0.730859375,Cube_Ela5_Var57376
9,22,5,15298,79,255,0,0.887890625,Cube_Ela5_Var15298
10,58,5,30630,85,258,0,0.3640625,Cube_Ela5_Var30630
11,3,5,1753,73,222,0,0.15625,Cube_Ela5_Var1753
12,175,5,67065,71,335,0,0.691015625,Cube_Ela5_Var67065
13,211,5,93545,57,259,0,0.179296875,Cube_Ela5_Var93545
14,93,5,40512,48,204,0,0.6,Cube_Ela5_Var40512
15,7,5,10177,32,210,0,0.0078125,Cube_Ela5_Var10177
16,173,5,66846,81,335,0,0.84921875,Cube_Ela5_Var66846
17,26,5,16631,44,127,0,0.4171875,Cube_Ela5_Var16631
18,98,5,42576,69,210,0,0.366015625,Cube_Ela5_Var42576
19,109,5,48705,76,237,0,0.287109375,Cube_Ela5_Var48705
20,196,5,77725,45,266,0,0.642578125,Cube_Ela5_Var77725
21,74,5,35727,81,191,0,0.2671875,Cube_Ela5_Var35727
22,219,5,97901,60,287,0,0.626171875,Cube_Ela5_Var97901
23,164,5,65032,30,277,0,0.133984375,Cube_Ela5_Var65032
24,125,5,54033,75,145,0,0.84453125,Cube_Ela5_Var54033
25,200,5,79724,44,108,0,0.26171875,Cube_Ela5_Var79724
26,45,5,26661,30,97,0,0.2484375,Cube_Ela5_Var26661
27,108,5,48452,49,99,0,0.733984375,Cube_Ela5_Var48452
28,49,5,28250,66,259,0,0.464453125,Cube_Ela5_Var28250
29,107,5,47007,44,241,0,0.362890625,Cube_Ela5_Var47007
30,166,5,65076,50,153,0,0.298828125,Cube_Ela5_Var65076
31,144,5,59814,67,83,0,0.601953125,Cube_Ela5_Var59814
32,133,5,56945,72,176,0,0.338671875,Cube_Ela5_Var56945
33,113,5,50416,61,190,0,0.629296875,Cube_Ela5_Var50416
34,180,5,67655,77,156,0,0.61171875,Cube_Ela5_Var67655
35,38,5,23059,47,146,0,0.342578125,Cube_Ela5_Var23059
36,212,5,94137,61,322,0,0.4171875,Cube_Ela5_Var94137
37,105,5,46404,39,284,0,0.030859375,Cube_Ela5_Var46404
38,209,5,93025,80,207,0,0.16640625,Cube_Ela5_Var93025
39,3,5,1753,73,214,0,0.359765625,Cube_Ela5_Var1753
40,84,5,37820,79,218,0,0.61640625,Cube_Ela5_Var37820
41,185,5,70169,40,180,0,0.220703125,Cube_Ela5_Var70169
42,142,5,59599,76,195,0,0.59765625,Cube_Ela5_Var59599
43,188,5,72163,75,369,0,0.236328125,Cube_Ela5_Var72163
44,134,5,57348,33,102,0,0.118359375,Cube_Ela5_Var57348
45,200,5,79724,44,137,0,0.276171875,Cube_Ela5_Var79724
46,208,5,90668,30,98,0,0.11875,Cube_Ela5_Var90668
47,125,5,54033,75,142,0,0.628515625,Cube_Ela5_Var54033
48,61,5,30904,37,130,0,0.048046875,Cube_Ela5_Var30904
49,180,5,67655,77,203,0,0.44765625,Cube_Ela5_Var67655
50,192,5,72817,41,175,0,0.23671875,Cube_Ela5_Var72817
51,132,5,56610,60,102,0,0.6921875,Cube_Ela5_Var56610
52,108,5,48452,49,88,0,0.615625,Cube_Ela5_Var48452
53,63,5,30989,70,198,0,0.6671875,Cube_Ela5_Var30989
54,207,5,90330,50,121,0,0.321484375,Cube_Ela5_Var90330
55,205,5,87102,35,110,0,0.3234375,Cube_Ela5_Var87102
56,166,5,65076,50,170,0,0.215625,Cube_Ela5_Var65076
57,115,5,51632,76,296,0,0.31015625,Cube_Ela5_Var51632
58,134,5,57348,33,266,0,0.11015625,Cube_Ela5_Var57348
59,9,5,10422,72,146,0,0.64609375,Cube_Ela5_Var10422
60,148,5,60391,51,292,0,0.5125,Cube_Ela5_Var60391
61,214,5,95627,61,186,0,0.657421875,Cube_Ela5_Var95627
62,159,5,63122,74,208,0,0.6453125,Cube_Ela5_Var63122
63,52,5,28740,71,238,0,0.58984375,Cube_Ela5_Var28740
64,193,5,74000,56,171,0,0.681640625,Cube_Ela5_Var74000
65,154,5,62432,34,210,0,0.146484375,Cube_Ela5_Var62432
66,90,5,39860,35,98,0,0.147265625,Cube_Ela5_Var39860
67,175,5,67065,71,116,0,0.72265625,Cube_Ela5_Var67065
68,74,5,35727,81,153,0,0.742578125,Cube_Ela5_Var35727
69,136,5,57832,38,78,0,0.189453125,Cube_Ela5_Var57832
70,169,5,65603,52,83,0,0.44609375,Cube_Ela5_Var65603
71,213,5,94941,68,164,0,0.715234375,Cube_Ela5_Var94941
72,211,5,93545,57,164,0,0.2125,Cube_Ela5_Var93545
73,116,5,52499,30,66,0,0.1265625,Cube_Ela5_Var52499
74,90,5,39860,35,100,0,0.149609375,Cube_Ela5_Var39860
75,200,5,79724,44,185,0,0.182421875,Cube_Ela5_Var79724
76,105,5,46404,39,133,0,0.15703125,Cube_Ela5_Var46404
77,44,5,26240,32,344,0,0.12890625,Cube_Ela5_Var26240
78,40,5,23812,100,358,0,0.597265625,Cube_Ela5_Var23812
79,49,5,28250,66,237,0,0.149609375,Cube_Ela5_Var28250
80,68,5,32434,57,115,0,0.68359375,Cube_Ela5_Var32434
81,111,5,49550,65,132,0,0.25625,Cube_Ela5_Var49550
82,214,5,95627,61,194,0,0.709375,Cube_Ela5_Var95627
83,123,5,53252,24,119,0,0.0375,Cube_Ela5_Var53252
84,37,5,22837,27,112,0,0.151953125,Cube_Ela5_Var22837
85,109,5,48705,76,189,0,0.612890625,Cube_Ela5_Var48705
86,36,5,22614,75,226,0,0.31640625,Cube_Ela5_Var22614
87,82,5,37518,46,152,0,0.190234375,Cube_Ela5_Var37518
88,52,5,28740,71,207,0,0.703515625,Cube_Ela5_Var28740
89,155,5,62615,59,144,0,0.764453125,Cube_Ela5_Var62615
90,158,5,63004,48,98,0,0.587890625,Cube_Ela5_Var63004
91,121,5,53012,43,175,0,0.21875,Cube_Ela5_Var53012
92,44,5,26240,32,66,0,0.124609375,Cube_Ela5_Var26240
93,69,5,33860,39,178,0,0.157421875,Cube_Ela5_Var33860
94,195,5,77379,50,251,0,0.50625,Cube_Ela5_Var77379
95,66,5,31722,77,167,0,0.6375,Cube_Ela5_Var31722
96,115,5,51632,76,154,0,0.690625,Cube_Ela5_Var51632
97,51,5,28640,52,146,0,0.252734375,Cube_Ela5_Var28640
98,17,5,13086,78,154,0,0.625,Cube_Ela5_Var13086
99,140,5,59388,27,92,0,0.103515625,Cube_Ela5_Var59388
100,23,5,15733,42,122,0,0.602734375,Cube_Ela5_Var15733
101,68,5,32434,57,183,0,0.688671875,Cube_Ela5_Var32434
102,120,5,52995,36,107,0,0.2015625,Cube_Ela5_Var52995
103,72,5,34859,63,113,0,0.3,Cube_Ela5_Var34859
104,196,5,77725,45,461,0,0.344140625,Cube_Ela5_Var77725
105,106,5,46497,74,158,0,0.3625,Cube_Ela5_Var46497
106,167,5,65325,61,172,0,0.57265625,Cube_Ela5_Var65325
107,111,5,49550,65,112,0,0.603515625,Cube_Ela5_Var49550
108,158,5,63004,48,218,0,0.3921875,Cube_Ela5_Var63004
109,30,5,18584,35,108,0,0.12109375,Cube_Ela5_Var18584
110,94,5,41136,62,176,0,0.219140625,Cube_Ela5_Var41136
111,6,5,8740,63,225,0,0.244140625,Cube_Ela5_Var8740
112,130,5,56121,69,157,0,0.584375,Cube_Ela5_Var56121
113,29,5,18297,34,91,0,0.14140625,Cube_Ela5_Var18297
114,222,5,98445,51,118,0,0.783984375,Cube_Ela5_Var98445
115,33,5,20514,77,144,0,0.64921875,Cube_Ela5_Var20514
116,78,5,36398,83,164,0,0.719140625,Cube_Ela5_Var36398
117,212,5,94137,61,196,0,0.255078125,Cube_Ela5_Var94137
118,136,5,57832,38,111,0,0.08359375,Cube_Ela5_Var57832
119,25,5,16495,77,151,0,0.723046875,Cube_Ela5_Var16495
120,60,5,30868,39,80,0,0.04453125,Cube_Ela5_Var30868
121,119,5,52689,33,107,0,0.133984375,Cube_Ela5_Var52689
122,12,5,11127,36,74,0,0.145703125,Cube_Ela5_Var11127
123,11,5,10988,51,102,0,0.6359375,Cube_Ela5_Var10988
124,6,5,8740,63,79,0,0.645703125,Cube_Ela5_Var8740
125,116,5,52499,30,62,0,0.222265625,Cube_Ela5_Var52499
126,152,5,61044,40,81,0,0.2015625,Cube_Ela5_Var61044
127,162,5,63683,38,74,0,0.17109375,Cube_Ela5_Var63683
128,147,5,60335,72,76,0,0.708984375,Cube_Ela5_Var60335
129,6,5,8740,63,71,0,0.896484375,Cube_Ela5_Var8740
130,53,5,28848,32,99,0,0.22421875,Cube_Ela5_Var28848
131,197,5,78238,63,128,0,0.75859375,Cube_Ela5_Var78238
132,141,5,59454,39,80,0,0.1921875,Cube_Ela5_Var59454
133,145,5,60262,36,116,0,0.07265625,Cube_Ela5_Var60262
134,208,5,90668,30,156,0,0.3234375,Cube_Ela5_Var90668
135,187,5,70824,46,212,0,0.64921875,Cube_Ela5_Var70824
136,165,5,65067,57,115,0,0.570703125,Cube_Ela5_Var65067
137,73,5,35598,42,211,0,0.482421875,Cube_Ela5_Var35598
138,39,5,23710,32,92,0,0.052734375,Cube_Ela5_Var23710
139,129,5,55777,80,84,0,0.78359375,Cube_Ela5_Var55777
140,176,5,67123,52,154,0,0.79375,Cube_Ela5_Var67123
141,191,5,72766,81,82,0,0.782421875,Cube_Ela5_Var72766
142,65,5,31523,56,209,0,0.65859375,Cube_Ela5_Var31523
143,105,5,46404,39,80,0,0.18515625,Cube_Ela5_Var46404
144,1,5,95,50,100,0,0.643359375,Cube_Ela5_Var95
145,124,5,53799,31,64,0,0.270703125,Cube_Ela5_Var53799
146,12,5,11127,36,101,0,0.145703125,Cube_Ela5_Var11127
147,166,5,65076,50,95,0,0.633984375,Cube_Ela5_Var65076
148,205,5,87102,35,176,0,0.744140625,Cube_Ela5_Var87102
