trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,119,5,52689,33,93,0,0.03359375,Cube_Ela5_Var52689
2,12,5,11127,36,111,0,0,Cube_Ela5_Var11127
3,145,5,60262,36,74,0,0,Cube_Ela5_Var60262
4,77,5,36329,75,217,0,0.521875,Cube_Ela5_Var36329
5,202,5,83408,63,143,0,0.876171875,Cube_Ela5_Var83408
6,223,5,98967,50,121,0,0.2484375,Cube_Ela5_Var98967
7,135,5,57376,57,104,0,0.79765625,Cube_Ela5_Var57376
8,7,5,10177,32,85,0,0.04609375,Cube_Ela5_Var10177
9,215,5,96448,54,123,0,0.5640625,Cube_Ela5_Var96448
10,132,5,56610,60,122,0,0.97578125,Cube_Ela5_Var56610
11,171,5,66434,73,145,0,0.9484375,Cube_Ela5_Var66434
12,34,5,21576,50,102,0,0.733203125,Cube_Ela5_Var21576
13,166,5,65076,50,99,0,0.743359375,Cube_Ela5_Var65076
14,86,5,39108,46,105,0,0.659765625,Cube_Ela5_Var39108
15,28,5,17556,48,91,0,0.674609375,Cube_Ela5_Var17556
16,170,5,66008,42,65,0,0.8359375,Cube_Ela5_Var66008
17,19,5,13562,57,90,0,0.45078125,Cube_Ela5_Var13562
18,116,5,52499,30,62,0,0.111328125,Cube_Ela5_Var52499
19,223,5,98967,50,101,0,0.131640625,Cube_Ela5_Var98967
20,90,5,39860,35,110,0,0.550390625,Cube_Ela5_Var39860
21,131,5,56403,57,113,0,0.7265625,Cube_Ela5_Var56403
22,176,5,67123,52,108,0,0.732421875,Cube_Ela5_Var67123
23,136,5,57832,38,116,0,0.278515625,Cube_Ela5_Var57832
24,141,5,59454,39,75,0,0.3109375,Cube_Ela5_Var59454
25,114,5,51065,40,131,0,0.276171875,Cube_Ela5_Var51065
26,67,5,32105,48,84,0,0.05078125,Cube_Ela5_Var32105
27,30,5,18584,35,82,0,0.29765625,Cube_Ela5_Var18584
28,69,5,33860,39,156,0,0.2734375,Cube_Ela5_Var33860
29,93,5,40512,48,94,0,0.933203125,Cube_Ela5_Var40512
30,97,5,41980,48,116,0,0.640625,Cube_Ela5_Var41980
31,29,5,18297,34,175,0,0.359765625,Cube_Ela5_Var18297
32,214,5,95627,61,98,0,0.999609375,Cube_Ela5_Var95627
33,221,5,98250,68,161,0,0.55703125,Cube_Ela5_Var98250
34,117,5,52524,57,73,0,0.84140625,Cube_Ela5_Var52524
35,52,5,28740,71,77,0,0.87421875,Cube_Ela5_Var28740
36,110,5,49060,67,204,0,0.817578125,Cube_Ela5_Var49060
37,73,5,35598,42,76,0,0.286328125,Cube_Ela5_Var35598
