trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,153,5,61952,48,147,0,0.094140625,Cube_Ela5_Var61952
2,208,5,90668,30,115,0,0.0296875,Cube_Ela5_Var90668
3,38,5,23059,47,132,0,0.282421875,Cube_Ela5_Var23059
4,161,5,63655,38,117,0,0.16171875,Cube_Ela5_Var63655
5,113,5,50416,61,133,0,0.612109375,Cube_Ela5_Var50416
6,24,5,15789,54,105,0,0.159375,Cube_Ela5_Var15789
7,196,5,77725,45,145,0,0.246484375,Cube_Ela5_Var77725
8,27,5,17002,68,326,0,0.12734375,Cube_Ela5_Var17002
9,170,5,66008,42,181,0,0.180078125,Cube_Ela5_Var66008
10,64,5,31274,56,227,0,0.08203125,Cube_Ela5_Var31274
11,30,5,18584,35,173,0,0.1328125,Cube_Ela5_Var18584
12,217,5,97115,44,128,0,0.148046875,Cube_Ela5_Var97115
13,113,5,50416,61,183,0,0.520703125,Cube_Ela5_Var50416
14,88,5,39425,50,173,0,0.394921875,Cube_Ela5_Var39425
15,164,5,65032,30,97,0,0.112109375,Cube_Ela5_Var65032
16,105,5,46404,39,263,0,0.066796875,Cube_Ela5_Var46404
17,135,5,57376,57,156,0,0.38828125,Cube_Ela5_Var57376
18,168,5,65506,74,160,0,0.65390625,Cube_Ela5_Var65506
19,206,5,90152,41,168,0,0.13984375,Cube_Ela5_Var90152
20,70,5,34384,54,272,0,0.31015625,Cube_Ela5_Var34384
21,5,5,8450,32,195,0,0.141015625,Cube_Ela5_Var8450
22,52,5,28740,71,200,0,0.3578125,Cube_Ela5_Var28740
23,152,5,61044,40,124,0,0.106640625,Cube_Ela5_Var61044
24,28,5,17556,48,98,0,0.18203125,Cube_Ela5_Var17556
25,223,5,98967,50,170,0,0.025,Cube_Ela5_Var98967
26,216,5,96634,73,207,0,0.576953125,Cube_Ela5_Var96634
27,89,5,39728,32,91,0,0.058984375,Cube_Ela5_Var39728
28,213,5,94941,68,103,0,0.3546875,Cube_Ela5_Var94941
29,166,5,65076,50,94,0,0.16640625,Cube_Ela5_Var65076
30,140,5,59388,27,141,0,0.010546875,Cube_Ela5_Var59388
31,60,5,30868,39,122,0,0.035546875,Cube_Ela5_Var30868
32,56,5,30299,108,167,0,0.53671875,Cube_Ela5_Var30299
33,180,5,67655,77,128,0,0.38984375,Cube_Ela5_Var67655
