trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,83,5,37781,65,665,0,0.565625,Cube_Ela5_Var37781
2,214,5,95627,61,117,0,0.91328125,Cube_Ela5_Var95627
3,175,5,67065,71,254,0,0.548828125,Cube_Ela5_Var67065
4,112,5,49906,37,114,0,0,Cube_Ela5_Var49906
5,191,5,72766,81,124,0,0.682421875,Cube_Ela5_Var72766
6,220,5,98238,47,154,0,0.4796875,Cube_Ela5_Var98238
7,214,5,95627,61,236,0,0.694140625,Cube_Ela5_Var95627
8,47,5,27665,80,243,0,0.50859375,Cube_Ela5_Var27665
9,89,5,39728,32,65,0,0,Cube_Ela5_Var39728
10,183,5,68712,70,141,0,0.725,Cube_Ela5_Var68712
11,100,5,43281,39,313,0,0.689453125,Cube_Ela5_Var43281
12,142,5,59599,76,127,0,0.547265625,Cube_Ela5_Var59599
13,127,5,54439,75,78,0,0.7109375,Cube_Ela5_Var54439
14,53,5,28848,32,99,0,0.175,Cube_Ela5_Var28848
15,181,5,68230,61,116,0,0.49140625,Cube_Ela5_Var68230
16,96,5,41906,54,101,0,0.51328125,Cube_Ela5_Var41906
17,63,5,30989,70,138,0,0.59765625,Cube_Ela5_Var30989
18,5,5,8450,32,64,0,0.264453125,Cube_Ela5_Var8450
19,220,5,98238,47,83,0,0.47109375,Cube_Ela5_Var98238
20,132,5,56610,60,237,0,0.398046875,Cube_Ela5_Var56610
21,213,5,94941,68,138,0,0.4234375,Cube_Ela5_Var94941
22,217,5,97115,44,45,0,0,Cube_Ela5_Var97115
23,109,5,48705,76,352,0,0.707421875,Cube_Ela5_Var48705
24,95,5,41255,74,77,0,0.745703125,Cube_Ela5_Var41255
25,167,5,65325,61,114,0,0.356640625,Cube_Ela5_Var65325
26,166,5,65076,50,233,0,0.057421875,Cube_Ela5_Var65076
27,145,5,60262,36,225,0,0.5328125,Cube_Ela5_Var60262
28,209,5,93025,80,196,0,0.405078125,Cube_Ela5_Var93025
29,115,5,51632,76,216,0,0.7,Cube_Ela5_Var51632
30,167,5,65325,61,249,0,0.006640625,Cube_Ela5_Var65325
31,129,5,55777,80,82,0,0.681640625,Cube_Ela5_Var55777
32,125,5,54033,75,152,0,0.407421875,Cube_Ela5_Var54033
33,114,5,51065,40,83,0,0,Cube_Ela5_Var51065
34,147,5,60335,72,147,0,0.21640625,Cube_Ela5_Var60335
35,116,5,52499,30,87,0,0,Cube_Ela5_Var52499
36,148,5,60391,51,115,0,0.34453125,Cube_Ela5_Var60391
37,151,5,60964,59,169,0,0.51953125,Cube_Ela5_Var60964
38,5,5,8450,32,99,0,0.999609375,Cube_Ela5_Var8450
39,119,5,52689,33,119,0,0.1484375,Cube_Ela5_Var52689
40,22,5,15298,79,212,0,0.83671875,Cube_Ela5_Var15298
41,10,5,10573,38,156,0,0.326953125,Cube_Ela5_Var10573
42,54,5,28915,40,123,0,0.22890625,Cube_Ela5_Var28915
43,206,5,90152,41,114,0,0.13515625,Cube_Ela5_Var90152
44,66,5,31722,77,282,0,0.273046875,Cube_Ela5_Var31722
45,14,5,12524,56,157,0,0.73046875,Cube_Ela5_Var12524
46,56,5,30299,108,158,0,0.528515625,Cube_Ela5_Var30299
47,3,5,1753,73,189,0,0.20234375,Cube_Ela5_Var1753
48,104,5,45337,36,105,0,0,Cube_Ela5_Var45337
49,224,5,99116,34,103,0,0,Cube_Ela5_Var99116
50,152,5,61044,40,82,0,0.04296875,Cube_Ela5_Var61044
51,143,5,59616,64,313,0,0.5875,Cube_Ela5_Var59616
52,211,5,93545,57,104,0,0.21875,Cube_Ela5_Var93545
53,210,5,93053,44,119,0,0.9625,Cube_Ela5_Var93053
54,30,5,18584,35,139,0,0.2875,Cube_Ela5_Var18584
55,164,5,65032,30,166,0,0.4578125,Cube_Ela5_Var65032
56,210,5,93053,44,75,0,0.990625,Cube_Ela5_Var93053
57,3,5,1753,73,102,0,0.0109375,Cube_Ela5_Var1753
58,207,5,90330,50,182,0,0,Cube_Ela5_Var90330
59,159,5,63122,74,168,0,0.99921875,Cube_Ela5_Var63122
60,195,5,77379,50,180,0,0.83125,Cube_Ela5_Var77379
61,10,5,10573,38,147,0,0.152734375,Cube_Ela5_Var10573
62,148,5,60391,51,148,0,0.55703125,Cube_Ela5_Var60391
