trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,183,5,82598,30,599,0,0.74609375,Cube_Ela5_Var82598
2,148,5,68946,30,123,0,0.432421875,Cube_Ela5_Var68946
3,151,5,69665,30,110,0,0.72578125,Cube_Ela5_Var69665
4,72,5,43640,30,224,0,0.503515625,Cube_Ela5_Var43640
5,157,5,70618,30,187,0,0.53828125,Cube_Ela5_Var70618
6,19,5,10511,30,135,0,0.579296875,Cube_Ela5_Var10511
7,88,5,48076,30,86,0,0.59609375,Cube_Ela5_Var48076
8,88,5,48076,30,90,0,0.683984375,Cube_Ela5_Var48076
9,3,5,1422,30,131,0,0.693359375,Cube_Ela5_Var1422
10,79,5,46324,30,359,0,0.6328125,Cube_Ela5_Var46324
11,168,5,75643,30,81,0,0.896875,Cube_Ela5_Var75643
12,163,5,74604,30,90,0,0.3984375,Cube_Ela5_Var74604
13,93,5,48423,30,102,0,0.46328125,Cube_Ela5_Var48423
14,35,5,25148,30,69,0,0.59140625,Cube_Ela5_Var25148
15,62,5,41753,30,80,0,0.66640625,Cube_Ela5_Var41753
16,193,5,84352,30,124,0,0.20859375,Cube_Ela5_Var84352
17,112,5,56929,30,59,0,0.314453125,Cube_Ela5_Var56929
18,193,5,84352,30,60,0,0.281640625,Cube_Ela5_Var84352
19,119,5,59685,30,64,0,0.75859375,Cube_Ela5_Var59685
20,191,5,83787,30,75,0,0.805859375,Cube_Ela5_Var83787
21,61,5,41451,30,120,0,0.4875,Cube_Ela5_Var41451
22,101,5,52893,30,91,0,0.7578125,Cube_Ela5_Var52893
23,135,5,65815,30,102,0,0.598828125,Cube_Ela5_Var65815
24,85,5,47360,30,92,0,0.6828125,Cube_Ela5_Var47360
25,105,5,54414,30,214,0,0.859375,Cube_Ela5_Var54414
26,97,5,48875,30,112,0,0.8078125,Cube_Ela5_Var48875
27,18,5,9081,30,104,0,0.509375,Cube_Ela5_Var9081
28,138,5,66884,30,78,0,0.403125,Cube_Ela5_Var66884
29,11,5,3345,30,60,0,0.511328125,Cube_Ela5_Var3345
30,191,5,83787,30,65,0,0.648046875,Cube_Ela5_Var83787
31,108,5,55641,30,80,0,0.673046875,Cube_Ela5_Var55641
32,65,5,42133,30,336,0,0.551171875,Cube_Ela5_Var42133
33,58,5,40583,30,60,0,0.787890625,Cube_Ela5_Var40583
34,28,5,17097,30,59,0,0.816015625,Cube_Ela5_Var17097
35,192,5,84256,30,68,0,0.430078125,Cube_Ela5_Var84256
36,69,5,43329,30,114,0,0.384765625,Cube_Ela5_Var43329
37,142,5,68062,30,50,0,0.386328125,Cube_Ela5_Var68062
38,50,5,36019,30,117,0,0.553125,Cube_Ela5_Var36019
39,69,5,43329,30,82,0,0.56015625,Cube_Ela5_Var43329
40,115,5,58016,30,60,0,0.74765625,Cube_Ela5_Var58016
41,119,5,59685,30,60,0,0.81875,Cube_Ela5_Var59685
42,207,5,93825,30,47,0,0.955078125,Cube_Ela5_Var93825
43,157,5,70618,30,150,0,0.4875,Cube_Ela5_Var70618
44,185,5,83108,30,79,0,0.946484375,Cube_Ela5_Var83108
45,39,5,27119,30,82,0,0.7578125,Cube_Ela5_Var27119
46,73,5,43703,30,95,0,0.9296875,Cube_Ela5_Var43703
47,195,5,85567,30,89,0,0.946875,Cube_Ela5_Var85567
48,29,5,17269,30,89,0,0.369140625,Cube_Ela5_Var17269
49,114,5,57643,30,120,0,0.880859375,Cube_Ela5_Var57643
50,55,5,38113,30,54,0,0.666015625,Cube_Ela5_Var38113
51,183,5,82598,30,59,0,0.74375,Cube_Ela5_Var82598
52,25,5,16464,30,47,0,0.662890625,Cube_Ela5_Var16464
53,160,5,73019,30,43,0,0.817578125,Cube_Ela5_Var73019
54,167,5,75466,30,68,0,0.472265625,Cube_Ela5_Var75466
55,41,5,30524,30,111,0,0.45078125,Cube_Ela5_Var30524
56,17,5,7776,30,70,0,0.7453125,Cube_Ela5_Var7776
57,207,5,93825,30,230,0,0.747265625,Cube_Ela5_Var93825
58,26,5,16639,30,60,0,0.859765625,Cube_Ela5_Var16639
59,2,5,1342,30,87,0,0.716015625,Cube_Ela5_Var1342
60,105,5,54414,30,144,0,0.92421875,Cube_Ela5_Var54414
61,143,5,68063,30,79,0,0.64296875,Cube_Ela5_Var68063
62,13,5,5923,30,120,0,0.58203125,Cube_Ela5_Var5923
63,71,5,43564,30,75,0,0.649609375,Cube_Ela5_Var43564
64,194,5,85461,30,47,0,0.844921875,Cube_Ela5_Var85461
65,174,5,76610,30,125,0,0.624609375,Cube_Ela5_Var76610
66,103,5,53873,30,60,0,0.904296875,Cube_Ela5_Var53873
67,75,5,44635,30,64,0,0.945703125,Cube_Ela5_Var44635
68,153,5,69719,30,120,0,0.61328125,Cube_Ela5_Var69719
69,126,5,60721,30,75,0,0.923828125,Cube_Ela5_Var60721
70,3,5,1422,30,67,0,0.846875,Cube_Ela5_Var1422
71,205,5,92507,30,86,0,0.75859375,Cube_Ela5_Var92507
72,195,5,85567,30,48,0,0.944140625,Cube_Ela5_Var85567
73,43,5,31816,30,67,0,0.850390625,Cube_Ela5_Var31816
74,118,5,59579,30,55,0,0.999609375,Cube_Ela5_Var59579
75,115,5,58016,30,60,0,0.92578125,Cube_Ela5_Var58016
76,175,5,76680,30,47,0,0.999609375,Cube_Ela5_Var76680
77,129,5,62947,30,60,0,0.9484375,Cube_Ela5_Var62947
78,199,5,86083,30,92,0,0.673828125,Cube_Ela5_Var86083
79,36,5,25822,30,60,0,0.408203125,Cube_Ela5_Var25822
80,35,5,25148,30,118,0,0.558203125,Cube_Ela5_Var25148
81,138,5,66884,30,51,0,0.598828125,Cube_Ela5_Var66884
82,145,5,68081,30,50,0,0.7734375,Cube_Ela5_Var68081
83,60,5,41405,30,47,0,0.999609375,Cube_Ela5_Var41405
84,130,5,63189,30,65,0,0.6265625,Cube_Ela5_Var63189
85,140,5,67529,30,124,0,0.70859375,Cube_Ela5_Var67529
86,199,5,86083,30,119,0,0.50234375,Cube_Ela5_Var86083
87,31,5,19705,30,46,0,0.428125,Cube_Ela5_Var19705
88,67,5,42984,30,83,0,0.620703125,Cube_Ela5_Var42984
89,98,5,49303,30,60,0,0.8859375,Cube_Ela5_Var49303
90,81,5,46939,30,121,0,0.72265625,Cube_Ela5_Var46939
91,158,5,71127,30,240,0,0.449609375,Cube_Ela5_Var71127
92,147,5,68783,30,115,0,0.333984375,Cube_Ela5_Var68783
93,182,5,81591,30,76,0,0.3875,Cube_Ela5_Var81591
94,104,5,54168,30,75,0,0.694140625,Cube_Ela5_Var54168
95,164,5,75018,30,120,0,0.4859375,Cube_Ela5_Var75018
96,65,5,42133,30,57,0,0.2609375,Cube_Ela5_Var42133
97,80,5,46376,30,78,0,0.75390625,Cube_Ela5_Var46376
98,26,5,16639,30,42,0,0.847265625,Cube_Ela5_Var16639
99,63,5,42107,30,140,0,0.748046875,Cube_Ela5_Var42107
100,15,5,6288,30,58,0,0.777734375,Cube_Ela5_Var6288
101,53,5,37783,30,46,0,0.783984375,Cube_Ela5_Var37783
102,118,5,59579,30,55,0,0.946484375,Cube_Ela5_Var59579
103,81,5,46939,30,42,0,0.945703125,Cube_Ela5_Var46939
104,6,5,2068,30,83,0,0.362109375,Cube_Ela5_Var2068
105,9,5,3037,30,46,0,0.2796875,Cube_Ela5_Var3037
106,65,5,42133,30,45,0,0.158984375,Cube_Ela5_Var42133
107,90,5,48128,30,51,0,0.314453125,Cube_Ela5_Var48128
108,40,5,29981,30,78,0,0.331640625,Cube_Ela5_Var29981
109,23,5,15801,30,88,0,0.610546875,Cube_Ela5_Var15801
110,120,5,59798,30,133,0,0.589453125,Cube_Ela5_Var59798
111,15,5,6288,30,107,0,0.659375,Cube_Ela5_Var6288
112,38,5,27096,30,61,0,0.758203125,Cube_Ela5_Var27096
113,14,5,6176,30,87,0,0.336328125,Cube_Ela5_Var6176
114,18,5,9081,30,171,0,0.462109375,Cube_Ela5_Var9081
115,73,5,43703,30,53,0,0.634375,Cube_Ela5_Var43703
116,91,5,48302,30,44,0,0.7734375,Cube_Ela5_Var48302
117,84,5,47056,30,59,0,0.701953125,Cube_Ela5_Var47056
118,16,5,7693,30,92,0,0.568359375,Cube_Ela5_Var7693
119,77,5,45996,30,87,0,0.5203125,Cube_Ela5_Var45996
120,7,5,2366,30,49,0,0.59921875,Cube_Ela5_Var2366
121,108,5,55641,30,60,0,0.6296875,Cube_Ela5_Var55641
122,38,5,27096,30,47,0,0.701171875,Cube_Ela5_Var27096
123,118,5,59579,30,46,0,0.839453125,Cube_Ela5_Var59579
124,113,5,57476,30,70,0,0.9109375,Cube_Ela5_Var57476
125,95,5,48772,30,44,0,0.931640625,Cube_Ela5_Var48772
126,66,5,42455,30,59,0,0.999609375,Cube_Ela5_Var42455
127,30,5,18315,30,103,0,0.61796875,Cube_Ela5_Var18315
128,182,5,81591,30,150,0,0.522265625,Cube_Ela5_Var81591
129,17,5,7776,30,50,0,0.3078125,Cube_Ela5_Var7776
130,51,5,37660,30,58,0,0.5171875,Cube_Ela5_Var37660
131,189,5,83647,30,140,0,0.795703125,Cube_Ela5_Var83647
132,61,5,41451,30,54,0,0.80390625,Cube_Ela5_Var41451
133,156,5,70550,30,60,0,0.999609375,Cube_Ela5_Var70550
134,200,5,86457,30,43,0,0.999609375,Cube_Ela5_Var86457
135,167,5,75466,30,84,0,0.512890625,Cube_Ela5_Var75466
136,5,5,1623,30,60,0,0.720703125,Cube_Ela5_Var1623
137,161,5,73031,30,125,0,0.679296875,Cube_Ela5_Var73031
138,76,5,44788,30,105,0,0.483203125,Cube_Ela5_Var44788
139,77,5,45996,30,101,0,0.22734375,Cube_Ela5_Var45996
140,41,5,30524,30,135,0,0.369140625,Cube_Ela5_Var30524
141,112,5,56929,30,104,0,0.48671875,Cube_Ela5_Var56929
142,141,5,67925,30,92,0,0.59296875,Cube_Ela5_Var67925
143,102,5,53293,30,68,0,0.847265625,Cube_Ela5_Var53293
144,64,5,42125,30,67,0,0.999609375,Cube_Ela5_Var42125
145,114,5,57643,30,52,0,0.999609375,Cube_Ela5_Var57643
146,4,5,1538,30,92,0,0.999609375,Cube_Ela5_Var1538
147,13,5,5923,30,66,0,0.999609375,Cube_Ela5_Var5923
148,49,5,35211,30,93,0,0.9421875,Cube_Ela5_Var35211
149,46,5,32740,30,51,0,0.999609375,Cube_Ela5_Var32740
150,134,5,64806,30,67,0,0.903515625,Cube_Ela5_Var64806
151,165,5,75101,30,103,0,0.63046875,Cube_Ela5_Var75101
152,203,5,87749,30,132,0,0.9,Cube_Ela5_Var87749
153,92,5,48387,30,60,0,0.89921875,Cube_Ela5_Var48387
154,186,5,83290,30,47,0,0.831640625,Cube_Ela5_Var83290
155,109,5,56443,30,47,0,0.818359375,Cube_Ela5_Var56443
156,207,5,93825,30,42,0,0.79609375,Cube_Ela5_Var93825
157,186,5,83290,30,44,0,0.90546875,Cube_Ela5_Var83290
158,162,5,73331,30,57,0,0.6828125,Cube_Ela5_Var73331
159,202,5,87418,30,48,0,0.796875,Cube_Ela5_Var87418
160,147,5,68783,30,53,0,0.641015625,Cube_Ela5_Var68783
161,126,5,60721,30,63,0,0.765234375,Cube_Ela5_Var60721
162,169,5,75720,30,155,0,0.61484375,Cube_Ela5_Var75720
163,204,5,88519,30,57,0,0.865234375,Cube_Ela5_Var88519
164,147,5,68783,30,57,0,0.473828125,Cube_Ela5_Var68783
165,142,5,68062,30,66,0,0.4828125,Cube_Ela5_Var68062
166,131,5,63563,30,67,0,0.55703125,Cube_Ela5_Var63563
167,42,5,31564,30,78,0,0.457421875,Cube_Ela5_Var31564
168,196,5,85828,30,68,0,0.653125,Cube_Ela5_Var85828
169,141,5,67925,30,90,0,0.524609375,Cube_Ela5_Var67925
170,143,5,68063,30,46,0,0.65859375,Cube_Ela5_Var68063
171,155,5,70055,30,48,0,0.84765625,Cube_Ela5_Var70055
172,208,5,94354,30,66,0,0.866796875,Cube_Ela5_Var94354
173,89,5,48089,30,71,0,0.643359375,Cube_Ela5_Var48089
174,115,5,58016,30,60,0,0.70390625,Cube_Ela5_Var58016
175,23,5,15801,30,43,0,0.94765625,Cube_Ela5_Var15801
176,80,5,46376,30,47,0,0.997265625,Cube_Ela5_Var46376
177,69,5,43329,30,59,0,0.502734375,Cube_Ela5_Var43329
178,192,5,84256,30,52,0,0.366015625,Cube_Ela5_Var84256
179,201,5,86931,30,50,0,0.62578125,Cube_Ela5_Var86931
180,61,5,41451,30,33,0,0.864453125,Cube_Ela5_Var41451
181,74,5,44309,30,81,0,0.886328125,Cube_Ela5_Var44309
182,50,5,36019,30,82,0,0.535546875,Cube_Ela5_Var36019
183,98,5,49303,30,116,0,0.878125,Cube_Ela5_Var49303
184,211,5,95602,30,74,0,0.402734375,Cube_Ela5_Var95602
185,209,5,94639,30,98,0,0.9140625,Cube_Ela5_Var94639
186,41,5,30524,30,116,0,0.30546875,Cube_Ela5_Var30524
187,165,5,75101,30,40,0,0.230078125,Cube_Ela5_Var75101
188,44,5,31848,30,54,0,0.76796875,Cube_Ela5_Var31848
189,11,5,3345,30,51,0,0.53203125,Cube_Ela5_Var3345
190,173,5,76458,30,63,0,0.75,Cube_Ela5_Var76458
191,133,5,64187,30,39,0,0.90703125,Cube_Ela5_Var64187
192,83,5,47029,30,90,0,0.885546875,Cube_Ela5_Var47029
193,8,5,2477,30,60,0,0.876171875,Cube_Ela5_Var2477
194,83,5,47029,30,73,0,0.85625,Cube_Ela5_Var47029
195,172,5,76354,30,65,0,0.52265625,Cube_Ela5_Var76354
196,134,5,64806,30,48,0,0.31015625,Cube_Ela5_Var64806
