trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,77,5,45996,30,150,0,0.1484375,Cube_Ela5_Var45996
2,169,5,75720,30,178,0,0.275,Cube_Ela5_Var75720
3,132,5,64044,30,117,0,0.344140625,Cube_Ela5_Var64044
4,130,5,63189,30,100,0,0.076171875,Cube_Ela5_Var63189
5,9,5,3037,30,127,0,0.127734375,Cube_Ela5_Var3037
6,156,5,70550,30,122,0,0.253125,Cube_Ela5_Var70550
7,170,5,75906,30,180,0,0.198046875,Cube_Ela5_Var75906
8,19,5,10511,30,137,0,0.13046875,Cube_Ela5_Var10511
9,108,5,55641,30,307,0,0.25703125,Cube_Ela5_Var55641
10,136,5,66102,30,120,0,0.751171875,Cube_Ela5_Var66102
11,167,5,75466,30,119,0,0.153125,Cube_Ela5_Var75466
12,130,5,63189,30,124,0,0.26171875,Cube_Ela5_Var63189
13,2,5,1342,30,180,0,0.23671875,Cube_Ela5_Var1342
14,157,5,70618,30,124,0,0.1625,Cube_Ela5_Var70618
15,157,5,70618,30,145,0,0.1296875,Cube_Ela5_Var70618
16,72,5,43640,30,149,0,0.34921875,Cube_Ela5_Var43640
17,142,5,68062,30,120,0,0.053515625,Cube_Ela5_Var68062
18,162,5,73331,30,258,0,0.212890625,Cube_Ela5_Var73331
19,183,5,82598,30,90,0,0.965234375,Cube_Ela5_Var82598
20,212,5,97114,30,92,0,0.16953125,Cube_Ela5_Var97114
21,13,5,5923,30,130,0,0.749609375,Cube_Ela5_Var5923
22,145,5,68081,30,118,0,0.705078125,Cube_Ela5_Var68081
23,124,5,60587,30,107,0,0.1140625,Cube_Ela5_Var60587
24,154,5,69989,30,109,0,0,Cube_Ela5_Var69989
25,39,5,27119,30,136,0,0,Cube_Ela5_Var27119
26,139,5,67412,30,151,0,0.23671875,Cube_Ela5_Var67412
27,24,5,16080,30,123,0,0.5484375,Cube_Ela5_Var16080
28,190,5,83732,30,127,0,0.554296875,Cube_Ela5_Var83732
29,80,5,46376,30,86,0,0.999609375,Cube_Ela5_Var46376
30,32,5,19857,30,154,0,0.4109375,Cube_Ela5_Var19857
31,211,5,95602,30,136,0,0.570703125,Cube_Ela5_Var95602
32,27,5,16920,30,178,0,0.330859375,Cube_Ela5_Var16920
33,202,5,87418,30,128,0,0.009375,Cube_Ela5_Var87418
34,138,5,66884,30,150,0,0.115625,Cube_Ela5_Var66884
35,60,5,41405,30,221,0,0.515234375,Cube_Ela5_Var41405
36,114,5,57643,30,137,0,0.12890625,Cube_Ela5_Var57643
37,181,5,81177,30,307,0,0.2703125,Cube_Ela5_Var81177
38,35,5,25148,30,264,0,0.336328125,Cube_Ela5_Var25148
39,168,5,75643,30,150,0,0.68828125,Cube_Ela5_Var75643
40,125,5,60611,30,198,0,0.173828125,Cube_Ela5_Var60611
