trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,26,5,16639,30,228,0,0.686328125,Cube_Ela5_Var16639
2,175,5,76680,30,274,0,0.68046875,Cube_Ela5_Var76680
3,17,5,7776,30,209,0,0.443359375,Cube_Ela5_Var7776
4,101,5,52893,30,402,0,0.512890625,Cube_Ela5_Var52893
5,134,5,64806,30,137,0,0.521875,Cube_Ela5_Var64806
6,140,5,67529,30,104,0,0.576171875,Cube_Ela5_Var67529
7,93,5,48423,30,162,0,0.59921875,Cube_Ela5_Var48423
8,148,5,68946,30,193,0,0.437890625,Cube_Ela5_Var68946
9,146,5,68517,30,180,0,0.5765625,Cube_Ela5_Var68517
10,192,5,84256,30,167,0,0.519921875,Cube_Ela5_Var84256
11,116,5,58938,30,146,0,0.4125,Cube_Ela5_Var58938
12,78,5,46309,30,152,0,0.627734375,Cube_Ela5_Var46309
13,207,5,93825,30,142,0,0.65234375,Cube_Ela5_Var93825
14,169,5,75720,30,101,0,0.31953125,Cube_Ela5_Var75720
15,129,5,62947,30,100,0,0.191796875,Cube_Ela5_Var62947
16,2,5,1342,30,186,0,0.684765625,Cube_Ela5_Var1342
17,39,5,27119,30,168,0,0.2046875,Cube_Ela5_Var27119
18,156,5,70550,30,118,0,0.29765625,Cube_Ela5_Var70550
19,136,5,66102,30,141,0,0.880859375,Cube_Ela5_Var66102
20,198,5,85928,30,116,0,0.246484375,Cube_Ela5_Var85928
21,164,5,75018,30,218,0,0.687109375,Cube_Ela5_Var75018
22,193,5,84352,30,267,0,0.56640625,Cube_Ela5_Var84352
23,142,5,68062,30,122,0,0.152734375,Cube_Ela5_Var68062
24,203,5,87749,30,150,0,0.2234375,Cube_Ela5_Var87749
25,101,5,52893,30,102,0,0.607421875,Cube_Ela5_Var52893
26,42,5,31564,30,79,0,0.101953125,Cube_Ela5_Var31564
27,5,5,1623,30,197,0,0.73203125,Cube_Ela5_Var1623
28,173,5,76458,30,90,0,0.968359375,Cube_Ela5_Var76458
29,147,5,68783,30,124,0,0.6203125,Cube_Ela5_Var68783
30,94,5,48729,30,60,0,0,Cube_Ela5_Var48729
31,108,5,55641,30,185,0,0.659375,Cube_Ela5_Var55641
32,55,5,38113,30,90,0,0.58125,Cube_Ela5_Var38113
33,93,5,48423,30,78,0,0.662890625,Cube_Ela5_Var48423
34,181,5,81177,30,94,0,0.69453125,Cube_Ela5_Var81177
35,81,5,46939,30,93,0,0.628125,Cube_Ela5_Var46939
36,16,5,7693,30,165,0,0.609375,Cube_Ela5_Var7693
37,90,5,48128,30,205,0,0.15625,Cube_Ela5_Var48128
38,188,5,83580,30,330,0,0.275,Cube_Ela5_Var83580
39,211,5,95602,30,128,0,0.2640625,Cube_Ela5_Var95602
40,172,5,76354,30,250,0,0.675,Cube_Ela5_Var76354
41,171,5,76210,30,110,0,0.835546875,Cube_Ela5_Var76210
42,28,5,17097,30,198,0,0.939453125,Cube_Ela5_Var17097
43,170,5,75906,30,210,0,0.62890625,Cube_Ela5_Var75906
44,209,5,94639,30,253,0,0.999609375,Cube_Ela5_Var94639
45,103,5,53873,30,95,0,0.62734375,Cube_Ela5_Var53873
46,208,5,94354,30,106,0,0.656640625,Cube_Ela5_Var94354
47,115,5,58016,30,113,0,0.698046875,Cube_Ela5_Var58016
48,40,5,29981,30,159,0,0.61328125,Cube_Ela5_Var29981
49,170,5,75906,30,240,0,0.387109375,Cube_Ela5_Var75906
50,19,5,10511,30,159,0,0.159375,Cube_Ela5_Var10511
51,88,5,48076,30,150,0,0.573046875,Cube_Ela5_Var48076
52,72,5,43640,30,159,0,0.564453125,Cube_Ela5_Var43640
53,48,5,34970,30,102,0,0.272265625,Cube_Ela5_Var34970
54,141,5,67925,30,156,0,0.1671875,Cube_Ela5_Var67925
55,88,5,48076,30,150,0,0.533984375,Cube_Ela5_Var48076
56,36,5,25822,30,151,0,0.336328125,Cube_Ela5_Var25822
57,152,5,69698,30,210,0,0.559375,Cube_Ela5_Var69698
58,117,5,59301,30,240,0,0.515625,Cube_Ela5_Var59301
59,140,5,67529,30,76,0,0.5578125,Cube_Ela5_Var67529
60,38,5,27096,30,186,0,0.60078125,Cube_Ela5_Var27096
61,102,5,53293,30,150,0,0.3734375,Cube_Ela5_Var53293
62,13,5,5923,30,199,0,0.572265625,Cube_Ela5_Var5923
63,57,5,40406,30,180,0,0.572265625,Cube_Ela5_Var40406
64,75,5,44635,30,219,0,0.57578125,Cube_Ela5_Var44635
65,186,5,83290,30,111,0,0.69921875,Cube_Ela5_Var83290
66,198,5,85928,30,104,0,0.01796875,Cube_Ela5_Var85928
67,18,5,9081,30,90,0,0.999609375,Cube_Ela5_Var9081
68,92,5,48387,30,99,0,0.566796875,Cube_Ela5_Var48387
