trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,136,5,66102,30,90,0,0.563671875,Cube_Ela5_Var66102
2,133,5,64187,30,46,0,0.22734375,Cube_Ela5_Var64187
3,96,5,48836,30,85,0,0.53984375,Cube_Ela5_Var48836
4,82,5,46949,30,49,0,0.398828125,Cube_Ela5_Var46949
5,170,5,75906,30,84,0,0.465234375,Cube_Ela5_Var75906
6,179,5,79309,30,48,0,0.321484375,Cube_Ela5_Var79309
7,21,5,13214,30,89,0,0.4046875,Cube_Ela5_Var13214
8,212,5,97114,30,60,0,0.23046875,Cube_Ela5_Var97114
9,3,5,1422,30,72,0,0.246875,Cube_Ela5_Var1422
10,160,5,73019,30,86,0,0.453125,Cube_Ela5_Var73019
11,78,5,46309,30,61,0,0.444921875,Cube_Ela5_Var46309
12,177,5,78117,30,120,0,0.3609375,Cube_Ela5_Var78117
13,4,5,1538,30,112,0,0.39921875,Cube_Ela5_Var1538
14,148,5,68946,30,57,0,0.309765625,Cube_Ela5_Var68946
15,213,5,99105,30,71,0,0.244140625,Cube_Ela5_Var99105
16,1,5,663,30,119,0,0.46640625,Cube_Ela5_Var663
17,34,5,24505,30,141,0,0.339453125,Cube_Ela5_Var24505
18,171,5,76210,30,92,0,0.276953125,Cube_Ela5_Var76210
19,144,5,68079,30,127,0,0.3296875,Cube_Ela5_Var68079
20,179,5,79309,30,101,0,0.310546875,Cube_Ela5_Var79309
21,139,5,67412,30,83,0,0.446875,Cube_Ela5_Var67412
22,15,5,6288,30,134,0,0.480859375,Cube_Ela5_Var6288
23,183,5,82598,30,98,0,0.52265625,Cube_Ela5_Var82598
24,146,5,68517,30,79,0,0.63203125,Cube_Ela5_Var68517
25,38,5,27096,30,67,0,0.403515625,Cube_Ela5_Var27096
26,148,5,68946,30,118,0,0.412890625,Cube_Ela5_Var68946
27,155,5,70055,30,90,0,0.42890625,Cube_Ela5_Var70055
28,101,5,52893,30,64,0,0.298828125,Cube_Ela5_Var52893
29,37,5,26416,30,66,0,0.71875,Cube_Ela5_Var26416
30,60,5,41405,30,136,0,0.571484375,Cube_Ela5_Var41405
31,57,5,40406,30,114,0,0.466015625,Cube_Ela5_Var40406
32,136,5,66102,30,133,0,0.54765625,Cube_Ela5_Var66102
33,112,5,56929,30,127,0,0.3453125,Cube_Ela5_Var56929
34,75,5,44635,30,89,0,0.401953125,Cube_Ela5_Var44635
35,88,5,48076,30,97,0,0.234375,Cube_Ela5_Var48076
36,184,5,82797,30,73,0,0.143359375,Cube_Ela5_Var82797
37,54,5,38102,30,168,0,0.399609375,Cube_Ela5_Var38102
38,111,5,56928,30,77,0,0.276171875,Cube_Ela5_Var56928
39,105,5,54414,30,128,0,0.44609375,Cube_Ela5_Var54414
