trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,40,5,29981,30,63,0,0.191796875,Cube_Ela5_Var29981
2,75,5,44635,30,85,0,0.298828125,Cube_Ela5_Var44635
3,115,5,58016,30,170,0,0.455078125,Cube_Ela5_Var58016
4,24,5,16080,30,90,0,0.098046875,Cube_Ela5_Var16080
5,183,5,82598,30,80,0,0.8171875,Cube_Ela5_Var82598
6,213,5,99105,30,119,0,0.53671875,Cube_Ela5_Var99105
7,67,5,42984,30,124,0,0.373046875,Cube_Ela5_Var42984
8,19,5,10511,30,60,0,0,Cube_Ela5_Var10511
9,100,5,52265,30,150,0,0.088671875,Cube_Ela5_Var52265
10,87,5,47802,30,49,0,0.8703125,Cube_Ela5_Var47802
11,142,5,68062,30,90,0,0.001953125,Cube_Ela5_Var68062
12,130,5,63189,30,60,0,0.14140625,Cube_Ela5_Var63189
13,30,5,18315,30,58,0,0.25859375,Cube_Ela5_Var18315
14,123,5,60316,30,58,0,0.311328125,Cube_Ela5_Var60316
15,137,5,66844,30,78,0,0.53828125,Cube_Ela5_Var66844
16,57,5,40406,30,60,0,0.67578125,Cube_Ela5_Var40406
17,154,5,69989,30,60,0,0.020703125,Cube_Ela5_Var69989
18,104,5,54168,30,85,0,0.74453125,Cube_Ela5_Var54168
19,164,5,75018,30,157,0,0.1765625,Cube_Ela5_Var75018
20,189,5,83647,30,67,0,0.999609375,Cube_Ela5_Var83647
21,134,5,64806,30,44,0,0,Cube_Ela5_Var64806
22,35,5,25148,30,90,0,0.265234375,Cube_Ela5_Var25148
23,139,5,67412,30,60,0,0.81015625,Cube_Ela5_Var67412
24,150,5,69309,30,124,0,0.51875,Cube_Ela5_Var69309
25,77,5,45996,30,46,0,0.20078125,Cube_Ela5_Var45996
26,115,5,58016,30,82,0,0.62734375,Cube_Ela5_Var58016
27,11,5,3345,30,54,0,0.1125,Cube_Ela5_Var3345
28,98,5,49303,30,57,0,0.644140625,Cube_Ela5_Var49303
29,101,5,52893,30,63,0,0.279296875,Cube_Ela5_Var52893
30,9,5,3037,30,55,0,0.00234375,Cube_Ela5_Var3037
31,63,5,42107,30,64,0,0.790625,Cube_Ela5_Var42107
32,106,5,55088,30,108,0,0.07421875,Cube_Ela5_Var55088
33,136,5,66102,30,47,0,0.979296875,Cube_Ela5_Var66102
34,97,5,48875,30,50,0,0.999609375,Cube_Ela5_Var48875
35,59,5,40929,30,94,0,0.549609375,Cube_Ela5_Var40929
36,77,5,45996,30,60,0,0.25859375,Cube_Ela5_Var45996
37,138,5,66884,30,60,0,0.26875,Cube_Ela5_Var66884
38,118,5,59579,30,137,0,0.373828125,Cube_Ela5_Var59579
39,46,5,32740,30,44,0,0.999609375,Cube_Ela5_Var32740
40,172,5,76354,30,61,0,0.21796875,Cube_Ela5_Var76354
41,180,5,80369,30,78,0,0.130859375,Cube_Ela5_Var80369
42,139,5,67412,30,60,0,0.909375,Cube_Ela5_Var67412
43,29,5,17269,30,60,0,0,Cube_Ela5_Var17269
44,42,5,31564,30,66,0,0.07890625,Cube_Ela5_Var31564
45,122,5,60291,30,60,0,0.18828125,Cube_Ela5_Var60291
46,92,5,48387,30,73,0,0.31015625,Cube_Ela5_Var48387
47,111,5,56928,30,75,0,0.4171875,Cube_Ela5_Var56928
48,12,5,4889,30,90,0,0.42421875,Cube_Ela5_Var4889
49,25,5,16464,30,60,0,0.08125,Cube_Ela5_Var16464
50,211,5,95602,30,70,0,0.10390625,Cube_Ela5_Var95602
51,29,5,17269,30,36,0,0,Cube_Ela5_Var17269
52,83,5,47029,30,67,0,0.137890625,Cube_Ela5_Var47029
53,74,5,44309,30,48,0,0.123828125,Cube_Ela5_Var44309
54,203,5,87749,30,112,0,0.158984375,Cube_Ela5_Var87749
55,6,5,2068,30,80,0,0.015234375,Cube_Ela5_Var2068
56,95,5,48772,30,71,0,0.1515625,Cube_Ela5_Var48772
57,169,5,75720,30,82,0,0.26640625,Cube_Ela5_Var75720
58,137,5,66844,30,60,0,0.370703125,Cube_Ela5_Var66844
59,45,5,32376,30,79,0,0.01796875,Cube_Ela5_Var32376
60,113,5,57476,30,65,0,0.109765625,Cube_Ela5_Var57476
61,27,5,16920,30,156,0,0.557421875,Cube_Ela5_Var16920
62,97,5,48875,30,42,0,0.99921875,Cube_Ela5_Var48875
63,204,5,88519,30,78,0,0.200390625,Cube_Ela5_Var88519
64,188,5,83580,30,47,0,0.87890625,Cube_Ela5_Var83580
65,154,5,69989,30,59,0,0.026953125,Cube_Ela5_Var69989
66,117,5,59301,30,56,0,0.17890625,Cube_Ela5_Var59301
67,51,5,37660,30,63,0,0.19140625,Cube_Ela5_Var37660
68,108,5,55641,30,45,0,0.208984375,Cube_Ela5_Var55641
69,111,5,56928,30,72,0,0.15234375,Cube_Ela5_Var56928
70,211,5,95602,30,47,0,0.176953125,Cube_Ela5_Var95602
71,112,5,56929,30,60,0,0.141796875,Cube_Ela5_Var56929
72,60,5,41405,30,38,0,0.999609375,Cube_Ela5_Var41405
73,76,5,44788,30,86,0,0.628515625,Cube_Ela5_Var44788
74,87,5,47802,30,90,0,0.73984375,Cube_Ela5_Var47802
75,16,5,7693,30,62,0,0,Cube_Ela5_Var7693
76,37,5,26416,30,73,0,0.155859375,Cube_Ela5_Var26416
77,199,5,86083,30,63,0,0.283203125,Cube_Ela5_Var86083
78,58,5,40583,30,65,0,0.6609375,Cube_Ela5_Var40583
79,181,5,81177,30,95,0,0.49765625,Cube_Ela5_Var81177
80,205,5,92507,30,91,0,0.349609375,Cube_Ela5_Var92507
81,151,5,69665,30,75,0,0.195703125,Cube_Ela5_Var69665
