trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,33,5,21958,30,201,0,0.03046875,Cube_Ela5_Var21958
2,128,5,62855,30,311,0,0.081640625,Cube_Ela5_Var62855
3,98,5,49303,30,197,0,0.71953125,Cube_Ela5_Var49303
4,126,5,60721,30,112,0,0.14296875,Cube_Ela5_Var60721
5,41,5,30524,30,150,0,0.054296875,Cube_Ela5_Var30524
6,72,5,43640,30,150,0,0.030859375,Cube_Ela5_Var43640
7,177,5,78117,30,202,0,0.729296875,Cube_Ela5_Var78117
8,14,5,6176,30,120,0,0.06875,Cube_Ela5_Var6176
9,185,5,83108,30,354,0,0.692578125,Cube_Ela5_Var83108
10,196,5,85828,30,98,0,0.458203125,Cube_Ela5_Var85828
11,156,5,70550,30,300,0,0.295703125,Cube_Ela5_Var70550
12,168,5,75643,30,135,0,0.927734375,Cube_Ela5_Var75643
13,37,5,26416,30,174,0,0.6,Cube_Ela5_Var26416
14,197,5,85832,30,210,0,0.758203125,Cube_Ela5_Var85832
15,58,5,40583,30,125,0,0.412109375,Cube_Ela5_Var40583
16,36,5,25822,30,158,0,0.029296875,Cube_Ela5_Var25822
17,213,5,99105,30,236,0,0.30078125,Cube_Ela5_Var99105
18,74,5,44309,30,106,0,0.90390625,Cube_Ela5_Var44309
19,174,5,76610,30,75,0,0.07109375,Cube_Ela5_Var76610
20,126,5,60721,30,90,0,0.50078125,Cube_Ela5_Var60721
21,17,5,7776,30,120,0,0.00234375,Cube_Ela5_Var7776
22,106,5,55088,30,157,0,0.1703125,Cube_Ela5_Var55088
23,124,5,60587,30,180,0,0.045703125,Cube_Ela5_Var60587
24,171,5,76210,30,133,0,0.94609375,Cube_Ela5_Var76210
25,49,5,35211,30,800,0,0.558203125,Cube_Ela5_Var35211
26,68,5,43188,30,105,0,0.695703125,Cube_Ela5_Var43188
27,160,5,73019,30,152,0,0.765625,Cube_Ela5_Var73019
28,9,5,3037,30,260,0,0.021875,Cube_Ela5_Var3037
29,187,5,83569,30,128,0,0.76875,Cube_Ela5_Var83569
30,147,5,68783,30,93,0,0.13203125,Cube_Ela5_Var68783
31,31,5,19705,30,179,0,0.0375,Cube_Ela5_Var19705
32,57,5,40406,30,181,0,0.882421875,Cube_Ela5_Var40406
33,112,5,56929,30,88,0,0.069921875,Cube_Ela5_Var56929
34,79,5,46324,30,98,0,0.06328125,Cube_Ela5_Var46324
35,27,5,16920,30,90,0,0.659375,Cube_Ela5_Var16920
36,118,5,59579,30,205,0,0.7515625,Cube_Ela5_Var59579
37,173,5,76458,30,166,0,0.93046875,Cube_Ela5_Var76458
38,88,5,48076,30,82,0,0.050390625,Cube_Ela5_Var48076
39,195,5,85567,30,120,0,0.906640625,Cube_Ela5_Var85567
40,35,5,25148,30,164,0,0.2125,Cube_Ela5_Var25148
41,141,5,67925,30,156,0,0.3171875,Cube_Ela5_Var67925
42,146,5,68517,30,159,0,0.860546875,Cube_Ela5_Var68517
43,91,5,48302,30,103,0,0.057421875,Cube_Ela5_Var48302
44,140,5,67529,30,93,0,0.548046875,Cube_Ela5_Var67529
45,7,5,2366,30,129,0,0.39140625,Cube_Ela5_Var2366
46,38,5,27096,30,211,0,0.1546875,Cube_Ela5_Var27096
47,32,5,19857,30,145,0,0.8703125,Cube_Ela5_Var19857
48,13,5,5923,30,213,0,0.75625,Cube_Ela5_Var5923
49,23,5,15801,30,107,0,0.46953125,Cube_Ela5_Var15801
50,181,5,81177,30,237,0,0.47421875,Cube_Ela5_Var81177
51,46,5,32740,30,186,0,0.967578125,Cube_Ela5_Var32740
52,149,5,68965,30,1063,0,0.532421875,Cube_Ela5_Var68965
53,99,5,49800,30,127,0,0.31015625,Cube_Ela5_Var49800
54,156,5,70550,30,105,0,0.3125,Cube_Ela5_Var70550
55,167,5,75466,30,128,0,0.098828125,Cube_Ela5_Var75466
56,1,5,663,30,116,0,0.941796875,Cube_Ela5_Var663
57,56,5,39587,30,90,0,0.045703125,Cube_Ela5_Var39587
58,19,5,10511,30,81,0,0.1046875,Cube_Ela5_Var10511
59,109,5,56443,30,249,0,0.88828125,Cube_Ela5_Var56443
60,182,5,81591,30,204,0,0.254296875,Cube_Ela5_Var81591
61,194,5,85461,30,280,0,0.45390625,Cube_Ela5_Var85461
62,184,5,82797,30,94,0,0.56015625,Cube_Ela5_Var82797
63,56,5,39587,30,85,0,0.42265625,Cube_Ela5_Var39587
64,199,5,86083,30,58,0,0.278515625,Cube_Ela5_Var86083
65,110,5,56757,30,71,0,0.3453125,Cube_Ela5_Var56757
66,74,5,44309,30,95,0,0.633203125,Cube_Ela5_Var44309
67,3,5,1422,30,183,0,0.60078125,Cube_Ela5_Var1422
68,5,5,1623,30,130,0,0.94375,Cube_Ela5_Var1623
69,212,5,97114,30,193,0,0.03359375,Cube_Ela5_Var97114
70,24,5,16080,30,96,0,0.040234375,Cube_Ela5_Var16080
71,175,5,76680,30,97,0,0.8515625,Cube_Ela5_Var76680
72,152,5,69698,30,100,0,0.099609375,Cube_Ela5_Var69698
73,95,5,48772,30,108,0,0.807421875,Cube_Ela5_Var48772
74,116,5,58938,30,125,0,0.09296875,Cube_Ela5_Var58938
75,120,5,59798,30,238,0,0.6390625,Cube_Ela5_Var59798
76,115,5,58016,30,157,0,0.6390625,Cube_Ela5_Var58016
77,98,5,49303,30,138,0,0.870703125,Cube_Ela5_Var49303
78,207,5,93825,30,114,0,0.840234375,Cube_Ela5_Var93825
79,36,5,25822,30,69,0,0.08046875,Cube_Ela5_Var25822
80,148,5,68946,30,134,0,0.613671875,Cube_Ela5_Var68946
81,12,5,4889,30,528,0,0.656640625,Cube_Ela5_Var4889
82,174,5,76610,30,139,0,0.085546875,Cube_Ela5_Var76610
83,90,5,48128,30,90,0,0.0375,Cube_Ela5_Var48128
84,84,5,47056,30,124,0,0.780859375,Cube_Ela5_Var47056
85,198,5,85928,30,83,0,0.0484375,Cube_Ela5_Var85928
86,118,5,59579,30,180,0,0.509375,Cube_Ela5_Var59579
87,124,5,60587,30,123,0,0.030859375,Cube_Ela5_Var60587
88,18,5,9081,30,115,0,0.925,Cube_Ela5_Var9081
89,181,5,81177,30,204,0,0.09765625,Cube_Ela5_Var81177
90,162,5,73331,30,107,0,0.062890625,Cube_Ela5_Var73331
91,76,5,44788,30,566,0,0.657421875,Cube_Ela5_Var44788
92,72,5,43640,30,77,0,0.118359375,Cube_Ela5_Var43640
93,21,5,13214,30,78,0,0.67421875,Cube_Ela5_Var13214
94,111,5,56928,30,81,0,0.760546875,Cube_Ela5_Var56928
95,84,5,47056,30,90,0,0.791015625,Cube_Ela5_Var47056
96,20,5,10573,30,144,0,0.790625,Cube_Ela5_Var10573
97,121,5,59995,30,365,0,0.791015625,Cube_Ela5_Var59995
98,190,5,83732,30,120,0,0.900390625,Cube_Ela5_Var83732
99,34,5,24505,30,181,0,0.591796875,Cube_Ela5_Var24505
100,69,5,43329,30,134,0,0.080078125,Cube_Ela5_Var43329
101,126,5,60721,30,151,0,0.317578125,Cube_Ela5_Var60721
102,72,5,43640,30,57,0,0.08359375,Cube_Ela5_Var43640
103,103,5,53873,30,107,0,0.759375,Cube_Ela5_Var53873
104,6,5,2068,30,158,0,0.059765625,Cube_Ela5_Var2068
105,121,5,59995,30,124,0,0.78671875,Cube_Ela5_Var59995
106,180,5,80369,30,116,0,0.3109375,Cube_Ela5_Var80369
107,145,5,68081,30,101,0,0.861328125,Cube_Ela5_Var68081
108,179,5,79309,30,151,0,0.58984375,Cube_Ela5_Var79309
109,177,5,78117,30,99,0,0.869140625,Cube_Ela5_Var78117
110,194,5,85461,30,162,0,0.57109375,Cube_Ela5_Var85461
111,144,5,68079,30,449,0,0.7359375,Cube_Ela5_Var68079
112,90,5,48128,30,150,0,0.035546875,Cube_Ela5_Var48128
113,32,5,19857,30,108,0,0.580859375,Cube_Ela5_Var19857
114,63,5,42107,30,77,0,0.88828125,Cube_Ela5_Var42107
115,2,5,1342,30,120,0,0.521875,Cube_Ela5_Var1342
116,16,5,7693,30,90,0,0.22265625,Cube_Ela5_Var7693
117,7,5,2366,30,126,0,0.519140625,Cube_Ela5_Var2366
118,12,5,4889,30,70,0,0.661328125,Cube_Ela5_Var4889
119,15,5,6288,30,96,0,0.82109375,Cube_Ela5_Var6288
120,129,5,62947,30,659,0,0.193359375,Cube_Ela5_Var62947
121,202,5,87418,30,163,0,0.489453125,Cube_Ela5_Var87418
122,35,5,25148,30,87,0,0.24765625,Cube_Ela5_Var25148
123,91,5,48302,30,73,0,0.182421875,Cube_Ela5_Var48302
124,211,5,95602,30,88,0,0.079296875,Cube_Ela5_Var95602
125,161,5,73031,30,106,0,0.612109375,Cube_Ela5_Var73031
126,85,5,47360,30,204,0,0.620703125,Cube_Ela5_Var47360
127,205,5,92507,30,106,0,0.57734375,Cube_Ela5_Var92507
128,77,5,45996,30,96,0,0.195703125,Cube_Ela5_Var45996
129,133,5,64187,30,90,0,0.821484375,Cube_Ela5_Var64187
130,195,5,85567,30,410,0,0.779296875,Cube_Ela5_Var85567
131,63,5,42107,30,95,0,0.730859375,Cube_Ela5_Var42107
132,208,5,94354,30,150,0,0.690234375,Cube_Ela5_Var94354
133,193,5,84352,30,82,0,0.079296875,Cube_Ela5_Var84352
134,102,5,53293,30,90,0,0.319921875,Cube_Ela5_Var53293
135,144,5,68079,30,120,0,0.628125,Cube_Ela5_Var68079
136,75,5,44635,30,163,0,0.512890625,Cube_Ela5_Var44635
137,104,5,54168,30,449,0,0.653515625,Cube_Ela5_Var54168
138,21,5,13214,30,236,0,0.42265625,Cube_Ela5_Var13214
139,108,5,55641,30,150,0,0.354296875,Cube_Ela5_Var55641
140,210,5,94778,30,180,0,0.602734375,Cube_Ela5_Var94778
141,175,5,76680,30,255,0,0.650390625,Cube_Ela5_Var76680
142,27,5,16920,30,210,0,0.589453125,Cube_Ela5_Var16920
143,155,5,70055,30,119,0,0.80859375,Cube_Ela5_Var70055
144,122,5,60291,30,78,0,0.060546875,Cube_Ela5_Var60291
145,49,5,35211,30,97,0,0.630859375,Cube_Ela5_Var35211
146,181,5,81177,30,120,0,0.407421875,Cube_Ela5_Var81177
147,5,5,1623,30,153,0,0.916796875,Cube_Ela5_Var1623
148,130,5,63189,30,100,0,0.113671875,Cube_Ela5_Var63189
149,205,5,92507,30,142,0,0.322265625,Cube_Ela5_Var92507
150,155,5,70055,30,1096,0,0.605078125,Cube_Ela5_Var70055
151,51,5,37660,30,90,0,0.178515625,Cube_Ela5_Var37660
152,78,5,46309,30,126,0,0.667578125,Cube_Ela5_Var46309
153,154,5,69989,30,124,0,0.0390625,Cube_Ela5_Var69989
154,100,5,52265,30,103,0,0.068359375,Cube_Ela5_Var52265
155,150,5,69309,30,84,0,0.78125,Cube_Ela5_Var69309
156,128,5,62855,30,60,0,0.082421875,Cube_Ela5_Var62855
157,47,5,33762,30,103,0,0.053125,Cube_Ela5_Var33762
158,160,5,73019,30,205,0,0.88671875,Cube_Ela5_Var73019
159,110,5,56757,30,204,0,0.350390625,Cube_Ela5_Var56757
160,62,5,41753,30,117,0,0.3046875,Cube_Ela5_Var41753
161,94,5,48729,30,195,0,0,Cube_Ela5_Var48729
162,93,5,48423,30,148,0,0.814453125,Cube_Ela5_Var48423
163,4,5,1538,30,316,0,0.46953125,Cube_Ela5_Var1538
164,192,5,84256,30,150,0,0.065625,Cube_Ela5_Var84256
165,13,5,5923,30,70,0,0.598828125,Cube_Ela5_Var5923
166,137,5,66844,30,455,0,0.608203125,Cube_Ela5_Var66844
167,60,5,41405,30,140,0,0.984765625,Cube_Ela5_Var41405
168,69,5,43329,30,100,0,0.06328125,Cube_Ela5_Var43329
169,148,5,68946,30,120,0,0.4671875,Cube_Ela5_Var68946
170,27,5,16920,30,95,0,0.55546875,Cube_Ela5_Var16920
171,23,5,15801,30,483,0,0.51796875,Cube_Ela5_Var15801
172,184,5,82797,30,112,0,0.458984375,Cube_Ela5_Var82797
173,209,5,94639,30,135,0,0.8765625,Cube_Ela5_Var94639
174,28,5,17097,30,254,0,0.730078125,Cube_Ela5_Var17097
175,25,5,16464,30,80,0,0.03984375,Cube_Ela5_Var16464
176,115,5,58016,30,111,0,0.75859375,Cube_Ela5_Var58016
177,117,5,59301,30,470,0,0.172265625,Cube_Ela5_Var59301
178,206,5,92561,30,90,0,0.0640625,Cube_Ela5_Var92561
179,61,5,41451,30,160,0,0.28984375,Cube_Ela5_Var41451
180,127,5,61722,30,136,0,0.025,Cube_Ela5_Var61722
181,68,5,43188,30,390,0,0.806640625,Cube_Ela5_Var43188
182,15,5,6288,30,120,0,0.712109375,Cube_Ela5_Var6288
183,21,5,13214,30,134,0,0.151953125,Cube_Ela5_Var13214
184,170,5,75906,30,103,0,0.17265625,Cube_Ela5_Var75906
185,161,5,73031,30,812,0,0.19375,Cube_Ela5_Var73031
186,65,5,42133,30,68,0,0.050390625,Cube_Ela5_Var42133
187,178,5,79232,30,128,0,0.03046875,Cube_Ela5_Var79232
188,64,5,42125,30,86,0,0.552734375,Cube_Ela5_Var42125
189,101,5,52893,30,108,0,0.22421875,Cube_Ela5_Var52893
190,202,5,87418,30,100,0,0.556640625,Cube_Ela5_Var87418
191,182,5,81591,30,150,0,0.524609375,Cube_Ela5_Var81591
192,146,5,68517,30,99,0,0.73671875,Cube_Ela5_Var68517
193,109,5,56443,30,828,0,0.878125,Cube_Ela5_Var56443
194,88,5,48076,30,120,0,0.016015625,Cube_Ela5_Var48076
195,123,5,60316,30,150,0,0.821484375,Cube_Ela5_Var60316
196,212,5,97114,30,185,0,0.021875,Cube_Ela5_Var97114
197,150,5,69309,30,206,0,0.730078125,Cube_Ela5_Var69309
198,179,5,79309,30,102,0,0.7375,Cube_Ela5_Var79309
199,78,5,46309,30,113,0,0.90625,Cube_Ela5_Var46309
200,95,5,48772,30,82,0,0.862890625,Cube_Ela5_Var48772
201,87,5,47802,30,150,0,0.729296875,Cube_Ela5_Var47802
202,161,5,73031,30,118,0,0.530859375,Cube_Ela5_Var73031
203,82,5,46949,30,775,0,0.577734375,Cube_Ela5_Var46949
204,158,5,71127,30,78,0,0.030078125,Cube_Ela5_Var71127
205,189,5,83647,30,142,0,0.8765625,Cube_Ela5_Var83647
206,68,5,43188,30,300,0,0.716796875,Cube_Ela5_Var43188
207,144,5,68079,30,117,0,0.46640625,Cube_Ela5_Var68079
208,179,5,79309,30,90,0,0.276171875,Cube_Ela5_Var79309
209,11,5,3345,30,120,0,0.1734375,Cube_Ela5_Var3345
210,177,5,78117,30,404,0,0.470703125,Cube_Ela5_Var78117
211,157,5,70618,30,115,0,0.032421875,Cube_Ela5_Var70618
212,127,5,61722,30,100,0,0.02578125,Cube_Ela5_Var61722
213,28,5,17097,30,134,0,0.56015625,Cube_Ela5_Var17097
214,10,5,3229,30,167,0,0.63671875,Cube_Ela5_Var3229
215,52,5,37704,30,291,0,0.93125,Cube_Ela5_Var37704
216,122,5,60291,30,90,0,0.034375,Cube_Ela5_Var60291
217,159,5,71793,30,384,0,0.848046875,Cube_Ela5_Var71793
218,151,5,69665,30,105,0,0.540234375,Cube_Ela5_Var69665
219,190,5,83732,30,143,0,0.671875,Cube_Ela5_Var83732
220,80,5,46376,30,531,0,0.823046875,Cube_Ela5_Var46376
221,38,5,27096,30,82,0,0.250390625,Cube_Ela5_Var27096
222,24,5,16080,30,231,0,0.02421875,Cube_Ela5_Var16080
223,196,5,85828,30,127,0,0.51796875,Cube_Ela5_Var85828
224,92,5,48387,30,81,0,0.662890625,Cube_Ela5_Var48387
225,23,5,15801,30,95,0,0.64453125,Cube_Ela5_Var15801
226,10,5,3229,30,144,0,0.198046875,Cube_Ela5_Var3229
227,25,5,16464,30,243,0,0.30078125,Cube_Ela5_Var16464
228,43,5,31816,30,166,0,0.780859375,Cube_Ela5_Var31816
229,64,5,42125,30,300,0,0.548828125,Cube_Ela5_Var42125
230,43,5,31816,30,138,0,0.48125,Cube_Ela5_Var31816
231,52,5,37704,30,180,0,0.941796875,Cube_Ela5_Var37704
232,129,5,62947,30,104,0,0.601953125,Cube_Ela5_Var62947
233,173,5,76458,30,93,0,0.9515625,Cube_Ela5_Var76458
234,36,5,25822,30,150,0,0.036328125,Cube_Ela5_Var25822
235,59,5,40929,30,142,0,0.16875,Cube_Ela5_Var40929
236,54,5,38102,30,365,0,0.5296875,Cube_Ela5_Var38102
237,31,5,19705,30,56,0,0.0359375,Cube_Ela5_Var19705
238,79,5,46324,30,90,0,0.066796875,Cube_Ela5_Var46324
239,89,5,48089,30,90,0,0.0875,Cube_Ela5_Var48089
240,122,5,60291,30,90,0,0.03515625,Cube_Ela5_Var60291
241,157,5,70618,30,154,0,0.0328125,Cube_Ela5_Var70618
242,140,5,67529,30,166,0,0.776171875,Cube_Ela5_Var67529
243,45,5,32376,30,124,0,0.417578125,Cube_Ela5_Var32376
244,167,5,75466,30,104,0,0.165234375,Cube_Ela5_Var75466
245,55,5,38113,30,180,0,0.33828125,Cube_Ela5_Var38113
246,201,5,86931,30,90,0,0.83125,Cube_Ela5_Var86931
247,60,5,41405,30,125,0,0.976171875,Cube_Ela5_Var41405
248,132,5,64044,30,211,0,0.866015625,Cube_Ela5_Var64044
249,146,5,68517,30,120,0,0.937890625,Cube_Ela5_Var68517
250,8,5,2477,30,93,0,0.83515625,Cube_Ela5_Var2477
251,147,5,68783,30,155,0,0.051171875,Cube_Ela5_Var68783
252,158,5,71127,30,103,0,0.03046875,Cube_Ela5_Var71127
253,188,5,83580,30,78,0,0.515234375,Cube_Ela5_Var83580
254,170,5,75906,30,93,0,0.309375,Cube_Ela5_Var75906
255,85,5,47360,30,510,0,0.64453125,Cube_Ela5_Var47360
256,156,5,70550,30,204,0,0.583984375,Cube_Ela5_Var70550
257,84,5,47056,30,77,0,0.737890625,Cube_Ela5_Var47056
258,136,5,66102,30,106,0,0.953515625,Cube_Ela5_Var66102
259,197,5,85832,30,108,0,0.91484375,Cube_Ela5_Var85832
260,7,5,2366,30,120,0,0.1859375,Cube_Ela5_Var2366
261,135,5,65815,30,126,0,0.233984375,Cube_Ela5_Var65815
262,103,5,53873,30,92,0,0.525390625,Cube_Ela5_Var53873
263,185,5,83108,30,136,0,0.590625,Cube_Ela5_Var83108
264,113,5,57476,30,120,0,0.039453125,Cube_Ela5_Var57476
265,33,5,21958,30,131,0,0.013671875,Cube_Ela5_Var21958
266,200,5,86457,30,111,0,0.344140625,Cube_Ela5_Var86457
267,40,5,29981,30,99,0,0.20546875,Cube_Ela5_Var29981
268,125,5,60611,30,123,0,0.06640625,Cube_Ela5_Var60611
269,159,5,71793,30,320,0,0.919921875,Cube_Ela5_Var71793
270,135,5,65815,30,312,0,0.5046875,Cube_Ela5_Var65815
271,178,5,79232,30,90,0,0.084375,Cube_Ela5_Var79232
272,46,5,32740,30,654,0,0.85078125,Cube_Ela5_Var32740
273,138,5,66884,30,60,0,0.342578125,Cube_Ela5_Var66884
274,34,5,24505,30,120,0,0.598828125,Cube_Ela5_Var24505
275,138,5,66884,30,108,0,0.11875,Cube_Ela5_Var66884
276,120,5,59798,30,90,0,0.53359375,Cube_Ela5_Var59798
277,86,5,47653,30,90,0,0.68359375,Cube_Ela5_Var47653
278,30,5,18315,30,120,0,0.2015625,Cube_Ela5_Var18315
279,106,5,55088,30,75,0,0.0828125,Cube_Ela5_Var55088
280,187,5,83569,30,88,0,0.496875,Cube_Ela5_Var83569
281,107,5,55229,30,680,0,0.5484375,Cube_Ela5_Var55229
282,22,5,15089,30,73,0,0.923046875,Cube_Ela5_Var15089
283,70,5,43435,30,227,0,0.5796875,Cube_Ela5_Var43435
284,148,5,68946,30,123,0,0.55078125,Cube_Ela5_Var68946
285,108,5,55641,30,150,0,0.273828125,Cube_Ela5_Var55641
286,137,5,66844,30,57,0,0.308203125,Cube_Ela5_Var66844
287,75,5,44635,30,209,0,0.576953125,Cube_Ela5_Var44635
288,70,5,43435,30,112,0,0.294921875,Cube_Ela5_Var43435
289,168,5,75643,30,99,0,0.999609375,Cube_Ela5_Var75643
290,20,5,10573,30,120,0,0.038671875,Cube_Ela5_Var10573
291,188,5,83580,30,163,0,0.47109375,Cube_Ela5_Var83580
292,45,5,32376,30,60,0,0.12421875,Cube_Ela5_Var32376
293,157,5,70618,30,89,0,0.03125,Cube_Ela5_Var70618
