trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,108,5,55641,30,112,0,0.220703125,Cube_Ela5_Var55641
2,152,5,69698,30,110,0,0.19296875,Cube_Ela5_Var69698
3,205,5,92507,30,111,0,0.391015625,Cube_Ela5_Var92507
4,4,5,1538,30,101,0,0.680859375,Cube_Ela5_Var1538
5,31,5,19705,30,123,0,0.2109375,Cube_Ela5_Var19705
6,37,5,26416,30,105,0,0.762890625,Cube_Ela5_Var26416
7,206,5,92561,30,90,0,0.21796875,Cube_Ela5_Var92561
8,101,5,52893,30,106,0,0.155078125,Cube_Ela5_Var52893
9,43,5,31816,30,132,0,0.844140625,Cube_Ela5_Var31816
10,158,5,71127,30,90,0,0.3375,Cube_Ela5_Var71127
11,16,5,7693,30,192,0,0.5828125,Cube_Ela5_Var7693
12,132,5,64044,30,108,0,0.85,Cube_Ela5_Var64044
13,65,5,42133,30,113,0,0.3140625,Cube_Ela5_Var42133
14,147,5,68783,30,198,0,0.347265625,Cube_Ela5_Var68783
15,138,5,66884,30,193,0,0.3296875,Cube_Ela5_Var66884
16,156,5,70550,30,62,0,0.74375,Cube_Ela5_Var70550
17,182,5,81591,30,155,0,0.6484375,Cube_Ela5_Var81591
18,131,5,63563,30,91,0,0.51953125,Cube_Ela5_Var63563
19,176,5,77113,30,185,0,0.665234375,Cube_Ela5_Var77113
20,32,5,19857,30,83,0,0.869921875,Cube_Ela5_Var19857
21,116,5,58938,30,96,0,0.58203125,Cube_Ela5_Var58938
22,66,5,42455,30,74,0,0.959765625,Cube_Ela5_Var42455
23,138,5,66884,30,54,0,0.225,Cube_Ela5_Var66884
24,125,5,60611,30,63,0,0.164453125,Cube_Ela5_Var60611
25,139,5,67412,30,74,0,0.734375,Cube_Ela5_Var67412
26,169,5,75720,30,170,0,0.358203125,Cube_Ela5_Var75720
27,211,5,95602,30,77,0,0.295703125,Cube_Ela5_Var95602
28,39,5,27119,30,67,0,0.715625,Cube_Ela5_Var27119
29,16,5,7693,30,75,0,0.4953125,Cube_Ela5_Var7693
30,159,5,71793,30,69,0,0.89296875,Cube_Ela5_Var71793
31,67,5,42984,30,119,0,0.260546875,Cube_Ela5_Var42984
32,146,5,68517,30,66,0,0.914453125,Cube_Ela5_Var68517
33,161,5,73031,30,60,0,0.8140625,Cube_Ela5_Var73031
34,148,5,68946,30,60,0,0.454296875,Cube_Ela5_Var68946
35,169,5,75720,30,65,0,0.355859375,Cube_Ela5_Var75720
36,31,5,19705,30,60,0,0.21171875,Cube_Ela5_Var19705
37,107,5,55229,30,135,0,0.369921875,Cube_Ela5_Var55229
38,108,5,55641,30,81,0,0.153125,Cube_Ela5_Var55641
39,14,5,6176,30,63,0,0.254296875,Cube_Ela5_Var6176
40,19,5,10511,30,62,0,0.24375,Cube_Ela5_Var10511
41,7,5,2366,30,111,0,0.38359375,Cube_Ela5_Var2366
42,21,5,13214,30,112,0,0.658984375,Cube_Ela5_Var13214
43,64,5,42125,30,90,0,0.596484375,Cube_Ela5_Var42125
44,160,5,73019,30,85,0,0.67578125,Cube_Ela5_Var73019
45,117,5,59301,30,88,0,0.4953125,Cube_Ela5_Var59301
46,130,5,63189,30,150,0,0.56875,Cube_Ela5_Var63189
47,175,5,76680,30,60,0,0.825,Cube_Ela5_Var76680
48,52,5,37704,30,81,0,0.8390625,Cube_Ela5_Var37704
49,69,5,43329,30,104,0,0.346484375,Cube_Ela5_Var43329
50,51,5,37660,30,87,0,0.235546875,Cube_Ela5_Var37660
51,119,5,59685,30,81,0,0.790625,Cube_Ela5_Var59685
52,165,5,75101,30,59,0,0.25546875,Cube_Ela5_Var75101
53,200,5,86457,30,65,0,0.378515625,Cube_Ela5_Var86457
54,33,5,21958,30,59,0,0.067578125,Cube_Ela5_Var21958
55,5,5,1623,30,60,0,0.8234375,Cube_Ela5_Var1623
56,104,5,54168,30,89,0,0.8265625,Cube_Ela5_Var54168
57,206,5,92561,30,90,0,0.1828125,Cube_Ela5_Var92561
58,55,5,38113,30,60,0,0.49765625,Cube_Ela5_Var38113
59,28,5,17097,30,66,0,0.821484375,Cube_Ela5_Var17097
60,124,5,60587,30,66,0,0.259765625,Cube_Ela5_Var60587
61,137,5,66844,30,121,0,0.619140625,Cube_Ela5_Var66844
62,204,5,88519,30,65,0,0.760546875,Cube_Ela5_Var88519
63,145,5,68081,30,90,0,0.76796875,Cube_Ela5_Var68081
64,75,5,44635,30,160,0,0.392578125,Cube_Ela5_Var44635
65,151,5,69665,30,90,0,0.535546875,Cube_Ela5_Var69665
66,179,5,79309,30,104,0,0.507421875,Cube_Ela5_Var79309
67,106,5,55088,30,54,0,0.301953125,Cube_Ela5_Var55088
68,51,5,37660,30,77,0,0.169921875,Cube_Ela5_Var37660
69,168,5,75643,30,60,0,0.91640625,Cube_Ela5_Var75643
70,156,5,70550,30,66,0,0.731640625,Cube_Ela5_Var70550
71,14,5,6176,30,85,0,0.2765625,Cube_Ela5_Var6176
72,207,5,93825,30,95,0,0.808203125,Cube_Ela5_Var93825
73,89,5,48089,30,58,0,0.181640625,Cube_Ela5_Var48089
74,37,5,26416,30,65,0,0.6625,Cube_Ela5_Var26416
75,52,5,37704,30,79,0,0.852734375,Cube_Ela5_Var37704
76,62,5,41753,30,110,0,0.4953125,Cube_Ela5_Var41753
77,185,5,83108,30,96,0,0.795703125,Cube_Ela5_Var83108
