trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,176,5,77113,30,150,0,0.290234375,Cube_Ela5_Var77113
2,62,5,41753,30,70,0,0.10546875,Cube_Ela5_Var41753
3,205,5,92507,30,64,0,0.2484375,Cube_Ela5_Var92507
4,153,5,69719,30,60,0,0.451953125,Cube_Ela5_Var69719
5,23,5,15801,30,80,0,0.377734375,Cube_Ela5_Var15801
6,62,5,41753,30,99,0,0.43515625,Cube_Ela5_Var41753
7,2,5,1342,30,60,0,0.474609375,Cube_Ela5_Var1342
8,190,5,83732,30,71,0,0.537109375,Cube_Ela5_Var83732
9,169,5,75720,30,70,0,0.425390625,Cube_Ela5_Var75720
10,187,5,83569,30,90,0,0.2890625,Cube_Ela5_Var83569
11,86,5,47653,30,98,0,0.437109375,Cube_Ela5_Var47653
12,143,5,68063,30,78,0,0.475390625,Cube_Ela5_Var68063
13,117,5,59301,30,78,0,0.3484375,Cube_Ela5_Var59301
14,188,5,83580,30,59,0,0.283203125,Cube_Ela5_Var83580
15,20,5,10573,30,80,0,0.19140625,Cube_Ela5_Var10573
16,104,5,54168,30,90,0,0.380859375,Cube_Ela5_Var54168
17,149,5,68965,30,54,0,0.38359375,Cube_Ela5_Var68965
18,58,5,40583,30,60,0,0.31484375,Cube_Ela5_Var40583
19,84,5,47056,30,62,0,0.365234375,Cube_Ela5_Var47056
20,149,5,68965,30,81,0,0.399609375,Cube_Ela5_Var68965
21,164,5,75018,30,110,0,0.429296875,Cube_Ela5_Var75018
22,53,5,37783,30,60,0,0.272265625,Cube_Ela5_Var37783
23,50,5,36019,30,60,0,0.326171875,Cube_Ela5_Var36019
24,201,5,86931,30,56,0,0.340234375,Cube_Ela5_Var86931
25,143,5,68063,30,79,0,0.583203125,Cube_Ela5_Var68063
26,176,5,77113,30,97,0,0.4984375,Cube_Ela5_Var77113
27,35,5,25148,30,149,0,0.41953125,Cube_Ela5_Var25148
28,47,5,33762,30,60,0,0.534765625,Cube_Ela5_Var33762
29,35,5,25148,30,79,0,0.5125,Cube_Ela5_Var25148
30,63,5,42107,30,96,0,0.520703125,Cube_Ela5_Var42107
31,81,5,46939,30,113,0,0.494921875,Cube_Ela5_Var46939
32,100,5,52265,30,77,0,0.448046875,Cube_Ela5_Var52265
33,59,5,40929,30,108,0,0.477734375,Cube_Ela5_Var40929
34,8,5,2477,30,79,0,0.46015625,Cube_Ela5_Var2477
35,130,5,63189,30,120,0,0.34140625,Cube_Ela5_Var63189
36,155,5,70055,30,60,0,0.598828125,Cube_Ela5_Var70055
37,29,5,17269,30,82,0,0.403125,Cube_Ela5_Var17269
38,42,5,31564,30,62,0,0.431640625,Cube_Ela5_Var31564
39,72,5,43640,30,156,0,0.4203125,Cube_Ela5_Var43640
40,20,5,10573,30,87,0,0.453515625,Cube_Ela5_Var10573
41,98,5,49303,30,55,0,0.491015625,Cube_Ela5_Var49303
42,111,5,56928,30,52,0,0.5078125,Cube_Ela5_Var56928
43,71,5,43564,30,120,0,0.68515625,Cube_Ela5_Var43564
44,94,5,48729,30,120,0,0.613671875,Cube_Ela5_Var48729
45,95,5,48772,30,59,0,0.499609375,Cube_Ela5_Var48772
46,50,5,36019,30,79,0,0.530078125,Cube_Ela5_Var36019
47,177,5,78117,30,96,0,0.6671875,Cube_Ela5_Var78117
48,125,5,60611,30,97,0,0.49765625,Cube_Ela5_Var60611
49,49,5,35211,30,83,0,0.3796875,Cube_Ela5_Var35211
50,161,5,73031,30,69,0,0.315234375,Cube_Ela5_Var73031
51,75,5,44635,30,113,0,0.356640625,Cube_Ela5_Var44635
52,154,5,69989,30,60,0,0.280859375,Cube_Ela5_Var69989
53,186,5,83290,30,47,0,0.4109375,Cube_Ela5_Var83290
54,109,5,56443,30,55,0,0.41171875,Cube_Ela5_Var56443
55,182,5,81591,30,58,0,0.2875,Cube_Ela5_Var81591
56,105,5,54414,30,60,0,0.3,Cube_Ela5_Var54414
57,101,5,52893,30,113,0,0.460546875,Cube_Ela5_Var52893
58,23,5,15801,30,117,0,0.428125,Cube_Ela5_Var15801
59,89,5,48089,30,75,0,0.4453125,Cube_Ela5_Var48089
60,213,5,99105,30,120,0,0.529296875,Cube_Ela5_Var99105
61,209,5,94639,30,47,0,0.373828125,Cube_Ela5_Var94639
