trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,12,5,4889,30,141,0,0.49765625,Cube_Ela5_Var4889
2,150,5,69309,30,73,0,0.56796875,Cube_Ela5_Var69309
3,179,5,79309,30,131,0,0.462890625,Cube_Ela5_Var79309
4,22,5,15089,30,120,0,0.59375,Cube_Ela5_Var15089
5,13,5,5923,30,107,0,0.504296875,Cube_Ela5_Var5923
6,188,5,83580,30,125,0,0.54453125,Cube_Ela5_Var83580
7,176,5,77113,30,60,0,0.490234375,Cube_Ela5_Var77113
8,188,5,83580,30,67,0,0.528515625,Cube_Ela5_Var83580
9,95,5,48772,30,127,0,0.35390625,Cube_Ela5_Var48772
10,81,5,46939,30,102,0,0.49765625,Cube_Ela5_Var46939
11,48,5,34970,30,96,0,0.72734375,Cube_Ela5_Var34970
12,68,5,43188,30,136,0,0.6859375,Cube_Ela5_Var43188
13,113,5,57476,30,122,0,0.07421875,Cube_Ela5_Var57476
14,42,5,31564,30,69,0,0.065625,Cube_Ela5_Var31564
15,129,5,62947,30,80,0,0,Cube_Ela5_Var62947
16,134,5,64806,30,127,0,0.56171875,Cube_Ela5_Var64806
17,78,5,46309,30,154,0,0.511328125,Cube_Ela5_Var46309
18,24,5,16080,30,56,0,0,Cube_Ela5_Var16080
19,180,5,80369,30,72,0,0.02734375,Cube_Ela5_Var80369
20,209,5,94639,30,58,0,0.969140625,Cube_Ela5_Var94639
21,142,5,68062,30,131,0,0.037890625,Cube_Ela5_Var68062
22,166,5,75451,30,107,0,0.99609375,Cube_Ela5_Var75451
23,202,5,87418,30,77,0,0.863671875,Cube_Ela5_Var87418
24,58,5,40583,30,102,0,0.77109375,Cube_Ela5_Var40583
25,165,5,75101,30,111,0,0.0375,Cube_Ela5_Var75101
26,6,5,2068,30,60,0,0.002734375,Cube_Ela5_Var2068
27,92,5,48387,30,97,0,0.718359375,Cube_Ela5_Var48387
28,127,5,61722,30,80,0,0.040234375,Cube_Ela5_Var61722
29,33,5,21958,30,60,0,0.7125,Cube_Ela5_Var21958
30,199,5,86083,30,147,0,0.5984375,Cube_Ela5_Var86083
31,121,5,59995,30,88,0,0.741796875,Cube_Ela5_Var59995
32,114,5,57643,30,71,0,0.988671875,Cube_Ela5_Var57643
33,133,5,64187,30,252,0,0.700390625,Cube_Ela5_Var64187
34,191,5,83787,30,150,0,0.671875,Cube_Ela5_Var83787
35,187,5,83569,30,42,0,0.998828125,Cube_Ela5_Var83569
36,200,5,86457,30,47,0,0.999609375,Cube_Ela5_Var86457
37,200,5,86457,30,52,0,0.999609375,Cube_Ela5_Var86457
38,25,5,16464,30,88,0,0.64296875,Cube_Ela5_Var16464
39,201,5,86931,30,97,0,0.954296875,Cube_Ela5_Var86931
40,74,5,44309,30,60,0,0.975390625,Cube_Ela5_Var44309
41,88,5,48076,30,183,0,0.84609375,Cube_Ela5_Var48076
42,53,5,37783,30,180,0,0.6296875,Cube_Ela5_Var37783
43,106,5,55088,30,156,0,0.775390625,Cube_Ela5_Var55088
44,42,5,31564,30,107,0,0.213671875,Cube_Ela5_Var31564
45,104,5,54168,30,84,0,0.90234375,Cube_Ela5_Var54168
46,96,5,48836,30,60,0,0.999609375,Cube_Ela5_Var48836
47,108,5,55641,30,437,0,0.46328125,Cube_Ela5_Var55641
48,52,5,37704,30,231,0,0.628515625,Cube_Ela5_Var37704
49,21,5,13214,30,183,0,0.7359375,Cube_Ela5_Var13214
50,148,5,68946,30,79,0,0.767578125,Cube_Ela5_Var68946
51,148,5,68946,30,176,0,0.49609375,Cube_Ela5_Var68946
52,171,5,76210,30,49,0,0.8796875,Cube_Ela5_Var76210
53,129,5,62947,30,104,0,0.85390625,Cube_Ela5_Var62947
54,211,5,95602,30,90,0,0.999609375,Cube_Ela5_Var95602
55,208,5,94354,30,95,0,0.9921875,Cube_Ela5_Var94354
56,112,5,56929,30,74,0,0.4296875,Cube_Ela5_Var56929
57,31,5,19705,30,59,0,0.5,Cube_Ela5_Var19705
58,33,5,21958,30,60,0,0.611328125,Cube_Ela5_Var21958
59,87,5,47802,30,43,0,0.99296875,Cube_Ela5_Var47802
60,174,5,76610,30,70,0,0.696875,Cube_Ela5_Var76610
61,122,5,60291,30,60,0,0.4578125,Cube_Ela5_Var60291
62,17,5,7776,30,51,0,0.85390625,Cube_Ela5_Var7776
