trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,187,5,83569,30,210,0,0.279296875,Cube_Ela5_Var83569
2,32,5,19857,30,121,0,0.83515625,Cube_Ela5_Var19857
3,6,5,2068,30,190,0,0.1984375,Cube_Ela5_Var2068
4,125,5,60611,30,180,0,0.264453125,Cube_Ela5_Var60611
5,160,5,73019,30,125,0,0.8171875,Cube_Ela5_Var73019
6,49,5,35211,30,128,0,0.48359375,Cube_Ela5_Var35211
7,124,5,60587,30,143,0,0.368359375,Cube_Ela5_Var60587
8,50,5,36019,30,219,0,0.33203125,Cube_Ela5_Var36019
9,131,5,63563,30,88,0,0.941015625,Cube_Ela5_Var63563
10,30,5,18315,30,120,0,0.685546875,Cube_Ela5_Var18315
11,206,5,92561,30,206,0,0.3546875,Cube_Ela5_Var92561
12,87,5,47802,30,120,0,0.91875,Cube_Ela5_Var47802
13,126,5,60721,30,150,0,0.80234375,Cube_Ela5_Var60721
14,25,5,16464,30,136,0,0.309765625,Cube_Ela5_Var16464
15,177,5,78117,30,144,0,0.339453125,Cube_Ela5_Var78117
16,66,5,42455,30,169,0,0.40625,Cube_Ela5_Var42455
17,72,5,43640,30,179,0,0.305859375,Cube_Ela5_Var43640
18,140,5,67529,30,186,0,0.4484375,Cube_Ela5_Var67529
19,189,5,83647,30,142,0,0.850390625,Cube_Ela5_Var83647
20,41,5,30524,30,130,0,0.18359375,Cube_Ela5_Var30524
21,200,5,86457,30,240,0,0.25390625,Cube_Ela5_Var86457
22,134,5,64806,30,180,0,0.253515625,Cube_Ela5_Var64806
23,63,5,42107,30,152,0,0.875390625,Cube_Ela5_Var42107
24,40,5,29981,30,301,0,0.329296875,Cube_Ela5_Var29981
25,142,5,68062,30,175,0,0.166015625,Cube_Ela5_Var68062
26,101,5,52893,30,120,0,0.055859375,Cube_Ela5_Var52893
27,102,5,53293,30,185,0,0.16484375,Cube_Ela5_Var53293
28,4,5,1538,30,150,0,0.457421875,Cube_Ela5_Var1538
29,16,5,7693,30,140,0,0.426171875,Cube_Ela5_Var7693
30,42,5,31564,30,197,0,0.53203125,Cube_Ela5_Var31564
31,106,5,55088,30,152,0,0.3109375,Cube_Ela5_Var55088
32,143,5,68063,30,173,0,0.214453125,Cube_Ela5_Var68063
33,109,5,56443,30,202,0,0.635546875,Cube_Ela5_Var56443
34,63,5,42107,30,222,0,0.78203125,Cube_Ela5_Var42107
35,74,5,44309,30,183,0,0.669921875,Cube_Ela5_Var44309
36,92,5,48387,30,126,0,0.46796875,Cube_Ela5_Var48387
37,193,5,84352,30,98,0,0.062109375,Cube_Ela5_Var84352
38,165,5,75101,30,132,0,0.10390625,Cube_Ela5_Var75101
39,164,5,75018,30,140,0,0.198046875,Cube_Ela5_Var75018
40,59,5,40929,30,120,0,0.25546875,Cube_Ela5_Var40929
41,208,5,94354,30,128,0,0.228515625,Cube_Ela5_Var94354
42,105,5,54414,30,90,0,0.8953125,Cube_Ela5_Var54414
43,24,5,16080,30,189,0,0.347265625,Cube_Ela5_Var16080
44,199,5,86083,30,90,0,0.06953125,Cube_Ela5_Var86083
45,157,5,70618,30,105,0,0.16875,Cube_Ela5_Var70618
46,80,5,46376,30,150,0,0.801953125,Cube_Ela5_Var46376
47,89,5,48089,30,205,0,0.566015625,Cube_Ela5_Var48089
48,10,5,3229,30,187,0,0.7765625,Cube_Ela5_Var3229
49,110,5,56757,30,143,0,0.29765625,Cube_Ela5_Var56757
50,183,5,82598,30,177,0,0.66796875,Cube_Ela5_Var82598
51,89,5,48089,30,180,0,0.42109375,Cube_Ela5_Var48089
52,83,5,47029,30,194,0,0.4953125,Cube_Ela5_Var47029
53,164,5,75018,30,166,0,0.363671875,Cube_Ela5_Var75018
54,200,5,86457,30,150,0,0.593359375,Cube_Ela5_Var86457
55,90,5,48128,30,142,0,0.1125,Cube_Ela5_Var48128
56,175,5,76680,30,128,0,0.33984375,Cube_Ela5_Var76680
57,181,5,81177,30,120,0,0.692578125,Cube_Ela5_Var81177
58,130,5,63189,30,177,0,0.451171875,Cube_Ela5_Var63189
59,98,5,49303,30,123,0,0.703125,Cube_Ela5_Var49303
60,202,5,87418,30,130,0,0.80390625,Cube_Ela5_Var87418
61,25,5,16464,30,120,0,0.49375,Cube_Ela5_Var16464
62,35,5,25148,30,171,0,0.781640625,Cube_Ela5_Var25148
63,194,5,85461,30,261,0,0.69453125,Cube_Ela5_Var85461
64,129,5,62947,30,142,0,0.406640625,Cube_Ela5_Var62947
65,14,5,6176,30,158,0,0.29765625,Cube_Ela5_Var6176
66,154,5,69989,30,150,0,0.424609375,Cube_Ela5_Var69989
67,133,5,64187,30,165,0,0.34921875,Cube_Ela5_Var64187
