trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,189,5,83647,30,166,0,0.699609375,Cube_Ela5_Var83647
2,107,5,55229,30,263,0,0.730859375,Cube_Ela5_Var55229
3,119,5,59685,30,112,0,0.698828125,Cube_Ela5_Var59685
4,49,5,35211,30,150,0,0.405859375,Cube_Ela5_Var35211
5,53,5,37783,30,180,0,0.64765625,Cube_Ela5_Var37783
6,90,5,48128,30,105,0,0.428515625,Cube_Ela5_Var48128
7,97,5,48875,30,270,0,0.81640625,Cube_Ela5_Var48875
8,84,5,47056,30,342,0,0.50078125,Cube_Ela5_Var47056
9,104,5,54168,30,164,0,0.20390625,Cube_Ela5_Var54168
10,7,5,2366,30,134,0,0.105859375,Cube_Ela5_Var2366
11,4,5,1538,30,119,0,0.822265625,Cube_Ela5_Var1538
12,160,5,73019,30,158,0,0.65703125,Cube_Ela5_Var73019
13,166,5,75451,30,118,0,0.646484375,Cube_Ela5_Var75451
14,171,5,76210,30,107,0,0.35859375,Cube_Ela5_Var76210
15,168,5,75643,30,124,0,0.78359375,Cube_Ela5_Var75643
16,153,5,69719,30,180,0,0.448046875,Cube_Ela5_Var69719
17,69,5,43329,30,123,0,0.169140625,Cube_Ela5_Var43329
18,100,5,52265,30,102,0,0.0453125,Cube_Ela5_Var52265
19,88,5,48076,30,113,0,0.053515625,Cube_Ela5_Var48076
20,51,5,37660,30,138,0,0.201953125,Cube_Ela5_Var37660
21,16,5,7693,30,132,0,0.230859375,Cube_Ela5_Var7693
22,56,5,39587,30,98,0,0.304296875,Cube_Ela5_Var39587
23,113,5,57476,30,122,0,0.24921875,Cube_Ela5_Var57476
24,209,5,94639,30,141,0,0.571875,Cube_Ela5_Var94639
25,206,5,92561,30,132,0,0.576171875,Cube_Ela5_Var92561
26,204,5,88519,30,90,0,0.7453125,Cube_Ela5_Var88519
27,64,5,42125,30,90,0,0.785546875,Cube_Ela5_Var42125
28,172,5,76354,30,171,0,0.380859375,Cube_Ela5_Var76354
29,4,5,1538,30,90,0,0.4796875,Cube_Ela5_Var1538
30,174,5,76610,30,135,0,0.32578125,Cube_Ela5_Var76610
31,116,5,58938,30,90,0,0.3,Cube_Ela5_Var58938
32,9,5,3037,30,188,0,0.371875,Cube_Ela5_Var3037
33,80,5,46376,30,96,0,0.632421875,Cube_Ela5_Var46376
34,181,5,81177,30,150,0,0.384375,Cube_Ela5_Var81177
35,69,5,43329,30,137,0,0.364453125,Cube_Ela5_Var43329
36,201,5,86931,30,81,0,0.638671875,Cube_Ela5_Var86931
37,199,5,86083,30,193,0,0.5578125,Cube_Ela5_Var86083
38,135,5,65815,30,86,0,0.66796875,Cube_Ela5_Var65815
39,106,5,55088,30,89,0,0.3796875,Cube_Ela5_Var55088
40,36,5,25822,30,85,0,0.357421875,Cube_Ela5_Var25822
41,51,5,37660,30,120,0,0.38203125,Cube_Ela5_Var37660
42,21,5,13214,30,300,0,0.580078125,Cube_Ela5_Var13214
43,21,5,13214,30,415,0,0.340625,Cube_Ela5_Var13214
44,61,5,41451,30,90,0,0.183203125,Cube_Ela5_Var41451
45,106,5,55088,30,116,0,0.301953125,Cube_Ela5_Var55088
46,148,5,68946,30,102,0,0.484765625,Cube_Ela5_Var68946
47,42,5,31564,30,84,0,0.59453125,Cube_Ela5_Var31564
48,102,5,53293,30,60,0,0.465234375,Cube_Ela5_Var53293
49,118,5,59579,30,152,0,0.28203125,Cube_Ela5_Var59579
50,57,5,40406,30,176,0,0.3859375,Cube_Ela5_Var40406
51,55,5,38113,30,125,0,0.276953125,Cube_Ela5_Var38113
52,76,5,44788,30,63,0,0.56171875,Cube_Ela5_Var44788
53,187,5,83569,30,90,0,0.35703125,Cube_Ela5_Var83569
54,199,5,86083,30,143,0,0.462890625,Cube_Ela5_Var86083
55,85,5,47360,30,85,0,0.580859375,Cube_Ela5_Var47360
56,206,5,92561,30,70,0,0.348046875,Cube_Ela5_Var92561
57,161,5,73031,30,120,0,0.38671875,Cube_Ela5_Var73031
58,57,5,40406,30,281,0,0.40234375,Cube_Ela5_Var40406
59,126,5,60721,30,87,0,0.305859375,Cube_Ela5_Var60721
60,47,5,33762,30,60,0,0.633203125,Cube_Ela5_Var33762
61,189,5,83647,30,150,0,0.821875,Cube_Ela5_Var83647
62,144,5,68079,30,60,0,0.3171875,Cube_Ela5_Var68079
63,54,5,38102,30,77,0,0.276953125,Cube_Ela5_Var38102
64,35,5,25148,30,91,0,0.63359375,Cube_Ela5_Var25148
65,41,5,30524,30,150,0,0.3703125,Cube_Ela5_Var30524
66,135,5,65815,30,125,0,0.584765625,Cube_Ela5_Var65815
67,178,5,79232,30,86,0,0.090625,Cube_Ela5_Var79232
68,159,5,71793,30,120,0,0.917578125,Cube_Ela5_Var71793
69,108,5,55641,30,66,0,0.237890625,Cube_Ela5_Var55641
70,65,5,42133,30,109,0,0.209765625,Cube_Ela5_Var42133
71,173,5,76458,30,145,0,0.740625,Cube_Ela5_Var76458
72,145,5,68081,30,320,0,0.4359375,Cube_Ela5_Var68081
73,15,5,6288,30,211,0,0.591015625,Cube_Ela5_Var6288
74,141,5,67925,30,73,0,0.751171875,Cube_Ela5_Var67925
75,58,5,40583,30,84,0,0.8,Cube_Ela5_Var40583
76,42,5,31564,30,93,0,0.284765625,Cube_Ela5_Var31564
77,213,5,99105,30,129,0,0.05234375,Cube_Ela5_Var99105
78,40,5,29981,30,95,0,0.678515625,Cube_Ela5_Var29981
79,11,5,3345,30,159,0,0.382421875,Cube_Ela5_Var3345
80,68,5,43188,30,102,0,0.736328125,Cube_Ela5_Var43188
81,68,5,43188,30,99,0,0.610546875,Cube_Ela5_Var43188
82,185,5,83108,30,147,0,0.43125,Cube_Ela5_Var83108
83,90,5,48128,30,135,0,0.621484375,Cube_Ela5_Var48128
84,210,5,94778,30,61,0,0.165234375,Cube_Ela5_Var94778
85,179,5,79309,30,103,0,0.5453125,Cube_Ela5_Var79309
86,117,5,59301,30,144,0,0.6265625,Cube_Ela5_Var59301
87,88,5,48076,30,88,0,0.20859375,Cube_Ela5_Var48076
88,64,5,42125,30,194,0,0.76015625,Cube_Ela5_Var42125
89,24,5,16080,30,68,0,0.709765625,Cube_Ela5_Var16080
90,39,5,27119,30,137,0,0.626171875,Cube_Ela5_Var27119
91,115,5,58016,30,150,0,0.388671875,Cube_Ela5_Var58016
92,40,5,29981,30,146,0,0.638671875,Cube_Ela5_Var29981
93,131,5,63563,30,90,0,0.675390625,Cube_Ela5_Var63563
94,134,5,64806,30,111,0,0.6125,Cube_Ela5_Var64806
95,70,5,43435,30,251,0,0.25703125,Cube_Ela5_Var43435
96,1,5,663,30,125,0,0.21484375,Cube_Ela5_Var663
97,80,5,46376,30,60,0,0.725390625,Cube_Ela5_Var46376
98,13,5,5923,30,270,0,0.59296875,Cube_Ela5_Var5923
99,60,5,41405,30,150,0,0.645703125,Cube_Ela5_Var41405
100,181,5,81177,30,64,0,0.3609375,Cube_Ela5_Var81177
101,95,5,48772,30,83,0,0.3375,Cube_Ela5_Var48772
102,85,5,47360,30,227,0,0.59140625,Cube_Ela5_Var47360
103,164,5,75018,30,76,0,0.831640625,Cube_Ela5_Var75018
104,122,5,60291,30,136,0,0.557421875,Cube_Ela5_Var60291
