trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,23,5,15801,30,157,0,0.058203125,Cube_Ela5_Var15801
2,160,5,73019,30,120,0,0.646484375,Cube_Ela5_Var73019
3,200,5,86457,30,120,0,0.523828125,Cube_Ela5_Var86457
4,106,5,55088,30,267,0,0.198046875,Cube_Ela5_Var55088
5,117,5,59301,30,90,0,0.520703125,Cube_Ela5_Var59301
6,65,5,42133,30,98,0,0.126171875,Cube_Ela5_Var42133
7,170,5,75906,30,210,0,0.502734375,Cube_Ela5_Var75906
8,114,5,57643,30,105,0,0.712109375,Cube_Ela5_Var57643
9,27,5,16920,30,180,0,0.59765625,Cube_Ela5_Var16920
10,17,5,7776,30,155,0,0.250390625,Cube_Ela5_Var7776
11,75,5,44635,30,134,0,0.415234375,Cube_Ela5_Var44635
12,179,5,79309,30,90,0,0.181640625,Cube_Ela5_Var79309
13,112,5,56929,30,90,0,0.101953125,Cube_Ela5_Var56929
14,134,5,64806,30,82,0,0.60078125,Cube_Ela5_Var64806
15,167,5,75466,30,206,0,0.362109375,Cube_Ela5_Var75466
16,37,5,26416,30,369,0,0.6109375,Cube_Ela5_Var26416
17,6,5,2068,30,90,0,0.120703125,Cube_Ela5_Var2068
18,94,5,48729,30,90,0,0.165625,Cube_Ela5_Var48729
19,130,5,63189,30,185,0,0.611328125,Cube_Ela5_Var63189
20,209,5,94639,30,195,0,0.781640625,Cube_Ela5_Var94639
21,198,5,85928,30,106,0,0.05546875,Cube_Ela5_Var85928
22,163,5,74604,30,82,0,0.583203125,Cube_Ela5_Var74604
23,91,5,48302,30,74,0,0.2421875,Cube_Ela5_Var48302
24,153,5,69719,30,204,0,0.448046875,Cube_Ela5_Var69719
25,75,5,44635,30,79,0,0.359765625,Cube_Ela5_Var44635
26,38,5,27096,30,60,0,0.137109375,Cube_Ela5_Var27096
27,67,5,42984,30,74,0,0.09609375,Cube_Ela5_Var42984
28,193,5,84352,30,69,0,0.062890625,Cube_Ela5_Var84352
29,203,5,87749,30,115,0,0.28125,Cube_Ela5_Var87749
30,16,5,7693,30,81,0,0.452734375,Cube_Ela5_Var7693
31,205,5,92507,30,130,0,0.228515625,Cube_Ela5_Var92507
32,94,5,48729,30,74,0,0.064453125,Cube_Ela5_Var48729
33,101,5,52893,30,220,0,0.190625,Cube_Ela5_Var52893
34,32,5,19857,30,60,0,0.71171875,Cube_Ela5_Var19857
35,116,5,58938,30,75,0,0.183203125,Cube_Ela5_Var58938
36,95,5,48772,30,58,0,0.33984375,Cube_Ela5_Var48772
37,81,5,46939,30,70,0,0.311328125,Cube_Ela5_Var46939
38,36,5,25822,30,61,0,0.05703125,Cube_Ela5_Var25822
39,188,5,83580,30,54,0,0.20078125,Cube_Ela5_Var83580
40,57,5,40406,30,66,0,0.187890625,Cube_Ela5_Var40406
41,150,5,69309,30,86,0,0.5140625,Cube_Ela5_Var69309
42,10,5,3229,30,90,0,0.05546875,Cube_Ela5_Var3229
43,111,5,56928,30,165,0,0.170703125,Cube_Ela5_Var56928
44,181,5,81177,30,76,0,0.091796875,Cube_Ela5_Var81177
45,71,5,43564,30,51,0,0.0984375,Cube_Ela5_Var43564
46,3,5,1422,30,90,0,0.05703125,Cube_Ela5_Var1422
47,128,5,62855,30,79,0,0,Cube_Ela5_Var62855
48,118,5,59579,30,69,0,0.39375,Cube_Ela5_Var59579
49,35,5,25148,30,60,0,0.046484375,Cube_Ela5_Var25148
50,78,5,46309,30,60,0,0.309765625,Cube_Ela5_Var46309
51,112,5,56929,30,84,0,0.0421875,Cube_Ela5_Var56929
52,8,5,2477,30,60,0,0.173828125,Cube_Ela5_Var2477
53,89,5,48089,30,67,0,0.021484375,Cube_Ela5_Var48089
54,106,5,55088,30,72,0,0.02734375,Cube_Ela5_Var55088
55,27,5,16920,30,60,0,0.101171875,Cube_Ela5_Var16920
56,29,5,17269,30,90,0,0.035546875,Cube_Ela5_Var17269
57,108,5,55641,30,68,0,0.129296875,Cube_Ela5_Var55641
58,25,5,16464,30,66,0,0.025,Cube_Ela5_Var16464
59,72,5,43640,30,62,0,0.040234375,Cube_Ela5_Var43640
60,132,5,64044,30,90,0,0.1609375,Cube_Ela5_Var64044
61,33,5,21958,30,71,0,0.00703125,Cube_Ela5_Var21958
62,154,5,69989,30,66,0,0.0421875,Cube_Ela5_Var69989
63,25,5,16464,30,100,0,0.040625,Cube_Ela5_Var16464
64,106,5,55088,30,107,0,0.0359375,Cube_Ela5_Var55088
65,85,5,47360,30,70,0,0.044921875,Cube_Ela5_Var47360
66,16,5,7693,30,82,0,0.0421875,Cube_Ela5_Var7693
67,107,5,55229,30,75,0,0.133984375,Cube_Ela5_Var55229
68,137,5,66844,30,83,0,0.39140625,Cube_Ela5_Var66844
69,54,5,38102,30,54,0,0.491796875,Cube_Ela5_Var38102
70,12,5,4889,30,81,0,0.34609375,Cube_Ela5_Var4889
71,20,5,10573,30,96,0,0.050390625,Cube_Ela5_Var10573
72,153,5,69719,30,68,0,0.23515625,Cube_Ela5_Var69719
73,47,5,33762,30,90,0,0.106640625,Cube_Ela5_Var33762
74,25,5,16464,30,75,0,0.0765625,Cube_Ela5_Var16464
75,190,5,83732,30,105,0,0.536328125,Cube_Ela5_Var83732
76,46,5,32740,30,84,0,0.730078125,Cube_Ela5_Var32740
77,166,5,75451,30,420,0,0.78515625,Cube_Ela5_Var75451
78,96,5,48836,30,60,0,0.971484375,Cube_Ela5_Var48836
79,144,5,68079,30,47,0,0.675390625,Cube_Ela5_Var68079
80,41,5,30524,30,54,0,0.149609375,Cube_Ela5_Var30524
81,154,5,69989,30,68,0,0.048828125,Cube_Ela5_Var69989
82,113,5,57476,30,87,0,0.06015625,Cube_Ela5_Var57476
83,190,5,83732,30,114,0,0.1234375,Cube_Ela5_Var83732
84,55,5,38113,30,66,0,0.122265625,Cube_Ela5_Var38113
85,132,5,64044,30,83,0,0.151171875,Cube_Ela5_Var64044
86,43,5,31816,30,57,0,0.04453125,Cube_Ela5_Var31816
87,59,5,40929,30,79,0,0.112890625,Cube_Ela5_Var40929
88,98,5,49303,30,85,0,0.56484375,Cube_Ela5_Var49303
89,196,5,85828,30,51,0,0.101953125,Cube_Ela5_Var85828
90,33,5,21958,30,75,0,0.086328125,Cube_Ela5_Var21958
91,198,5,85928,30,120,0,0.05625,Cube_Ela5_Var85928
92,159,5,71793,30,178,0,0.76640625,Cube_Ela5_Var71793
93,212,5,97114,30,46,0,0.038671875,Cube_Ela5_Var97114
94,208,5,94354,30,101,0,0.621484375,Cube_Ela5_Var94354
95,72,5,43640,30,155,0,0.305078125,Cube_Ela5_Var43640
96,26,5,16639,30,90,0,0.419140625,Cube_Ela5_Var16639
97,19,5,10511,30,49,0,0.030078125,Cube_Ela5_Var10511
98,137,5,66844,30,50,0,0.092578125,Cube_Ela5_Var66844
99,95,5,48772,30,81,0,0.20625,Cube_Ela5_Var48772
100,60,5,41405,30,57,0,0.89765625,Cube_Ela5_Var41405
101,93,5,48423,30,152,0,0.252734375,Cube_Ela5_Var48423
102,104,5,54168,30,68,0,0.646484375,Cube_Ela5_Var54168
103,86,5,47653,30,60,0,0.47578125,Cube_Ela5_Var47653
104,119,5,59685,30,120,0,0.71796875,Cube_Ela5_Var59685
105,183,5,82598,30,50,0,0.94765625,Cube_Ela5_Var82598
106,124,5,60587,30,55,0,0.087890625,Cube_Ela5_Var60587
107,110,5,56757,30,61,0,0.107421875,Cube_Ela5_Var56757
108,189,5,83647,30,61,0,0.934375,Cube_Ela5_Var83647
109,7,5,2366,30,45,0,0.13359375,Cube_Ela5_Var2366
110,155,5,70055,30,57,0,0.24375,Cube_Ela5_Var70055
111,183,5,82598,30,90,0,0.92265625,Cube_Ela5_Var82598
112,21,5,13214,30,57,0,0.765234375,Cube_Ela5_Var13214
113,168,5,75643,30,90,0,0.850390625,Cube_Ela5_Var75643
114,37,5,26416,30,74,0,0.10390625,Cube_Ela5_Var26416
115,210,5,94778,30,97,0,0.14609375,Cube_Ela5_Var94778
116,15,5,6288,30,60,0,0.218359375,Cube_Ela5_Var6288
117,99,5,49800,30,60,0,0.05,Cube_Ela5_Var49800
118,179,5,79309,30,65,0,0.02578125,Cube_Ela5_Var79309
119,213,5,99105,30,61,0,0.08046875,Cube_Ela5_Var99105
120,59,5,40929,30,49,0,0.380859375,Cube_Ela5_Var40929
121,162,5,73331,30,74,0,0.09921875,Cube_Ela5_Var73331
122,8,5,2477,30,48,0,0.44375,Cube_Ela5_Var2477
123,172,5,76354,30,89,0,0.155859375,Cube_Ela5_Var76354
124,80,5,46376,30,60,0,0.833984375,Cube_Ela5_Var46376
125,28,5,17097,30,60,0,0.6234375,Cube_Ela5_Var17097
126,109,5,56443,30,90,0,0.680078125,Cube_Ela5_Var56443
127,49,5,35211,30,60,0,0.1734375,Cube_Ela5_Var35211
128,73,5,43703,30,60,0,0.28984375,Cube_Ela5_Var43703
129,151,5,69665,30,50,0,0.048046875,Cube_Ela5_Var69665
130,145,5,68081,30,60,0,0.235546875,Cube_Ela5_Var68081
131,37,5,26416,30,219,0,0.1453125,Cube_Ela5_Var26416
132,207,5,93825,30,57,0,0.54375,Cube_Ela5_Var93825
133,70,5,43435,30,60,0,0.23359375,Cube_Ela5_Var43435
134,104,5,54168,30,65,0,0.671875,Cube_Ela5_Var54168
135,45,5,32376,30,51,0,0.099609375,Cube_Ela5_Var32376
136,96,5,48836,30,59,0,0.8234375,Cube_Ela5_Var48836
137,74,5,44309,30,68,0,0.15703125,Cube_Ela5_Var44309
138,186,5,83290,30,94,0,0.177734375,Cube_Ela5_Var83290
139,184,5,82797,30,83,0,0.57578125,Cube_Ela5_Var82797
140,161,5,73031,30,64,0,0.379296875,Cube_Ela5_Var73031
141,24,5,16080,30,99,0,0.084375,Cube_Ela5_Var16080
142,172,5,76354,30,97,0,0.128125,Cube_Ela5_Var76354
143,35,5,25148,30,64,0,0.079296875,Cube_Ela5_Var25148
144,44,5,31848,30,45,0,0.12578125,Cube_Ela5_Var31848
145,58,5,40583,30,149,0,0.141015625,Cube_Ela5_Var40583
146,205,5,92507,30,45,0,0.384765625,Cube_Ela5_Var92507
147,164,5,75018,30,60,0,0.4734375,Cube_Ela5_Var75018
148,191,5,83787,30,57,0,0.132421875,Cube_Ela5_Var83787
149,4,5,1538,30,132,0,0.491796875,Cube_Ela5_Var1538
150,173,5,76458,30,50,0,0.83828125,Cube_Ela5_Var76458
151,53,5,37783,30,104,0,0.112890625,Cube_Ela5_Var37783
152,131,5,63563,30,49,0,0.261328125,Cube_Ela5_Var63563
153,140,5,67529,30,60,0,0.432421875,Cube_Ela5_Var67529
154,173,5,76458,30,40,0,0.739453125,Cube_Ela5_Var76458
155,146,5,68517,30,61,0,0.89921875,Cube_Ela5_Var68517
156,76,5,44788,30,55,0,0.40625,Cube_Ela5_Var44788
157,24,5,16080,30,60,0,0.15859375,Cube_Ela5_Var16080
158,195,5,85567,30,48,0,0.8078125,Cube_Ela5_Var85567
159,88,5,48076,30,55,0,0.078515625,Cube_Ela5_Var48076
160,41,5,30524,30,86,0,0.441015625,Cube_Ela5_Var30524
161,212,5,97114,30,52,0,0.061328125,Cube_Ela5_Var97114
162,115,5,58016,30,69,0,0.58046875,Cube_Ela5_Var58016
163,26,5,16639,30,44,0,0.31875,Cube_Ela5_Var16639
164,169,5,75720,30,62,0,0.142578125,Cube_Ela5_Var75720
165,143,5,68063,30,60,0,0.979296875,Cube_Ela5_Var68063
166,125,5,60611,30,34,0,0.005078125,Cube_Ela5_Var60611
167,1,5,663,30,43,0,0.729296875,Cube_Ela5_Var663
168,6,5,2068,30,74,0,0.0609375,Cube_Ela5_Var2068
169,149,5,68965,30,68,0,0.54921875,Cube_Ela5_Var68965
170,149,5,68965,30,48,0,0.761328125,Cube_Ela5_Var68965
171,136,5,66102,30,62,0,0.803515625,Cube_Ela5_Var66102
172,135,5,65815,30,298,0,0.3453125,Cube_Ela5_Var65815
173,54,5,38102,30,50,0,0.3421875,Cube_Ela5_Var38102
174,94,5,48729,30,38,0,0.015625,Cube_Ela5_Var48729
175,31,5,19705,30,67,0,0.0140625,Cube_Ela5_Var19705
176,207,5,93825,30,121,0,0.40234375,Cube_Ela5_Var93825
177,103,5,53873,30,36,0,0.1234375,Cube_Ela5_Var53873
178,174,5,76610,30,66,0,0.069921875,Cube_Ela5_Var76610
179,203,5,87749,30,59,0,0.1046875,Cube_Ela5_Var87749
180,166,5,75451,30,102,0,0.52421875,Cube_Ela5_Var75451
181,89,5,48089,30,62,0,0.123046875,Cube_Ela5_Var48089
182,59,5,40929,30,69,0,0.218359375,Cube_Ela5_Var40929
183,45,5,32376,30,69,0,0.05390625,Cube_Ela5_Var32376
184,43,5,31816,30,55,0,0.08828125,Cube_Ela5_Var31816
185,141,5,67925,30,51,0,0.323046875,Cube_Ela5_Var67925
