trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,61,5,41451,30,342,0,0.15,Cube_Ela5_Var41451
2,26,5,16639,30,79,0,0.263671875,Cube_Ela5_Var16639
3,142,5,68062,30,544,0,0.0234375,Cube_Ela5_Var68062
4,62,5,41753,30,206,0,0.276171875,Cube_Ela5_Var41753
5,15,5,6288,30,63,0,0.45859375,Cube_Ela5_Var6288
6,107,5,55229,30,80,0,0.38359375,Cube_Ela5_Var55229
7,68,5,43188,30,100,0,0.245703125,Cube_Ela5_Var43188
8,165,5,75101,30,130,0,0.031640625,Cube_Ela5_Var75101
9,115,5,58016,30,95,0,0.584765625,Cube_Ela5_Var58016
10,49,5,35211,30,390,0,0.26796875,Cube_Ela5_Var35211
11,165,5,75101,30,63,0,0.027734375,Cube_Ela5_Var75101
12,121,5,59995,30,877,0,0.422265625,Cube_Ela5_Var59995
13,174,5,76610,30,47,0,0.203125,Cube_Ela5_Var76610
14,71,5,43564,30,60,0,0.484375,Cube_Ela5_Var43564
15,94,5,48729,30,60,0,0.03046875,Cube_Ela5_Var48729
16,146,5,68517,30,59,0,0.680859375,Cube_Ela5_Var68517
17,8,5,2477,30,60,0,0.580859375,Cube_Ela5_Var2477
18,35,5,25148,30,90,0,0.15,Cube_Ela5_Var25148
19,34,5,24505,30,47,0,0.16875,Cube_Ela5_Var24505
20,185,5,83108,30,90,0,0.89375,Cube_Ela5_Var83108
21,73,5,43703,30,150,0,0.329296875,Cube_Ela5_Var43703
22,98,5,49303,30,52,0,0.558984375,Cube_Ela5_Var49303
23,99,5,49800,30,50,0,0.221484375,Cube_Ela5_Var49800
24,8,5,2477,30,120,0,0.26015625,Cube_Ela5_Var2477
25,118,5,59579,30,59,0,0.664453125,Cube_Ela5_Var59579
26,144,5,68079,30,44,0,0.62578125,Cube_Ela5_Var68079
27,170,5,75906,30,89,0,0.05078125,Cube_Ela5_Var75906
28,195,5,85567,30,55,0,0.67890625,Cube_Ela5_Var85567
29,77,5,45996,30,278,0,0.154296875,Cube_Ela5_Var45996
30,119,5,59685,30,76,0,0.729296875,Cube_Ela5_Var59685
31,22,5,15089,30,150,0,0.188671875,Cube_Ela5_Var15089
32,36,5,25822,30,120,0,0.050390625,Cube_Ela5_Var25822
33,48,5,34970,30,48,0,0.684375,Cube_Ela5_Var34970
