trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,209,5,94639,30,180,0,0.354296875,Cube_Ela5_Var94639
2,172,5,76354,30,71,0,0.22265625,Cube_Ela5_Var76354
3,22,5,15089,30,90,0,0.579296875,Cube_Ela5_Var15089
4,100,5,52265,30,87,0,0.218359375,Cube_Ela5_Var52265
5,1,5,663,30,87,0,0.698828125,Cube_Ela5_Var663
6,190,5,83732,30,71,0,0.999609375,Cube_Ela5_Var83732
7,206,5,92561,30,90,0,0.178515625,Cube_Ela5_Var92561
8,93,5,48423,30,96,0,0.364453125,Cube_Ela5_Var48423
9,173,5,76458,30,141,0,0.83359375,Cube_Ela5_Var76458
10,119,5,59685,30,74,0,0.657421875,Cube_Ela5_Var59685
11,72,5,43640,30,124,0,0.237109375,Cube_Ela5_Var43640
12,94,5,48729,30,120,0,0.014453125,Cube_Ela5_Var48729
13,156,5,70550,30,59,0,0.340234375,Cube_Ela5_Var70550
14,176,5,77113,30,126,0,0.717578125,Cube_Ela5_Var77113
15,139,5,67412,30,95,0,0.8875,Cube_Ela5_Var67412
16,60,5,41405,30,60,0,0.999609375,Cube_Ela5_Var41405
17,24,5,16080,30,90,0,0.15390625,Cube_Ela5_Var16080
18,41,5,30524,30,90,0,0.376171875,Cube_Ela5_Var30524
19,124,5,60587,30,119,0,0.343359375,Cube_Ela5_Var60587
20,12,5,4889,30,120,0,0.5953125,Cube_Ela5_Var4889
21,64,5,42125,30,180,0,0.69921875,Cube_Ela5_Var42125
22,95,5,48772,30,116,0,0.586328125,Cube_Ela5_Var48772
23,30,5,18315,30,84,0,0.22734375,Cube_Ela5_Var18315
24,147,5,68783,30,98,0,0.083984375,Cube_Ela5_Var68783
25,169,5,75720,30,100,0,0.441796875,Cube_Ela5_Var75720
26,46,5,32740,30,172,0,0.721875,Cube_Ela5_Var32740
27,140,5,67529,30,125,0,0.31640625,Cube_Ela5_Var67529
28,156,5,70550,30,186,0,0.3390625,Cube_Ela5_Var70550
29,73,5,43703,30,90,0,0.51171875,Cube_Ela5_Var43703
30,19,5,10511,30,60,0,0.03671875,Cube_Ela5_Var10511
31,18,5,9081,30,131,0,0.9484375,Cube_Ela5_Var9081
32,126,5,60721,30,62,0,0.5234375,Cube_Ela5_Var60721
33,200,5,86457,30,121,0,0.4265625,Cube_Ela5_Var86457
34,86,5,47653,30,60,0,0.4546875,Cube_Ela5_Var47653
35,175,5,76680,30,120,0,0.525390625,Cube_Ela5_Var76680
36,200,5,86457,30,90,0,0.358203125,Cube_Ela5_Var86457
37,130,5,63189,30,60,0,0.060546875,Cube_Ela5_Var63189
38,172,5,76354,30,104,0,0.087109375,Cube_Ela5_Var76354
39,208,5,94354,30,135,0,0.5984375,Cube_Ela5_Var94354
40,113,5,57476,30,180,0,0.407421875,Cube_Ela5_Var57476
41,65,5,42133,30,270,0,0.2859375,Cube_Ela5_Var42133
42,63,5,42107,30,92,0,0.682421875,Cube_Ela5_Var42107
43,82,5,46949,30,120,0,0.647265625,Cube_Ela5_Var46949
44,81,5,46939,30,131,0,0.634765625,Cube_Ela5_Var46939
45,77,5,45996,30,164,0,0.253125,Cube_Ela5_Var45996
46,198,5,85928,30,96,0,0.084765625,Cube_Ela5_Var85928
