trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,211,5,95602,30,134,0,0.655859375,Cube_Ela5_Var95602
2,7,5,2366,30,102,0,0.573046875,Cube_Ela5_Var2366
3,114,5,57643,30,80,0,0.857421875,Cube_Ela5_Var57643
4,161,5,73031,30,88,0,0.3703125,Cube_Ela5_Var73031
5,127,5,61722,30,107,0,0.329296875,Cube_Ela5_Var61722
6,66,5,42455,30,42,0,0.991796875,Cube_Ela5_Var42455
7,155,5,70055,30,80,0,0.868359375,Cube_Ela5_Var70055
8,63,5,42107,30,108,0,0.324609375,Cube_Ela5_Var42107
9,8,5,2477,30,88,0,0.233203125,Cube_Ela5_Var2477
10,189,5,83647,30,119,0,0.7171875,Cube_Ela5_Var83647
11,161,5,73031,30,120,0,0.554296875,Cube_Ela5_Var73031
12,130,5,63189,30,74,0,0.162890625,Cube_Ela5_Var63189
13,199,5,86083,30,70,0,0.178515625,Cube_Ela5_Var86083
14,156,5,70550,30,88,0,0.115234375,Cube_Ela5_Var70550
15,73,5,43703,30,95,0,0.513671875,Cube_Ela5_Var43703
16,120,5,59798,30,146,0,0.376953125,Cube_Ela5_Var59798
17,89,5,48089,30,140,0,0.3828125,Cube_Ela5_Var48089
18,184,5,82797,30,81,0,0.5015625,Cube_Ela5_Var82797
19,125,5,60611,30,127,0,0.508203125,Cube_Ela5_Var60611
20,106,5,55088,30,56,0,0.872265625,Cube_Ela5_Var55088
21,65,5,42133,30,139,0,0.8859375,Cube_Ela5_Var42133
22,25,5,16464,30,93,0,0.71796875,Cube_Ela5_Var16464
23,12,5,4889,30,120,0,0.999609375,Cube_Ela5_Var4889
24,27,5,16920,30,71,0,0.72421875,Cube_Ela5_Var16920
25,131,5,63563,30,76,0,0.225,Cube_Ela5_Var63563
26,199,5,86083,30,90,0,0.101953125,Cube_Ela5_Var86083
27,166,5,75451,30,44,0,0.999609375,Cube_Ela5_Var75451
28,145,5,68081,30,85,0,0.853125,Cube_Ela5_Var68081
29,90,5,48128,30,90,0,0.218359375,Cube_Ela5_Var48128
30,136,5,66102,30,93,0,0.8875,Cube_Ela5_Var66102
31,9,5,3037,30,150,0,0.854296875,Cube_Ela5_Var3037
32,61,5,41451,30,71,0,0.64375,Cube_Ela5_Var41451
33,67,5,42984,30,105,0,0.852734375,Cube_Ela5_Var42984
34,48,5,34970,30,64,0,0.999609375,Cube_Ela5_Var34970
35,103,5,53873,30,93,0,0.437890625,Cube_Ela5_Var53873
36,105,5,54414,30,60,0,0.853125,Cube_Ela5_Var54414
37,144,5,68079,30,69,0,0.691015625,Cube_Ela5_Var68079
38,43,5,31816,30,95,0,0.47109375,Cube_Ela5_Var31816
39,206,5,92561,30,63,0,0.04609375,Cube_Ela5_Var92561
40,37,5,26416,30,62,0,0.594140625,Cube_Ela5_Var26416
41,182,5,81591,30,66,0,0.6125,Cube_Ela5_Var81591
42,78,5,46309,30,38,0,0.999609375,Cube_Ela5_Var46309
43,15,5,6288,30,92,0,0.667578125,Cube_Ela5_Var6288
44,151,5,69665,30,53,0,0.1046875,Cube_Ela5_Var69665
45,64,5,42125,30,90,0,0.649609375,Cube_Ela5_Var42125
46,49,5,35211,30,109,0,0.20703125,Cube_Ela5_Var35211
47,134,5,64806,30,70,0,0.0140625,Cube_Ela5_Var64806
48,118,5,59579,30,62,0,0.79453125,Cube_Ela5_Var59579
49,142,5,68062,30,58,0,0.10078125,Cube_Ela5_Var68062
50,116,5,58938,30,112,0,0.1875,Cube_Ela5_Var58938
51,143,5,68063,30,98,0,0.694140625,Cube_Ela5_Var68063
