trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,145,5,68081,30,223,0,0.40859375,Cube_Ela5_Var68081
2,57,5,40406,30,74,0,0.2546875,Cube_Ela5_Var40406
3,82,5,46949,30,67,0,0.432421875,Cube_Ela5_Var46949
4,135,5,65815,30,150,0,0.5203125,Cube_Ela5_Var65815
5,133,5,64187,30,97,0,0.071875,Cube_Ela5_Var64187
6,85,5,47360,30,135,0,0.1515625,Cube_Ela5_Var47360
7,163,5,74604,30,120,0,0.481640625,Cube_Ela5_Var74604
8,146,5,68517,30,90,0,0.676171875,Cube_Ela5_Var68517
9,102,5,53293,30,55,0,0.303125,Cube_Ela5_Var53293
10,183,5,82598,30,120,0,0.830859375,Cube_Ela5_Var82598
11,175,5,76680,30,211,0,0.40703125,Cube_Ela5_Var76680
12,120,5,59798,30,60,0,0.353515625,Cube_Ela5_Var59798
13,6,5,2068,30,86,0,0.016015625,Cube_Ela5_Var2068
14,36,5,25822,30,56,0,0,Cube_Ela5_Var25822
15,68,5,43188,30,69,0,0.180859375,Cube_Ela5_Var43188
16,19,5,10511,30,73,0,0.06328125,Cube_Ela5_Var10511
17,157,5,70618,30,89,0,0.144921875,Cube_Ela5_Var70618
18,209,5,94639,30,90,0,0.910546875,Cube_Ela5_Var94639
19,41,5,30524,30,69,0,0.2375,Cube_Ela5_Var30524
20,39,5,27119,30,103,0,0.341015625,Cube_Ela5_Var27119
21,98,5,49303,30,123,0,0.76015625,Cube_Ela5_Var49303
22,6,5,2068,30,82,0,0,Cube_Ela5_Var2068
23,9,5,3037,30,97,0,0,Cube_Ela5_Var3037
24,109,5,56443,30,89,0,0.908984375,Cube_Ela5_Var56443
25,158,5,71127,30,65,0,0.0625,Cube_Ela5_Var71127
26,207,5,93825,30,120,0,0.2453125,Cube_Ela5_Var93825
27,137,5,66844,30,93,0,0.0984375,Cube_Ela5_Var66844
28,14,5,6176,30,81,0,0.03671875,Cube_Ela5_Var6176
29,23,5,15801,30,68,0,0.1515625,Cube_Ela5_Var15801
30,170,5,75906,30,133,0,0.06640625,Cube_Ela5_Var75906
31,181,5,81177,30,119,0,0.13671875,Cube_Ela5_Var81177
32,39,5,27119,30,98,0,0.082421875,Cube_Ela5_Var27119
33,33,5,21958,30,71,0,0.026171875,Cube_Ela5_Var21958
34,196,5,85828,30,90,0,0.544921875,Cube_Ela5_Var85828
35,113,5,57476,30,65,0,0.149609375,Cube_Ela5_Var57476
36,122,5,60291,30,57,0,0.015625,Cube_Ela5_Var60291
37,86,5,47653,30,87,0,0.575,Cube_Ela5_Var47653
38,77,5,45996,30,213,0,0.247265625,Cube_Ela5_Var45996
39,92,5,48387,30,90,0,0.167578125,Cube_Ela5_Var48387
40,190,5,83732,30,55,0,0.941796875,Cube_Ela5_Var83732
41,132,5,64044,30,88,0,0.68125,Cube_Ela5_Var64044
42,151,5,69665,30,79,0,0.36328125,Cube_Ela5_Var69665
43,144,5,68079,30,115,0,0.809375,Cube_Ela5_Var68079
44,63,5,42107,30,82,0,0.291015625,Cube_Ela5_Var42107
45,202,5,87418,30,74,0,0.096484375,Cube_Ela5_Var87418
46,189,5,83647,30,60,0,0.999609375,Cube_Ela5_Var83647
47,16,5,7693,30,90,0,0.06953125,Cube_Ela5_Var7693
48,162,5,73331,30,51,0,0,Cube_Ela5_Var73331
49,180,5,80369,30,60,0,0.164453125,Cube_Ela5_Var80369
50,81,5,46939,30,103,0,0.149609375,Cube_Ela5_Var46939
51,21,5,13214,30,193,0,0.37265625,Cube_Ela5_Var13214
52,35,5,25148,30,86,0,0.32421875,Cube_Ela5_Var25148
53,61,5,41451,30,98,0,0.529296875,Cube_Ela5_Var41451
54,181,5,81177,30,90,0,0.435546875,Cube_Ela5_Var81177
55,126,5,60721,30,60,0,0.396484375,Cube_Ela5_Var60721
56,59,5,40929,30,63,0,0.4109375,Cube_Ela5_Var40929
57,197,5,85832,30,52,0,0.791015625,Cube_Ela5_Var85832
58,213,5,99105,30,71,0,0.19765625,Cube_Ela5_Var99105
59,121,5,59995,30,64,0,0.5921875,Cube_Ela5_Var59995
60,37,5,26416,30,62,0,0.58125,Cube_Ela5_Var26416
61,84,5,47056,30,157,0,0.664453125,Cube_Ela5_Var47056
62,73,5,43703,30,102,0,0.50546875,Cube_Ela5_Var43703
63,152,5,69698,30,90,0,0.315625,Cube_Ela5_Var69698
64,22,5,15089,30,93,0,0.663671875,Cube_Ela5_Var15089
65,8,5,2477,30,140,0,0.6,Cube_Ela5_Var2477
66,212,5,97114,30,49,0,0,Cube_Ela5_Var97114
67,116,5,58938,30,48,0,0.140234375,Cube_Ela5_Var58938
68,182,5,81591,30,53,0,0.610546875,Cube_Ela5_Var81591
69,100,5,52265,30,60,0,0.457421875,Cube_Ela5_Var52265
70,96,5,48836,30,61,0,0.9265625,Cube_Ela5_Var48836
71,186,5,83290,30,222,0,0.651953125,Cube_Ela5_Var83290
72,47,5,33762,30,74,0,0.226953125,Cube_Ela5_Var33762
73,39,5,27119,30,85,0,0.47734375,Cube_Ela5_Var27119
