trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,82,5,46949,30,120,0,0.512890625,Cube_Ela5_Var46949
2,45,5,32376,30,71,0,0.687109375,Cube_Ela5_Var32376
3,210,5,94778,30,84,0,0.38671875,Cube_Ela5_Var94778
4,132,5,64044,30,55,0,0.67578125,Cube_Ela5_Var64044
5,123,5,60316,30,60,0,0.46015625,Cube_Ela5_Var60316
6,4,5,1538,30,90,0,0.603125,Cube_Ela5_Var1538
7,39,5,27119,30,60,0,0.61796875,Cube_Ela5_Var27119
8,145,5,68081,30,74,0,0.815234375,Cube_Ela5_Var68081
9,192,5,84256,30,120,0,0.822265625,Cube_Ela5_Var84256
10,131,5,63563,30,120,0,0.29921875,Cube_Ela5_Var63563
11,126,5,60721,30,60,0,0.7703125,Cube_Ela5_Var60721
12,68,5,43188,30,63,0,0.28984375,Cube_Ela5_Var43188
13,35,5,25148,30,120,0,0.48515625,Cube_Ela5_Var25148
14,11,5,3345,30,54,0,0.862890625,Cube_Ela5_Var3345
15,78,5,46309,30,60,0,0.723046875,Cube_Ela5_Var46309
16,165,5,75101,30,82,0,0.453515625,Cube_Ela5_Var75101
17,87,5,47802,30,79,0,0.8625,Cube_Ela5_Var47802
18,197,5,85832,30,60,0,0.25234375,Cube_Ela5_Var85832
19,189,5,83647,30,118,0,0.792578125,Cube_Ela5_Var83647
20,140,5,67529,30,112,0,0.683203125,Cube_Ela5_Var67529
21,46,5,32740,30,120,0,0.526953125,Cube_Ela5_Var32740
22,202,5,87418,30,56,0,0.833203125,Cube_Ela5_Var87418
23,175,5,76680,30,128,0,0.42109375,Cube_Ela5_Var76680
24,160,5,73019,30,54,0,0.84609375,Cube_Ela5_Var73019
25,112,5,56929,30,90,0,0.782421875,Cube_Ela5_Var56929
26,108,5,55641,30,227,0,0.568359375,Cube_Ela5_Var55641
27,76,5,44788,30,42,0,0.3703125,Cube_Ela5_Var44788
28,4,5,1538,30,75,0,0.40703125,Cube_Ela5_Var1538
29,180,5,80369,30,48,0,0.694921875,Cube_Ela5_Var80369
30,137,5,66844,30,48,0,0.3421875,Cube_Ela5_Var66844
31,3,5,1422,30,39,0,0.826953125,Cube_Ela5_Var1422
32,2,5,1342,30,60,0,0.261328125,Cube_Ela5_Var1342
33,43,5,31816,30,60,0,0.769921875,Cube_Ela5_Var31816
34,185,5,83108,30,86,0,0.406640625,Cube_Ela5_Var83108
35,125,5,60611,30,69,0,0.625,Cube_Ela5_Var60611
36,104,5,54168,30,60,0,0.20703125,Cube_Ela5_Var54168
37,42,5,31564,30,92,0,0.10234375,Cube_Ela5_Var31564
38,59,5,40929,30,78,0,0.351953125,Cube_Ela5_Var40929
39,182,5,81591,30,75,0,0.3546875,Cube_Ela5_Var81591
40,8,5,2477,30,106,0,0.16953125,Cube_Ela5_Var2477
41,77,5,45996,30,79,0,0.6421875,Cube_Ela5_Var45996
42,124,5,60587,30,77,0,0.596484375,Cube_Ela5_Var60587
43,54,5,38102,30,162,0,0.244921875,Cube_Ela5_Var38102
44,31,5,19705,30,115,0,0.2328125,Cube_Ela5_Var19705
45,17,5,7776,30,74,0,0.82734375,Cube_Ela5_Var7776
46,18,5,9081,30,83,0,0.30078125,Cube_Ela5_Var9081
47,179,5,79309,30,54,0,0.113671875,Cube_Ela5_Var79309
48,200,5,86457,30,60,0,0.059375,Cube_Ela5_Var86457
49,67,5,42984,30,54,0,0.41328125,Cube_Ela5_Var42984
50,101,5,52893,30,44,0,0.208984375,Cube_Ela5_Var52893
51,25,5,16464,30,54,0,0.59140625,Cube_Ela5_Var16464
52,28,5,17097,30,50,0,0.69765625,Cube_Ela5_Var17097
53,86,5,47653,30,60,0,0.68125,Cube_Ela5_Var47653
54,194,5,85461,30,57,0,0.75390625,Cube_Ela5_Var85461
55,85,5,47360,30,60,0,0.746875,Cube_Ela5_Var47360
56,103,5,53873,30,55,0,0.315234375,Cube_Ela5_Var53873
57,118,5,59579,30,47,0,0.761328125,Cube_Ela5_Var59579
58,61,5,41451,30,60,0,0.801953125,Cube_Ela5_Var41451
59,114,5,57643,30,79,0,0.7296875,Cube_Ela5_Var57643
60,181,5,81177,30,53,0,0.991796875,Cube_Ela5_Var81177
61,100,5,52265,30,90,0,0.5765625,Cube_Ela5_Var52265
62,22,5,15089,30,79,0,0.880078125,Cube_Ela5_Var15089
63,99,5,49800,30,60,0,0.571875,Cube_Ela5_Var49800
64,3,5,1422,30,73,0,0.42890625,Cube_Ela5_Var1422
65,179,5,79309,30,58,0,0.046875,Cube_Ela5_Var79309
66,5,5,1623,30,60,0,0.257421875,Cube_Ela5_Var1623
67,102,5,53293,30,64,0,0.699609375,Cube_Ela5_Var53293
68,53,5,37783,30,53,0,0.21875,Cube_Ela5_Var37783
69,121,5,59995,30,52,0,0.120703125,Cube_Ela5_Var59995
70,100,5,52265,30,44,0,0.64921875,Cube_Ela5_Var52265
71,94,5,48729,30,61,0,0.3828125,Cube_Ela5_Var48729
72,134,5,64806,30,69,0,0.462109375,Cube_Ela5_Var64806
73,178,5,79232,30,60,0,0.712109375,Cube_Ela5_Var79232
74,140,5,67529,30,73,0,0.6921875,Cube_Ela5_Var67529
75,94,5,48729,30,57,0,0.108203125,Cube_Ela5_Var48729
76,27,5,16920,30,53,0,0.76796875,Cube_Ela5_Var16920
77,74,5,44309,30,71,0,0.74921875,Cube_Ela5_Var44309
78,55,5,38113,30,60,0,0.729296875,Cube_Ela5_Var38113
79,188,5,83580,30,60,0,0.796875,Cube_Ela5_Var83580
80,47,5,33762,30,78,0,0.184375,Cube_Ela5_Var33762
81,48,5,34970,30,99,0,0.8296875,Cube_Ela5_Var34970
82,80,5,46376,30,194,0,0.196875,Cube_Ela5_Var46376
83,52,5,37704,30,100,0,0.8125,Cube_Ela5_Var37704
84,98,5,49303,30,122,0,0.1640625,Cube_Ela5_Var49303
85,96,5,48836,30,78,0,0.871875,Cube_Ela5_Var48836
86,28,5,17097,30,70,0,0.85078125,Cube_Ela5_Var17097
87,93,5,48423,30,150,0,0.214453125,Cube_Ela5_Var48423
88,109,5,56443,30,75,0,0.76171875,Cube_Ela5_Var56443
89,158,5,71127,30,85,0,0.241796875,Cube_Ela5_Var71127
90,88,5,48076,30,110,0,0.8765625,Cube_Ela5_Var48076
91,70,5,43435,30,121,0,0.84140625,Cube_Ela5_Var43435
92,15,5,6288,30,60,0,0.78359375,Cube_Ela5_Var6288
93,158,5,71127,30,55,0,0.949609375,Cube_Ela5_Var71127
94,210,5,94778,30,57,0,0.758984375,Cube_Ela5_Var94778
95,116,5,58938,30,42,0,0.999609375,Cube_Ela5_Var58938
96,46,5,32740,30,70,0,0.98984375,Cube_Ela5_Var32740
97,123,5,60316,30,60,0,0.590234375,Cube_Ela5_Var60316
98,96,5,48836,30,56,0,0.625,Cube_Ela5_Var48836
99,202,5,87418,30,54,0,0.971875,Cube_Ela5_Var87418
100,198,5,85928,30,60,0,0.47734375,Cube_Ela5_Var85928
101,79,5,46324,30,136,0,0.20546875,Cube_Ela5_Var46324
102,209,5,94639,30,73,0,0.583203125,Cube_Ela5_Var94639
103,40,5,29981,30,51,0,0.9515625,Cube_Ela5_Var29981
104,63,5,42107,30,86,0,0.95390625,Cube_Ela5_Var42107
105,55,5,38113,30,150,0,0.87578125,Cube_Ela5_Var38113
106,24,5,16080,30,109,0,0.80546875,Cube_Ela5_Var16080
107,183,5,82598,30,44,0,0.960546875,Cube_Ela5_Var82598
108,191,5,83787,30,58,0,0.8546875,Cube_Ela5_Var83787
109,145,5,68081,30,60,0,0.4375,Cube_Ela5_Var68081
110,171,5,76210,30,72,0,0.9171875,Cube_Ela5_Var76210
111,92,5,48387,30,60,0,0.643359375,Cube_Ela5_Var48387
112,120,5,59798,30,88,0,0.11015625,Cube_Ela5_Var59798
113,1,5,663,30,44,0,0.906640625,Cube_Ela5_Var663
114,117,5,59301,30,58,0,0.21875,Cube_Ela5_Var59301
115,81,5,46939,30,45,0,0.55390625,Cube_Ela5_Var46939
116,185,5,83108,30,45,0,0.930859375,Cube_Ela5_Var83108
117,146,5,68517,30,79,0,0.89140625,Cube_Ela5_Var68517
118,130,5,63189,30,44,0,0.932421875,Cube_Ela5_Var63189
119,52,5,37704,30,51,0,0.65625,Cube_Ela5_Var37704
120,175,5,76680,30,105,0,0.360546875,Cube_Ela5_Var76680
121,50,5,36019,30,101,0,0.394921875,Cube_Ela5_Var36019
122,155,5,70055,30,103,0,0.861328125,Cube_Ela5_Var70055
123,11,5,3345,30,114,0,0.7265625,Cube_Ela5_Var3345
124,149,5,68965,30,56,0,0.827734375,Cube_Ela5_Var68965
125,106,5,55088,30,60,0,0.757421875,Cube_Ela5_Var55088
126,99,5,49800,30,78,0,0.775390625,Cube_Ela5_Var49800
127,154,5,69989,30,56,0,0.7890625,Cube_Ela5_Var69989
128,199,5,86083,30,106,0,0.1984375,Cube_Ela5_Var86083
129,136,5,66102,30,46,0,0.84140625,Cube_Ela5_Var66102
130,182,5,81591,30,53,0,0.784765625,Cube_Ela5_Var81591
131,14,5,6176,30,57,0,0.15625,Cube_Ela5_Var6176
132,165,5,75101,30,60,0,0.159765625,Cube_Ela5_Var75101
133,138,5,66884,30,45,0,0.8796875,Cube_Ela5_Var66884
134,119,5,59685,30,100,0,0.79140625,Cube_Ela5_Var59685
135,105,5,54414,30,97,0,0.7828125,Cube_Ela5_Var54414
136,162,5,73331,30,90,0,0.386328125,Cube_Ela5_Var73331
137,114,5,57643,30,45,0,0.955078125,Cube_Ela5_Var57643
138,30,5,18315,30,53,0,0.391015625,Cube_Ela5_Var18315
139,6,5,2068,30,60,0,0.37265625,Cube_Ela5_Var2068
140,204,5,88519,30,52,0,0.186328125,Cube_Ela5_Var88519
141,186,5,83290,30,50,0,0.748046875,Cube_Ela5_Var83290
142,161,5,73031,30,51,0,0.312109375,Cube_Ela5_Var73031
143,205,5,92507,30,52,0,0.84453125,Cube_Ela5_Var92507
144,151,5,69665,30,73,0,0.323828125,Cube_Ela5_Var69665
145,82,5,46949,30,73,0,0.45,Cube_Ela5_Var46949
146,183,5,82598,30,60,0,0.971484375,Cube_Ela5_Var82598
147,169,5,75720,30,50,0,0.77421875,Cube_Ela5_Var75720
148,169,5,75720,30,45,0,0.376953125,Cube_Ela5_Var75720
149,10,5,3229,30,46,0,0.830078125,Cube_Ela5_Var3229
150,193,5,84352,30,79,0,0.680078125,Cube_Ela5_Var84352
151,120,5,59798,30,85,0,0.80703125,Cube_Ela5_Var59798
152,176,5,77113,30,109,0,0.39140625,Cube_Ela5_Var77113
153,7,5,2366,30,33,0,0.8375,Cube_Ela5_Var2366
154,89,5,48089,30,44,0,0.994921875,Cube_Ela5_Var48089
155,13,5,5923,30,41,0,0.9796875,Cube_Ela5_Var5923
156,49,5,35211,30,40,0,0.426171875,Cube_Ela5_Var35211
157,56,5,39587,30,52,0,0.819921875,Cube_Ela5_Var39587
158,213,5,99105,30,49,0,0.160546875,Cube_Ela5_Var99105
159,97,5,48875,30,58,0,0.862890625,Cube_Ela5_Var48875
160,56,5,39587,30,55,0,0.523046875,Cube_Ela5_Var39587
161,42,5,31564,30,60,0,0.292578125,Cube_Ela5_Var31564
162,133,5,64187,30,55,0,0.094140625,Cube_Ela5_Var64187
163,19,5,10511,30,35,0,0.216015625,Cube_Ela5_Var10511
164,152,5,69698,30,38,0,0.11171875,Cube_Ela5_Var69698
165,37,5,26416,30,33,0,0.30234375,Cube_Ela5_Var26416
166,128,5,62855,30,57,0,0.178515625,Cube_Ela5_Var62855
167,116,5,58938,30,30,0,0.9,Cube_Ela5_Var58938
168,80,5,46376,30,56,0,0.769921875,Cube_Ela5_Var46376
169,132,5,64044,30,87,0,0.142578125,Cube_Ela5_Var64044
170,73,5,43703,30,82,0,0.160546875,Cube_Ela5_Var43703
171,177,5,78117,30,94,0,0.1875,Cube_Ela5_Var78117
172,99,5,49800,30,103,0,0.273828125,Cube_Ela5_Var49800
173,154,5,69989,30,69,0,0.71640625,Cube_Ela5_Var69989
174,12,5,4889,30,49,0,0.117578125,Cube_Ela5_Var4889
175,7,5,2366,30,46,0,0.1203125,Cube_Ela5_Var2366
176,37,5,26416,30,45,0,0.13359375,Cube_Ela5_Var26416
177,16,5,7693,30,93,0,0.18984375,Cube_Ela5_Var7693
178,12,5,4889,30,35,0,0.796875,Cube_Ela5_Var4889
179,136,5,66102,30,60,0,0.9796875,Cube_Ela5_Var66102
180,138,5,66884,30,48,0,0.642578125,Cube_Ela5_Var66884
181,41,5,30524,30,51,0,0.752734375,Cube_Ela5_Var30524
182,130,5,63189,30,86,0,0.256640625,Cube_Ela5_Var63189
183,53,5,37783,30,45,0,0.79453125,Cube_Ela5_Var37783
184,169,5,75720,30,33,0,0.97734375,Cube_Ela5_Var75720
185,168,5,75643,30,49,0,0.940625,Cube_Ela5_Var75643
186,114,5,57643,30,57,0,0.7484375,Cube_Ela5_Var57643
187,125,5,60611,30,60,0,0.264453125,Cube_Ela5_Var60611
188,191,5,83787,30,54,0,0.2859375,Cube_Ela5_Var83787
189,113,5,57476,30,40,0,0.3765625,Cube_Ela5_Var57476
190,60,5,41405,30,57,0,0.284375,Cube_Ela5_Var41405
191,43,5,31816,30,60,0,0.124609375,Cube_Ela5_Var31816
192,66,5,42455,30,37,0,0.88671875,Cube_Ela5_Var42455
193,107,5,55229,30,41,0,0.390625,Cube_Ela5_Var55229
194,131,5,63563,30,37,0,0.255859375,Cube_Ela5_Var63563
195,97,5,48875,30,57,0,0.48671875,Cube_Ela5_Var48875
196,106,5,55088,30,37,0,0.41328125,Cube_Ela5_Var55088
197,193,5,84352,30,30,0,0.0640625,Cube_Ela5_Var84352
198,62,5,41753,30,37,0,0.759375,Cube_Ela5_Var41753
199,118,5,59579,30,44,0,0.571484375,Cube_Ela5_Var59579
200,122,5,60291,30,44,0,0.32265625,Cube_Ela5_Var60291
201,59,5,40929,30,50,0,0.398046875,Cube_Ela5_Var40929
202,25,5,16464,30,49,0,0.634375,Cube_Ela5_Var16464
203,17,5,7776,30,56,0,0.721484375,Cube_Ela5_Var7776
