trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,88,5,48076,30,180,0,0.015625,Cube_Ela5_Var48076
2,113,5,57476,30,133,0,0.01015625,Cube_Ela5_Var57476
3,90,5,48128,30,111,0,0.0453125,Cube_Ela5_Var48128
4,43,5,31816,30,97,0,0.1421875,Cube_Ela5_Var31816
5,136,5,66102,30,133,0,0.70703125,Cube_Ela5_Var66102
6,174,5,76610,30,169,0,0.174609375,Cube_Ela5_Var76610
7,191,5,83787,30,210,0,0.351171875,Cube_Ela5_Var83787
8,151,5,69665,30,181,0,0.2984375,Cube_Ela5_Var69665
9,130,5,63189,30,133,0,0.199609375,Cube_Ela5_Var63189
10,26,5,16639,30,243,0,0.60859375,Cube_Ela5_Var16639
11,139,5,67412,30,128,0,0.630078125,Cube_Ela5_Var67412
12,9,5,3037,30,195,0,0.387109375,Cube_Ela5_Var3037
13,65,5,42133,30,235,0,0.187109375,Cube_Ela5_Var42133
14,163,5,74604,30,69,0,0.684375,Cube_Ela5_Var74604
15,33,5,21958,30,127,0,0.187109375,Cube_Ela5_Var21958
16,114,5,57643,30,77,0,0.708984375,Cube_Ela5_Var57643
17,181,5,81177,30,97,0,0.619140625,Cube_Ela5_Var81177
18,96,5,48836,30,180,0,0.7875,Cube_Ela5_Var48836
19,85,5,47360,30,115,0,0.4265625,Cube_Ela5_Var47360
20,65,5,42133,30,227,0,0.1875,Cube_Ela5_Var42133
21,16,5,7693,30,485,0,0.21015625,Cube_Ela5_Var7693
22,7,5,2366,30,240,0,0.598046875,Cube_Ela5_Var2366
23,59,5,40929,30,92,0,0.65859375,Cube_Ela5_Var40929
24,116,5,58938,30,60,0,0.301953125,Cube_Ela5_Var58938
25,185,5,83108,30,90,0,0.74140625,Cube_Ela5_Var83108
26,146,5,68517,30,85,0,0.76015625,Cube_Ela5_Var68517
27,141,5,67925,30,178,0,0.495703125,Cube_Ela5_Var67925
28,170,5,75906,30,97,0,0.26484375,Cube_Ela5_Var75906
29,106,5,55088,30,101,0,0.304296875,Cube_Ela5_Var55088
30,164,5,75018,30,98,0,0.63359375,Cube_Ela5_Var75018
31,153,5,69719,30,259,0,0.506640625,Cube_Ela5_Var69719
32,212,5,97114,30,184,0,0.1515625,Cube_Ela5_Var97114
33,100,5,52265,30,85,0,0.2484375,Cube_Ela5_Var52265
34,191,5,83787,30,68,0,0.64765625,Cube_Ela5_Var83787
35,31,5,19705,30,60,0,0.165625,Cube_Ela5_Var19705
36,81,5,46939,30,70,0,0.825,Cube_Ela5_Var46939
37,204,5,88519,30,153,0,0.7953125,Cube_Ela5_Var88519
38,3,5,1422,30,85,0,0.631640625,Cube_Ela5_Var1422
39,139,5,67412,30,137,0,0.729296875,Cube_Ela5_Var67412
40,209,5,94639,30,90,0,0.93828125,Cube_Ela5_Var94639
41,98,5,49303,30,122,0,0.86484375,Cube_Ela5_Var49303
42,35,5,25148,30,160,0,0.0953125,Cube_Ela5_Var25148
43,94,5,48729,30,90,0,0.010546875,Cube_Ela5_Var48729
44,195,5,85567,30,50,0,0.93671875,Cube_Ela5_Var85567
45,52,5,37704,30,162,0,0.83515625,Cube_Ela5_Var37704
46,105,5,54414,30,60,0,0.901171875,Cube_Ela5_Var54414
47,179,5,79309,30,120,0,0.513671875,Cube_Ela5_Var79309
48,21,5,13214,30,112,0,0.475,Cube_Ela5_Var13214
49,109,5,56443,30,59,0,0.953125,Cube_Ela5_Var56443
50,135,5,65815,30,150,0,0.582421875,Cube_Ela5_Var65815
51,124,5,60587,30,60,0,0.146875,Cube_Ela5_Var60587
52,14,5,6176,30,63,0,0.030078125,Cube_Ela5_Var6176
53,102,5,53293,30,99,0,0.0921875,Cube_Ela5_Var53293
54,169,5,75720,30,123,0,0.15546875,Cube_Ela5_Var75720
55,73,5,43703,30,64,0,0.635546875,Cube_Ela5_Var43703
56,178,5,79232,30,90,0,0.237890625,Cube_Ela5_Var79232
57,23,5,15801,30,68,0,0.7234375,Cube_Ela5_Var15801
58,79,5,46324,30,91,0,0.5078125,Cube_Ela5_Var46324
59,10,5,3229,30,157,0,0.883984375,Cube_Ela5_Var3229
