trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,85,5,47360,30,65,0,0.183203125,Cube_Ela5_Var47360
2,193,5,84352,30,76,0,0.19453125,Cube_Ela5_Var84352
3,2,5,1342,30,121,0,0.31875,Cube_Ela5_Var1342
4,173,5,76458,30,44,0,0.88046875,Cube_Ela5_Var76458
5,144,5,68079,30,60,0,0.328125,Cube_Ela5_Var68079
6,181,5,81177,30,61,0,0.30546875,Cube_Ela5_Var81177
7,53,5,37783,30,60,0,0.165625,Cube_Ela5_Var37783
8,209,5,94639,30,60,0,0.82578125,Cube_Ela5_Var94639
9,102,5,53293,30,60,0,0.18203125,Cube_Ela5_Var53293
10,93,5,48423,30,60,0,0.36875,Cube_Ela5_Var48423
11,34,5,24505,30,71,0,0.291015625,Cube_Ela5_Var24505
12,138,5,66884,30,90,0,0.225,Cube_Ela5_Var66884
13,91,5,48302,30,86,0,0.321484375,Cube_Ela5_Var48302
14,37,5,26416,30,90,0,0.28515625,Cube_Ela5_Var26416
15,69,5,43329,30,60,0,0.201953125,Cube_Ela5_Var43329
16,204,5,88519,30,95,0,0.417578125,Cube_Ela5_Var88519
17,5,5,1623,30,79,0,0.822265625,Cube_Ela5_Var1623
18,157,5,70618,30,54,0,0.176171875,Cube_Ela5_Var70618
19,197,5,85832,30,60,0,0.767578125,Cube_Ela5_Var85832
20,103,5,53873,30,84,0,0.310546875,Cube_Ela5_Var53873
21,1,5,663,30,84,0,0.796875,Cube_Ela5_Var663
22,177,5,78117,30,60,0,0.8453125,Cube_Ela5_Var78117
23,18,5,9081,30,80,0,0.848046875,Cube_Ela5_Var9081
24,153,5,69719,30,73,0,0.21015625,Cube_Ela5_Var69719
25,61,5,41451,30,90,0,0.275390625,Cube_Ela5_Var41451
26,114,5,57643,30,101,0,0.300390625,Cube_Ela5_Var57643
27,80,5,46376,30,58,0,0.88125,Cube_Ela5_Var46376
28,59,5,40929,30,67,0,0.324609375,Cube_Ela5_Var40929
29,64,5,42125,30,119,0,0.637890625,Cube_Ela5_Var42125
30,167,5,75466,30,56,0,0.25234375,Cube_Ela5_Var75466
31,213,5,99105,30,64,0,0.169921875,Cube_Ela5_Var99105
32,58,5,40583,30,60,0,0.67734375,Cube_Ela5_Var40583
33,146,5,68517,30,60,0,0.80625,Cube_Ela5_Var68517
34,81,5,46939,30,73,0,0.212890625,Cube_Ela5_Var46939
35,176,5,77113,30,86,0,0.802734375,Cube_Ela5_Var77113
36,125,5,60611,30,70,0,0.10625,Cube_Ela5_Var60611
37,160,5,73019,30,120,0,0.77265625,Cube_Ela5_Var73019
38,201,5,86931,30,60,0,0.731640625,Cube_Ela5_Var86931
39,20,5,10573,30,72,0,0.045703125,Cube_Ela5_Var10573
40,51,5,37660,30,117,0,0.805078125,Cube_Ela5_Var37660
41,149,5,68965,30,72,0,0.8890625,Cube_Ela5_Var68965
42,90,5,48128,30,62,0,0.16015625,Cube_Ela5_Var48128
43,34,5,24505,30,69,0,0.156640625,Cube_Ela5_Var24505
44,187,5,83569,30,86,0,0.625,Cube_Ela5_Var83569
45,211,5,95602,30,90,0,0.1671875,Cube_Ela5_Var95602
46,190,5,83732,30,61,0,0.815625,Cube_Ela5_Var83732
47,156,5,70550,30,95,0,0.133984375,Cube_Ela5_Var70550
48,55,5,38113,30,67,0,0.801953125,Cube_Ela5_Var38113
49,11,5,3345,30,60,0,0.770703125,Cube_Ela5_Var3345
50,152,5,69698,30,40,0,0.637890625,Cube_Ela5_Var69698
51,100,5,52265,30,86,0,0.084765625,Cube_Ela5_Var52265
52,16,5,7693,30,174,0,0.444921875,Cube_Ela5_Var7693
53,126,5,60721,30,76,0,0.845703125,Cube_Ela5_Var60721
54,75,5,44635,30,75,0,0.16171875,Cube_Ela5_Var44635
55,89,5,48089,30,63,0,0.736328125,Cube_Ela5_Var48089
56,49,5,35211,30,125,0,0.72578125,Cube_Ela5_Var35211
57,115,5,58016,30,87,0,0.941015625,Cube_Ela5_Var58016
58,51,5,37660,30,54,0,0.139453125,Cube_Ela5_Var37660
59,76,5,44788,30,57,0,0.87265625,Cube_Ela5_Var44788
60,194,5,85461,30,63,0,0.858984375,Cube_Ela5_Var85461
61,180,5,80369,30,84,0,0.138671875,Cube_Ela5_Var80369
62,133,5,64187,30,79,0,0.095703125,Cube_Ela5_Var64187
63,104,5,54168,30,97,0,0.894140625,Cube_Ela5_Var54168
64,177,5,78117,30,92,0,0.81953125,Cube_Ela5_Var78117
65,98,5,49303,30,83,0,0.87578125,Cube_Ela5_Var49303
66,79,5,46324,30,69,0,0.116796875,Cube_Ela5_Var46324
67,24,5,16080,30,131,0,0.3390625,Cube_Ela5_Var16080
68,172,5,76354,30,63,0,0.896875,Cube_Ela5_Var76354
69,168,5,75643,30,60,0,0.95078125,Cube_Ela5_Var75643
70,67,5,42984,30,76,0,0.190625,Cube_Ela5_Var42984
71,204,5,88519,30,120,0,0.673046875,Cube_Ela5_Var88519
72,101,5,52893,30,50,0,0.11171875,Cube_Ela5_Var52893
73,60,5,41405,30,57,0,0.81171875,Cube_Ela5_Var41405
74,136,5,66102,30,62,0,0.91171875,Cube_Ela5_Var66102
75,175,5,76680,30,119,0,0.857421875,Cube_Ela5_Var76680
76,155,5,70055,30,65,0,0.1578125,Cube_Ela5_Var70055
77,211,5,95602,30,58,0,0.853515625,Cube_Ela5_Var95602
78,115,5,58016,30,76,0,0.861328125,Cube_Ela5_Var58016
79,112,5,56929,30,105,0,0.380078125,Cube_Ela5_Var56929
80,208,5,94354,30,60,0,0.3140625,Cube_Ela5_Var94354
81,166,5,75451,30,55,0,0.851953125,Cube_Ela5_Var75451
82,33,5,21958,30,60,0,0.170703125,Cube_Ela5_Var21958
83,27,5,16920,30,49,0,0.769921875,Cube_Ela5_Var16920
84,165,5,75101,30,62,0,0.194921875,Cube_Ela5_Var75101
85,123,5,60316,30,95,0,0.19140625,Cube_Ela5_Var60316
86,172,5,76354,30,60,0,0.833984375,Cube_Ela5_Var76354
87,198,5,85928,30,60,0,0.164453125,Cube_Ela5_Var85928
88,99,5,49800,30,97,0,0.175,Cube_Ela5_Var49800
89,134,5,64806,30,86,0,0.120703125,Cube_Ela5_Var64806
90,173,5,76458,30,60,0,0.799609375,Cube_Ela5_Var76458
91,145,5,68081,30,76,0,0.760546875,Cube_Ela5_Var68081
92,148,5,68946,30,112,0,0.415234375,Cube_Ela5_Var68946
93,17,5,7776,30,66,0,0.0578125,Cube_Ela5_Var7776
94,97,5,48875,30,121,0,0.887890625,Cube_Ela5_Var48875
95,208,5,94354,30,98,0,0.632421875,Cube_Ela5_Var94354
96,152,5,69698,30,57,0,0.06953125,Cube_Ela5_Var69698
97,147,5,68783,30,80,0,0.071484375,Cube_Ela5_Var68783
98,141,5,67925,30,113,0,0.574609375,Cube_Ela5_Var67925
99,139,5,67412,30,90,0,0.668359375,Cube_Ela5_Var67412
100,92,5,48387,30,83,0,0.095703125,Cube_Ela5_Var48387
101,206,5,92561,30,123,0,0.109765625,Cube_Ela5_Var92561
102,60,5,41405,30,61,0,0.982421875,Cube_Ela5_Var41405
103,68,5,43188,30,60,0,0.276953125,Cube_Ela5_Var43188
104,8,5,2477,30,71,0,0.8,Cube_Ela5_Var2477
105,155,5,70055,30,43,0,0.577734375,Cube_Ela5_Var70055
106,150,5,69309,30,60,0,0.700390625,Cube_Ela5_Var69309
107,203,5,87749,30,86,0,0.60234375,Cube_Ela5_Var87749
108,137,5,66844,30,167,0,0.665234375,Cube_Ela5_Var66844
109,161,5,73031,30,66,0,0.702734375,Cube_Ela5_Var73031
110,156,5,70550,30,78,0,0.67734375,Cube_Ela5_Var70550
111,111,5,56928,30,143,0,0.5796875,Cube_Ela5_Var56928
112,18,5,9081,30,64,0,0.788671875,Cube_Ela5_Var9081
113,29,5,17269,30,67,0,0.252734375,Cube_Ela5_Var17269
114,175,5,76680,30,60,0,0.73515625,Cube_Ela5_Var76680
115,50,5,36019,30,53,0,0.03515625,Cube_Ela5_Var36019
116,184,5,82797,30,90,0,0.836328125,Cube_Ela5_Var82797
117,113,5,57476,30,60,0,0.275390625,Cube_Ela5_Var57476
118,179,5,79309,30,127,0,0.580078125,Cube_Ela5_Var79309
119,4,5,1538,30,48,0,0.9015625,Cube_Ela5_Var1538
120,207,5,93825,30,122,0,0.76015625,Cube_Ela5_Var93825
121,31,5,19705,30,68,0,0.12421875,Cube_Ela5_Var19705
