trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,162,5,73331,30,180,0,0.58671875,Cube_Ela5_Var73331
2,129,5,62947,30,112,0,0.69140625,Cube_Ela5_Var62947
3,127,5,61722,30,104,0,0.31875,Cube_Ela5_Var61722
4,102,5,53293,30,118,0,0.5265625,Cube_Ela5_Var53293
5,31,5,19705,30,152,0,0.490625,Cube_Ela5_Var19705
6,200,5,86457,30,173,0,0.803515625,Cube_Ela5_Var86457
7,154,5,69989,30,180,0,0.656640625,Cube_Ela5_Var69989
8,141,5,67925,30,108,0,0.69296875,Cube_Ela5_Var67925
9,59,5,40929,30,265,0,0.8703125,Cube_Ela5_Var40929
10,122,5,60291,30,120,0,0.471484375,Cube_Ela5_Var60291
11,17,5,7776,30,274,0,0.5046875,Cube_Ela5_Var7776
12,88,5,48076,30,684,0,0.675,Cube_Ela5_Var48076
13,132,5,64044,30,372,0,0.73046875,Cube_Ela5_Var64044
14,198,5,85928,30,124,0,0.53203125,Cube_Ela5_Var85928
15,69,5,43329,30,190,0,0.326171875,Cube_Ela5_Var43329
16,12,5,4889,30,365,0,0.73515625,Cube_Ela5_Var4889
17,53,5,37783,30,122,0,0.925,Cube_Ela5_Var37783
18,43,5,31816,30,158,0,0.811328125,Cube_Ela5_Var31816
19,78,5,46309,30,284,0,0.706640625,Cube_Ela5_Var46309
20,193,5,84352,30,99,0,0.334375,Cube_Ela5_Var84352
21,8,5,2477,30,291,0,0.61328125,Cube_Ela5_Var2477
22,152,5,69698,30,699,0,0.616015625,Cube_Ela5_Var69698
23,184,5,82797,30,190,0,0.884765625,Cube_Ela5_Var82797
24,69,5,43329,30,210,0,0.503125,Cube_Ela5_Var43329
25,56,5,39587,30,123,0,0.491015625,Cube_Ela5_Var39587
26,99,5,49800,30,581,0,0.81015625,Cube_Ela5_Var49800
27,141,5,67925,30,242,0,0.459765625,Cube_Ela5_Var67925
28,3,5,1422,30,180,0,0.543359375,Cube_Ela5_Var1422
29,111,5,56928,30,542,0,0.65390625,Cube_Ela5_Var56928
30,69,5,43329,30,138,0,0.563671875,Cube_Ela5_Var43329
31,29,5,17269,30,90,0,0.558203125,Cube_Ela5_Var17269
32,190,5,83732,30,77,0,0.922265625,Cube_Ela5_Var83732
33,30,5,18315,30,86,0,0.526953125,Cube_Ela5_Var18315
34,200,5,86457,30,111,0,0.705859375,Cube_Ela5_Var86457
35,32,5,19857,30,80,0,0.91171875,Cube_Ela5_Var19857
36,169,5,75720,30,91,0,0.5265625,Cube_Ela5_Var75720
37,23,5,15801,30,100,0,0.51015625,Cube_Ela5_Var15801
38,48,5,34970,30,97,0,0.6171875,Cube_Ela5_Var34970
39,80,5,46376,30,76,0,0.87734375,Cube_Ela5_Var46376
40,189,5,83647,30,83,0,0.941015625,Cube_Ela5_Var83647
41,132,5,64044,30,210,0,0.704296875,Cube_Ela5_Var64044
42,81,5,46939,30,111,0,0.503125,Cube_Ela5_Var46939
43,34,5,24505,30,109,0,0.365234375,Cube_Ela5_Var24505
44,15,5,6288,30,120,0,0.58203125,Cube_Ela5_Var6288
45,131,5,63563,30,90,0,0.861328125,Cube_Ela5_Var63563
46,169,5,75720,30,90,0,0.64296875,Cube_Ela5_Var75720
47,153,5,69719,30,111,0,0.851953125,Cube_Ela5_Var69719
48,162,5,73331,30,85,0,0.33984375,Cube_Ela5_Var73331
49,96,5,48836,30,65,0,0.909375,Cube_Ela5_Var48836
50,80,5,46376,30,99,0,0.9734375,Cube_Ela5_Var46376
51,134,5,64806,30,379,0,0.6140625,Cube_Ela5_Var64806
52,77,5,45996,30,420,0,0.298046875,Cube_Ela5_Var45996
53,181,5,81177,30,80,0,0.6734375,Cube_Ela5_Var81177
54,40,5,29981,30,90,0,0.64140625,Cube_Ela5_Var29981
55,167,5,75466,30,79,0,0.391796875,Cube_Ela5_Var75466
56,117,5,59301,30,127,0,0.409375,Cube_Ela5_Var59301
57,21,5,13214,30,65,0,0.85,Cube_Ela5_Var13214
58,88,5,48076,30,72,0,0.47421875,Cube_Ela5_Var48076
59,53,5,37783,30,181,0,0.52265625,Cube_Ela5_Var37783
60,163,5,74604,30,110,0,0.815625,Cube_Ela5_Var74604
61,205,5,92507,30,231,0,0.651171875,Cube_Ela5_Var92507
62,103,5,53873,30,362,0,0.61484375,Cube_Ela5_Var53873
63,129,5,62947,30,77,0,0.64609375,Cube_Ela5_Var62947
64,183,5,82598,30,456,0,0.88828125,Cube_Ela5_Var82598
65,106,5,55088,30,120,0,0.434375,Cube_Ela5_Var55088
66,130,5,63189,30,75,0,0.401171875,Cube_Ela5_Var63189
67,203,5,87749,30,191,0,0.556640625,Cube_Ela5_Var87749
68,33,5,21958,30,90,0,0.30390625,Cube_Ela5_Var21958
69,213,5,99105,30,86,0,0.278125,Cube_Ela5_Var99105
70,101,5,52893,30,90,0,0.15234375,Cube_Ela5_Var52893
71,5,5,1623,30,100,0,0.91484375,Cube_Ela5_Var1623
72,5,5,1623,30,92,0,0.85390625,Cube_Ela5_Var1623
73,158,5,71127,30,72,0,0.261328125,Cube_Ela5_Var71127
74,140,5,67529,30,82,0,0.547265625,Cube_Ela5_Var67529
75,12,5,4889,30,127,0,0.627734375,Cube_Ela5_Var4889
76,207,5,93825,30,93,0,0.7765625,Cube_Ela5_Var93825
77,118,5,59579,30,90,0,0.6359375,Cube_Ela5_Var59579
78,14,5,6176,30,120,0,0.324609375,Cube_Ela5_Var6176
79,91,5,48302,30,120,0,0.50546875,Cube_Ela5_Var48302
80,136,5,66102,30,173,0,0.87890625,Cube_Ela5_Var66102
81,70,5,43435,30,240,0,0.4453125,Cube_Ela5_Var43435
82,21,5,13214,30,177,0,0.688671875,Cube_Ela5_Var13214
83,121,5,59995,30,150,0,0.510546875,Cube_Ela5_Var59995
84,159,5,71793,30,105,0,0.79609375,Cube_Ela5_Var71793
85,131,5,63563,30,118,0,0.43046875,Cube_Ela5_Var63563
