trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,105,5,54414,30,154,0,0.73515625,Cube_Ela5_Var54414
2,6,5,2068,30,71,0,0.090625,Cube_Ela5_Var2068
3,178,5,79232,30,90,0,0,Cube_Ela5_Var79232
4,147,5,68783,30,129,0,0.051953125,Cube_Ela5_Var68783
5,212,5,97114,30,192,0,0.296875,Cube_Ela5_Var97114
6,65,5,42133,30,132,0,0,Cube_Ela5_Var42133
7,84,5,47056,30,81,0,0.796484375,Cube_Ela5_Var47056
8,37,5,26416,30,263,0,0.705859375,Cube_Ela5_Var26416
9,163,5,74604,30,152,0,0.866796875,Cube_Ela5_Var74604
10,125,5,60611,30,81,0,0.097265625,Cube_Ela5_Var60611
11,168,5,75643,30,261,0,0.89140625,Cube_Ela5_Var75643
12,151,5,69665,30,355,0,0.327734375,Cube_Ela5_Var69665
13,126,5,60721,30,210,0,0.746875,Cube_Ela5_Var60721
14,103,5,53873,30,106,0,0.230859375,Cube_Ela5_Var53873
15,210,5,94778,30,240,0,0.149609375,Cube_Ela5_Var94778
16,195,5,85567,30,89,0,0.8171875,Cube_Ela5_Var85567
17,20,5,10573,30,123,0,0.053515625,Cube_Ela5_Var10573
18,141,5,67925,30,110,0,0.7015625,Cube_Ela5_Var67925
19,75,5,44635,30,84,0,0.741015625,Cube_Ela5_Var44635
20,85,5,47360,30,435,0,0.721875,Cube_Ela5_Var47360
21,56,5,39587,30,163,0,0.138671875,Cube_Ela5_Var39587
22,192,5,84256,30,69,0,0,Cube_Ela5_Var84256
23,35,5,25148,30,124,0,0.55,Cube_Ela5_Var25148
24,142,5,68062,30,112,0,0.100390625,Cube_Ela5_Var68062
25,86,5,47653,30,120,0,0.782421875,Cube_Ela5_Var47653
26,95,5,48772,30,211,0,0.852734375,Cube_Ela5_Var48772
27,107,5,55229,30,315,0,0.611328125,Cube_Ela5_Var55229
28,134,5,64806,30,120,0,0.632421875,Cube_Ela5_Var64806
29,128,5,62855,30,96,0,0,Cube_Ela5_Var62855
30,41,5,30524,30,90,0,0.098046875,Cube_Ela5_Var30524
31,80,5,46376,30,143,0,0.898828125,Cube_Ela5_Var46376
32,113,5,57476,30,124,0,0.10234375,Cube_Ela5_Var57476
33,21,5,13214,30,127,0,0.19296875,Cube_Ela5_Var13214
34,150,5,69309,30,248,0,0.715625,Cube_Ela5_Var69309
35,164,5,75018,30,335,0,0.35390625,Cube_Ela5_Var75018
36,184,5,82797,30,138,0,0.151171875,Cube_Ela5_Var82797
37,29,5,17269,30,72,0,0.058203125,Cube_Ela5_Var17269
38,11,5,3345,30,75,0,0.008984375,Cube_Ela5_Var3345
39,96,5,48836,30,119,0,0.9265625,Cube_Ela5_Var48836
40,33,5,21958,30,60,0,0.0390625,Cube_Ela5_Var21958
41,45,5,32376,30,223,0,0.115234375,Cube_Ela5_Var32376
42,207,5,93825,30,86,0,0.781640625,Cube_Ela5_Var93825
43,73,5,43703,30,212,0,0.1015625,Cube_Ela5_Var43703
44,125,5,60611,30,67,0,0.03359375,Cube_Ela5_Var60611
45,138,5,66884,30,120,0,0.041015625,Cube_Ela5_Var66884
46,205,5,92507,30,265,0,0.54140625,Cube_Ela5_Var92507
47,11,5,3345,30,79,0,0.023828125,Cube_Ela5_Var3345
48,133,5,64187,30,90,0,0.146484375,Cube_Ela5_Var64187
49,92,5,48387,30,93,0,0.33359375,Cube_Ela5_Var48387
50,91,5,48302,30,185,0,0.215625,Cube_Ela5_Var48302
51,67,5,42984,30,90,0,0.10546875,Cube_Ela5_Var42984
52,5,5,1623,30,120,0,0.941796875,Cube_Ela5_Var1623
53,150,5,69309,30,120,0,0.95078125,Cube_Ela5_Var69309
54,184,5,82797,30,120,0,0.86484375,Cube_Ela5_Var82797
55,136,5,66102,30,210,0,0.999609375,Cube_Ela5_Var66102
56,51,5,37660,30,90,0,0.1171875,Cube_Ela5_Var37660
57,147,5,68783,30,84,0,0.0328125,Cube_Ela5_Var68783
58,210,5,94778,30,202,0,0.132421875,Cube_Ela5_Var94778
59,136,5,66102,30,110,0,0.932421875,Cube_Ela5_Var66102
60,46,5,32740,30,90,0,0.94921875,Cube_Ela5_Var32740
61,51,5,37660,30,99,0,0.129296875,Cube_Ela5_Var37660
62,206,5,92561,30,126,0,0.05546875,Cube_Ela5_Var92561
63,189,5,83647,30,120,0,0.91484375,Cube_Ela5_Var83647
64,16,5,7693,30,251,0,0.50390625,Cube_Ela5_Var7693
65,24,5,16080,30,118,0,0.088671875,Cube_Ela5_Var16080
66,89,5,48089,30,107,0,0.12578125,Cube_Ela5_Var48089
67,112,5,56929,30,60,0,0.05234375,Cube_Ela5_Var56929
68,83,5,47029,30,98,0,0.10390625,Cube_Ela5_Var47029
69,198,5,85928,30,89,0,0.172265625,Cube_Ela5_Var85928
70,211,5,95602,30,317,0,0.032421875,Cube_Ela5_Var95602
71,59,5,40929,30,120,0,0.133203125,Cube_Ela5_Var40929
72,55,5,38113,30,122,0,0.06328125,Cube_Ela5_Var38113
73,202,5,87418,30,175,0,0.678515625,Cube_Ela5_Var87418
74,160,5,73019,30,81,0,0.8125,Cube_Ela5_Var73019
75,110,5,56757,30,206,0,0.1,Cube_Ela5_Var56757
76,173,5,76458,30,203,0,0.8953125,Cube_Ela5_Var76458
77,82,5,46949,30,173,0,0.71953125,Cube_Ela5_Var46949
78,80,5,46376,30,161,0,0.948046875,Cube_Ela5_Var46376
79,49,5,35211,30,170,0,0.35390625,Cube_Ela5_Var35211
80,9,5,3037,30,134,0,0.068359375,Cube_Ela5_Var3037
81,150,5,69309,30,342,0,0.648828125,Cube_Ela5_Var69309
82,55,5,38113,30,163,0,0.1859375,Cube_Ela5_Var38113
83,44,5,31848,30,120,0,0.724609375,Cube_Ela5_Var31848
84,8,5,2477,30,318,0,0.840625,Cube_Ela5_Var2477
85,83,5,47029,30,93,0,0.116015625,Cube_Ela5_Var47029
86,117,5,59301,30,102,0,0.12578125,Cube_Ela5_Var59301
87,102,5,53293,30,129,0,0.09921875,Cube_Ela5_Var53293
88,52,5,37704,30,120,0,0.41484375,Cube_Ela5_Var37704
89,117,5,59301,30,90,0,0.139453125,Cube_Ela5_Var59301
90,36,5,25822,30,62,0,0,Cube_Ela5_Var25822
91,174,5,76610,30,181,0,0,Cube_Ela5_Var76610
92,82,5,46949,30,77,0,0.30703125,Cube_Ela5_Var46949
93,170,5,75906,30,103,0,0.737109375,Cube_Ela5_Var75906
94,119,5,59685,30,270,0,0.823828125,Cube_Ela5_Var59685
95,79,5,46324,30,70,0,0.0640625,Cube_Ela5_Var46324
96,192,5,84256,30,60,0,0,Cube_Ela5_Var84256
97,170,5,75906,30,390,0,0.08671875,Cube_Ela5_Var75906
98,20,5,10573,30,102,0,0.049609375,Cube_Ela5_Var10573
99,53,5,37783,30,176,0,0.864453125,Cube_Ela5_Var37783
100,163,5,74604,30,145,0,0.74375,Cube_Ela5_Var74604
101,181,5,81177,30,90,0,0.14765625,Cube_Ela5_Var81177
102,43,5,31816,30,268,0,0.27421875,Cube_Ela5_Var31816
103,181,5,81177,30,159,0,0.185546875,Cube_Ela5_Var81177
104,203,5,87749,30,200,0,0.506640625,Cube_Ela5_Var87749
105,167,5,75466,30,152,0,0.1015625,Cube_Ela5_Var75466
106,70,5,43435,30,88,0,0.19296875,Cube_Ela5_Var43435
107,99,5,49800,30,82,0,0.334375,Cube_Ela5_Var49800
108,14,5,6176,30,142,0,0.08515625,Cube_Ela5_Var6176
109,162,5,73331,30,114,0,0.062109375,Cube_Ela5_Var73331
110,209,5,94639,30,178,0,0.841015625,Cube_Ela5_Var94639
111,142,5,68062,30,149,0,0.04609375,Cube_Ela5_Var68062
112,171,5,76210,30,158,0,0.915625,Cube_Ela5_Var76210
113,52,5,37704,30,85,0,0.6609375,Cube_Ela5_Var37704
114,27,5,16920,30,152,0,0.70546875,Cube_Ela5_Var16920
115,73,5,43703,30,135,0,0.605078125,Cube_Ela5_Var43703
116,158,5,71127,30,180,0,0.13125,Cube_Ela5_Var71127
117,85,5,47360,30,121,0,0.563671875,Cube_Ela5_Var47360
118,64,5,42125,30,187,0,0.299609375,Cube_Ela5_Var42125
119,162,5,73331,30,103,0,0.0875,Cube_Ela5_Var73331
120,209,5,94639,30,96,0,0.937890625,Cube_Ela5_Var94639
121,201,5,86931,30,240,0,0.7546875,Cube_Ela5_Var86931
122,106,5,55088,30,56,0,0.111328125,Cube_Ela5_Var55088
123,156,5,70550,30,161,0,0.70625,Cube_Ela5_Var70550
124,60,5,41405,30,150,0,0.937109375,Cube_Ela5_Var41405
125,92,5,48387,30,460,0,0.1171875,Cube_Ela5_Var48387
126,186,5,83290,30,150,0,0.13359375,Cube_Ela5_Var83290
127,176,5,77113,30,111,0,0.776171875,Cube_Ela5_Var77113
128,98,5,49303,30,66,0,0.94453125,Cube_Ela5_Var49303
129,192,5,84256,30,60,0,0.036328125,Cube_Ela5_Var84256
130,174,5,76610,30,110,0,0.044921875,Cube_Ela5_Var76610
131,47,5,33762,30,81,0,0.3328125,Cube_Ela5_Var33762
132,68,5,43188,30,78,0,0.6515625,Cube_Ela5_Var43188
