trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,114,5,57643,30,176,0,0.36796875,Cube_Ela5_Var57643
2,86,5,47653,30,50,0,0.2546875,Cube_Ela5_Var47653
3,52,5,37704,30,87,0,0.13984375,Cube_Ela5_Var37704
4,70,5,43435,30,83,0,0.08125,Cube_Ela5_Var43435
5,205,5,92507,30,129,0,0.118359375,Cube_Ela5_Var92507
6,15,5,6288,30,287,0,0.155078125,Cube_Ela5_Var6288
7,68,5,43188,30,67,0,0.284765625,Cube_Ela5_Var43188
8,174,5,76610,30,90,0,0.133984375,Cube_Ela5_Var76610
9,147,5,68783,30,104,0,0.17109375,Cube_Ela5_Var68783
10,46,5,32740,30,76,0,0.85234375,Cube_Ela5_Var32740
11,91,5,48302,30,90,0,0.09765625,Cube_Ela5_Var48302
12,9,5,3037,30,135,0,0.06328125,Cube_Ela5_Var3037
13,179,5,79309,30,93,0,0.078125,Cube_Ela5_Var79309
14,131,5,63563,30,107,0,0.1765625,Cube_Ela5_Var63563
15,199,5,86083,30,59,0,0.08515625,Cube_Ela5_Var86083
16,201,5,86931,30,49,0,0.418359375,Cube_Ela5_Var86931
17,102,5,53293,30,127,0,0.17109375,Cube_Ela5_Var53293
18,154,5,69989,30,54,0,0.191796875,Cube_Ela5_Var69989
19,133,5,64187,30,85,0,0.1125,Cube_Ela5_Var64187
20,213,5,99105,30,68,0,0.298046875,Cube_Ela5_Var99105
21,138,5,66884,30,109,0,0.235546875,Cube_Ela5_Var66884
22,212,5,97114,30,95,0,0.1296875,Cube_Ela5_Var97114
23,117,5,59301,30,90,0,0.442578125,Cube_Ela5_Var59301
24,185,5,83108,30,66,0,0.672265625,Cube_Ela5_Var83108
25,119,5,59685,30,120,0,0.626953125,Cube_Ela5_Var59685
26,165,5,75101,30,60,0,0.540234375,Cube_Ela5_Var75101
27,58,5,40583,30,71,0,0.46328125,Cube_Ela5_Var40583
28,62,5,41753,30,155,0,0.3984375,Cube_Ela5_Var41753
29,200,5,86457,30,60,0,0.609375,Cube_Ela5_Var86457
30,162,5,73331,30,109,0,0.409765625,Cube_Ela5_Var73331
31,192,5,84256,30,147,0,0.112890625,Cube_Ela5_Var84256
32,128,5,62855,30,92,0,0.3265625,Cube_Ela5_Var62855
33,77,5,45996,30,118,0,0.228515625,Cube_Ela5_Var45996
34,190,5,83732,30,204,0,0.5140625,Cube_Ela5_Var83732
35,116,5,58938,30,95,0,0.380078125,Cube_Ela5_Var58938
36,176,5,77113,30,71,0,0.494140625,Cube_Ela5_Var77113
37,193,5,84352,30,74,0,0.1625,Cube_Ela5_Var84352
38,202,5,87418,30,60,0,0.634375,Cube_Ela5_Var87418
39,178,5,79232,30,48,0,0.33984375,Cube_Ela5_Var79232
40,109,5,56443,30,60,0,0.7421875,Cube_Ela5_Var56443
41,107,5,55229,30,159,0,0.165625,Cube_Ela5_Var55229
42,143,5,68063,30,51,0,0.273046875,Cube_Ela5_Var68063
43,91,5,48302,30,47,0,0.214453125,Cube_Ela5_Var48302
44,165,5,75101,30,113,0,0.13125,Cube_Ela5_Var75101
45,203,5,87749,30,75,0,0.168359375,Cube_Ela5_Var87749
46,207,5,93825,30,50,0,0.830859375,Cube_Ela5_Var93825
47,32,5,19857,30,60,0,0.748046875,Cube_Ela5_Var19857
48,72,5,43640,30,60,0,0.558203125,Cube_Ela5_Var43640
49,145,5,68081,30,56,0,0.537890625,Cube_Ela5_Var68081
50,186,5,83290,30,61,0,0.5078125,Cube_Ela5_Var83290
51,87,5,47802,30,93,0,0.730078125,Cube_Ela5_Var47802
52,180,5,80369,30,89,0,0.23203125,Cube_Ela5_Var80369
53,39,5,27119,30,127,0,0.262890625,Cube_Ela5_Var27119
54,174,5,76610,30,70,0,0.2484375,Cube_Ela5_Var76610
55,47,5,33762,30,45,0,0.201953125,Cube_Ela5_Var33762
56,184,5,82797,30,128,0,0.309375,Cube_Ela5_Var82797
57,97,5,48875,30,90,0,0.87890625,Cube_Ela5_Var48875
58,99,5,49800,30,59,0,0.2125,Cube_Ela5_Var49800
59,111,5,56928,30,40,0,0.303515625,Cube_Ela5_Var56928
60,53,5,37783,30,153,0,0.319921875,Cube_Ela5_Var37783
61,211,5,95602,30,88,0,0.227734375,Cube_Ela5_Var95602
62,67,5,42984,30,78,0,0.465234375,Cube_Ela5_Var42984
63,203,5,87749,30,570,0,0.459765625,Cube_Ela5_Var87749
64,94,5,48729,30,60,0,0.274609375,Cube_Ela5_Var48729
65,132,5,64044,30,71,0,0.428125,Cube_Ela5_Var64044
66,124,5,60587,30,49,0,0.387109375,Cube_Ela5_Var60587
67,142,5,68062,30,86,0,0.27421875,Cube_Ela5_Var68062
68,100,5,52265,30,68,0,0.26640625,Cube_Ela5_Var52265
69,132,5,64044,30,81,0,0.330078125,Cube_Ela5_Var64044
70,43,5,31816,30,70,0,0.3515625,Cube_Ela5_Var31816
71,196,5,85828,30,60,0,0.432421875,Cube_Ela5_Var85828
72,204,5,88519,30,66,0,0.262109375,Cube_Ela5_Var88519
73,106,5,55088,30,84,0,0.159765625,Cube_Ela5_Var55088
74,185,5,83108,30,68,0,0.5640625,Cube_Ela5_Var83108
75,129,5,62947,30,90,0,0.441796875,Cube_Ela5_Var62947
76,187,5,83569,30,59,0,0.659375,Cube_Ela5_Var83569
77,25,5,16464,30,120,0,0.462109375,Cube_Ela5_Var16464
78,30,5,18315,30,60,0,0.308984375,Cube_Ela5_Var18315
79,104,5,54168,30,87,0,0.7078125,Cube_Ela5_Var54168
80,86,5,47653,30,67,0,0.484765625,Cube_Ela5_Var47653
81,7,5,2366,30,90,0,0.252734375,Cube_Ela5_Var2366
82,128,5,62855,30,68,0,0.260546875,Cube_Ela5_Var62855
83,103,5,53873,30,94,0,0.295703125,Cube_Ela5_Var53873
84,113,5,57476,30,90,0,0.173046875,Cube_Ela5_Var57476
85,13,5,5923,30,138,0,0.408984375,Cube_Ela5_Var5923
86,153,5,69719,30,90,0,0.431640625,Cube_Ela5_Var69719
87,76,5,44788,30,60,0,0.305078125,Cube_Ela5_Var44788
88,29,5,17269,30,77,0,0.45390625,Cube_Ela5_Var17269
89,14,5,6176,30,560,0,0.287890625,Cube_Ela5_Var6176
90,150,5,69309,30,63,0,0.3984375,Cube_Ela5_Var69309
91,92,5,48387,30,164,0,0.255859375,Cube_Ela5_Var48387
92,93,5,48423,30,60,0,0.6265625,Cube_Ela5_Var48423
93,78,5,46309,30,71,0,0.72265625,Cube_Ela5_Var46309
94,121,5,59995,30,60,0,0.646875,Cube_Ela5_Var59995
95,158,5,71127,30,76,0,0.3734375,Cube_Ela5_Var71127
96,129,5,62947,30,63,0,0.307421875,Cube_Ela5_Var62947
97,15,5,6288,30,78,0,0.527734375,Cube_Ela5_Var6288
98,156,5,70550,30,107,0,0.24296875,Cube_Ela5_Var70550
99,139,5,67412,30,88,0,0.706640625,Cube_Ela5_Var67412
100,23,5,15801,30,60,0,0.558203125,Cube_Ela5_Var15801
101,195,5,85567,30,120,0,0.54453125,Cube_Ela5_Var85567
102,194,5,85461,30,117,0,0.466015625,Cube_Ela5_Var85461
103,166,5,75451,30,60,0,0.7078125,Cube_Ela5_Var75451
104,183,5,82598,30,51,0,0.776171875,Cube_Ela5_Var82598
105,2,5,1342,30,206,0,0.423046875,Cube_Ela5_Var1342
106,202,5,87418,30,90,0,0.723046875,Cube_Ela5_Var87418
107,139,5,67412,30,52,0,0.81328125,Cube_Ela5_Var67412
108,201,5,86931,30,107,0,0.57890625,Cube_Ela5_Var86931
109,87,5,47802,30,83,0,0.54609375,Cube_Ela5_Var47802
110,200,5,86457,30,47,0,0.383203125,Cube_Ela5_Var86457
111,205,5,92507,30,278,0,0.298828125,Cube_Ela5_Var92507
112,109,5,56443,30,65,0,0.77578125,Cube_Ela5_Var56443
113,137,5,66844,30,95,0,0.36953125,Cube_Ela5_Var66844
