trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,131,5,63563,30,182,0,0.16484375,Cube_Ela5_Var63563
2,123,5,60316,30,69,0,0.34140625,Cube_Ela5_Var60316
3,129,5,62947,30,95,0,0.1984375,Cube_Ela5_Var62947
4,106,5,55088,30,62,0,0,Cube_Ela5_Var55088
5,83,5,47029,30,78,0,0.178125,Cube_Ela5_Var47029
6,144,5,68079,30,92,0,0.56171875,Cube_Ela5_Var68079
7,21,5,13214,30,83,0,0.166015625,Cube_Ela5_Var13214
8,35,5,25148,30,99,0,0.14765625,Cube_Ela5_Var25148
9,71,5,43564,30,70,0,0.478125,Cube_Ela5_Var43564
10,24,5,16080,30,87,0,0,Cube_Ela5_Var16080
11,204,5,88519,30,112,0,0.25859375,Cube_Ela5_Var88519
12,106,5,55088,30,74,0,0,Cube_Ela5_Var55088
13,213,5,99105,30,66,0,0.570703125,Cube_Ela5_Var99105
14,5,5,1623,30,60,0,0.880859375,Cube_Ela5_Var1623
15,151,5,69665,30,98,0,0.230078125,Cube_Ela5_Var69665
16,103,5,53873,30,120,0,0.08359375,Cube_Ela5_Var53873
17,177,5,78117,30,90,0,0.6265625,Cube_Ela5_Var78117
18,199,5,86083,30,58,0,0.162109375,Cube_Ela5_Var86083
19,191,5,83787,30,120,0,0.507421875,Cube_Ela5_Var83787
20,29,5,17269,30,60,0,0.0046875,Cube_Ela5_Var17269
21,209,5,94639,30,80,0,0.68203125,Cube_Ela5_Var94639
22,79,5,46324,30,85,0,0,Cube_Ela5_Var46324
23,79,5,46324,30,95,0,0.184765625,Cube_Ela5_Var46324
24,58,5,40583,30,72,0,0.5875,Cube_Ela5_Var40583
25,132,5,64044,30,59,0,0.216796875,Cube_Ela5_Var64044
26,133,5,64187,30,49,0,0.0828125,Cube_Ela5_Var64187
27,94,5,48729,30,120,0,0.40625,Cube_Ela5_Var48729
28,51,5,37660,30,60,0,0.330859375,Cube_Ela5_Var37660
29,23,5,15801,30,56,0,0.53984375,Cube_Ela5_Var15801
30,62,5,41753,30,125,0,0.30078125,Cube_Ela5_Var41753
31,72,5,43640,30,94,0,0.15703125,Cube_Ela5_Var43640
32,120,5,59798,30,83,0,0.240234375,Cube_Ela5_Var59798
33,111,5,56928,30,117,0,0.620703125,Cube_Ela5_Var56928
34,35,5,25148,30,148,0,0.3046875,Cube_Ela5_Var25148
35,89,5,48089,30,60,0,0.070703125,Cube_Ela5_Var48089
36,185,5,83108,30,86,0,0.999609375,Cube_Ela5_Var83108
