trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,18,5,9081,30,390,0,0.477734375,Cube_Ela5_Var9081
2,88,5,48076,30,109,0,0.03671875,Cube_Ela5_Var48076
3,155,5,70055,30,127,0,0.1625,Cube_Ela5_Var70055
4,106,5,55088,30,154,0,0.0375,Cube_Ela5_Var55088
5,86,5,47653,30,95,0,0.489453125,Cube_Ela5_Var47653
6,60,5,41405,30,90,0,0.915625,Cube_Ela5_Var41405
7,93,5,48423,30,117,0,0.30078125,Cube_Ela5_Var48423
8,169,5,75720,30,60,0,0.105078125,Cube_Ela5_Var75720
9,200,5,86457,30,150,0,0.117578125,Cube_Ela5_Var86457
10,100,5,52265,30,76,0,0.044140625,Cube_Ela5_Var52265
11,54,5,38102,30,90,0,0.150390625,Cube_Ela5_Var38102
12,186,5,83290,30,99,0,0.198046875,Cube_Ela5_Var83290
13,107,5,55229,30,77,0,0.0828125,Cube_Ela5_Var55229
14,96,5,48836,30,89,0,0.983984375,Cube_Ela5_Var48836
15,106,5,55088,30,162,0,0,Cube_Ela5_Var55088
16,46,5,32740,30,113,0,0.97734375,Cube_Ela5_Var32740
17,91,5,48302,30,114,0,0.187109375,Cube_Ela5_Var48302
18,164,5,75018,30,112,0,0.509765625,Cube_Ela5_Var75018
19,200,5,86457,30,91,0,0.31640625,Cube_Ela5_Var86457
20,155,5,70055,30,91,0,0.234765625,Cube_Ela5_Var70055
21,13,5,5923,30,74,0,0.576171875,Cube_Ela5_Var5923
22,92,5,48387,30,88,0,0.306640625,Cube_Ela5_Var48387
23,204,5,88519,30,56,0,0.283203125,Cube_Ela5_Var88519
24,203,5,87749,30,55,0,0.076953125,Cube_Ela5_Var87749
25,103,5,53873,30,151,0,0.1875,Cube_Ela5_Var53873
26,67,5,42984,30,190,0,0.066015625,Cube_Ela5_Var42984
27,101,5,52893,30,102,0,0.0828125,Cube_Ela5_Var52893
28,103,5,53873,30,89,0,0.142578125,Cube_Ela5_Var53873
29,115,5,58016,30,93,0,0.580078125,Cube_Ela5_Var58016
30,86,5,47653,30,60,0,0.6046875,Cube_Ela5_Var47653
31,105,5,54414,30,147,0,0.85078125,Cube_Ela5_Var54414
32,112,5,56929,30,140,0,0.104296875,Cube_Ela5_Var56929
33,117,5,59301,30,133,0,0.1890625,Cube_Ela5_Var59301
34,66,5,42455,30,60,0,0.999609375,Cube_Ela5_Var42455
35,180,5,80369,30,65,0,0.196484375,Cube_Ela5_Var80369
36,79,5,46324,30,60,0,0,Cube_Ela5_Var46324
37,153,5,69719,30,225,0,0.525390625,Cube_Ela5_Var69719
38,70,5,43435,30,115,0,0.245703125,Cube_Ela5_Var43435
39,143,5,68063,30,155,0,0.173828125,Cube_Ela5_Var68063
40,64,5,42125,30,120,0,0.141015625,Cube_Ela5_Var42125
41,208,5,94354,30,67,0,0.14609375,Cube_Ela5_Var94354
42,133,5,64187,30,83,0,0.01171875,Cube_Ela5_Var64187
43,128,5,62855,30,90,0,0.030859375,Cube_Ela5_Var62855
44,188,5,83580,30,79,0,0.164453125,Cube_Ela5_Var83580
45,111,5,56928,30,146,0,0.16328125,Cube_Ela5_Var56928
46,168,5,75643,30,240,0,0.5046875,Cube_Ela5_Var75643
47,182,5,81591,30,125,0,0.16328125,Cube_Ela5_Var81591
48,11,5,3345,30,77,0,0,Cube_Ela5_Var3345
49,59,5,40929,30,62,0,0.056640625,Cube_Ela5_Var40929
50,120,5,59798,30,98,0,0.153515625,Cube_Ela5_Var59798
51,116,5,58938,30,90,0,0.080078125,Cube_Ela5_Var58938
52,123,5,60316,30,93,0,0.16328125,Cube_Ela5_Var60316
