trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,51,5,37660,30,287,0,0.2625,Cube_Ela5_Var37660
2,121,5,59995,30,152,0,0.3125,Cube_Ela5_Var59995
3,156,5,70550,30,718,0,0.2046875,Cube_Ela5_Var70550
4,39,5,27119,30,90,0,0.210546875,Cube_Ela5_Var27119
5,21,5,13214,30,120,0,0.2734375,Cube_Ela5_Var13214
6,159,5,71793,30,69,0,0.28515625,Cube_Ela5_Var71793
7,27,5,16920,30,73,0,0.30390625,Cube_Ela5_Var16920
8,100,5,52265,30,64,0,0.251171875,Cube_Ela5_Var52265
9,191,5,83787,30,37,0,0.15546875,Cube_Ela5_Var83787
10,212,5,97114,30,73,0,0.30234375,Cube_Ela5_Var97114
11,155,5,70055,30,43,0,0.290625,Cube_Ela5_Var70055
12,146,5,68517,30,51,0,0.336328125,Cube_Ela5_Var68517
13,79,5,46324,30,41,0,0.21640625,Cube_Ela5_Var46324
14,148,5,68946,30,56,0,0.15859375,Cube_Ela5_Var68946
15,83,5,47029,30,48,0,0.144140625,Cube_Ela5_Var47029
16,108,5,55641,30,37,0,0.3046875,Cube_Ela5_Var55641
17,202,5,87418,30,42,0,0.19765625,Cube_Ela5_Var87418
18,198,5,85928,30,34,0,0.225390625,Cube_Ela5_Var85928
19,75,5,44635,30,40,0,0.1609375,Cube_Ela5_Var44635
20,155,5,70055,30,60,0,0.287890625,Cube_Ela5_Var70055
21,124,5,60587,30,30,0,0.25390625,Cube_Ela5_Var60587
22,89,5,48089,30,38,0,0.2765625,Cube_Ela5_Var48089
23,65,5,42133,30,31,0,0.1546875,Cube_Ela5_Var42133
24,11,5,3345,30,30,0,0.2453125,Cube_Ela5_Var3345
25,50,5,36019,30,30,0,0.066015625,Cube_Ela5_Var36019
26,10,5,3229,30,30,0,0.2765625,Cube_Ela5_Var3229
27,81,5,46939,30,30,0,0.162890625,Cube_Ela5_Var46939
28,170,5,75906,30,32,0,0.375390625,Cube_Ela5_Var75906
29,34,5,24505,30,30,0,0.088671875,Cube_Ela5_Var24505
30,95,5,48772,30,30,0,0.356640625,Cube_Ela5_Var48772
31,41,5,30524,30,31,0,0.369921875,Cube_Ela5_Var30524
32,171,5,76210,30,30,0,0.619921875,Cube_Ela5_Var76210
33,102,5,53293,30,30,0,0.187890625,Cube_Ela5_Var53293
34,43,5,31816,30,33,0,0.255078125,Cube_Ela5_Var31816
35,69,5,43329,30,34,0,0.211328125,Cube_Ela5_Var43329
36,156,5,70550,30,38,0,0.225390625,Cube_Ela5_Var70550
37,127,5,61722,30,33,0,0.33359375,Cube_Ela5_Var61722
38,67,5,42984,30,30,0,0.195703125,Cube_Ela5_Var42984
39,126,5,60721,30,40,0,0.2265625,Cube_Ela5_Var60721
40,99,5,49800,30,33,0,0.294140625,Cube_Ela5_Var49800
41,190,5,83732,30,151,0,0.19140625,Cube_Ela5_Var83732
42,158,5,71127,30,90,0,0.209375,Cube_Ela5_Var71127
43,38,5,27096,30,60,0,0.2625,Cube_Ela5_Var27096
44,96,5,48836,30,105,0,0.4546875,Cube_Ela5_Var48836
45,185,5,83108,30,40,0,0.3171875,Cube_Ela5_Var83108
46,30,5,18315,30,60,0,0.2984375,Cube_Ela5_Var18315
47,213,5,99105,30,35,0,0.14921875,Cube_Ela5_Var99105
48,14,5,6176,30,32,0,0.152734375,Cube_Ela5_Var6176
49,18,5,9081,30,75,0,0.398828125,Cube_Ela5_Var9081
50,2,5,1342,30,98,0,0.319140625,Cube_Ela5_Var1342
51,187,5,83569,30,2838,0,0.231640625,Cube_Ela5_Var83569
52,7,5,2366,30,351,0,0.21796875,Cube_Ela5_Var2366
53,168,5,75643,30,180,0,0.7046875,Cube_Ela5_Var75643
54,36,5,25822,30,64,0,0.380859375,Cube_Ela5_Var25822
55,107,5,55229,30,33,0,0.2765625,Cube_Ela5_Var55229
56,19,5,10511,30,38,0,0.17265625,Cube_Ela5_Var10511
57,195,5,85567,30,138,0,0.258203125,Cube_Ela5_Var85567
58,39,5,27119,30,34,0,0.38671875,Cube_Ela5_Var27119
59,186,5,83290,30,94,0,0.360546875,Cube_Ela5_Var83290
60,175,5,76680,30,118,0,0.483203125,Cube_Ela5_Var76680
61,135,5,65815,30,85,0,0.508203125,Cube_Ela5_Var65815
62,153,5,69719,30,85,0,0.411328125,Cube_Ela5_Var69719
63,93,5,48423,30,62,0,0.31015625,Cube_Ela5_Var48423
64,44,5,31848,30,130,0,0.3078125,Cube_Ela5_Var31848
65,35,5,25148,30,120,0,0.315234375,Cube_Ela5_Var25148
66,23,5,15801,30,480,0,0.314453125,Cube_Ela5_Var15801
67,75,5,44635,30,149,0,0.280859375,Cube_Ela5_Var44635
68,163,5,74604,30,127,0,0.36328125,Cube_Ela5_Var74604
69,37,5,26416,30,136,0,0.374609375,Cube_Ela5_Var26416
70,108,5,55641,30,185,0,0.300390625,Cube_Ela5_Var55641
71,137,5,66844,30,100,0,0.378515625,Cube_Ela5_Var66844
72,81,5,46939,30,62,0,0.36015625,Cube_Ela5_Var46939
73,24,5,16080,30,4384,0,0.3484375,Cube_Ela5_Var16080
74,179,5,79309,30,53,0,0.06796875,Cube_Ela5_Var79309
75,66,5,42455,30,50,0,0.999609375,Cube_Ela5_Var42455
76,155,5,70055,30,76,0,0.448046875,Cube_Ela5_Var70055
77,45,5,32376,30,39,0,0.151953125,Cube_Ela5_Var32376
78,47,5,33762,30,38,0,0.4125,Cube_Ela5_Var33762
79,40,5,29981,30,30,0,0.31171875,Cube_Ela5_Var29981
80,85,5,47360,30,45,0,0.383984375,Cube_Ela5_Var47360
81,48,5,34970,30,1785,0,0.312890625,Cube_Ela5_Var34970
82,150,5,69309,30,270,0,0.37265625,Cube_Ela5_Var69309
83,205,5,92507,30,77,0,0.40078125,Cube_Ela5_Var92507
84,63,5,42107,30,97,0,0.408203125,Cube_Ela5_Var42107
85,42,5,31564,30,116,0,0.338671875,Cube_Ela5_Var31564
86,201,5,86931,30,148,0,0.31953125,Cube_Ela5_Var86931
87,34,5,24505,30,38,0,0.328125,Cube_Ela5_Var24505
88,162,5,73331,30,35,0,0.33359375,Cube_Ela5_Var73331
89,27,5,16920,30,90,0,0.43125,Cube_Ela5_Var16920
90,20,5,10573,30,64,0,0.341796875,Cube_Ela5_Var10573
91,132,5,64044,30,69,0,0.39453125,Cube_Ela5_Var64044
92,3,5,1422,30,90,0,0.4125,Cube_Ela5_Var1422
93,62,5,41753,30,110,0,0.388671875,Cube_Ela5_Var41753
94,61,5,41451,30,62,0,0.030859375,Cube_Ela5_Var41451
95,97,5,48875,30,40,0,0.58984375,Cube_Ela5_Var48875
96,131,5,63563,30,31,0,0.285546875,Cube_Ela5_Var63563
97,82,5,46949,30,30,0,0.38984375,Cube_Ela5_Var46949
98,14,5,6176,30,37,0,0.601171875,Cube_Ela5_Var6176
99,127,5,61722,30,87,0,0.336328125,Cube_Ela5_Var61722
100,21,5,13214,30,3420,0,0.443359375,Cube_Ela5_Var13214
101,93,5,48423,30,209,0,0.40078125,Cube_Ela5_Var48423
102,45,5,32376,30,52,0,0.0765625,Cube_Ela5_Var32376
103,161,5,73031,30,120,0,0.274609375,Cube_Ela5_Var73031
104,16,5,7693,30,90,0,0.283984375,Cube_Ela5_Var7693
105,84,5,47056,30,120,0,0.369140625,Cube_Ela5_Var47056
106,169,5,75720,30,37,0,0.357421875,Cube_Ela5_Var75720
107,98,5,49303,30,41,0,0.489453125,Cube_Ela5_Var49303
108,150,5,69309,30,35,0,0.5375,Cube_Ela5_Var69309
109,173,5,76458,30,270,0,0.401171875,Cube_Ela5_Var76458
110,141,5,67925,30,157,0,0.315625,Cube_Ela5_Var67925
111,119,5,59685,30,109,0,0.4234375,Cube_Ela5_Var59685
112,133,5,64187,30,140,0,0.132421875,Cube_Ela5_Var64187
113,63,5,42107,30,67,0,0.276953125,Cube_Ela5_Var42107
114,169,5,75720,30,53,0,0.278125,Cube_Ela5_Var75720
115,88,5,48076,30,36,0,0.178515625,Cube_Ela5_Var48076
116,85,5,47360,30,38,0,0.438671875,Cube_Ela5_Var47360
117,55,5,38113,30,44,0,0.339453125,Cube_Ela5_Var38113
118,17,5,7776,30,35,0,0.08828125,Cube_Ela5_Var7776
119,5,5,1623,30,38,0,0.48984375,Cube_Ela5_Var1623
120,124,5,60587,30,36,0,0.15078125,Cube_Ela5_Var60587
121,194,5,85461,30,40,0,0.2953125,Cube_Ela5_Var85461
122,29,5,17269,30,36,0,0.14921875,Cube_Ela5_Var17269
123,162,5,73331,30,38,0,0.1546875,Cube_Ela5_Var73331
124,137,5,66844,30,64,0,0.14765625,Cube_Ela5_Var66844
125,31,5,19705,30,46,0,0.1640625,Cube_Ela5_Var19705
126,166,5,75451,30,120,0,0.22734375,Cube_Ela5_Var75451
127,63,5,42107,30,52,0,0.212890625,Cube_Ela5_Var42107
128,160,5,73019,30,134,0,0.177734375,Cube_Ela5_Var73019
129,176,5,77113,30,96,0,0.30625,Cube_Ela5_Var77113
130,16,5,7693,30,150,0,0.237109375,Cube_Ela5_Var7693
131,132,5,64044,30,403,0,0.221484375,Cube_Ela5_Var64044
132,84,5,47056,30,577,0,0.251171875,Cube_Ela5_Var47056
133,147,5,68783,30,1110,0,0.276171875,Cube_Ela5_Var68783
134,130,5,63189,30,369,0,0.2015625,Cube_Ela5_Var63189
135,183,5,82598,30,106,0,0.6140625,Cube_Ela5_Var82598
136,158,5,71127,30,66,0,0.32734375,Cube_Ela5_Var71127
137,127,5,61722,30,38,0,0.18984375,Cube_Ela5_Var61722
138,68,5,43188,30,33,0,0.276953125,Cube_Ela5_Var43188
139,48,5,34970,30,61,0,0.098046875,Cube_Ela5_Var34970
140,109,5,56443,30,547,0,0.542578125,Cube_Ela5_Var56443
141,58,5,40583,30,120,0,0.55,Cube_Ela5_Var40583
142,23,5,15801,30,74,0,0.377734375,Cube_Ela5_Var15801
143,52,5,37704,30,30,0,0.3421875,Cube_Ela5_Var37704
144,12,5,4889,30,97,0,0.3953125,Cube_Ela5_Var4889
145,101,5,52893,30,36,0,0.01484375,Cube_Ela5_Var52893
146,9,5,3037,30,30,0,0.0109375,Cube_Ela5_Var3037
147,18,5,9081,30,44,0,0.3578125,Cube_Ela5_Var9081
148,25,5,16464,30,37,0,0.11171875,Cube_Ela5_Var16464
149,117,5,59301,30,35,0,0.22109375,Cube_Ela5_Var59301
150,184,5,82797,30,60,0,0.158203125,Cube_Ela5_Var82797
151,59,5,40929,30,60,0,0.33671875,Cube_Ela5_Var40929
152,130,5,63189,30,30,0,0.2125,Cube_Ela5_Var63189
153,129,5,62947,30,42,0,0.250390625,Cube_Ela5_Var62947
154,161,5,73031,30,37,0,0.10390625,Cube_Ela5_Var73031
155,20,5,10573,30,30,0,0.056640625,Cube_Ela5_Var10573
156,157,5,70618,30,30,0,0.062109375,Cube_Ela5_Var70618
157,77,5,45996,30,37,0,0.044140625,Cube_Ela5_Var45996
158,109,5,56443,30,44,0,0.19296875,Cube_Ela5_Var56443
159,202,5,87418,30,960,0,0.17578125,Cube_Ela5_Var87418
160,128,5,62855,30,90,0,0.1546875,Cube_Ela5_Var62855
161,204,5,88519,30,90,0,0.198046875,Cube_Ela5_Var88519
162,112,5,56929,30,30,0,0.143359375,Cube_Ela5_Var56929
163,199,5,86083,30,90,0,0.1734375,Cube_Ela5_Var86083
164,57,5,40406,30,104,0,0.2140625,Cube_Ela5_Var40406
165,57,5,40406,30,60,0,0.273828125,Cube_Ela5_Var40406
166,102,5,53293,30,41,0,0.24453125,Cube_Ela5_Var53293
167,60,5,41405,30,44,0,0.35078125,Cube_Ela5_Var41405
