trialID,trialType,elasticity,variation,endFrame,framesShown,missedTiming,rating,stimulusID
1,187,5,83569,30,690,0,0.2765625,Cube_Ela5_Var83569
2,74,5,44309,30,154,0,0.327734375,Cube_Ela5_Var44309
3,119,5,59685,30,293,0,0.34140625,Cube_Ela5_Var59685
4,57,5,40406,30,171,0,0.86171875,Cube_Ela5_Var40406
5,107,5,55229,30,354,0,0.1328125,Cube_Ela5_Var55229
6,136,5,66102,30,90,0,0.174609375,Cube_Ela5_Var66102
7,50,5,36019,30,270,0,0.87421875,Cube_Ela5_Var36019
8,185,5,83108,30,510,0,0.3578125,Cube_Ela5_Var83108
9,37,5,26416,30,150,0,0.922265625,Cube_Ela5_Var26416
10,179,5,79309,30,126,0,0.052734375,Cube_Ela5_Var79309
11,53,5,37783,30,120,0,0.06171875,Cube_Ela5_Var37783
12,85,5,47360,30,328,0,0.313671875,Cube_Ela5_Var47360
13,71,5,43564,30,495,0,0.085546875,Cube_Ela5_Var43564
14,72,5,43640,30,231,0,0.907421875,Cube_Ela5_Var43640
15,169,5,75720,30,315,0,0.530078125,Cube_Ela5_Var75720
16,33,5,21958,30,481,0,0.563671875,Cube_Ela5_Var21958
17,24,5,16080,30,293,0,0.923046875,Cube_Ela5_Var16080
18,203,5,87749,30,718,0,0.084375,Cube_Ela5_Var87749
19,55,5,38113,30,420,0,0.093359375,Cube_Ela5_Var38113
20,61,5,41451,30,477,0,0.53984375,Cube_Ela5_Var41451
21,116,5,58938,30,87,0,0.870703125,Cube_Ela5_Var58938
22,212,5,97114,30,174,0,0.708984375,Cube_Ela5_Var97114
23,188,5,83580,30,556,0,0.58046875,Cube_Ela5_Var83580
24,152,5,69698,30,90,0,0.3953125,Cube_Ela5_Var69698
25,3,5,1422,30,151,0,0.319140625,Cube_Ela5_Var1422
26,195,5,85567,30,480,0,0.5390625,Cube_Ela5_Var85567
27,43,5,31816,30,150,0,0.665625,Cube_Ela5_Var31816
28,41,5,30524,30,292,0,0.474609375,Cube_Ela5_Var30524
29,150,5,69309,30,300,0,0.98359375,Cube_Ela5_Var69309
30,122,5,60291,30,372,0,0.563671875,Cube_Ela5_Var60291
31,146,5,68517,30,422,0,0.5359375,Cube_Ela5_Var68517
32,157,5,70618,30,150,0,0.590234375,Cube_Ela5_Var70618
33,159,5,71793,30,120,0,0.084765625,Cube_Ela5_Var71793
34,78,5,46309,30,230,0,0.35,Cube_Ela5_Var46309
35,53,5,37783,30,210,0,0.58046875,Cube_Ela5_Var37783
36,26,5,16639,30,360,0,0.57421875,Cube_Ela5_Var16639
37,109,5,56443,30,90,0,0.469140625,Cube_Ela5_Var56443
38,172,5,76354,30,882,0,0.509765625,Cube_Ela5_Var76354
39,114,5,57643,30,122,0,0.901171875,Cube_Ela5_Var57643
40,35,5,25148,30,166,0,0.62109375,Cube_Ela5_Var25148
41,149,5,68965,30,317,0,0.913671875,Cube_Ela5_Var68965
42,131,5,63563,30,150,0,0.51875,Cube_Ela5_Var63563
43,63,5,42107,30,194,0,0.95,Cube_Ela5_Var42107
44,147,5,68783,30,150,0,0.757421875,Cube_Ela5_Var68783
45,48,5,34970,30,288,0,0.6578125,Cube_Ela5_Var34970
46,32,5,19857,30,882,0,0.4640625,Cube_Ela5_Var19857
47,186,5,83290,30,118,0,0.676171875,Cube_Ela5_Var83290
48,185,5,83108,30,207,0,0.832421875,Cube_Ela5_Var83108
49,120,5,59798,30,160,0,0.63046875,Cube_Ela5_Var59798
50,159,5,71793,30,150,0,0.206640625,Cube_Ela5_Var71793
51,41,5,30524,30,352,0,0.459765625,Cube_Ela5_Var30524
52,184,5,82797,30,280,0,0.161328125,Cube_Ela5_Var82797
53,116,5,58938,30,138,0,0.73515625,Cube_Ela5_Var58938
54,90,5,48128,30,373,0,0.632421875,Cube_Ela5_Var48128
55,209,5,94639,30,150,0,0.67421875,Cube_Ela5_Var94639
56,141,5,67925,30,324,0,0.18125,Cube_Ela5_Var67925
57,15,5,6288,30,105,0,0.61640625,Cube_Ela5_Var6288
58,21,5,13214,30,397,0,0.16953125,Cube_Ela5_Var13214
59,91,5,48302,30,329,0,0.749609375,Cube_Ela5_Var48302
60,53,5,37783,30,540,0,0.303125,Cube_Ela5_Var37783
61,129,5,62947,30,176,0,0.3125,Cube_Ela5_Var62947
62,80,5,46376,30,156,0,0.09609375,Cube_Ela5_Var46376
63,177,5,78117,30,125,0,0.355859375,Cube_Ela5_Var78117
64,181,5,81177,30,90,0,0.49140625,Cube_Ela5_Var81177
65,94,5,48729,30,106,0,0.58046875,Cube_Ela5_Var48729
66,143,5,68063,30,120,0,0.75,Cube_Ela5_Var68063
67,170,5,75906,30,299,0,0.275390625,Cube_Ela5_Var75906
68,196,5,85828,30,300,0,0.59296875,Cube_Ela5_Var85828
69,126,5,60721,30,120,0,0.134765625,Cube_Ela5_Var60721
70,38,5,27096,30,119,0,0.4203125,Cube_Ela5_Var27096
71,79,5,46324,30,86,0,0.587109375,Cube_Ela5_Var46324
72,186,5,83290,30,92,0,0.39921875,Cube_Ela5_Var83290
73,7,5,2366,30,171,0,0.319140625,Cube_Ela5_Var2366
74,24,5,16080,30,184,0,0.721484375,Cube_Ela5_Var16080
75,125,5,60611,30,103,0,0.719140625,Cube_Ela5_Var60611
76,9,5,3037,30,109,0,0.758203125,Cube_Ela5_Var3037
77,139,5,67412,30,208,0,0.183984375,Cube_Ela5_Var67412
78,133,5,64187,30,210,0,0.226171875,Cube_Ela5_Var64187
79,37,5,26416,30,339,0,0.808984375,Cube_Ela5_Var26416
80,48,5,34970,30,292,0,0,Cube_Ela5_Var34970
